date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,35,19,0.0,13.3,6,26,01:53 AM,02:59 PM,05:17 AM,06:46 PM,19,27,27,26,6,21,71,1.5,1015,35,10,203,4,Resende
2019-01-02,37,22,0.0,13.3,6,19,02:34 AM,03:54 PM,05:18 AM,06:46 PM,20,30,30,27,6,19,69,1.3,1016,37,10,222,5,Resende
2019-01-03,36,23,0.0,13.3,7,11,03:17 AM,04:48 PM,05:18 AM,06:46 PM,19,30,30,28,8,20,62,1.8,1013,36,10,259,5,Resende
2019-01-04,34,22,0.0,13.3,6,4,04:03 AM,05:41 PM,05:19 AM,06:46 PM,19,29,29,27,10,26,66,6.1,1013,34,9,260,6,Resende
2019-01-05,32,22,0.0,13.3,6,0,04:51 AM,06:32 PM,05:20 AM,06:47 PM,20,28,28,26,5,27,69,0.7,1014,32,10,213,3,Resende
2019-01-06,33,21,0.0,13.3,6,0,05:41 AM,07:20 PM,05:20 AM,06:47 PM,18,28,28,26,8,16,65,1.3,1014,33,10,182,5,Resende
2019-01-07,34,20,0.0,13.3,7,3,06:31 AM,08:04 PM,05:21 AM,06:47 PM,18,28,28,27,7,10,62,0.4,1015,34,10,201,5,Resende
2019-01-08,35,22,0.0,13.3,7,10,07:23 AM,08:46 PM,05:22 AM,06:47 PM,17,29,29,27,9,10,58,0.7,1016,35,10,212,6,Resende
2019-01-09,33,21,0.0,13.3,7,18,08:13 AM,09:25 PM,05:22 AM,06:47 PM,18,28,28,26,9,4,62,0.2,1015,33,10,158,6,Resende
2019-01-10,32,20,0.0,13.2,7,25,09:04 AM,10:01 PM,05:23 AM,06:47 PM,17,26,26,25,7,8,66,0.1,1016,32,10,102,5,Resende
2019-01-11,34,20,0.0,13.2,6,32,09:54 AM,10:36 PM,05:24 AM,06:48 PM,18,28,28,26,5,21,66,1.7,1016,34,10,213,4,Resende
2019-01-12,33,20,0.0,13.2,7,39,10:43 AM,11:11 PM,05:24 AM,06:48 PM,18,27,27,26,8,12,65,0.0,1016,33,10,165,6,Resende
2019-01-13,32,20,0.0,13.2,6,47,11:34 AM,11:46 PM,05:25 AM,06:48 PM,18,27,27,25,7,11,67,1.0,1016,32,10,174,5,Resende
2019-01-14,33,20,0.0,13.2,6,54,12:26 PM,No moonset,05:26 AM,06:48 PM,18,26,26,25,6,18,67,1.9,1016,33,10,223,4,Resende
2019-01-15,36,21,0.0,13.2,8,61,01:20 PM,12:23 AM,05:27 AM,06:48 PM,19,29,29,27,7,12,63,0.4,1015,36,10,259,4,Resende
