date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,33,22,0.0,11.9,6,26,01:41 AM,02:26 PM,05:16 AM,06:05 PM,21,29,29,27,14,45,73,0.1,1015,33,7,106,10,Santa+Maria+da+Feira
2019-01-02,31,22,0.0,12.9,6,19,02:25 AM,03:18 PM,05:16 AM,06:06 PM,21,28,28,26,13,46,75,0.6,1016,31,8,116,9,Santa+Maria+da+Feira
2019-01-03,31,20,0.0,12.9,6,11,03:11 AM,04:10 PM,05:17 AM,06:06 PM,20,27,27,25,11,41,73,0.1,1015,31,9,120,7,Santa+Maria+da+Feira
2019-01-04,34,21,0.0,12.9,6,4,03:59 AM,05:01 PM,05:17 AM,06:06 PM,20,28,28,26,12,38,70,0.1,1015,34,8,99,8,Santa+Maria+da+Feira
2019-01-05,33,21,0.0,11.9,6,0,04:47 AM,05:52 PM,05:18 AM,06:07 PM,20,28,28,26,12,36,71,0.3,1015,33,9,109,8,Santa+Maria+da+Feira
2019-01-06,30,21,0.0,10.6,6,0,05:37 AM,06:40 PM,05:18 AM,06:07 PM,20,27,27,25,12,63,75,0.5,1015,30,8,114,8,Santa+Maria+da+Feira
2019-01-07,31,21,0.0,12.9,6,3,06:27 AM,07:27 PM,05:19 AM,06:07 PM,19,27,27,25,12,28,70,0.0,1015,31,10,129,8,Santa+Maria+da+Feira
2019-01-08,31,21,0.0,12.9,6,10,07:16 AM,08:10 PM,05:20 AM,06:08 PM,19,27,27,25,14,32,73,2.5,1015,31,9,129,10,Santa+Maria+da+Feira
2019-01-09,32,21,0.0,12.9,7,18,08:04 AM,08:52 PM,05:20 AM,06:08 PM,19,27,27,25,13,39,70,0.3,1014,32,9,138,9,Santa+Maria+da+Feira
2019-01-10,31,21,0.0,10.6,6,25,08:52 AM,09:32 PM,05:21 AM,06:08 PM,20,28,28,25,14,54,75,2.9,1014,31,9,131,8,Santa+Maria+da+Feira
2019-01-11,31,21,0.0,11.9,6,32,09:38 AM,10:10 PM,05:21 AM,06:08 PM,20,27,27,25,13,49,75,0.9,1015,31,9,131,8,Santa+Maria+da+Feira
2019-01-12,32,21,0.0,12.9,6,39,10:24 AM,10:49 PM,05:22 AM,06:08 PM,20,28,28,26,13,39,72,0.4,1014,32,8,140,9,Santa+Maria+da+Feira
2019-01-13,33,21,0.0,12.9,7,47,11:11 AM,11:28 PM,05:22 AM,06:09 PM,19,28,28,26,12,42,71,0.1,1015,33,9,127,8,Santa+Maria+da+Feira
2019-01-14,31,22,0.0,11.9,6,54,11:59 AM,No moonset,05:23 AM,06:09 PM,21,28,28,26,13,56,75,1.2,1015,31,7,116,9,Santa+Maria+da+Feira
2019-01-15,32,21,0.0,10.6,6,61,12:50 PM,12:08 AM,05:23 AM,06:09 PM,21,29,29,26,11,63,75,1.9,1015,32,9,123,8,Santa+Maria+da+Feira
2019-01-16,32,21,0.0,12.9,6,69,01:44 PM,12:52 AM,05:24 AM,06:09 PM,19,27,27,25,12,45,71,0.0,1016,32,8,115,8,Santa+Maria+da+Feira
2019-01-17,32,20,0.0,12.8,6,76,02:40 PM,01:40 AM,05:25 AM,06:09 PM,20,27,27,26,12,42,73,0.0,1015,32,8,133,9,Santa+Maria+da+Feira
2019-01-18,32,21,0.0,12.8,6,83,03:41 PM,02:33 AM,05:25 AM,06:09 PM,19,27,27,26,12,38,71,0.2,1015,32,8,133,8,Santa+Maria+da+Feira
2019-01-19,33,21,0.0,12.8,6,90,04:44 PM,03:31 AM,05:26 AM,06:09 PM,18,27,27,26,14,28,68,0.0,1014,33,7,111,10,Santa+Maria+da+Feira
2019-01-20,34,21,0.0,10.6,6,98,05:47 PM,04:33 AM,05:26 AM,06:10 PM,20,28,28,26,12,58,73,0.1,1015,34,8,111,8,Santa+Maria+da+Feira
2019-01-21,31,21,0.0,12.8,6,100,06:47 PM,05:38 AM,05:27 AM,06:10 PM,20,28,28,26,13,43,72,0.2,1016,31,8,121,9,Santa+Maria+da+Feira
2019-01-22,33,21,0.0,12.8,7,88,07:44 PM,06:43 AM,05:27 AM,06:10 PM,19,27,27,26,13,15,68,0.0,1016,33,9,117,9,Santa+Maria+da+Feira
2019-01-23,33,22,0.0,12.8,6,81,08:36 PM,07:46 AM,05:28 AM,06:10 PM,21,29,29,26,13,45,74,2.5,1015,33,7,144,9,Santa+Maria+da+Feira
2019-01-24,32,22,0.0,11.9,6,73,09:25 PM,08:46 AM,05:28 AM,06:10 PM,21,28,28,26,11,51,75,4.8,1015,32,8,97,8,Santa+Maria+da+Feira
2019-01-25,32,21,0.0,12.8,6,66,10:11 PM,09:43 AM,05:29 AM,06:10 PM,20,28,28,26,13,49,72,0.2,1015,32,8,113,9,Santa+Maria+da+Feira
2019-01-26,32,21,0.0,12.8,6,59,10:56 PM,10:37 AM,05:29 AM,06:10 PM,20,27,27,26,12,32,72,0.0,1015,32,8,142,9,Santa+Maria+da+Feira
2019-01-27,33,21,0.0,12.8,6,51,11:40 PM,11:31 AM,05:30 AM,06:10 PM,19,28,28,26,13,40,71,0.2,1016,33,8,116,9,Santa+Maria+da+Feira
2019-01-28,32,22,0.0,11.9,6,44,No moonrise,12:23 PM,05:30 AM,06:10 PM,21,28,28,26,15,41,75,6.4,1016,32,7,143,10,Santa+Maria+da+Feira
2019-01-29,32,22,0.0,12.8,6,37,12:24 AM,01:15 PM,05:30 AM,06:09 PM,20,28,28,26,15,34,73,4.4,1015,32,10,144,10,Santa+Maria+da+Feira
2019-01-30,32,22,0.0,10.6,6,30,01:10 AM,02:06 PM,05:31 AM,06:09 PM,20,28,28,26,12,46,72,1.3,1015,32,8,136,8,Santa+Maria+da+Feira
2019-01-31,33,21,0.0,9.3,6,26,01:56 AM,02:58 PM,05:31 AM,06:09 PM,19,29,29,27,13,49,70,0.2,1015,33,8,140,9,Santa+Maria+da+Feira
2019-02-01,33,22,0.0,12.8,6,8,02:44 AM,03:48 PM,05:32 AM,06:09 PM,20,29,29,27,13,36,69,0.0,1015,33,9,126,9,Santa+Maria+da+Feira
2019-02-02,32,22,0.0,10.6,6,1,03:34 AM,04:37 PM,05:32 AM,06:09 PM,21,29,29,27,12,47,72,0.2,1015,32,8,125,9,Santa+Maria+da+Feira
2019-02-03,36,22,0.0,12.8,7,0,04:23 AM,05:24 PM,05:33 AM,06:09 PM,20,30,30,28,12,28,66,0.0,1013,36,9,113,9,Santa+Maria+da+Feira
2019-02-04,36,23,0.0,11.9,7,0,05:12 AM,06:08 PM,05:33 AM,06:09 PM,20,30,30,28,10,39,66,0.1,1012,36,10,75,7,Santa+Maria+da+Feira
2019-02-05,34,23,0.0,11.9,6,0,06:01 AM,06:51 PM,05:33 AM,06:08 PM,21,30,30,28,13,50,68,0.5,1012,34,8,78,9,Santa+Maria+da+Feira
2019-02-06,34,24,0.0,12.7,6,7,06:48 AM,07:31 PM,05:34 AM,06:08 PM,22,30,30,28,14,54,72,1.2,1012,34,10,88,10,Santa+Maria+da+Feira
2019-02-07,33,23,0.0,12.7,7,14,07:35 AM,08:10 PM,05:34 AM,06:08 PM,20,29,29,27,14,42,68,0.1,1012,33,10,98,10,Santa+Maria+da+Feira
2019-02-08,34,22,0.0,12.7,7,22,08:21 AM,08:48 PM,05:34 AM,06:08 PM,19,29,29,27,13,22,65,0.2,1011,34,10,97,10,Santa+Maria+da+Feira
2019-02-09,33,22,0.0,12.7,7,29,09:08 AM,09:27 PM,05:35 AM,06:07 PM,20,29,29,27,13,26,68,0.3,1012,33,10,93,9,Santa+Maria+da+Feira
2019-02-10,34,22,0.0,12.7,6,37,09:55 AM,10:05 PM,05:35 AM,06:07 PM,20,29,29,27,16,24,67,0.0,1013,34,9,105,11,Santa+Maria+da+Feira
2019-02-11,34,23,0.0,12.7,6,44,10:43 AM,10:47 PM,05:35 AM,06:07 PM,19,29,29,27,16,24,66,0.2,1014,34,10,115,11,Santa+Maria+da+Feira
2019-02-12,34,23,0.0,12.7,6,52,11:34 AM,11:31 PM,05:36 AM,06:06 PM,19,29,29,28,14,23,64,0.2,1014,34,10,113,10,Santa+Maria+da+Feira
2019-02-13,38,22,0.0,12.7,8,60,12:27 PM,No moonset,05:36 AM,06:06 PM,19,31,31,29,10,20,63,0.0,1012,38,10,96,7,Santa+Maria+da+Feira
2019-02-14,39,24,0.0,12.7,7,67,01:24 PM,12:20 AM,05:36 AM,06:06 PM,21,32,32,29,12,30,65,0.7,1013,39,10,98,9,Santa+Maria+da+Feira
2019-02-15,36,24,0.0,12.7,7,75,02:23 PM,01:14 AM,05:37 AM,06:05 PM,20,31,31,29,13,37,65,2.0,1013,36,10,109,9,Santa+Maria+da+Feira
2019-02-16,36,24,0.0,12.7,7,82,03:25 PM,02:12 AM,05:37 AM,06:05 PM,20,31,31,29,11,42,64,0.0,1011,36,10,59,8,Santa+Maria+da+Feira
2019-02-17,33,25,0.0,12.7,6,90,04:26 PM,03:14 AM,05:37 AM,06:05 PM,22,31,31,28,14,47,69,19.6,1012,33,8,170,9,Santa+Maria+da+Feira
2019-02-18,35,24,0.0,10.6,7,97,05:25 PM,04:19 AM,05:37 AM,06:04 PM,22,32,32,29,12,41,70,0.1,1013,35,10,76,8,Santa+Maria+da+Feira
2019-02-19,35,24,0.0,11.9,7,100,06:20 PM,05:23 AM,05:38 AM,06:04 PM,21,31,31,28,12,36,70,0.5,1013,35,9,116,8,Santa+Maria+da+Feira
2019-02-20,35,23,0.0,12.7,7,88,07:12 PM,06:26 AM,05:38 AM,06:03 PM,21,31,31,28,11,24,67,0.0,1012,35,10,100,8,Santa+Maria+da+Feira
2019-02-21,33,23,0.0,12.7,7,80,08:01 PM,07:26 AM,05:38 AM,06:03 PM,21,30,30,28,13,27,68,0.0,1013,33,10,109,10,Santa+Maria+da+Feira
2019-02-22,35,24,0.0,12.7,7,73,08:47 PM,08:24 AM,05:38 AM,06:03 PM,20,30,30,28,14,37,66,2.3,1014,35,10,90,10,Santa+Maria+da+Feira
2019-02-23,36,23,0.0,11.9,7,65,09:34 PM,09:20 AM,05:38 AM,06:02 PM,21,31,31,28,10,42,67,0.1,1013,36,9,131,7,Santa+Maria+da+Feira
2019-02-24,37,23,0.0,12.6,8,57,10:19 PM,10:14 AM,05:39 AM,06:02 PM,20,31,31,29,9,29,63,0.0,1011,37,10,92,6,Santa+Maria+da+Feira
2019-02-25,38,24,0.0,12.6,8,50,11:06 PM,11:09 AM,05:39 AM,06:01 PM,21,32,32,30,10,31,63,0.0,1011,38,10,83,7,Santa+Maria+da+Feira
2019-02-26,36,24,0.0,12.6,7,42,11:53 PM,12:01 PM,05:39 AM,06:01 PM,21,32,32,29,11,29,65,0.7,1011,36,10,77,8,Santa+Maria+da+Feira
2019-02-27,36,24,0.0,12.6,7,35,No moonrise,12:54 PM,05:39 AM,06:00 PM,21,32,32,29,13,30,65,2.0,1012,36,10,82,9,Santa+Maria+da+Feira
2019-02-28,35,24,0.0,11.9,7,27,12:41 AM,01:45 PM,05:39 AM,06:00 PM,20,31,31,29,12,38,62,0.3,1013,35,10,80,9,Santa+Maria+da+Feira
