date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,16,11,0.0,8.7,4,26,03:23 AM,02:24 PM,07:51 AM,05:26 PM,6,12,13,12,16,12,62,0.0,1031,16,10,136,10,Santiago+do+Cacem
2019-01-02,15,11,0.0,8.7,4,19,04:24 AM,03:00 PM,07:51 AM,05:27 PM,7,12,13,12,17,5,66,0.0,1030,15,10,145,11,Santiago+do+Cacem
2019-01-03,14,9,0.0,8.7,4,11,05:24 AM,03:40 PM,07:51 AM,05:28 PM,7,11,11,11,11,0,72,0.0,1027,14,10,168,7,Santiago+do+Cacem
2019-01-04,15,10,0.0,7.0,3,4,06:21 AM,04:23 PM,07:51 AM,05:29 PM,9,11,13,11,17,40,77,0.0,1029,15,10,86,12,Santiago+do+Cacem
2019-01-05,15,10,0.0,8.7,4,0,07:16 AM,05:11 PM,07:51 AM,05:29 PM,6,11,12,11,18,0,67,0.0,1032,15,10,60,12,Santiago+do+Cacem
2019-01-06,14,9,0.0,8.7,4,0,08:05 AM,06:02 PM,07:51 AM,05:30 PM,3,10,12,10,19,0,57,0.0,1031,14,10,78,12,Santiago+do+Cacem
2019-01-07,16,9,0.0,8.7,4,3,08:49 AM,06:55 PM,07:51 AM,05:31 PM,3,11,12,11,20,0,56,0.0,1029,16,10,45,12,Santiago+do+Cacem
2019-01-08,16,10,0.0,8.7,4,10,09:29 AM,07:51 PM,07:51 AM,05:32 PM,2,11,12,11,17,0,49,0.0,1028,16,10,101,10,Santiago+do+Cacem
2019-01-09,16,11,0.0,8.7,4,18,10:04 AM,08:47 PM,07:51 AM,05:33 PM,5,12,13,12,16,2,61,0.0,1023,16,10,160,10,Santiago+do+Cacem
2019-01-10,16,11,0.0,8.7,4,25,10:36 AM,09:44 PM,07:51 AM,05:34 PM,8,12,13,12,18,1,70,0.0,1018,16,10,76,11,Santiago+do+Cacem
2019-01-11,14,9,0.0,8.7,4,32,11:06 AM,10:40 PM,07:51 AM,05:35 PM,2,9,11,9,30,0,53,0.0,1024,14,10,76,20,Santiago+do+Cacem
2019-01-12,14,9,0.0,8.7,4,39,11:34 AM,11:37 PM,07:51 AM,05:36 PM,1,8,11,8,31,0,52,0.0,1028,14,10,69,21,Santiago+do+Cacem
2019-01-13,14,9,0.0,8.7,4,47,12:02 PM,No moonset,07:51 AM,05:37 PM,4,9,11,9,21,0,61,0.0,1028,14,10,55,13,Santiago+do+Cacem
2019-01-14,14,9,0.0,8.7,4,54,12:31 PM,12:35 AM,07:50 AM,05:38 PM,5,10,11,10,14,1,64,0.0,1025,14,10,158,9,Santiago+do+Cacem
2019-01-15,13,11,0.0,7.0,3,61,01:02 PM,01:35 AM,07:50 AM,05:39 PM,8,12,12,12,8,33,76,0.0,1021,13,10,213,5,Santiago+do+Cacem
2019-01-16,14,11,0.0,5.4,3,69,01:37 PM,02:37 AM,07:50 AM,05:40 PM,9,12,12,12,14,75,81,2.5,1020,14,10,185,9,Santiago+do+Cacem
2019-01-17,14,11,0.0,8.7,4,76,02:17 PM,03:43 AM,07:49 AM,05:41 PM,8,10,12,10,30,20,76,0.8,1020,14,10,94,21,Santiago+do+Cacem
2019-01-18,13,8,0.0,8.7,3,83,03:05 PM,04:50 AM,07:49 AM,05:42 PM,6,9,11,9,19,37,74,4.4,1022,13,9,161,13,Santiago+do+Cacem
2019-01-19,15,13,0.0,3.7,3,90,04:01 PM,05:57 AM,07:48 AM,05:43 PM,12,13,14,13,38,76,87,9.1,1018,15,10,298,25,Santiago+do+Cacem
2019-01-20,15,12,0.0,8.7,4,98,05:06 PM,07:01 AM,07:48 AM,05:44 PM,9,11,14,11,50,21,75,1.6,1019,15,10,337,35,Santiago+do+Cacem
2019-01-21,14,11,0.0,8.7,4,100,06:17 PM,07:59 AM,07:47 AM,05:45 PM,7,10,12,10,33,6,71,0.0,1024,14,10,178,23,Santiago+do+Cacem
2019-01-22,14,11,0.0,3.8,3,88,07:31 PM,08:50 AM,07:47 AM,05:47 PM,8,10,12,10,37,77,75,0.5,1024,14,10,335,26,Santiago+do+Cacem
2019-01-23,15,13,0.0,7.1,3,81,08:44 PM,09:34 AM,07:46 AM,05:48 PM,10,11,14,11,46,64,77,0.9,1021,15,10,332,31,Santiago+do+Cacem
2019-01-24,17,14,0.0,7.1,4,73,09:56 PM,10:13 AM,07:46 AM,05:49 PM,12,14,15,14,42,45,83,0.1,1018,17,10,298,28,Santiago+do+Cacem
2019-01-25,17,12,0.0,8.7,4,66,11:05 PM,10:48 AM,07:45 AM,05:50 PM,10,13,14,13,22,1,77,0.0,1019,17,10,76,14,Santiago+do+Cacem
2019-01-26,16,12,0.0,8.7,4,59,No moonrise,11:21 AM,07:44 AM,05:51 PM,9,13,14,13,19,4,74,0.0,1020,16,10,155,11,Santiago+do+Cacem
2019-01-27,14,12,0.0,8.7,4,51,12:11 AM,11:53 AM,07:44 AM,05:52 PM,9,11,13,11,35,22,77,0.1,1023,14,10,348,25,Santiago+do+Cacem
2019-01-28,14,12,0.0,8.7,4,44,01:15 AM,12:26 PM,07:43 AM,05:53 PM,9,10,13,10,35,24,79,0.0,1026,14,10,341,24,Santiago+do+Cacem
2019-01-29,14,11,0.0,5.4,3,37,02:18 AM,01:02 PM,07:42 AM,05:54 PM,11,11,14,11,34,58,85,1.3,1023,14,10,314,23,Santiago+do+Cacem
2019-01-30,14,13,0.0,3.8,3,30,03:19 AM,01:40 PM,07:42 AM,05:55 PM,12,12,14,12,36,91,89,6.6,1018,14,10,283,24,Santiago+do+Cacem
2019-01-31,15,14,0.0,3.8,3,26,04:16 AM,02:21 PM,07:41 AM,05:56 PM,13,12,15,12,51,93,87,10.1,1010,15,9,257,33,Santiago+do+Cacem
2019-02-01,13,12,0.0,3.8,3,8,05:11 AM,03:07 PM,07:40 AM,05:58 PM,8,10,13,10,64,85,72,33.9,1006,13,8,298,44,Santiago+do+Cacem
2019-02-02,13,11,0.0,5.5,3,1,06:02 AM,03:57 PM,07:39 AM,05:59 PM,5,9,12,9,48,52,62,2.2,1020,13,10,341,34,Santiago+do+Cacem
2019-02-03,13,10,0.0,10.6,4,0,06:48 AM,04:50 PM,07:38 AM,06:00 PM,4,9,11,9,26,3,62,0.0,1029,13,10,138,18,Santiago+do+Cacem
2019-02-04,14,8,0.0,10.6,4,0,07:29 AM,05:45 PM,07:37 AM,06:01 PM,2,9,11,9,20,6,55,0.0,1030,14,10,85,13,Santiago+do+Cacem
2019-02-05,16,10,0.0,10.7,4,0,08:05 AM,06:40 PM,07:36 AM,06:02 PM,4,11,12,11,17,7,57,0.0,1029,16,10,125,10,Santiago+do+Cacem
