date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,32,22,0.0,14.0,6,26,02:25 AM,03:49 PM,05:40 AM,07:41 PM,23,32,32,27,13,40,79,5.2,1011,32,9,151,8,Sao+Pedro+do+Sul
2019-01-02,34,25,0.0,13.4,7,19,03:04 AM,04:46 PM,05:41 AM,07:41 PM,23,33,33,29,11,38,74,1.9,1009,34,10,158,7,Sao+Pedro+do+Sul
2019-01-03,31,20,0.0,12.2,6,11,03:45 AM,05:42 PM,05:42 AM,07:41 PM,23,29,29,26,26,50,83,5.0,1008,31,10,274,16,Sao+Pedro+do+Sul
2019-01-04,29,16,0.0,12.2,5,4,04:29 AM,06:36 PM,05:42 AM,07:41 PM,18,24,24,22,14,42,79,0.1,1013,29,7,120,10,Sao+Pedro+do+Sul
2019-01-05,32,17,0.0,14.0,7,0,05:16 AM,07:27 PM,05:43 AM,07:41 PM,18,25,25,24,18,14,73,0.0,1013,32,10,109,12,Sao+Pedro+do+Sul
2019-01-06,31,19,0.0,14.0,6,0,06:06 AM,08:14 PM,05:44 AM,07:41 PM,21,27,27,25,15,27,79,5.5,1009,31,10,58,9,Sao+Pedro+do+Sul
2019-01-07,32,23,0.0,13.3,6,3,06:58 AM,08:57 PM,05:45 AM,07:42 PM,23,29,29,26,26,45,83,18.7,1005,32,8,196,14,Sao+Pedro+do+Sul
2019-01-08,29,21,0.0,12.2,6,10,07:51 AM,09:37 PM,05:45 AM,07:42 PM,22,27,27,25,13,46,86,5.0,1011,29,8,127,7,Sao+Pedro+do+Sul
2019-01-09,29,22,0.0,12.2,6,18,08:43 AM,10:13 PM,05:46 AM,07:42 PM,22,27,27,24,18,50,90,36.1,1010,29,8,200,9,Sao+Pedro+do+Sul
2019-01-10,30,21,0.0,12.2,6,25,09:36 AM,10:47 PM,05:47 AM,07:42 PM,22,27,27,24,17,52,87,23.6,1010,30,9,152,10,Sao+Pedro+do+Sul
2019-01-11,28,19,0.0,12.2,5,32,10:29 AM,11:20 PM,05:48 AM,07:42 PM,21,24,24,23,7,56,89,8.7,1016,28,9,216,4,Sao+Pedro+do+Sul
2019-01-12,27,18,0.0,11.0,5,39,11:22 AM,11:51 PM,05:49 AM,07:42 PM,21,24,24,22,18,67,90,12.9,1015,27,9,109,11,Sao+Pedro+do+Sul
2019-01-13,32,20,0.0,13.3,6,47,12:15 PM,No moonset,05:49 AM,07:41 PM,22,27,27,25,10,43,83,4.8,1013,32,7,131,6,Sao+Pedro+do+Sul
2019-01-14,30,21,0.0,13.9,6,54,01:10 PM,12:23 AM,05:50 AM,07:41 PM,23,30,30,25,9,27,86,17.9,1012,30,9,187,5,Sao+Pedro+do+Sul
2019-01-15,32,22,0.0,13.9,6,61,02:07 PM,12:58 AM,05:51 AM,07:41 PM,23,30,30,26,12,37,85,6.2,1011,32,8,180,7,Sao+Pedro+do+Sul
2019-01-16,29,22,0.0,13.9,6,69,03:08 PM,01:35 AM,05:52 AM,07:41 PM,23,28,28,25,15,31,90,25.2,1010,29,8,286,9,Sao+Pedro+do+Sul
2019-01-17,26,21,0.0,11.0,5,76,04:11 PM,02:17 AM,05:53 AM,07:41 PM,22,26,26,23,10,62,95,69.5,1013,26,6,141,7,Sao+Pedro+do+Sul
2019-01-18,27,19,0.0,9.8,5,83,05:16 PM,03:05 AM,05:54 AM,07:41 PM,21,24,24,22,17,88,94,4.3,1012,27,9,134,10,Sao+Pedro+do+Sul
2019-01-19,23,17,0.0,8.7,5,90,06:20 PM,04:00 AM,05:54 AM,07:40 PM,18,20,20,20,18,91,89,1.2,1015,23,7,147,12,Sao+Pedro+do+Sul
2019-01-20,27,16,0.0,11.0,5,98,07:22 PM,05:02 AM,05:55 AM,07:40 PM,18,21,21,21,19,59,84,0.8,1016,27,9,117,12,Sao+Pedro+do+Sul
2019-01-21,29,17,0.0,12.2,5,100,08:17 PM,06:09 AM,05:56 AM,07:40 PM,19,24,24,23,9,50,83,0.7,1014,29,6,122,6,Sao+Pedro+do+Sul
2019-01-22,34,19,0.0,13.3,6,88,09:08 PM,07:20 AM,05:57 AM,07:39 PM,20,27,27,26,8,17,73,0.0,1014,34,8,98,5,Sao+Pedro+do+Sul
2019-01-23,33,22,0.0,13.8,6,81,09:53 PM,08:29 AM,05:58 AM,07:39 PM,21,30,30,26,8,18,76,0.6,1014,33,10,102,4,Sao+Pedro+do+Sul
2019-01-24,32,21,0.0,13.8,6,73,10:34 PM,09:37 AM,05:59 AM,07:39 PM,22,29,29,26,18,13,77,0.2,1014,32,9,107,12,Sao+Pedro+do+Sul
