date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,18,9,0.0,7.0,3,26,03:27 AM,02:25 PM,07:56 AM,05:26 PM,6,13,14,13,12,19,58,0.0,1032,18,10,140,8,Seixal
2019-01-02,17,12,0.0,8.7,4,19,04:28 AM,03:01 PM,07:56 AM,05:27 PM,10,13,14,13,17,3,75,0.0,1030,17,10,171,12,Seixal
2019-01-03,18,9,0.0,8.7,4,11,05:29 AM,03:40 PM,07:57 AM,05:28 PM,8,13,14,13,9,0,69,0.0,1027,18,10,155,7,Seixal
2019-01-04,17,8,0.0,8.7,4,4,06:26 AM,04:23 PM,07:57 AM,05:29 PM,8,11,12,11,12,18,77,0.0,1029,17,10,94,9,Seixal
2019-01-05,19,8,0.0,8.7,4,0,07:21 AM,05:11 PM,07:57 AM,05:30 PM,6,12,13,12,12,1,64,0.0,1033,19,10,64,9,Seixal
2019-01-06,17,10,0.0,8.7,4,0,08:10 AM,06:02 PM,07:57 AM,05:31 PM,5,13,13,13,10,0,57,0.0,1032,17,10,128,7,Seixal
2019-01-07,18,9,0.0,8.7,4,3,08:55 AM,06:56 PM,07:57 AM,05:31 PM,3,12,13,12,14,0,52,0.0,1030,18,10,45,9,Seixal
2019-01-08,18,8,0.0,8.7,4,10,09:34 AM,07:52 PM,07:56 AM,05:32 PM,3,12,13,12,16,0,51,0.0,1029,18,10,68,10,Seixal
2019-01-09,18,10,0.0,8.7,4,18,10:09 AM,08:48 PM,07:56 AM,05:33 PM,6,14,14,14,9,3,60,0.0,1023,18,10,128,6,Seixal
2019-01-10,17,10,0.0,8.7,4,25,10:40 AM,09:45 PM,07:56 AM,05:34 PM,8,13,14,13,20,1,68,0.0,1019,17,10,80,14,Seixal
2019-01-11,15,8,0.0,8.7,4,32,11:10 AM,10:42 PM,07:56 AM,05:35 PM,3,9,12,9,22,0,55,0.0,1025,15,10,76,16,Seixal
2019-01-12,17,7,0.0,8.7,4,39,11:38 AM,11:40 PM,07:56 AM,05:36 PM,3,9,11,9,18,0,58,0.0,1029,17,10,60,12,Seixal
2019-01-13,14,7,0.0,8.7,4,47,12:05 PM,No moonset,07:56 AM,05:37 PM,4,9,11,9,16,1,63,0.0,1029,14,10,52,10,Seixal
2019-01-14,15,10,0.0,8.7,4,54,12:33 PM,12:38 AM,07:55 AM,05:38 PM,6,12,12,12,8,5,69,0.0,1025,15,10,205,5,Seixal
2019-01-15,14,10,0.0,8.7,3,61,01:04 PM,01:39 AM,07:55 AM,05:39 PM,8,12,12,12,9,52,78,0.0,1021,14,10,261,5,Seixal
2019-01-16,15,10,0.0,3.7,3,69,01:38 PM,02:42 AM,07:55 AM,05:41 PM,10,13,13,13,9,73,82,1.7,1020,15,10,234,7,Seixal
2019-01-17,13,10,0.0,8.7,3,76,02:18 PM,03:48 AM,07:54 AM,05:42 PM,7,9,12,9,33,17,74,0.4,1021,13,10,92,22,Seixal
2019-01-18,14,8,0.0,5.4,3,83,03:06 PM,04:55 AM,07:54 AM,05:43 PM,8,10,11,10,16,47,77,4.0,1022,14,9,189,11,Seixal
2019-01-19,17,14,0.0,3.7,4,90,04:02 PM,06:02 AM,07:53 AM,05:44 PM,13,14,15,14,29,66,89,10.8,1017,17,9,293,21,Seixal
2019-01-20,13,11,0.0,8.7,4,98,05:06 PM,07:06 AM,07:53 AM,05:45 PM,8,9,12,9,49,29,76,2.1,1019,13,10,344,30,Seixal
2019-01-21,15,10,0.0,8.7,4,100,06:17 PM,08:04 AM,07:52 AM,05:46 PM,7,10,12,10,36,9,74,0.0,1025,15,10,266,24,Seixal
2019-01-22,14,10,0.0,3.7,3,88,07:32 PM,08:55 AM,07:52 AM,05:47 PM,8,10,12,10,33,77,77,1.1,1024,14,10,332,22,Seixal
2019-01-23,14,12,0.0,3.7,3,81,08:46 PM,09:38 AM,07:51 AM,05:48 PM,9,10,13,10,46,82,80,1.7,1021,14,10,333,28,Seixal
