date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,18,7,0.0,10.9,4,26,03:34 AM,03:10 PM,07:30 AM,06:16 PM,-1,10,12,10,26,12,44,0.0,1015,18,10,213,15,Trancoso
2019-01-02,18,5,0.0,10.9,4,19,04:29 AM,03:52 PM,07:31 AM,06:17 PM,1,11,12,11,26,10,50,0.0,1015,18,10,200,10,Trancoso
2019-01-03,19,9,0.0,10.1,3,11,05:24 AM,04:37 PM,07:31 AM,06:17 PM,1,12,13,12,24,39,47,0.8,1016,19,9,228,12,Trancoso
2019-01-04,19,8,0.0,10.9,4,4,06:17 AM,05:24 PM,07:31 AM,06:18 PM,1,13,13,13,9,19,45,0.0,1017,19,10,186,4,Trancoso
2019-01-05,20,9,0.0,10.9,5,0,07:09 AM,06:13 PM,07:31 AM,06:19 PM,4,15,15,15,11,3,49,0.0,1018,20,10,192,5,Trancoso
2019-01-06,22,6,0.0,10.9,5,0,07:57 AM,07:04 PM,07:32 AM,06:19 PM,5,14,15,14,18,5,54,0.0,1018,22,10,234,8,Trancoso
2019-01-07,22,12,0.0,10.9,5,3,08:43 AM,07:55 PM,07:32 AM,06:20 PM,4,16,16,16,18,4,46,0.0,1018,22,10,166,6,Trancoso
2019-01-08,21,10,0.0,10.9,5,10,09:26 AM,08:46 PM,07:32 AM,06:21 PM,4,15,16,15,16,4,49,0.0,1020,21,10,87,7,Trancoso
2019-01-09,17,8,0.0,10.9,4,18,10:05 AM,09:37 PM,07:32 AM,06:21 PM,1,10,12,10,27,4,49,0.0,1023,17,10,111,11,Trancoso
2019-01-10,19,5,0.0,10.9,4,25,10:42 AM,10:27 PM,07:32 AM,06:22 PM,3,10,11,10,18,15,62,0.0,1021,19,10,182,12,Trancoso
2019-01-11,18,8,0.0,10.9,4,32,11:18 AM,11:17 PM,07:32 AM,06:23 PM,4,11,13,11,31,7,56,0.1,1018,18,10,232,13,Trancoso
2019-01-12,17,7,0.0,10.9,4,39,11:52 AM,No moonset,07:32 AM,06:23 PM,4,11,12,11,18,15,63,0.1,1018,17,10,226,7,Trancoso
2019-01-13,17,8,0.0,10.9,3,47,12:27 PM,12:07 AM,07:32 AM,06:24 PM,5,11,12,11,21,18,65,2.1,1019,17,10,167,10,Trancoso
2019-01-14,17,7,0.0,10.9,3,54,01:03 PM,12:59 AM,07:32 AM,06:25 PM,6,10,11,10,20,26,72,5.9,1021,17,10,139,8,Trancoso
2019-01-15,15,9,0.0,10.1,3,61,01:42 PM,01:52 AM,07:32 AM,06:26 PM,7,11,12,11,20,66,73,10.3,1021,15,7,182,9,Trancoso
2019-01-16,19,10,0.0,10.9,4,69,02:24 PM,02:48 AM,07:32 AM,06:26 PM,6,14,14,14,11,18,63,4.0,1020,19,10,190,7,Trancoso
2019-01-17,17,11,0.0,10.1,3,76,03:13 PM,03:48 AM,07:32 AM,06:27 PM,6,13,14,13,12,40,62,12.4,1020,17,9,179,8,Trancoso
2019-01-18,18,9,0.0,11.0,3,83,04:07 PM,04:50 AM,07:32 AM,06:28 PM,6,13,13,13,10,30,66,7.2,1019,18,9,177,7,Trancoso
2019-01-19,16,9,0.0,11.0,4,90,05:07 PM,05:54 AM,07:32 AM,06:28 PM,1,10,12,10,27,5,50,0.0,1019,16,10,115,13,Trancoso
2019-01-20,17,4,0.0,11.0,4,98,06:12 PM,06:57 AM,07:32 AM,06:29 PM,-3,8,10,8,18,1,42,0.0,1023,17,10,76,9,Trancoso
2019-01-21,22,8,0.0,11.0,5,100,07:20 PM,07:56 AM,07:32 AM,06:30 PM,-2,13,14,13,21,0,36,0.0,1019,22,10,197,9,Trancoso
2019-01-22,21,9,0.0,11.0,5,88,08:27 PM,08:51 AM,07:32 AM,06:31 PM,2,13,14,13,37,3,46,0.0,1015,21,10,228,22,Trancoso
2019-01-23,16,9,0.0,11.0,4,81,09:33 PM,09:41 AM,07:32 AM,06:31 PM,1,10,12,10,31,5,49,0.0,1017,16,10,214,18,Trancoso
2019-01-24,20,7,0.0,11.0,4,73,10:35 PM,10:27 AM,07:31 AM,06:32 PM,-5,12,13,12,23,0,33,0.0,1016,20,10,191,10,Trancoso
2019-01-25,20,6,0.0,11.0,4,66,11:35 PM,11:09 AM,07:31 AM,06:33 PM,-8,12,12,12,21,3,25,0.0,1017,20,10,243,10,Trancoso
2019-01-26,18,8,0.0,11.0,4,59,No moonrise,11:50 AM,07:31 AM,06:33 PM,-5,10,12,10,44,4,32,0.0,1014,18,10,241,17,Trancoso
2019-01-27,13,3,0.0,11.0,3,51,12:33 AM,12:29 PM,07:31 AM,06:34 PM,-3,5,8,5,23,4,49,0.0,1020,13,10,37,11,Trancoso
2019-01-28,20,5,0.0,11.1,4,44,01:30 AM,01:10 PM,07:30 AM,06:35 PM,-8,10,11,10,24,0,28,0.0,1015,20,10,237,13,Trancoso
