date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,30,23,0.0,7.4,6,26,02:37 AM,03:02 PM,06:16 AM,06:27 PM,24,29,29,26,14,72,89,26.0,1010,30,9,247,8,Velas
2019-01-02,29,23,0.0,7.4,5,19,03:25 AM,03:51 PM,06:17 AM,06:28 PM,23,29,29,25,13,85,89,49.3,1010,29,6,249,7,Velas
2019-01-03,26,23,0.0,6.1,5,11,04:14 AM,04:40 PM,06:17 AM,06:28 PM,23,28,28,25,11,87,93,37.9,1011,26,6,196,6,Velas
2019-01-04,29,23,0.0,7.4,6,4,05:03 AM,05:31 PM,06:18 AM,06:29 PM,23,29,29,25,8,73,89,8.9,1012,29,7,248,6,Velas
2019-01-05,29,23,0.0,7.4,6,0,05:53 AM,06:20 PM,06:18 AM,06:29 PM,24,29,29,25,10,60,89,58.0,1013,29,6,238,5,Velas
2019-01-06,27,24,0.0,6.1,5,0,06:43 AM,07:09 PM,06:19 AM,06:30 PM,24,28,28,25,13,83,91,67.0,1014,27,6,203,7,Velas
2019-01-07,24,23,0.0,6.1,5,3,07:32 AM,07:57 PM,06:19 AM,06:30 PM,23,26,26,24,11,86,93,71.5,1015,24,5,123,7,Velas
2019-01-08,29,22,0.0,8.8,5,10,08:18 AM,08:43 PM,06:20 AM,06:30 PM,21,27,27,24,9,70,84,16.4,1016,29,9,121,6,Velas
2019-01-09,30,22,0.0,11.6,5,18,09:04 AM,09:27 PM,06:20 AM,06:31 PM,21,28,28,25,8,40,76,1.5,1015,30,10,188,6,Velas
2019-01-10,30,22,0.0,11.6,6,25,09:48 AM,10:10 PM,06:20 AM,06:31 PM,21,28,28,25,8,22,78,4.4,1015,30,10,194,5,Velas
2019-01-11,30,22,0.0,8.8,5,32,10:31 AM,10:52 PM,06:21 AM,06:32 PM,21,28,28,25,9,57,77,14.9,1015,30,9,154,6,Velas
2019-01-12,29,21,0.0,6.1,5,39,11:14 AM,11:34 PM,06:21 AM,06:32 PM,21,27,27,25,6,60,84,4.9,1014,29,7,149,4,Velas
2019-01-13,30,22,0.0,6.1,5,47,11:57 AM,No moonset,06:22 AM,06:32 PM,22,28,28,25,5,68,86,31.0,1014,30,7,112,3,Velas
2019-01-14,29,22,0.0,6.1,5,54,12:41 PM,12:17 AM,06:22 AM,06:33 PM,22,27,27,24,10,64,88,14.2,1014,29,6,185,6,Velas
2019-01-15,28,23,0.0,6.1,5,61,01:28 PM,01:02 AM,06:22 AM,06:33 PM,23,27,27,25,9,82,91,35.1,1013,28,7,148,5,Velas
2019-01-16,29,22,0.0,6.1,5,69,02:18 PM,01:50 AM,06:23 AM,06:33 PM,23,27,27,25,11,78,89,87.8,1014,29,5,211,6,Velas
2019-01-17,25,21,0.0,6.1,5,76,03:13 PM,02:41 AM,06:23 AM,06:34 PM,22,26,26,24,9,92,92,82.2,1014,25,4,195,5,Velas
2019-01-18,26,22,0.0,6.1,5,83,04:12 PM,03:38 AM,06:23 AM,06:34 PM,22,26,26,24,9,85,92,55.7,1013,26,6,194,5,Velas
2019-01-19,28,22,0.0,6.1,5,90,05:14 PM,04:38 AM,06:24 AM,06:34 PM,22,27,27,24,9,87,90,45.8,1013,28,7,192,5,Velas
2019-01-20,25,23,0.0,7.4,5,98,06:17 PM,05:41 AM,06:24 AM,06:34 PM,23,27,27,24,7,90,93,39.5,1013,25,7,223,4,Velas
2019-01-21,29,21,0.0,6.1,5,100,07:20 PM,06:44 AM,06:24 AM,06:35 PM,22,27,27,24,8,73,89,36.1,1014,29,8,170,5,Velas
2019-01-22,25,21,0.0,6.1,5,88,08:19 PM,07:46 AM,06:25 AM,06:35 PM,22,26,26,24,9,78,93,74.3,1013,25,6,207,5,Velas
2019-01-23,25,22,0.0,6.1,5,81,09:15 PM,08:44 AM,06:25 AM,06:35 PM,23,27,27,24,7,90,94,35.4,1012,25,7,196,4,Velas
2019-01-24,27,23,0.0,6.1,5,73,10:08 PM,09:40 AM,06:25 AM,06:35 PM,23,27,27,25,9,84,92,28.3,1012,27,7,220,5,Velas
2019-01-25,29,21,0.0,7.4,5,66,10:59 PM,10:32 AM,06:26 AM,06:36 PM,23,28,28,25,7,78,89,18.4,1013,29,6,195,5,Velas
2019-01-26,27,23,0.0,6.1,5,59,11:47 PM,11:23 AM,06:26 AM,06:36 PM,23,28,28,25,8,81,92,30.6,1013,27,5,213,5,Velas
2019-01-27,25,21,0.0,6.1,5,51,No moonrise,12:11 PM,06:26 AM,06:36 PM,23,26,26,24,10,90,93,40.7,1012,25,7,201,6,Velas
2019-01-28,29,22,0.0,6.1,5,44,12:35 AM,01:00 PM,06:26 AM,06:36 PM,23,27,27,24,8,78,90,23.1,1013,29,8,176,5,Velas
2019-01-29,28,19,0.0,6.1,5,37,01:23 AM,01:49 PM,06:26 AM,06:36 PM,23,26,26,24,11,93,91,47.6,1014,28,7,190,6,Velas
2019-01-30,24,18,0.0,6.0,5,30,02:11 AM,02:37 PM,06:27 AM,06:36 PM,23,24,24,22,6,82,90,13.7,1013,24,7,221,4,Velas
2019-01-31,24,18,0.0,6.1,5,26,03:00 AM,03:27 PM,06:27 AM,06:37 PM,23,25,25,23,7,78,90,24.5,1013,24,8,178,4,Velas
2019-02-01,24,19,0.0,6.1,5,8,03:50 AM,04:16 PM,06:27 AM,06:37 PM,23,25,25,22,7,94,91,45.9,1014,24,5,160,4,Velas
2019-02-02,23,19,0.0,6.1,5,1,04:39 AM,05:06 PM,06:27 AM,06:37 PM,22,26,26,23,8,82,90,19.5,1013,23,9,163,5,Velas
2019-02-03,28,22,0.0,6.1,5,0,05:28 AM,05:54 PM,06:27 AM,06:37 PM,23,27,27,24,6,87,92,16.2,1012,28,5,218,4,Velas
2019-02-04,29,23,0.0,6.1,5,0,06:15 AM,06:40 PM,06:27 AM,06:37 PM,23,28,28,25,5,91,90,25.0,1012,29,7,178,3,Velas
2019-02-05,26,23,0.0,6.0,5,0,07:01 AM,07:25 PM,06:28 AM,06:37 PM,23,28,28,25,6,90,91,37.9,1012,26,5,294,4,Velas
2019-02-06,27,23,0.0,6.0,5,7,07:46 AM,08:08 PM,06:28 AM,06:37 PM,23,27,27,24,7,77,92,77.8,1012,27,5,237,4,Velas
2019-02-07,28,23,0.0,6.0,5,14,08:29 AM,08:50 PM,06:28 AM,06:37 PM,23,28,28,25,11,85,92,76.0,1012,28,5,239,6,Velas
2019-02-08,28,23,0.0,7.4,5,22,09:12 AM,09:32 PM,06:28 AM,06:37 PM,23,28,28,25,8,84,91,73.2,1012,28,5,243,4,Velas
2019-02-09,29,22,0.0,6.0,5,29,09:54 AM,10:14 PM,06:28 AM,06:37 PM,23,28,28,25,10,78,90,28.1,1012,29,8,218,6,Velas
2019-02-10,28,23,0.0,6.0,5,37,10:37 AM,10:57 PM,06:28 AM,06:37 PM,23,28,28,25,7,86,90,48.7,1012,28,6,200,4,Velas
2019-02-11,29,23,0.0,6.0,5,44,11:22 AM,11:43 PM,06:28 AM,06:37 PM,23,28,28,25,5,89,91,57.4,1012,29,6,233,3,Velas
2019-02-12,29,23,0.0,6.0,5,52,12:09 PM,No moonset,06:28 AM,06:37 PM,23,28,28,25,5,82,91,26.4,1012,29,8,226,3,Velas
2019-02-13,30,23,0.0,6.0,5,60,01:00 PM,12:31 AM,06:28 AM,06:37 PM,23,29,29,25,6,78,91,23.2,1014,30,9,176,4,Velas
2019-02-14,29,23,0.0,7.4,5,67,01:55 PM,01:23 AM,06:28 AM,06:37 PM,23,28,28,25,11,80,89,38.4,1014,29,7,281,7,Velas
2019-02-15,28,23,0.0,6.0,5,75,02:53 PM,02:19 AM,06:28 AM,06:37 PM,23,28,28,25,8,86,92,20.4,1014,28,8,214,5,Velas
2019-02-16,27,23,0.0,6.0,5,82,03:55 PM,03:19 AM,06:28 AM,06:37 PM,23,28,28,25,8,88,93,57.6,1014,27,6,154,4,Velas
2019-02-17,29,23,0.0,6.0,5,90,04:57 PM,04:21 AM,06:28 AM,06:37 PM,24,29,29,25,6,80,91,23.3,1013,29,7,180,3,Velas
2019-02-18,30,23,0.0,7.4,5,97,05:58 PM,05:24 AM,06:28 AM,06:36 PM,23,28,28,25,8,77,88,19.3,1014,30,9,144,4,Velas
