date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,15,12,0.0,8.7,4,26,03:29 AM,02:19 PM,08:02 AM,05:15 PM,5,12,13,12,11,3,60,0.0,1032,15,10,128,6,Viana+do+Castelo
2019-01-02,16,9,0.0,8.7,4,19,04:32 AM,02:53 PM,08:03 AM,05:16 PM,6,12,12,12,8,7,68,0.0,1031,16,10,129,5,Viana+do+Castelo
2019-01-03,16,9,0.0,8.7,4,11,05:34 AM,03:31 PM,08:03 AM,05:17 PM,3,11,12,11,10,0,55,0.0,1028,16,10,147,6,Viana+do+Castelo
2019-01-04,14,8,0.0,8.7,4,4,06:32 AM,04:13 PM,08:03 AM,05:18 PM,-0,10,11,10,12,4,48,0.0,1031,14,10,147,6,Viana+do+Castelo
2019-01-05,15,9,0.0,8.7,4,0,07:27 AM,05:00 PM,08:03 AM,05:19 PM,1,11,11,11,12,0,47,0.0,1035,15,10,94,6,Viana+do+Castelo
2019-01-06,15,9,0.0,8.7,4,0,08:16 AM,05:52 PM,08:02 AM,05:20 PM,2,11,12,11,10,2,51,0.0,1033,15,10,103,6,Viana+do+Castelo
2019-01-07,17,10,0.0,8.7,4,3,09:00 AM,06:46 PM,08:02 AM,05:21 PM,2,12,12,12,11,1,51,0.0,1031,17,10,92,6,Viana+do+Castelo
2019-01-08,16,10,0.0,8.7,4,10,09:39 AM,07:43 PM,08:02 AM,05:22 PM,3,11,12,11,13,2,55,0.0,1031,16,10,145,7,Viana+do+Castelo
2019-01-09,15,10,0.0,8.7,4,18,10:12 AM,08:41 PM,08:02 AM,05:23 PM,6,11,12,11,16,2,67,0.0,1026,15,10,41,9,Viana+do+Castelo
2019-01-10,14,9,0.0,8.7,4,25,10:42 AM,09:39 PM,08:02 AM,05:24 PM,5,9,11,9,13,3,69,0.0,1022,14,10,70,8,Viana+do+Castelo
2019-01-11,14,8,0.0,8.7,4,32,11:10 AM,10:37 PM,08:02 AM,05:25 PM,2,8,10,8,13,1,60,0.0,1028,14,10,150,8,Viana+do+Castelo
2019-01-12,13,8,0.0,8.7,4,39,11:37 AM,11:37 PM,08:01 AM,05:26 PM,4,9,10,9,12,1,65,0.0,1032,13,10,94,7,Viana+do+Castelo
2019-01-13,13,8,0.0,8.7,4,47,12:02 PM,No moonset,08:01 AM,05:27 PM,4,9,10,9,12,3,67,0.0,1031,13,10,124,7,Viana+do+Castelo
2019-01-14,14,9,0.0,8.7,4,54,12:29 PM,12:37 AM,08:01 AM,05:29 PM,5,10,11,10,10,15,69,0.0,1026,14,10,116,5,Viana+do+Castelo
2019-01-15,13,10,0.0,5.2,3,61,12:58 PM,01:39 AM,08:00 AM,05:30 PM,5,10,11,10,13,58,68,0.0,1021,13,10,146,7,Viana+do+Castelo
2019-01-16,12,10,0.0,5.2,3,69,01:31 PM,02:44 AM,08:00 AM,05:31 PM,8,10,11,10,11,76,87,1.3,1019,12,8,119,7,Viana+do+Castelo
2019-01-17,12,9,0.0,8.7,4,76,02:09 PM,03:51 AM,07:59 AM,05:32 PM,6,7,10,7,26,11,77,0.6,1022,12,9,95,16,Viana+do+Castelo
2019-01-18,9,7,0.0,3.7,2,83,02:56 PM,05:00 AM,07:59 AM,05:33 PM,5,6,8,6,15,67,83,7.0,1021,9,8,113,10,Viana+do+Castelo
2019-01-19,13,9,0.0,3.7,3,90,03:51 PM,06:08 AM,07:58 AM,05:34 PM,9,8,11,8,27,90,91,32.7,1013,13,8,229,17,Viana+do+Castelo
2019-01-20,12,9,0.0,8.7,3,98,04:56 PM,07:12 AM,07:58 AM,05:36 PM,7,7,10,7,35,17,82,1.1,1020,12,10,306,21,Viana+do+Castelo
2019-01-21,12,8,0.0,8.7,2,100,06:08 PM,08:09 AM,07:57 AM,05:37 PM,6,7,9,7,26,21,80,0.0,1025,12,10,180,16,Viana+do+Castelo
2019-01-22,12,9,0.0,3.7,3,88,07:24 PM,08:59 AM,07:56 AM,05:38 PM,8,8,10,8,27,78,84,3.8,1022,12,9,331,17,Viana+do+Castelo
2019-01-23,12,11,0.0,3.7,3,81,08:39 PM,09:41 AM,07:56 AM,05:39 PM,10,9,12,9,39,98,90,2.2,1018,12,7,326,25,Viana+do+Castelo
2019-01-24,14,11,0.0,7.0,3,73,09:54 PM,10:17 AM,07:55 AM,05:41 PM,11,10,12,10,37,51,91,1.3,1019,14,7,342,22,Viana+do+Castelo
2019-01-25,14,10,0.0,8.7,4,66,11:05 PM,10:50 AM,07:54 AM,05:42 PM,8,9,11,9,30,19,82,0.0,1022,14,10,101,16,Viana+do+Castelo
2019-01-26,13,10,0.0,5.4,3,59,No moonrise,11:21 AM,07:53 AM,05:43 PM,7,10,11,10,14,63,75,0.0,1021,13,10,194,8,Viana+do+Castelo
2019-01-27,12,10,0.0,8.7,3,51,12:14 AM,11:51 AM,07:53 AM,05:44 PM,7,9,11,9,27,39,77,0.4,1023,12,10,339,19,Viana+do+Castelo
2019-01-28,13,9,0.0,5.4,3,44,01:21 AM,12:21 PM,07:52 AM,05:46 PM,9,9,11,9,23,66,87,2.8,1024,13,10,330,15,Viana+do+Castelo
2019-01-29,12,9,0.0,3.7,3,37,02:25 AM,12:55 PM,07:51 AM,05:47 PM,8,8,11,8,25,89,86,5.4,1020,12,9,274,16,Viana+do+Castelo
2019-01-30,11,4,0.0,3.7,2,30,03:28 AM,01:31 PM,07:50 AM,05:48 PM,8,7,9,7,27,97,89,44.9,1012,11,7,202,17,Viana+do+Castelo
2019-01-31,13,11,0.0,3.8,3,26,04:27 AM,02:12 PM,07:49 AM,05:49 PM,11,10,12,10,44,98,93,64.3,1001,13,6,262,26,Viana+do+Castelo
2019-02-01,10,9,0.0,5.4,2,8,05:23 AM,02:57 PM,07:48 AM,05:51 PM,6,6,10,6,60,72,76,10.6,997,10,9,295,37,Viana+do+Castelo
2019-02-02,11,7,0.0,8.7,3,1,06:13 AM,03:47 PM,07:47 AM,05:52 PM,3,5,8,5,35,25,68,0.3,1019,11,10,347,23,Viana+do+Castelo
2019-02-03,11,6,0.0,5.4,2,0,06:59 AM,04:40 PM,07:46 AM,05:53 PM,2,7,8,7,11,24,66,0.0,1029,11,10,114,6,Viana+do+Castelo
2019-02-04,12,7,0.0,8.7,3,0,07:39 AM,05:36 PM,07:45 AM,05:54 PM,3,7,9,7,14,38,66,0.0,1030,12,10,147,8,Viana+do+Castelo
2019-02-05,14,9,0.0,8.7,4,0,08:14 AM,06:34 PM,07:44 AM,05:56 PM,8,11,11,11,10,21,82,0.0,1029,14,10,151,6,Viana+do+Castelo
2019-02-06,13,10,0.0,8.7,4,7,08:45 AM,07:32 PM,07:43 AM,05:57 PM,8,10,11,10,11,14,83,0.3,1026,13,9,151,7,Viana+do+Castelo
2019-02-07,13,10,0.0,7.1,3,14,09:14 AM,08:30 PM,07:42 AM,05:58 PM,9,11,11,11,7,44,84,0.5,1026,13,10,178,5,Viana+do+Castelo
2019-02-08,12,9,0.0,3.8,3,22,09:40 AM,09:29 PM,07:40 AM,05:59 PM,8,9,10,9,18,68,86,0.7,1023,12,9,166,12,Viana+do+Castelo
2019-02-09,12,11,0.0,5.3,3,29,10:06 AM,10:28 PM,07:39 AM,06:01 PM,9,9,12,9,31,95,87,2.5,1021,12,9,179,21,Viana+do+Castelo
2019-02-10,13,10,0.0,10.0,3,37,10:31 AM,11:29 PM,07:38 AM,06:02 PM,9,10,12,10,28,41,84,22.8,1022,13,9,283,18,Viana+do+Castelo
2019-02-11,13,8,0.0,10.7,4,44,10:59 AM,No moonset,07:37 AM,06:03 PM,5,8,10,8,17,4,71,0.0,1030,13,10,139,10,Viana+do+Castelo
2019-02-12,15,9,0.0,10.7,4,52,11:29 AM,12:31 AM,07:36 AM,06:04 PM,5,11,12,11,13,22,63,0.0,1030,15,10,150,7,Viana+do+Castelo
2019-02-13,16,10,0.0,10.7,4,60,12:04 PM,01:35 AM,07:34 AM,06:06 PM,5,11,12,11,13,2,63,0.0,1028,16,10,144,7,Viana+do+Castelo
2019-02-14,17,10,0.0,10.7,4,67,12:44 PM,02:41 AM,07:33 AM,06:07 PM,6,12,13,12,24,3,65,0.0,1025,17,10,130,13,Viana+do+Castelo
2019-02-15,16,11,0.0,5.4,3,75,01:34 PM,03:47 AM,07:32 AM,06:08 PM,7,12,13,12,17,56,66,0.0,1025,16,10,158,9,Viana+do+Castelo
2019-02-16,16,11,0.0,10.8,4,82,02:32 PM,04:51 AM,07:30 AM,06:09 PM,7,13,13,13,15,7,66,0.0,1023,16,10,130,8,Viana+do+Castelo
2019-02-17,14,10,0.0,7.0,3,90,03:40 PM,05:51 AM,07:29 AM,06:11 PM,8,10,12,10,23,68,79,8.6,1020,14,9,192,14,Viana+do+Castelo
2019-02-18,12,9,0.0,10.9,3,97,04:53 PM,06:44 AM,07:27 AM,06:12 PM,7,8,10,8,27,43,82,16.1,1019,12,9,264,18,Viana+do+Castelo
2019-02-19,12,7,0.0,10.9,2,100,06:10 PM,07:30 AM,07:26 AM,06:13 PM,4,8,9,8,14,18,70,0.0,1021,12,10,133,9,Viana+do+Castelo
2019-02-20,13,8,0.0,10.9,3,88,07:27 PM,08:09 AM,07:25 AM,06:14 PM,4,9,10,9,15,29,67,0.0,1022,13,10,146,10,Viana+do+Castelo
2019-02-21,16,10,0.0,10.1,3,80,08:42 PM,08:45 AM,07:23 AM,06:15 PM,8,11,12,11,27,35,73,0.0,1024,16,10,151,15,Viana+do+Castelo
2019-02-22,18,10,0.0,8.5,3,73,09:55 PM,09:18 AM,07:22 AM,06:17 PM,7,12,13,12,28,38,66,0.0,1027,18,10,146,15,Viana+do+Castelo
2019-02-23,17,12,0.0,11.0,3,65,11:06 PM,09:49 AM,07:20 AM,06:18 PM,8,13,14,13,17,29,69,0.0,1029,17,10,159,9,Viana+do+Castelo
