date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,17,5,0.0,5.3,3,26,03:24 AM,02:21 PM,07:54 AM,05:21 PM,-1,9,9,9,8,39,51,0.0,1032,17,10,155,4,Vila+Nova+da+Barquinha
2019-01-02,17,6,0.0,8.7,4,19,04:25 AM,02:56 PM,07:54 AM,05:22 PM,4,9,9,9,13,0,70,0.0,1030,17,10,328,7,Vila+Nova+da+Barquinha
2019-01-03,15,4,0.0,8.7,3,11,05:26 AM,03:35 PM,07:54 AM,05:22 PM,2,7,8,7,11,0,68,0.0,1028,15,10,122,6,Vila+Nova+da+Barquinha
2019-01-04,15,4,0.0,8.7,3,4,06:24 AM,04:18 PM,07:54 AM,05:23 PM,2,7,8,7,12,11,68,0.0,1030,15,10,82,7,Vila+Nova+da+Barquinha
2019-01-05,16,4,0.0,8.7,3,0,07:19 AM,05:05 PM,07:54 AM,05:24 PM,0,8,8,8,8,2,60,0.0,1034,16,10,92,4,Vila+Nova+da+Barquinha
2019-01-06,17,4,0.0,8.7,4,0,08:08 AM,05:57 PM,07:54 AM,05:25 PM,-1,8,8,8,7,0,54,0.0,1032,17,10,147,4,Vila+Nova+da+Barquinha
2019-01-07,19,5,0.0,8.7,4,3,08:52 AM,06:51 PM,07:54 AM,05:26 PM,-4,9,9,9,7,0,42,0.0,1030,19,10,28,4,Vila+Nova+da+Barquinha
2019-01-08,17,5,0.0,8.7,4,10,09:32 AM,07:47 PM,07:54 AM,05:27 PM,-1,9,9,9,8,1,49,0.0,1029,17,10,150,5,Vila+Nova+da+Barquinha
2019-01-09,20,6,0.0,8.7,4,18,10:06 AM,08:43 PM,07:54 AM,05:28 PM,3,11,11,11,6,3,60,0.0,1023,20,10,151,3,Vila+Nova+da+Barquinha
2019-01-10,15,6,0.0,8.7,4,25,10:37 AM,09:41 PM,07:54 AM,05:29 PM,2,8,9,8,16,1,63,0.0,1020,15,10,78,10,Vila+Nova+da+Barquinha
2019-01-11,14,4,0.0,8.7,3,32,11:06 AM,10:37 PM,07:54 AM,05:30 PM,-4,6,7,6,15,0,47,0.0,1026,14,10,72,9,Vila+Nova+da+Barquinha
2019-01-12,15,3,0.0,8.7,3,39,11:34 AM,11:36 PM,07:53 AM,05:31 PM,0,6,7,6,11,1,65,0.0,1030,15,10,50,6,Vila+Nova+da+Barquinha
2019-01-13,16,3,0.0,8.7,3,47,12:01 PM,No moonset,07:53 AM,05:32 PM,1,7,8,7,9,1,67,0.0,1029,16,10,130,5,Vila+Nova+da+Barquinha
2019-01-14,17,4,0.0,8.7,4,54,12:29 PM,12:34 AM,07:53 AM,05:33 PM,2,8,8,8,7,14,67,0.0,1025,17,10,179,4,Vila+Nova+da+Barquinha
2019-01-15,15,6,0.0,5.4,3,61,12:59 PM,01:35 AM,07:53 AM,05:34 PM,4,9,9,9,6,43,70,0.0,1021,15,10,193,3,Vila+Nova+da+Barquinha
2019-01-16,13,4,0.0,3.7,2,69,01:34 PM,02:38 AM,07:52 AM,05:35 PM,6,8,8,8,7,71,88,0.4,1019,13,8,218,4,Vila+Nova+da+Barquinha
2019-01-17,14,5,0.0,8.7,2,76,02:13 PM,03:45 AM,07:52 AM,05:36 PM,5,6,8,6,19,24,83,0.3,1020,14,6,342,12,Vila+Nova+da+Barquinha
2019-01-18,12,3,0.0,5.4,2,83,03:00 PM,04:52 AM,07:51 AM,05:38 PM,4,6,7,6,10,46,81,2.3,1021,12,8,299,6,Vila+Nova+da+Barquinha
2019-01-19,13,7,0.0,3.7,3,90,03:56 PM,06:00 AM,07:51 AM,05:39 PM,9,9,10,9,17,89,95,13.5,1016,13,6,204,10,Vila+Nova+da+Barquinha
2019-01-20,14,8,0.0,8.7,4,98,05:01 PM,07:04 AM,07:50 AM,05:40 PM,6,8,10,8,33,18,77,1.5,1018,14,10,333,21,Vila+Nova+da+Barquinha
2019-01-21,14,5,0.0,8.7,3,100,06:12 PM,08:02 AM,07:50 AM,05:41 PM,4,6,8,6,20,11,79,0.0,1024,14,10,339,12,Vila+Nova+da+Barquinha
2019-01-22,13,6,0.0,3.7,3,88,07:27 PM,08:52 AM,07:49 AM,05:42 PM,7,7,9,7,23,66,85,0.7,1023,13,9,320,14,Vila+Nova+da+Barquinha
2019-01-23,13,9,0.0,3.7,3,81,08:41 PM,09:35 AM,07:49 AM,05:43 PM,9,10,12,10,28,86,85,1.1,1020,13,9,324,19,Vila+Nova+da+Barquinha
2019-01-24,16,11,0.0,8.7,3,73,09:54 PM,10:13 AM,07:48 AM,05:44 PM,11,12,14,12,32,40,84,0.1,1017,16,10,339,23,Vila+Nova+da+Barquinha
2019-01-25,21,8,0.0,8.7,4,66,11:03 PM,10:47 AM,07:47 AM,05:46 PM,7,12,12,12,13,2,74,0.0,1020,21,9,194,7,Vila+Nova+da+Barquinha
2019-01-26,19,7,0.0,8.7,4,59,No moonrise,11:20 AM,07:47 AM,05:47 PM,6,11,11,11,9,9,71,0.0,1020,19,10,166,5,Vila+Nova+da+Barquinha
2019-01-27,14,7,0.0,7.1,3,51,12:11 AM,11:51 AM,07:46 AM,05:48 PM,6,8,10,8,29,31,77,0.1,1022,14,9,337,20,Vila+Nova+da+Barquinha
2019-01-28,14,8,0.0,5.4,3,44,01:16 AM,12:23 PM,07:45 AM,05:49 PM,8,8,10,8,22,49,85,0.2,1025,14,9,325,14,Vila+Nova+da+Barquinha
2019-01-29,15,8,0.0,3.8,3,37,02:19 AM,12:58 PM,07:44 AM,05:50 PM,9,9,11,9,23,79,88,1.2,1021,15,7,305,15,Vila+Nova+da+Barquinha
