date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,17,10,0.0,8.7,4,26,03:29 AM,02:18 PM,08:03 AM,05:14 PM,4,12,12,12,9,1,58,0.0,1032,17,10,125,5,Vila+Nova+de+Cerveira
2019-01-02,18,9,0.0,8.7,4,19,04:32 AM,02:52 PM,08:03 AM,05:15 PM,6,12,12,12,8,6,67,0.0,1031,18,10,102,4,Vila+Nova+de+Cerveira
2019-01-03,17,8,0.0,8.7,4,11,05:34 AM,03:30 PM,08:03 AM,05:16 PM,2,11,11,11,10,0,53,0.0,1028,17,10,103,5,Vila+Nova+de+Cerveira
2019-01-04,15,7,0.0,8.7,4,4,06:32 AM,04:12 PM,08:03 AM,05:17 PM,-1,9,10,9,11,4,46,0.0,1031,15,10,103,5,Vila+Nova+de+Cerveira
2019-01-05,17,7,0.0,8.7,4,0,07:28 AM,04:59 PM,08:03 AM,05:18 PM,-1,10,11,10,11,0,45,0.0,1035,17,10,99,5,Vila+Nova+de+Cerveira
2019-01-06,18,7,0.0,8.7,4,0,08:17 AM,05:51 PM,08:03 AM,05:19 PM,1,11,11,11,11,2,49,0.0,1033,18,10,105,5,Vila+Nova+de+Cerveira
2019-01-07,19,8,0.0,8.7,4,3,09:01 AM,06:45 PM,08:03 AM,05:20 PM,1,11,12,11,11,1,47,0.0,1032,19,10,97,6,Vila+Nova+de+Cerveira
2019-01-08,19,8,0.0,8.7,4,10,09:39 AM,07:42 PM,08:03 AM,05:21 PM,2,11,12,11,11,3,53,0.0,1031,19,10,103,6,Vila+Nova+de+Cerveira
2019-01-09,17,8,0.0,8.7,4,18,10:12 AM,08:40 PM,08:02 AM,05:22 PM,5,10,11,10,13,1,66,0.0,1026,17,10,55,7,Vila+Nova+de+Cerveira
2019-01-10,15,7,0.0,8.7,4,25,10:42 AM,09:39 PM,08:02 AM,05:23 PM,4,8,9,8,10,3,71,0.0,1023,15,10,79,6,Vila+Nova+de+Cerveira
2019-01-11,16,5,0.0,8.7,4,32,11:10 AM,10:37 PM,08:02 AM,05:24 PM,2,8,9,8,9,1,62,0.0,1028,16,10,100,5,Vila+Nova+de+Cerveira
2019-01-12,14,5,0.0,8.7,3,39,11:36 AM,11:36 PM,08:02 AM,05:25 PM,2,7,8,7,11,1,67,0.0,1032,14,10,99,6,Vila+Nova+de+Cerveira
