date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,15,7,0.0,8.7,4,26,03:27 AM,02:17 PM,08:01 AM,05:14 PM,2,10,10,10,10,1,55,0.0,1033,15,10,121,5,Vila+Verde
2019-01-02,15,6,0.0,8.7,4,19,04:30 AM,02:51 PM,08:01 AM,05:15 PM,3,9,10,9,9,6,65,0.0,1031,15,10,101,5,Vila+Verde
2019-01-03,14,5,0.0,8.7,3,11,05:32 AM,03:29 PM,08:01 AM,05:16 PM,-1,7,8,7,13,1,51,0.0,1029,14,10,86,7,Vila+Verde
2019-01-04,13,5,0.0,8.7,3,4,06:30 AM,04:11 PM,08:01 AM,05:17 PM,-4,7,8,7,12,3,44,0.0,1031,13,10,91,6,Vila+Verde
2019-01-05,16,5,0.0,8.7,4,0,07:25 AM,04:59 PM,08:01 AM,05:18 PM,-3,9,9,9,12,0,42,0.0,1035,16,10,100,6,Vila+Verde
2019-01-06,16,6,0.0,8.7,4,0,08:14 AM,05:50 PM,08:01 AM,05:19 PM,-2,8,9,8,12,1,45,0.0,1033,16,10,101,6,Vila+Verde
2019-01-07,16,5,0.0,8.7,4,3,08:58 AM,06:45 PM,08:01 AM,05:20 PM,-3,8,9,8,14,0,43,0.0,1032,16,10,82,7,Vila+Verde
2019-01-08,15,5,0.0,8.7,4,10,09:37 AM,07:42 PM,08:01 AM,05:21 PM,-1,8,9,8,13,2,52,0.0,1031,15,10,106,6,Vila+Verde
2019-01-09,16,6,0.0,8.7,4,18,10:10 AM,08:39 PM,08:00 AM,05:22 PM,2,9,9,9,14,1,62,0.0,1026,16,10,62,7,Vila+Verde
2019-01-10,12,5,0.0,8.7,3,25,10:41 AM,09:38 PM,08:00 AM,05:23 PM,2,6,7,6,17,3,69,0.0,1023,12,10,81,9,Vila+Verde
2019-01-11,12,5,0.0,8.7,3,32,11:09 AM,10:36 PM,08:00 AM,05:24 PM,-0,6,7,6,12,1,60,0.0,1028,12,10,82,7,Vila+Verde
2019-01-12,13,5,0.0,8.7,3,39,11:35 AM,11:35 PM,08:00 AM,05:25 PM,2,7,8,7,12,1,66,0.0,1032,13,10,63,6,Vila+Verde
2019-01-13,14,4,0.0,8.7,3,47,12:01 PM,No moonset,07:59 AM,05:26 PM,1,7,8,7,12,3,66,0.0,1031,14,10,95,6,Vila+Verde
2019-01-14,14,5,0.0,8.7,3,54,12:27 PM,12:35 AM,07:59 AM,05:27 PM,1,7,8,7,11,14,64,0.0,1026,14,10,98,5,Vila+Verde
2019-01-15,14,6,0.0,5.3,2,61,12:56 PM,01:38 AM,07:59 AM,05:28 PM,2,8,8,8,10,55,65,0.0,1021,14,10,136,5,Vila+Verde
2019-01-16,9,5,0.0,3.6,2,69,01:30 PM,02:42 AM,07:58 AM,05:29 PM,5,7,7,7,7,81,89,1.4,1019,9,6,155,4,Vila+Verde
2019-01-17,11,4,0.0,8.7,3,76,02:08 PM,03:49 AM,07:58 AM,05:31 PM,3,5,6,5,14,18,80,0.1,1022,11,8,106,8,Vila+Verde
2019-01-18,7,2,0.0,3.7,2,83,02:54 PM,04:58 AM,07:57 AM,05:32 PM,2,4,5,4,8,70,85,4.8,1021,7,9,116,4,Vila+Verde
2019-01-19,9,4,0.0,3.7,2,90,03:50 PM,06:06 AM,07:57 AM,05:33 PM,7,6,7,6,11,95,95,32.0,1013,9,8,192,6,Vila+Verde
2019-01-20,12,5,0.0,8.7,2,98,04:54 PM,07:10 AM,07:56 AM,05:34 PM,6,7,8,7,12,23,86,1.7,1019,12,10,250,7,Vila+Verde
2019-01-21,12,5,0.0,8.7,2,100,06:06 PM,08:07 AM,07:55 AM,05:35 PM,4,6,7,6,12,18,81,0.0,1025,12,10,148,7,Vila+Verde
2019-01-22,9,3,0.0,3.7,2,88,07:22 PM,08:57 AM,07:55 AM,05:37 PM,5,5,6,5,13,78,91,5.0,1022,9,8,215,7,Vila+Verde
2019-01-23,12,7,0.0,3.7,3,81,08:38 PM,09:39 AM,07:54 AM,05:38 PM,8,7,9,7,21,100,93,3.0,1017,12,2,304,13,Vila+Verde
2019-01-24,14,8,0.0,5.4,3,73,09:52 PM,10:15 AM,07:53 AM,05:39 PM,9,10,11,10,12,64,91,1.4,1019,14,6,323,7,Vila+Verde
2019-01-25,16,6,0.0,8.7,4,66,11:03 PM,10:48 AM,07:53 AM,05:40 PM,6,9,10,9,15,13,78,0.0,1022,16,10,79,8,Vila+Verde
2019-01-26,15,6,0.0,5.4,3,59,No moonrise,11:19 AM,07:52 AM,05:42 PM,4,8,9,8,12,53,72,0.0,1021,15,10,182,6,Vila+Verde
2019-01-27,12,5,0.0,7.0,2,51,12:12 AM,11:49 AM,07:51 AM,05:43 PM,4,6,8,6,15,39,80,1.0,1022,12,8,289,9,Vila+Verde
2019-01-28,12,5,0.0,3.7,2,44,01:19 AM,12:20 PM,07:50 AM,05:44 PM,6,7,8,7,12,77,89,2.2,1024,12,8,307,7,Vila+Verde
2019-01-29,11,4,0.0,3.7,2,37,02:23 AM,12:53 PM,07:49 AM,05:45 PM,6,6,7,6,15,81,92,9.9,1019,11,7,254,9,Vila+Verde
