"IdImovel";"UrlPesquisa";"Url";"Nome";"Preco";"PrecoDesconto";"tipo";"metros";"andar";"elevador";"Detalhes";"Status";"Page"
"31348087";"https://www.idealista.pt/arrendar-casas/setubal-distrito/pagina-19";"/imovel/31348087/";"Apartamento T1 na avenida da República, 13, Costa de Caparica, Almada";"650";"";"T1";"85 ";"2  ";"sem elevador";"T1 , 85 m² construídos, 2º andar  sem elevador";"OK";"19"
"30350603";"https://www.idealista.pt/arrendar-casas/setubal-distrito/pagina-19";"/imovel/30350603/";"Penthouse na rua Engenheiro Henri Perron, 1, Bairro do Liceu - Vanicelos, Setúbal";"1.500";"";"T4";"200 ";"7  ";"com elevador";"T4 , 200 m² construídos, 7º andar  com elevador";"OK";"19"
"31408046";"https://www.idealista.pt/arrendar-casas/setubal-distrito/pagina-19";"/imovel/31408046/";"Apartamento T2 na praceta Dom Miguel I, 2, Verderena, Alto do Seixalinho - Santo André - Verderena";"600";"";"T2";"72 ";"2  ";"sem elevador";"T2 , 72 m² construídos, 2º andar  sem elevador";"OK";"19"
"31395453";"https://www.idealista.pt/arrendar-casas/setubal-distrito/pagina-19";"/imovel/31395453/";"Apartamento T2 na avenida Bocage, 8, Alto do Seixalinho, Alto do Seixalinho - Santo André - Verderena";"650";"";"T2";"90 ";"11  ";"com elevador";"T2 , 90 m² construídos, 11º andar  com elevador";"OK";"19"
"31361469";"https://www.idealista.pt/arrendar-casas/setubal-distrito/pagina-19";"/imovel/31361469/";"Apartamento T3 na praceta 25 de Abril, 1, Aldeia de Paio Pires - Alto dos Bonecos - Vale da Abelha, Seixal - Arrentela - Aldeia de Paio Pires";"800";"";"T3";"90 ";"2  ";"sem elevador";"T3 , 90 m² construídos, 2º andar  sem elevador";"OK";"19"
"31468452";"https://www.idealista.pt/arrendar-casas/setubal-distrito/pagina-18";"/imovel/31468452/";"Apartamento T1 em Laranjeiro e Feijó, Almada";"600";"";"T1";"60 ";"";"";"T1 , 60 m² construídos";"OK";"18"
"31407837";"https://www.idealista.pt/arrendar-casas/setubal-distrito/pagina-18";"/imovel/31407837/";"Apartamento T3 na rua Gil Vicente, Castelo (Sesimbra), Sesimbra";"750";"";"T3";"90 ";"3  ";"sem elevador";"T3 , 90 m² construídos, 3º andar  sem elevador";"OK";"18"
"31549974";"https://www.idealista.pt/arrendar-casas/setubal-distrito/pagina-18";"/imovel/31549974/";"Moradia independente,  3 de Novembro, Belverde, Amora";"1.400";"";"T4";"150 ";"";"";"T4 , 150 m² construídos";"OK";"18"
"31565501";"https://www.idealista.pt/arrendar-casas/setubal-distrito/pagina-18";"/imovel/31565501/";"Apartamento T3 em Barreiro e Lavradio, Barreiro";"600";"";"T3";"90 ";"1  ";"sem elevador";"T3 , 90 m² construídos, 1º andar  sem elevador";"OK";"18"
"28876318";"https://www.idealista.pt/arrendar-casas/setubal-distrito/pagina-18";"/imovel/28876318/";"Apartamento T3 em Zona Ribeirinha, Setúbal";"850";"";"T3";"130 ";"1  ";"sem elevador";"T3 , 130 m² construídos, 1º andar  sem elevador";"OK";"18"
"30090466";"https://www.idealista.pt/arrendar-casas/setubal-distrito/pagina-18";"/imovel/30090466/";"Andar de moradia em Costa de Caparica, Almada";"700";"";"T1";"50 ";"";"";"T1 , 50 m² construídos";"OK";"18"
"31613653";"https://www.idealista.pt/arrendar-casas/setubal-distrito/pagina-18";"/imovel/31613653/";"Apartamento T1 na avenida Professor Doutor Carlos Ribeiro, 8, Quinta da Trindade, Seixal - Arrentela - Aldeia de Paio Pires";"650";"";"T1";"65 ";"0";"com elevador";"T1 , 65 m² construídos, Rés do chão  com elevador, 15 nov ";"OK";"18"
"31608165";"https://www.idealista.pt/arrendar-casas/setubal-distrito/pagina-18";"/imovel/31608165/";"Apartamento T1 na avenida Independência das Colónias, 18, Bonfim, Setúbal";"450";"";"T1";"60 ";"2  ";"sem elevador";"T1 , 60 m² construídos, 2º andar  sem elevador";"OK";"18"
