;Ambito Geografico;Regiao;Cidades;qtd Idade 0 -14;qtd Idade 15-64;qtd idade >65;% Idade 0 -14;% Idade 15-64;% idade >65;qtd Hospitais particulares e publicos;qtd Farmacias;qtd escolas - pre-escolar -4 -6 anos;qtd escolas - ciclo 1 - 6-10 anos;qtd escolas - ciclo 2 - 10 -12 anos;qtd escolas - ciclo 3 - 13 -15 anos;qtd shows,exibicoes,teatro;qtd Cinemas;Ganho medio mensal;% Desempregados;% Poder de compra;% Crimes;qtd bancos;Latitude;Longitude;Address;Lisboa_Distance_Km;Porto_Distance_Km;Lisboa_Driving_hours;Lisboa_Driving_Km;Porto_Driving_hours;Porto_Driving_Km;Clima_Ranking;Ranking_Geral;Ranking_Regional
12;Município;Norte;Braga;25798;125276;31728;14,1;68,5;17,4;6;38;101;75;22;27;210;28;1145,8;5,8;108,8;25,4;62;41,5510583;-8,4280045;Braga, Portugal;321,4338491770448;47,15290856156268;3,4;363,5;0,7;54,5;21,0;36;36
40;Município;Norte;Vila Nova de Gaia;40180;199966;60099;13,4;66,6;20,0;6;66;140;103;23;33;99;29;1157,3;8,1;100,6;27,3;63;41,1300103;-8,605841499999999;Vila Nova de Gaia, Porto, Portugal;272,75025740841494;2,198625271983192;2,9;307,6;0,2;10,4;15,0;36;36
39;Município;Norte;Vila do Conde;11196;53299;15436;14,0;66,7;19,3;1;17;47;36;6;9;45;2;1155,0;5,4;95,9;27,7;16;41,3580981;-8,747563099999999;Vila do Conde, Porto, Portugal;296,14845041826766;25,852509470524826;3,3;340,0;0,5;27,5;21,0;36;36
28;Município;Norte;Matosinhos;23213;113957;38287;13,2;64,9;21,8;3;36;67;40;15;22;69;17;1337,7;6,7;130,6;28,5;54;41,180681400000005;-8,682199800000001;Matosinhos, Porto, Portugal;277,3096170015015;6,924431881088418;3,0;321,6;0,2;9,1;14,0;35;36
31;Município;Norte;Porto;28508;126342;61897;13,2;58,3;28,6;20;109;133;81;39;54;1688;13;1416,7;9,2;154,0;56,2;184;41,1494512;-8,6107884;Porto, Portugal;274,808922985862;0,0;2,9;313,9;0,0;0,0;15,0;35;36
32;Município;Norte;Povoa de Varzim;8596;42192;11997;13,7;67,2;19,1;3;15;35;22;6;8;45;1;1033,8;5,7;96,5;24,0;17;41,3794188;-8,7598689;Póvoa de Varzim, Porto, Portugal;298,3860428332166;28,43160284280625;3,3;347,6;0,5;35,1;14,0;35;36
22;Município;Norte;Vila Nova de Famalicao;16764;90160;24560;12,7;68,6;18,7;2;29;72;53;11;14;76;2;1080,2;5,0;89,9;21,5;36;41,40852785;-8,492625151809944;Vila Nova de Famalicão, Braga, Portugal;304,8718778913462;30,42828722040024;3,3;349,9;0,6;40,9;19,0;35;36
26;Município;Norte;Gondomar;21048;111035;33760;12,7;67,0;20,4;0;33;69;49;12;16;26;12;1016,6;6,8;84,9;20,7;29;41,1398199;-8,5326269;Gondomar, Porto, Portugal;274,9299199691493;6,6483427159616895;3,0;317,3;0,3;15,0;19,0;31;35
18;Município;Norte;Guimaraes;19290;104133;28543;12,7;68,5;18,8;2;35;84;60;16;18;113;12;971,9;6,4;91,3;19,0;42;41,4417677;-8,2955712;Guimarães, Braga, Portugal;311,93111595542047;41,845050513269726;3,4;364,2;0,7;55,2;20,0;34;35
27;Município;Norte;Maia;19704;94309;25294;14,1;67,7;18,2;0;26;65;39;10;10;100;10;1250,7;5,0;110,6;26,9;39;41,23734565;-8,629998173364326;Maia, Porto, Portugal;284,18429643231974;9,893475196597755;3,0;322,7;0,2;9,0;14,0;35;35
8;Município;Norte;Viana do Castelo;10050;54487;19700;11,9;64,7;23,4;2;27;43;37;10;12;121;5;1114,7;4,2;93,8;26,4;24;41,88032570000001;-8,523255293554344;Viana do Castelo, Portugal;356,11974453242124;81,50195246145461;3,7;387,0;0,9;74,5;13,0;35;35
33;Município;Norte;Santa Maria da Feira;17357;94146;27033;12,5;68,0;19,5;1;27;83;53;13;13;120;0;1089,7;5,5;85,8;24,0;32;40,9254179;-8,542668800000001;Santa Maria da Feira, Aveiro, Portugal;251,42447951198292;25,53078869717896;2,6;286,4;0,4;33,8;21,0;33;34
38;Município;Norte;Valongo;13704;65839;18078;14,0;67,4;18,5;3;18;47;34;10;13;31;0;1087,7;6,6;92,0;22,4;20;41,1909794;-8,4980511;Valongo, Porto, Portugal;281,067291890106;10,525016851993175;3,1;325,2;0,3;16,3;28,0;35;34
11;Município;Norte;Barcelos;14398;80002;21489;12,4;69,0;18,5;4;26;81;64;11;17;61;1;948,9;3,5;80,1;19,6;26;41,5314496;-8,6192306;Barcelos, Braga, 4750-257, Portugal;316,61957374710937;42,43081546846664;3,5;377,5;0,8;62,0;16,0;32;33
34;Município;Norte;Santo Tirso;7215;44798;15815;10,6;66,0;23,3;1;18;40;36;10;14;20;0;1008,3;6,2;85,5;21,0;17;41,3440057;-8,4772021;Santo Tirso, Porto, Portugal;298,07661451702177;24,335979515339407;3,2;341,1;0,5;32,1;19,0;30;31
30;Município;Norte;Paredes;12065;60497;13413;14,0;70,4;15,6;1;16;32;17;9;10;7;0;919,4;6,0;79,0;19,3;24;41,2123637;-8,347580212435714;Paredes, Porto, Portugal;286,1477676609402;23,163276134470955;3,1;335,6;0,5;33,4;16,0;31;31
29;Município;Norte;Oliveira de Azemeis;7392;43822;14667;11,2;66,5;22,3;1;16;39;29;8;8;13;0;1145,8;4,1;83,4;19,1;13;40,8390118;-8,477780699999999;Oliveira de Azeméis, Aveiro, Portugal;243,2708246433716;36,24650690309738;2,6;279,4;0,6;52,1;20,0;30;31
56;Município;Norte;Penafiel;9465;48587;11545;13,6;69,8;16,6;1;15;43;37;5;8;0;3;975,4;5,8;79,7;19,2;11;41,2039194;-8,292240964931633;Penafiel, Porto, Portugal;286,3914084611195;27,405267562268424;3,2;340,7;0,5;38,5;19,0;32;31
76;Município;Norte;Vila Real;6022;33153;10744;12,1;66,4;21,5;3;15;28;20;4;7;68;8;1090,7;7,4;98,3;22,4;15;41,5228712;-7,5465333355894675;Vila Real, Portugal;340,69057479088224;98,26420211994991;3,7;397,1;1,1;95,0;15,0;34;31
52;Município;Norte;Felgueiras;7190;39797;9289;12,8;70,7;16,5;1;12;37;29;6;8;15;0;892,8;6,2;80,3;22,7;15;41,364771600000005;-8,1989321;Felgueiras, Porto, Portugal;305,6788847647591;41,99085693941827;3,4;362,2;0,7;56,9;14,0;29;30
54;Município;Norte;Marco de Canaveses;6614;36149;8613;12,9;70,4;16,8;1;12;45;35;4;7;0;0;886,2;8,0;73,5;19,9;12;41,161654600000006;-8,12779201865893;Marco de Canaveses, Porto, Portugal;285,7776888027015;40,56389602589597;3,4;356,8;0,7;54,6;18,0;28;30
47;Município;Norte;Amarante;6285;36362;10389;11,8;68,6;19,6;1;14;29;20;6;8;12;0;904,9;6,9;72,6;21,4;12;41,2699316;-8,0804563;Amarante, Amarante (São Gonçalo), Madalena, Cepelos e Gatão, Amarante, Porto, 4600-036, Portugal;298,4407363460257;46,446805973084686;3,4;361,3;0,7;59,2;26,0;29;29
42;Município;Norte;Chaves;3886;24463;10923;9,9;62,3;27,8;1;12;19;17;4;4;81;1;958,2;6,1;79,1;25,1;12;41,7399453;-7,471477;Chaves, Vila Real, Portugal;365,28350621560617;115,60850063512528;4,3;441,5;1,6;153,1;21,0;29;28
25;Município;Norte;Espinho;3292;18358;7821;11,2;62,3;26,5;2;10;11;6;5;7;22;1;1008,8;7,9;104,4;32,2;9;41,0083643;-8,639411099999998;Espinho, Aveiro, Portugal;258,95874372827734;15,85201314005544;2,8;299,9;0,4;21,4;27,0;26;28
35;Município;Norte;Sao Joao da Madeira;2688;14850;4472;12,2;67,5;20,3;1;5;15;11;4;5;48;5;1074,2;6,2;130,6;27,2;16;40,8977193;-8,490675185118615;São João da Madeira, Aveiro, Portugal;249,36437140626623;29,72518408903446;2,8;288,4;0,6;44,1;19,0;29;28
13;Município;Norte;Esposende;4739;23317;6119;13,9;68,2;17,9;2;8;23;19;4;6;16;0;962,4;3,3;85,2;25,0;10;41,5315251;-8,7792538;Esposende, Braga, Portugal;315,0186207565002;44,714795355401975;3,4;363,8;0,6;51,3;16,0;30;28
15;Município;Norte;Vila Verde;6124;31679;9039;13,1;67,6;19,3;1;11;31;22;5;7;0;0;893,1;4,1;70,4;28,6;12;41,648824700000006;-8,4362569;Vila Verde, Braga, Portugal;331,9702812238652;57,349514973477504;3,6;378,4;0,9;69,4;15,0;28;27
55;Município;Norte;Pacos de Ferreira;7805;40285;8549;13,8;71,1;15,1;0;11;21;16;6;9;0;5;886,7;5,1;80,5;19,6;12;41,2896264;-8,378398223742572;Paços de Ferreira, Porto, Portugal;293,8944046746228;24,94191453452721;3,2;342,1;0,5;36,8;19,0;30;27
36;Município;Norte;Trofa;4867;26367;7207;12,7;68,6;18,7;1;8;20;17;4;5;0;0;1113,1;5,2;94,6;19,5;10;41,336347100000005;-8,5585061;Trofa, Porto, Portugal;296,00677717222413;21,21403132521512;3,2;340,7;0,5;31,7;14,0;29;27
78;Município;Norte;Braganca;3821;21231;8473;11,4;63,3;25,3;1;9;18;14;4;6;18;0;1019,6;4,6;97,0;24,5;10;41,5084468;-6,773302360533067;Bragança, Portugal;370,5130428574892;158,9054557433625;4,7;486,0;2,1;207,2;16,0;27;27
