;Cidades;Clima_Ranking
169;Mertola;36
186;Mora;36
52;Beira Baixa;36
54;Beja;36
81;Castro Verde;36
21;Almeirim;36
94;Cuba;36
97;Entroncamento;36
106;Ferreira do Alentejo;36
118;Golega;36
183;Montemor-o-Novo;36
40;Arraiolos;36
297;Torres Novas;36
315;Vila Nova da Barquinha;36
310;Vidigueira;36
276;Serpa;36
7;Alcanena;36
293;Terras de Tras-os-Montes;36
307;Vendas Novas;36
89;Constancia;34
69;Campo Maior;34
73;Cartaxo;34
229;Ponte de Sor;34
90;Coruche;34
261;Santarem;34
96;Elvas;34
271;Sardoal;34
37;Arganil;34
161;Marilia;34
152;Macao;34
0;Abrantes;34
23;Alpiarca;34
29;Amadora;33
145;Leziria do Tejo;33
267;Sao Paulo;33
49;Barrancos;33
102;Evora;32
245;Reguengos de Monsaraz;32
294;Tomar;32
241;Redondo;32
58;Borba;32
101;Estremoz;32
107;Ferreira do Zezere;32
3;Alandroal;32
129;Ilha das Flores;32
277;Serta;32
231;Portel;32
133;Ilha de Sao Miguel;32
286;Sousel;32
308;Viana do Alentejo;32
172;Miranda do Corvo;31
75;Castanheira de Pera;31
291;Tavira;31
10;Alcoutim;31
134;Ilha do Corvo;31
80;Castro Marim;31
211;Pampilhosa da Serra;31
214;Pedrogao Grande;31
117;Gois;31
215;Penacova;31
220;Penela;31
87;Coimbra;31
88;Condeixa-a-Nova;31
224;Pombal;31
22;Almodovar;31
243;Regiao de Coimbra;31
147;Loule;31
313;Vila Franca de Xira;30
19;Almada;30
253;Salvaterra de Magos;30
230;Portalegre;30
11;Alenquer;30
42;Arruda dos Vinhos;30
44;Avis;30
45;Azambuja;30
329;Vila de Rei;30
53;Beiras e Serra da Estrela;29
232;Portimao;29
39;Arouca;29
5;Albufeira;29
281;Silves;29
127;Ilha Terceira;28
6;Alcacer do Sal;28
285;Soure;28
210;Palmela;28
113;Fronteira;28
131;Ilha de Santa Maria;28
206;Ourem;28
264;Sao Bras de Alportel;28
177;Moita;28
9;Alcochete;28
110;Figueiro dos Vinhos;28
18;Aljustrel;28
290;Tarouca;28
279;Setubal;28
304;Valongo;28
278;Sesimbra;28
185;Montijo;28
50;Barreiro;28
27;Alvaiazere;28
95;Douro;28
98;Espinho;27
1;Agueda;27
76;Castelo Branco;27
146;Lisboa;27
148;Loures;27
63;Cadaval;27
32;Anadia;27
325;Vila Velha de Rodao;27
4;Albergaria-a-Velha;27
197;Odivelas;27
204;Oliveira do Bairro;27
35;Area Metropolitana de Lisboa;27
240;Proenca-a-Nova;27
125;Idanha-a-Nova;27
167;Medio Tejo;27
128;Ilha da Madeira;26
83;Celorico de Basto;26
30;Amarante;26
55;Belmonte;26
312;Vila Flor;26
201;Olhao;25
70;Cantanhede;24
165;Mealhada;24
171;Mira;24
140;Lagos;24
198;Oeiras;24
