;Ambito Geografico;Regiao;Cidades;qtd Idade 0 -14;qtd Idade 15-64;qtd idade >65;% Idade 0 -14;% Idade 15-64;% idade >65;qtd Hospitais particulares e publicos;qtd Farmacias;qtd escolas - pre-escolar -4 -6 anos;qtd escolas - ciclo 1 - 6-10 anos;qtd escolas - ciclo 2 - 10 -12 anos;qtd escolas - ciclo 3 - 13 -15 anos;qtd shows,exibicoes,teatro;qtd Cinemas;Ganho medio mensal;% Desempregados;% Poder de compra;% Crimes;qtd bancos;Latitude;Longitude;Address;Lisboa_Distance_Km;Porto_Distance_Km;Lisboa_Driving_hours;Lisboa_Driving_Km;Porto_Driving_hours;Porto_Driving_Km;Clima_Ranking;Ranking_Geral;Ranking_Regional
281;Município;Regiao Autonoma dos Acores;Ponta Delgada;10615;47861;9423;15,6;70,5;13,9;4;17;41;35;8;7;29;5;1205,5;0,0;108,0;41,7;27;37,7394344;-25,668361800000003;Ponta Delgada, Açores, 9545, Portugal;1449,6155751451092;1513,602125455125;0,1;2,3;0,1;2,3;19,0;36;36
285;Município;Regiao Autonoma dos Acores;Angra do Heroismo;4727;22936;6063;14,0;68,0;18,0;3;10;29;19;4;4;143;2;1052,8;0,0;96,1;30,6;11;38,659316700000005;-27,2195578;Angra do Heroísmo, Açores, Portugal;1570,8599605066763;1611,894448343765;;;;;18,0;33;34
283;Município;Regiao Autonoma dos Acores;Ribeira Grande;6417;23394;3006;19,6;71,3;9,2;0;7;22;15;3;3;8;1;999,3;0,0;72,4;57,6;11;37,8225227;-25,5194914;Ribeira Grande, Açores, Portugal;1435,198891076746;1498,148504007468;0,4;22,7;0,4;22,7;19,0;30;32
286;Município;Regiao Autonoma dos Acores;Vila da Praia da Vitoria;2948;14996;3330;13,9;70,5;15,7;0;6;18;14;2;3;16;1;1067,4;0,0;75,1;28,9;7;;;;;;;;;;19,0;26;31
293;Município;Regiao Autonoma dos Acores;Horta;1970;9898;2615;13,6;68,3;18,1;1;5;12;10;1;1;6;0;1125,8;0,0;90,7;41,4;7;38,5368032;-28,630109;Horta, Açores, Portugal;1694,4882853661763;1733,8104851434964;;;;;19,0;28;31
279;Município;Regiao Autonoma dos Acores;Lagoa [R.A.A.];2448;10457;1831;16,6;71,0;12,4;0;5;10;8;2;2;11;0;941,9;0,0;76,1;36,6;5;;;;;;0,2;13,1;0,2;13,1;18,0;24;29
291;Município;Regiao Autonoma dos Acores;Madalena;831;3921;1139;14,1;66,6;19,3;0;2;5;5;1;1;0;1;953,0;0,0;90,6;32,3;6;38,5363166;-28,5243488;Madalena, Açores, 9950-324, Portugal;1685,3372630890017;1724,9603337833585;2,9;312,1;0,3;9,6;15,0;22;27
278;Município;Regiao Autonoma dos Acores;Vila do Porto;777;3984;853;13,8;71,0;15,2;0;2;5;5;1;1;0;0;1492,5;0,0;89,7;23,0;3;36,9725989;-25,10263361635285;Vila do Porto, Açores, Portugal;1416,6565615137283;1498,063555557755;;;;;14,0;20;25
284;Município;Regiao Autonoma dos Acores;Vila Franca do Campo;1704;7882;1432;15,5;71,5;13,0;0;2;6;4;2;2;0;0;895,2;0,0;66,1;28,8;4;37,7171624;-25,4335352;Vila Franca do Campo, Açores, Portugal;1429,5955282373538;1494,9785770699991;0,4;27,8;0,4;27,8;19,0;17;22
289;Município;Regiao Autonoma dos Acores;Velas;600;3559;923;11,8;70,0;18,2;0;2;3;4;1;1;8;0;1015,7;0,0;83,3;34,4;4;38,6797531;-28,2052961;Velas, Açores, Portugal;1655,9422074949728;1693,8904962023844;;;;;18,0;18;21
280;Município;Regiao Autonoma dos Acores;Nordeste;631;3333;878;13,0;68,8;18,1;0;2;5;5;1;1;2;0;860,8;0,0;61,9;23,8;4;37,8182101;-25,22034103043104;Nordeste, Açores, Portugal;1409,2579556561625;1473,501249691252;0,9;61,0;0,9;61,0;19,0;15;20
