;Cidades;Clima_Ranking
106;Ferreira do Alentejo;36
97;Entroncamento;36
40;Arraiolos;36
312;Vidigueira;36
309;Vendas Novas;36
52;Beira Baixa;36
54;Beja;36
299;Torres Novas;36
295;Terras de Tras-os-Montes;36
21;Almeirim;36
81;Castro Verde;36
317;Vila Nova da Barquinha;36
94;Cuba;36
118;Golega;36
278;Serpa;36
186;Mora;36
183;Montemor-o-Novo;36
169;Mertola;36
7;Alcanena;36
152;Macao;34
231;Ponte de Sor;34
161;Marilia;34
263;Santarem;34
96;Elvas;34
69;Campo Maior;34
73;Cartaxo;34
273;Sardoal;34
89;Constancia;34
90;Coruche;34
37;Arganil;34
0;Abrantes;34
23;Alpiarca;34
49;Barrancos;33
210;PORTUGAL, OBIDOS.CSV;33
209;PORTUGAL, ANSIAO.CSV;33
29;Amadora;33
145;Leziria do Tejo;33
269;Sao Paulo;33
233;Portel;32
288;Sousel;32
58;Borba;32
101;Estremoz;32
102;Evora;32
107;Ferreira do Zezere;32
3;Alandroal;32
279;Serta;32
310;Viana do Alentejo;32
247;Reguengos de Monsaraz;32
296;Tomar;32
129;Ilha das Flores;32
133;Ilha de Sao Miguel;32
243;Redondo;32
80;Castro Marim;31
134;Ilha do Corvo;31
10;Alcoutim;31
293;Tavira;31
226;Pombal;31
22;Almodovar;31
147;Loule;31
245;Regiao de Coimbra;30
75;Castanheira de Pera;30
117;Gois;30
87;Coimbra;30
88;Condeixa-a-Nova;30
172;Miranda do Corvo;30
232;Portalegre;30
222;Penela;30
213;Pampilhosa da Serra;30
217;Penacova;30
216;Pedrogao Grande;30
45;Azambuja;29
283;Silves;29
331;Vila de Rei;29
44;Avis;29
42;Arruda dos Vinhos;29
11;Alenquer;29
5;Albufeira;29
234;Portimao;29
39;Arouca;29
315;Vila Franca de Xira;29
19;Almada;29
255;Salvaterra de Magos;29
280;Sesimbra;28
281;Setubal;28
212;Palmela;28
185;Montijo;28
113;Fronteira;28
177;Moita;28
266;Sao Bras de Alportel;28
9;Alcochete;28
6;Alcacer do Sal;28
53;Beiras e Serra da Estrela;28
125;Idanha-a-Nova;27
127;Ilha Terceira;27
131;Ilha de Santa Maria;27
27;Alvaiazere;27
50;Barreiro;27
327;Vila Velha de Rodao;27
110;Figueiro dos Vinhos;27
242;Proenca-a-Nova;27
167;Medio Tejo;27
95;Douro;27
306;Valongo;27
18;Aljustrel;27
292;Tarouca;27
206;Ourem;27
287;Soure;27
76;Castelo Branco;27
32;Anadia;26
197;Odivelas;26
204;Oliveira do Bairro;26
63;Cadaval;26
148;Loures;26
4;Albergaria-a-Velha;26
1;Agueda;26
83;Celorico de Basto;26
35;Area Metropolitana de Lisboa;26
314;Vila Flor;26
98;Espinho;26
30;Amarante;26
146;Lisboa;26
55;Belmonte;25
128;Ilha da Madeira;25
201;Olhao;24
171;Mira;24
140;Lagos;24
198;Oeiras;24
165;Mealhada;24
70;Cantanhede;24
181;Monforte;23
194;Nisa;23
78;Castelo de Vide;23
116;Gaviao;23
93;Crato;23
188;Moura;23
41;Arronches;23
24;Alter do Chao;23
149;Lourinha;22
154;Machico;22
196;Odemira;22
300;Torres Vedras;22
104;Faro;22
286;Sobral de Monte Agraco;22
179;Monchique;22
17;Aljezur;22
285;Sintra;22
46;Baiao;22
207;Ourique;22
15;Algarve;22
174;Mirandela;21
159;Manteigas;21
2;Aguiar da Beira;21
205;Oliveira do Hospital;21
193;Nelas;21
219;Penalva do Castelo;21
175;Mogadouro;21
182;Montalegre;21
220;Penamacor;21
239;Povoa de Lanhoso;21
322;Vila Nova de Paiva;21
158;Mangualde;21
84;Chamusca;21
337;Viseu;21
115;Fundao;21
284;Sines;21
333;Vila do Conde;21
92;Covilha;21
85;Chaves;21
79;Castro Daire;21
276;Seixal;21
72;Carregal do Sal;21
60;Braga;21
59;Boticas;21
307;Valpacos;21
56;Benavente;21
326;Vila Real de Santo Antonio;21
277;Sernancelhe;21
111;Fornos de Algodres;21
264;Santiago do Cacem;21
274;Satao;21
260;Santa Maria da Feira;21
270;Sao Pedro do Sul;21
272;Sao Vicente;21
121;Grandola;21
275;Seia;21
120;Gouveia;20
150;Lousa;20
25;Alto Alentejo;20
163;Marvao;20
156;Mafra;20
339;Vizela;20
202;Oliveira de Azemeis;20
304;Vale de Cambra;20
114;Funchal;20
291;Tamega e Sousa;20
123;Guimaraes;20
126;Ilha Graciosa;20
100;Estarreja;20
282;Sever do Vouga;20
237;Porto Santo;20
265;Santo Tirso;19
267;Sao Joao da Madeira;19
330;Vila da Praia da Vitoria;19
218;Penafiel;19
332;Vila do Bispo;19
227;Ponta Delgada;19
241;Povoacao;19
259;Santa Cruz das Flores;19
250;Ribeira Grande;19
246;Regiao de Leiria;19
316;Vila Franca do Campo;19
319;Vila Nova de Famalicao;19
170;Mesao Frio;19
211;Pacos de Ferreira;19
12;Alentejo Central;19
51;Batalha;19
91;Corvo;19
119;Gondomar;19
124;Horta;19
141;Lajes das Flores;19
151;Lousada;19
162;Marinha Grande;19
13;Alentejo Litoral;19
144;Leiria;19
47;Baixo Alentejo;19
208;Ovar;19
195;Nordeste;19
223;Peniche;18
252;Rio Maior;18
26;Alto Tamega;18
77;Castelo de Paiva;18
258;Santa Cruz da Graciosa;18
43;Aveiro;18
294;Terras de Bouro;18
142;Lajes do Pico;18
199;Oeste;18
139;Lagoa [R.A.A.];18
138;Lagoa;18
301;Trancoso;18
137;Ilhavo;18
271;Sao Roque do Pico;18
136;Ilha do Pico;18
33;Angra do Heroismo;18
132;Ilha de Sao Jorge;18
112;Freixo de Espada a Cinta;18
74;Cascais;18
31;Amares;18
86;Cinfaes;18
64;Caldas da Rainha;18
318;Vila Nova de Cerveira;18
34;Arcos de Valdevez;18
173;Miranda do Douro;18
191;Murtosa;18
229;Ponte da Barca;18
230;Ponte de Lima;18
335;Vimioso;18
215;Paredes de Coura;18
