date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2024-06-30,22,14,0.0,12.0,4,27,01:49 AM,03:42 PM,06:02 AM,09:13 PM,13,17,17,17,15,67,78,1.6,1016,22,10,201,5,"Arcos+de+Valdevez,Portugal"
2024-07-01,29,14,0.0,15.0,6,26,02:14 AM,04:57 PM,06:03 AM,09:13 PM,15,21,21,21,18,7,67,0.0,1020,29,8,180,8,"Arcos+de+Valdevez,Portugal"
2024-07-02,31,16,0.0,15.0,6,19,02:44 AM,06:13 PM,06:03 AM,09:13 PM,15,24,24,23,21,3,60,0.0,1019,31,10,162,8,"Arcos+de+Valdevez,Portugal"
2024-07-03,30,16,0.0,15.0,6,12,03:21 AM,07:26 PM,06:04 AM,09:12 PM,13,23,23,23,22,3,49,0.0,1015,30,10,173,10,"Arcos+de+Valdevez,Portugal"
2024-07-04,35,17,0.0,15.0,7,5,04:07 AM,08:32 PM,06:04 AM,09:12 PM,14,26,26,26,20,1,46,0.0,1012,35,10,142,7,"Arcos+de+Valdevez,Portugal"
2024-07-05,29,16,0.0,15.0,6,0,05:03 AM,09:27 PM,06:05 AM,09:12 PM,16,24,24,23,20,1,64,0.0,1010,29,10,232,7,"Arcos+de+Valdevez,Portugal"
2024-07-06,23,13,0.0,14.0,4,0,06:06 AM,10:11 PM,06:05 AM,09:11 PM,12,18,18,18,36,18,68,0.0,1015,23,10,284,15,"Arcos+de+Valdevez,Portugal"
2024-07-07,23,11,0.0,15.0,5,2,07:14 AM,10:45 PM,06:06 AM,09:11 PM,9,16,17,16,25,6,62,0.0,1016,23,10,205,9,"Arcos+de+Valdevez,Portugal"
2024-07-08,23,12,0.0,13.0,5,10,08:22 AM,11:13 PM,06:07 AM,09:11 PM,12,17,18,17,18,30,71,2.2,1015,23,10,169,7,"Arcos+de+Valdevez,Portugal"
2024-07-09,19,15,0.0,1.0,4,17,09:28 AM,11:36 PM,06:07 AM,09:10 PM,16,17,17,17,23,100,96,17.6,1014,19,6,148,7,"Arcos+de+Valdevez,Portugal"
2024-07-10,25,17,0.0,7.0,4,24,10:32 AM,11:55 PM,06:08 AM,09:10 PM,17,19,20,19,23,75,88,2.8,1019,25,5,169,8,"Arcos+de+Valdevez,Portugal"
2024-07-11,24,17,0.0,9.0,4,32,11:34 AM,No moonset,06:09 AM,09:09 PM,17,20,20,20,17,71,83,3.9,1019,24,7,215,8,"Arcos+de+Valdevez,Portugal"
2024-07-12,26,15,0.0,14.0,5,39,12:34 PM,12:13 AM,06:10 AM,09:09 PM,14,21,21,21,24,42,65,0.0,1017,26,7,160,10,"Arcos+de+Valdevez,Portugal"
2024-07-13,23,14,0.0,15.0,5,46,01:35 PM,12:31 AM,06:10 AM,09:08 PM,11,18,19,18,14,28,63,0.0,1013,23,10,174,6,"Arcos+de+Valdevez,Portugal"
2024-07-14,22,13,0.0,1.0,4,53,02:36 PM,12:50 AM,06:11 AM,09:08 PM,13,17,17,17,21,90,79,7.7,1015,22,9,166,8,"Arcos+de+Valdevez,Portugal"
2024-07-15,22,14,0.0,9.0,4,61,03:41 PM,01:10 AM,06:12 AM,09:07 PM,15,18,18,18,23,73,80,11.7,1016,22,8,229,9,"Arcos+de+Valdevez,Portugal"
2024-07-16,23,13,0.0,13.0,4,68,04:48 PM,01:35 AM,06:13 AM,09:06 PM,14,18,18,18,17,27,74,0.2,1019,23,8,188,7,"Arcos+de+Valdevez,Portugal"
2024-07-17,25,13,0.0,15.0,5,75,05:57 PM,02:05 AM,06:14 AM,09:06 PM,15,19,20,19,12,6,71,0.0,1017,25,10,181,6,"Arcos+de+Valdevez,Portugal"
2024-07-18,27,14,0.0,15.0,6,82,07:04 PM,02:43 AM,06:15 AM,09:05 PM,14,20,21,20,12,4,62,0.0,1018,27,10,193,6,"Arcos+de+Valdevez,Portugal"
2024-07-19,27,15,0.0,15.0,6,90,08:06 PM,03:33 AM,06:15 AM,09:04 PM,16,21,21,21,15,4,66,0.0,1019,27,9,198,7,"Arcos+de+Valdevez,Portugal"
2024-07-20,24,16,0.0,7.0,4,97,08:58 PM,04:35 AM,06:16 AM,09:03 PM,17,20,21,20,17,60,83,6.3,1017,24,7,209,6,"Arcos+de+Valdevez,Portugal"
2024-07-21,27,12,0.0,15.0,5,100,09:41 PM,05:48 AM,06:17 AM,09:02 PM,12,19,20,19,29,19,64,0.0,1017,27,8,167,11,"Arcos+de+Valdevez,Portugal"
2024-07-22,35,14,0.0,15.0,6,88,10:14 PM,07:07 AM,06:18 AM,09:02 PM,13,25,25,25,18,1,43,0.0,1017,35,10,143,8,"Arcos+de+Valdevez,Portugal"
2024-07-23,36,22,0.0,15.0,7,81,10:42 PM,08:26 AM,06:19 AM,09:01 PM,16,30,30,28,14,0,41,0.0,1017,36,10,145,7,"Arcos+de+Valdevez,Portugal"
