date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,24,18,0.0,9.5,5,83,09:14 PM,07:34 AM,05:29 AM,06:54 PM,19,21,22,21,5,77,91,44.3,1013,24,8,235,4,"Brasil,+Sao+Paulo"
2021-01-02,26,18,0.0,13.2,5,76,09:58 PM,08:32 AM,05:30 AM,06:54 PM,19,23,23,22,12,47,87,4.4,1012,26,7,114,7,"Brasil,+Sao+Paulo"
2021-01-03,27,18,0.0,10.8,5,69,10:39 PM,09:32 AM,05:30 AM,06:54 PM,19,23,23,21,15,63,86,11.0,1010,27,9,111,9,"Brasil,+Sao+Paulo"
2021-01-04,26,17,0.0,9.5,5,62,11:19 PM,10:30 AM,05:31 AM,06:55 PM,19,22,22,21,18,73,84,8.8,1011,26,9,126,11,"Brasil,+Sao+Paulo"
2021-01-05,29,18,0.0,13.2,5,56,11:57 PM,11:28 AM,05:32 AM,06:55 PM,19,24,24,23,10,48,81,5.1,1012,29,8,154,6,"Brasil,+Sao+Paulo"
2021-01-06,26,20,0.0,13.2,5,49,No moonrise,12:26 PM,05:32 AM,06:55 PM,20,24,24,23,10,50,87,14.8,1012,26,9,179,6,"Brasil,+Sao+Paulo"
2021-01-07,26,20,0.0,9.5,5,42,12:36 AM,01:26 PM,05:33 AM,06:55 PM,20,24,24,22,8,66,88,17.4,1012,26,8,187,5,"Brasil,+Sao+Paulo"
2021-01-08,27,20,0.0,8.3,5,35,01:17 AM,02:28 PM,05:34 AM,06:55 PM,21,24,24,23,10,78,87,17.3,1012,27,9,186,6,"Brasil,+Sao+Paulo"
2021-01-09,27,20,0.0,10.8,5,28,02:02 AM,03:32 PM,05:34 AM,06:56 PM,21,25,25,23,8,68,86,22.4,1010,27,7,140,5,"Brasil,+Sao+Paulo"
2021-01-10,27,20,0.0,10.8,5,22,02:51 AM,04:37 PM,05:35 AM,06:56 PM,21,25,25,23,18,72,87,19.2,1011,27,7,88,11,"Brasil,+Sao+Paulo"
2021-01-11,27,20,0.0,10.8,5,15,03:46 AM,05:41 PM,05:36 AM,06:56 PM,21,25,25,23,22,64,86,16.4,1011,27,9,69,13,"Brasil,+Sao+Paulo"
2021-01-12,26,21,0.0,8.3,5,8,04:45 AM,06:42 PM,05:36 AM,06:56 PM,21,25,25,23,16,75,88,17.2,1011,26,9,66,10,"Brasil,+Sao+Paulo"
2021-01-13,26,21,0.0,8.2,5,1,05:47 AM,07:38 PM,05:37 AM,06:56 PM,21,25,25,23,11,74,89,17.2,1012,26,9,97,8,"Brasil,+Sao+Paulo"
2021-01-14,25,20,0.0,8.2,5,5,06:49 AM,08:26 PM,05:38 AM,06:56 PM,20,23,23,22,17,74,90,52.8,1012,25,7,59,10,"Brasil,+Sao+Paulo"
