date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2024-06-30,20,11,0.0,14.0,5,27,02:34 AM,04:02 PM,07:04 AM,09:20 PM,11,15,15,15,17,18,78,0.0,1021,20,10,135,8,"Camara+de+Lobos,Portugal"
2024-07-01,18,13,0.0,6.0,4,26,03:07 AM,05:11 PM,07:04 AM,09:20 PM,12,15,16,15,19,65,78,0.8,1023,18,10,52,8,"Camara+de+Lobos,Portugal"
2024-07-02,20,15,0.0,5.0,4,19,03:44 AM,06:20 PM,07:05 AM,09:20 PM,13,17,17,17,18,65,78,0.9,1022,20,10,43,9,"Camara+de+Lobos,Portugal"
2024-07-03,22,15,0.0,14.0,5,12,04:27 AM,07:28 PM,07:05 AM,09:20 PM,14,18,19,18,17,15,76,0.2,1019,22,10,79,8,"Camara+de+Lobos,Portugal"
2024-07-04,22,14,0.0,14.0,5,5,05:17 AM,08:31 PM,07:05 AM,09:20 PM,14,18,18,18,15,2,76,0.0,1018,22,10,179,8,"Camara+de+Lobos,Portugal"
2024-07-05,21,13,0.0,14.0,5,0,06:14 AM,09:28 PM,07:06 AM,09:19 PM,13,16,17,16,18,3,75,0.0,1019,21,10,312,9,"Camara+de+Lobos,Portugal"
2024-07-06,22,14,0.0,14.0,5,0,07:16 AM,10:15 PM,07:06 AM,09:19 PM,14,17,17,17,20,17,79,0.0,1021,22,10,112,8,"Camara+de+Lobos,Portugal"
2024-07-07,21,13,0.0,12.0,4,2,08:19 AM,10:55 PM,07:07 AM,09:19 PM,13,16,16,16,20,21,77,0.0,1021,21,10,68,8,"Camara+de+Lobos,Portugal"
2024-07-08,22,13,0.0,10.0,4,10,09:22 AM,11:28 PM,07:07 AM,09:19 PM,13,17,17,17,13,22,75,0.0,1020,22,10,327,6,"Camara+de+Lobos,Portugal"
2024-07-09,23,14,0.0,14.0,5,17,10:21 AM,11:57 PM,07:08 AM,09:19 PM,13,19,20,19,11,1,69,0.0,1020,23,10,317,7,"Camara+de+Lobos,Portugal"
2024-07-10,25,16,0.0,14.0,6,24,11:18 AM,No moonset,07:09 AM,09:18 PM,16,20,21,20,12,0,75,0.0,1022,25,10,334,7,"Camara+de+Lobos,Portugal"
