date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2024-06-30,18,9,0.0,10.0,3,27,01:48 AM,03:36 PM,06:05 AM,09:05 PM,10,13,13,13,15,54,74,5.9,1017,18,10,294,7,"Chamusca,Portugal"
2024-07-01,23,10,0.0,15.0,5,26,02:15 AM,04:51 PM,06:05 AM,09:05 PM,9,16,17,16,19,12,62,0.0,1020,23,9,156,7,"Chamusca,Portugal"
2024-07-02,26,15,0.0,15.0,6,19,02:46 AM,06:05 PM,06:06 AM,09:05 PM,10,20,21,20,18,3,50,0.0,1019,26,10,74,8,"Chamusca,Portugal"
2024-07-03,29,18,0.0,14.0,5,12,03:24 AM,07:17 PM,06:06 AM,09:05 PM,12,23,23,23,12,5,47,0.1,1016,29,10,183,4,"Chamusca,Portugal"
2024-07-04,31,18,0.0,15.0,6,5,04:11 AM,08:22 PM,06:07 AM,09:05 PM,11,25,25,24,11,3,38,0.0,1014,31,10,147,6,"Chamusca,Portugal"
2024-07-05,30,13,0.0,15.0,5,0,05:07 AM,09:18 PM,06:07 AM,09:04 PM,11,25,25,24,17,10,45,0.6,1011,30,10,208,8,"Chamusca,Portugal"
2024-07-06,22,9,0.0,15.0,5,0,06:10 AM,10:03 PM,06:08 AM,09:04 PM,9,15,16,15,25,4,63,0.0,1014,22,10,293,10,"Chamusca,Portugal"
2024-07-07,22,8,0.0,15.0,4,2,07:17 AM,10:38 PM,06:09 AM,09:04 PM,7,14,15,14,18,2,58,0.0,1015,22,10,205,7,"Chamusca,Portugal"
2024-07-08,24,11,0.0,15.0,5,10,08:24 AM,11:07 PM,06:09 AM,09:03 PM,7,17,18,17,16,10,50,0.4,1014,24,10,270,7,"Chamusca,Portugal"
2024-07-09,22,13,0.0,6.0,4,17,09:29 AM,11:31 PM,06:10 AM,09:03 PM,12,17,17,17,22,66,70,5.7,1016,22,10,247,9,"Chamusca,Portugal"
2024-07-10,24,13,0.0,15.0,4,24,10:31 AM,11:51 PM,06:10 AM,09:03 PM,13,18,19,18,18,28,71,0.0,1019,24,9,269,7,"Chamusca,Portugal"
2024-07-11,25,12,0.0,15.0,5,32,11:32 AM,No moonset,06:11 AM,09:02 PM,12,18,19,18,21,5,63,0.0,1020,25,10,286,9,"Chamusca,Portugal"
2024-07-12,25,11,0.0,15.0,5,39,12:31 PM,12:10 AM,06:12 AM,09:02 PM,9,18,18,18,19,2,57,0.0,1017,25,10,221,7,"Chamusca,Portugal"
2024-07-13,24,10,0.0,15.0,5,46,01:31 PM,12:29 AM,06:13 AM,09:01 PM,8,17,18,17,15,11,49,0.0,1012,24,10,284,8,"Chamusca,Portugal"
2024-07-14,23,10,0.0,15.0,5,53,02:31 PM,12:49 AM,06:13 AM,09:01 PM,7,17,18,17,18,18,50,1.3,1014,23,10,274,8,"Chamusca,Portugal"
2024-07-15,21,10,0.0,9.0,4,61,03:35 PM,01:11 AM,06:14 AM,09:00 PM,11,16,16,16,25,50,72,8.7,1017,21,8,262,10,"Chamusca,Portugal"
2024-07-16,24,9,0.0,14.0,5,68,04:41 PM,01:37 AM,06:15 AM,08:59 PM,8,16,16,16,15,8,59,0.0,1019,24,9,270,6,"Chamusca,Portugal"
2024-07-17,28,13,0.0,14.0,6,75,05:49 PM,02:07 AM,06:16 AM,08:59 PM,10,21,21,21,13,1,47,0.0,1017,28,10,200,6,"Chamusca,Portugal"
2024-07-18,29,16,0.0,14.0,6,82,06:55 PM,02:47 AM,06:17 AM,08:58 PM,8,22,22,22,14,0,38,0.0,1018,29,10,292,6,"Chamusca,Portugal"
