date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2024-06-30,23,13,0.0,12.0,4,27,01:42 AM,03:33 PM,05:56 AM,09:04 PM,11,18,18,18,14,46,66,0.3,1015,23,10,261,7,"Mora,Portugal"
2024-07-01,28,13,0.0,16.0,5,26,02:07 AM,04:48 PM,05:56 AM,09:04 PM,10,20,21,20,13,18,55,0.0,1020,28,10,114,6,"Mora,Portugal"
2024-07-02,29,14,0.0,16.0,6,19,02:37 AM,06:04 PM,05:57 AM,09:04 PM,11,21,22,21,16,7,51,0.0,1019,29,10,105,8,"Mora,Portugal"
2024-07-03,31,15,0.0,16.0,6,12,03:15 AM,07:17 PM,05:57 AM,09:03 PM,10,23,23,24,15,3,42,0.0,1015,31,10,128,7,"Mora,Portugal"
2024-07-04,33,17,0.0,16.0,6,5,04:01 AM,08:22 PM,05:58 AM,09:03 PM,8,24,24,25,18,6,36,0.0,1013,33,10,67,11,"Mora,Portugal"
2024-07-05,34,18,0.0,14.0,6,0,04:56 AM,09:18 PM,05:59 AM,09:03 PM,12,26,26,26,24,12,44,0.0,1010,34,10,171,13,"Mora,Portugal"
2024-07-06,27,15,0.0,16.0,6,0,06:00 AM,10:02 PM,05:59 AM,09:02 PM,9,20,20,20,20,9,51,0.0,1011,27,10,230,12,"Mora,Portugal"
2024-07-07,26,12,0.0,15.0,5,2,07:07 AM,10:36 PM,06:00 AM,09:02 PM,6,19,19,19,18,14,47,0.0,1013,26,10,164,9,"Mora,Portugal"
2024-07-08,28,13,0.0,15.0,6,10,08:15 AM,11:04 PM,06:01 AM,09:02 PM,8,21,20,21,20,12,43,0.0,1013,28,10,262,11,"Mora,Portugal"
2024-07-09,24,16,0.0,6.0,4,17,09:21 AM,11:27 PM,06:01 AM,09:01 PM,12,19,20,19,20,72,60,0.3,1014,24,9,243,12,"Mora,Portugal"
2024-07-10,28,16,0.0,12.0,5,24,10:24 AM,11:47 PM,06:02 AM,09:01 PM,14,22,22,22,18,43,62,0.0,1018,28,10,258,9,"Mora,Portugal"
2024-07-11,29,17,0.0,14.0,6,32,11:26 AM,No moonset,06:03 AM,09:00 PM,12,22,22,22,24,6,54,0.0,1017,29,10,264,14,"Mora,Portugal"
2024-07-12,29,14,0.0,14.0,6,39,12:26 PM,12:05 AM,06:03 AM,09:00 PM,8,21,20,21,15,7,50,0.0,1016,29,10,211,8,"Mora,Portugal"
2024-07-13,28,14,0.0,14.0,6,46,01:26 PM,12:23 AM,06:04 AM,08:59 PM,7,21,20,21,21,18,43,0.0,1011,28,10,167,12,"Mora,Portugal"
2024-07-14,27,14,0.0,14.0,6,53,02:28 PM,12:42 AM,06:05 AM,08:59 PM,6,21,21,21,22,19,39,0.0,1013,27,10,255,13,"Mora,Portugal"
2024-07-15,25,15,0.0,11.0,4,61,03:32 PM,01:03 AM,06:06 AM,08:58 PM,10,20,20,20,29,42,54,4.9,1015,25,10,249,17,"Mora,Portugal"
2024-07-16,28,11,0.0,14.0,5,68,04:39 PM,01:28 AM,06:06 AM,08:57 PM,7,19,19,19,12,3,49,0.0,1018,28,10,252,7,"Mora,Portugal"
2024-07-17,31,14,0.0,14.0,6,75,05:48 PM,01:58 AM,06:07 AM,08:57 PM,8,22,22,22,18,2,42,0.0,1016,31,10,161,9,"Mora,Portugal"
2024-07-18,33,17,0.0,14.0,6,82,06:54 PM,02:37 AM,06:08 AM,08:56 PM,8,24,24,25,15,0,37,0.0,1017,33,10,271,9,"Mora,Portugal"
