date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,10,5,0.0,5.3,2,79,07:45 PM,09:50 AM,07:52 AM,05:22 PM,4,4,6,4,23,53,85,0.0,1017,10,10,317,12,"PORTUGAL,+ANSIAO.CSV"
2021-01-02,11,3,0.0,8.7,3,71,08:52 PM,10:29 AM,07:52 AM,05:22 PM,3,4,6,4,21,3,82,0.0,1018,11,10,328,12,"PORTUGAL,+ANSIAO.CSV"
2021-01-03,11,2,0.0,7.0,2,64,10:00 PM,11:04 AM,07:52 AM,05:23 PM,3,4,6,4,14,22,83,0.0,1019,11,10,328,7,"PORTUGAL,+ANSIAO.CSV"
2021-01-04,11,3,0.0,8.7,2,57,11:08 PM,11:35 AM,07:53 AM,05:24 PM,3,5,6,5,10,35,82,0.0,1016,11,10,248,5,"PORTUGAL,+ANSIAO.CSV"
2021-01-05,10,1,0.0,8.7,1,50,No moonrise,12:03 PM,07:53 AM,05:25 PM,-0,3,4,3,12,13,75,0.0,1014,10,10,63,5,"PORTUGAL,+ANSIAO.CSV"
2021-01-06,9,-0,0.0,8.7,2,42,12:17 AM,12:31 PM,07:52 AM,05:26 PM,-3,1,4,1,18,24,63,0.0,1012,9,10,48,10,"PORTUGAL,+ANSIAO.CSV"
2021-01-07,10,2,0.0,8.7,3,35,01:27 AM,01:01 PM,07:52 AM,05:27 PM,-3,4,5,4,17,29,61,0.0,1012,10,10,111,8,"PORTUGAL,+ANSIAO.CSV"
2021-01-08,9,1,0.0,8.7,2,28,02:37 AM,01:33 PM,07:52 AM,05:28 PM,-3,2,4,2,25,25,61,0.0,1009,9,10,111,13,"PORTUGAL,+ANSIAO.CSV"
2021-01-09,6,-0,0.0,5.3,1,20,03:51 AM,02:10 PM,07:52 AM,05:29 PM,-2,-1,3,-1,27,47,71,0.8,1006,6,10,251,17,"PORTUGAL,+ANSIAO.CSV"
2021-01-10,9,0,0.0,5.3,1,13,05:04 AM,02:54 PM,07:52 AM,05:30 PM,-1,2,4,2,19,39,76,0.0,1014,9,10,71,9,"PORTUGAL,+ANSIAO.CSV"
2021-01-11,10,-0,0.0,8.7,2,6,06:15 AM,03:46 PM,07:52 AM,05:31 PM,-3,3,5,3,16,0,66,0.0,1024,10,10,137,8,"PORTUGAL,+ANSIAO.CSV"
2021-01-12,11,-0,0.0,8.7,2,0,07:21 AM,04:45 PM,07:52 AM,05:32 PM,-1,4,4,4,8,0,70,0.0,1030,11,10,121,3,"PORTUGAL,+ANSIAO.CSV"
2021-01-13,13,-0,0.0,8.7,3,0,08:17 AM,05:51 PM,07:51 AM,05:33 PM,1,4,5,4,10,20,79,0.0,1031,13,9,183,5,"PORTUGAL,+ANSIAO.CSV"
2021-01-14,13,2,0.0,8.7,3,1,09:05 AM,06:59 PM,07:51 AM,05:34 PM,5,4,6,4,23,19,88,0.0,1030,13,7,336,12,"PORTUGAL,+ANSIAO.CSV"
2021-01-15,14,4,0.0,8.7,3,8,09:44 AM,08:05 PM,07:51 AM,05:35 PM,5,7,8,7,15,10,86,0.0,1029,14,6,261,7,"PORTUGAL,+ANSIAO.CSV"
2021-01-16,14,1,0.0,8.7,3,16,10:16 AM,09:10 PM,07:50 AM,05:36 PM,2,6,7,6,10,3,77,0.0,1029,14,10,170,4,"PORTUGAL,+ANSIAO.CSV"
2021-01-17,15,1,0.0,8.7,3,23,10:44 AM,10:12 PM,07:50 AM,05:37 PM,1,7,7,7,8,8,72,0.0,1029,15,10,92,3,"PORTUGAL,+ANSIAO.CSV"
2021-01-18,14,1,0.0,8.7,3,30,11:09 AM,11:12 PM,07:49 AM,05:38 PM,2,6,7,6,9,3,73,0.0,1027,14,10,92,4,"PORTUGAL,+ANSIAO.CSV"
2021-01-19,12,2,0.0,3.7,2,38,11:33 AM,No moonset,07:49 AM,05:39 PM,5,5,7,5,21,63,85,0.0,1021,12,10,136,11,"PORTUGAL,+ANSIAO.CSV"
2021-01-20,14,10,0.0,7.0,3,45,11:57 AM,12:10 AM,07:48 AM,05:41 PM,10,9,11,9,40,84,92,26.1,1009,14,8,223,20,"PORTUGAL,+ANSIAO.CSV"
2021-01-21,15,10,0.0,3.7,3,52,12:21 PM,01:08 AM,07:48 AM,05:42 PM,11,10,12,10,33,93,94,2.1,1014,15,8,227,17,"PORTUGAL,+ANSIAO.CSV"
2021-01-22,12,8,0.0,5.4,3,59,12:49 PM,02:06 AM,07:47 AM,05:43 PM,8,8,11,8,41,68,82,2.0,1016,12,10,267,21,"PORTUGAL,+ANSIAO.CSV"
2021-01-23,14,8,0.0,3.7,3,67,01:20 PM,03:06 AM,07:47 AM,05:44 PM,10,8,10,8,33,86,92,7.6,1016,14,9,246,17,"PORTUGAL,+ANSIAO.CSV"
2021-01-24,14,11,0.0,3.7,3,74,01:55 PM,04:05 AM,07:46 AM,05:45 PM,11,11,12,11,17,79,95,0.0,1015,14,5,231,9,"PORTUGAL,+ANSIAO.CSV"
2021-01-25,16,12,0.0,3.8,3,81,02:38 PM,05:05 AM,07:45 AM,05:46 PM,13,13,14,13,26,92,93,2.4,1017,16,7,248,14,"PORTUGAL,+ANSIAO.CSV"
2021-01-26,15,14,0.0,3.8,3,88,03:29 PM,06:03 AM,07:45 AM,05:47 PM,14,15,15,15,12,100,98,2.4,1023,15,6,253,7,"PORTUGAL,+ANSIAO.CSV"
2021-01-27,17,12,0.0,3.8,3,96,04:26 PM,06:57 AM,07:44 AM,05:49 PM,13,14,14,14,6,76,93,0.0,1027,17,4,297,3,"PORTUGAL,+ANSIAO.CSV"
2021-01-28,17,11,0.0,7.1,3,100,05:31 PM,07:45 AM,07:43 AM,05:50 PM,12,14,13,14,8,68,91,0.0,1024,17,5,174,5,"PORTUGAL,+ANSIAO.CSV"
2021-01-29,16,11,0.0,3.8,3,90,06:39 PM,08:27 AM,07:42 AM,05:51 PM,11,13,13,13,12,75,89,0.0,1023,16,8,221,7,"PORTUGAL,+ANSIAO.CSV"
2021-01-30,14,11,0.0,5.4,3,82,07:49 PM,09:04 AM,07:41 AM,05:52 PM,10,11,12,11,33,71,84,0.5,1020,14,10,281,18,"PORTUGAL,+ANSIAO.CSV"
