date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2024-06-30,22,20,0.0,12.0,5,27,02:04 AM,03:47 PM,06:24 AM,09:09 PM,16,21,22,21,21,44,75,0.3,1027,22,10,16,17,"Ponta+Delgada,Portugal"
2024-07-01,22,19,0.0,15.0,6,26,02:33 AM,04:59 PM,06:25 AM,09:09 PM,14,20,21,20,19,15,68,0.0,1030,22,10,39,14,"Ponta+Delgada,Portugal"
2024-07-02,22,18,0.0,11.0,5,19,03:07 AM,06:11 PM,06:25 AM,09:08 PM,17,20,21,20,16,49,81,0.0,1030,22,10,29,13,"Ponta+Delgada,Portugal"
2024-07-03,23,19,0.0,9.0,5,12,03:47 AM,07:22 PM,06:26 AM,09:08 PM,18,21,22,21,10,55,83,1.2,1025,23,10,106,7,"Ponta+Delgada,Portugal"
2024-07-04,22,18,0.0,14.0,5,5,04:35 AM,08:26 PM,06:26 AM,09:08 PM,16,20,21,20,11,10,73,0.1,1023,22,10,58,8,"Ponta+Delgada,Portugal"
2024-07-05,23,18,0.0,13.0,5,0,05:32 AM,09:22 PM,06:27 AM,09:08 PM,17,21,22,21,13,37,78,0.0,1025,23,10,148,10,"Ponta+Delgada,Portugal"
2024-07-06,23,20,0.0,12.0,5,0,06:35 AM,10:07 PM,06:27 AM,09:08 PM,19,22,23,22,18,39,84,0.0,1027,23,10,261,14,"Ponta+Delgada,Portugal"
2024-07-07,24,20,0.0,15.0,6,2,07:41 AM,10:43 PM,06:28 AM,09:07 PM,19,22,24,22,19,38,85,0.0,1023,24,10,300,14,"Ponta+Delgada,Portugal"
2024-07-08,23,22,0.0,9.0,5,10,08:45 AM,11:14 PM,06:28 AM,09:07 PM,21,25,25,22,34,77,92,0.8,1017,23,10,269,26,"Ponta+Delgada,Portugal"
2024-07-09,24,22,0.0,11.0,5,17,09:49 AM,11:39 PM,06:29 AM,09:07 PM,22,25,25,23,31,72,92,0.7,1016,24,10,263,23,"Ponta+Delgada,Portugal"
2024-07-10,24,21,0.0,13.0,5,24,10:49 AM,No moonset,06:30 AM,09:06 PM,19,25,25,22,21,33,81,0.2,1021,24,10,242,16,"Ponta+Delgada,Portugal"
2024-07-11,23,20,0.0,9.0,5,32,11:47 AM,12:02 AM,06:30 AM,09:06 PM,16,22,23,22,10,61,71,2.0,1026,23,10,85,7,"Ponta+Delgada,Portugal"
2024-07-12,23,20,0.0,5.0,5,39,12:45 PM,12:22 AM,06:31 AM,09:05 PM,19,22,23,22,20,66,84,1.2,1022,23,10,189,15,"Ponta+Delgada,Portugal"
2024-07-13,24,21,0.0,9.0,5,46,01:43 PM,12:43 AM,06:32 AM,09:05 PM,20,25,25,22,21,71,88,1.6,1016,24,10,193,16,"Ponta+Delgada,Portugal"
2024-07-14,23,19,0.0,15.0,6,53,02:42 PM,01:05 AM,06:32 AM,09:04 PM,14,21,22,21,15,18,65,0.0,1015,23,10,293,12,"Ponta+Delgada,Portugal"
2024-07-15,23,20,0.0,13.0,5,61,03:43 PM,01:29 AM,06:33 AM,09:04 PM,18,24,24,22,19,48,78,2.0,1018,23,10,203,15,"Ponta+Delgada,Portugal"
2024-07-16,24,22,0.0,11.0,5,68,04:47 PM,01:56 AM,06:34 AM,09:03 PM,20,25,25,23,20,54,87,1.3,1017,24,10,268,15,"Ponta+Delgada,Portugal"
2024-07-17,24,22,0.0,11.0,5,75,05:54 PM,02:29 AM,06:34 AM,09:03 PM,20,25,25,23,26,59,86,1.0,1016,24,10,245,19,"Ponta+Delgada,Portugal"
2024-07-18,23,21,0.0,11.0,5,82,06:59 PM,03:11 AM,06:35 AM,09:02 PM,19,22,24,22,21,61,84,0.0,1018,23,10,182,17,"Ponta+Delgada,Portugal"
2024-07-19,24,19,0.0,15.0,6,90,08:00 PM,04:02 AM,06:36 AM,09:02 PM,17,22,23,22,13,0,74,0.0,1023,24,10,215,10,"Ponta+Delgada,Portugal"
2024-07-20,25,21,0.0,15.0,6,97,08:53 PM,05:05 AM,06:37 AM,09:01 PM,19,24,24,23,14,9,81,0.0,1023,25,10,295,11,"Ponta+Delgada,Portugal"
2024-07-21,25,22,0.0,14.0,5,100,09:38 PM,06:16 AM,06:37 AM,09:00 PM,20,25,25,23,14,39,81,0.0,1023,25,8,315,11,"Ponta+Delgada,Portugal"
2024-07-22,25,22,0.0,5.0,5,88,10:15 PM,07:32 AM,06:38 AM,08:59 PM,19,25,25,23,17,68,77,0.2,1024,25,10,203,13,"Ponta+Delgada,Portugal"
2024-07-23,25,21,0.0,12.0,5,81,10:47 PM,08:48 AM,06:39 AM,08:59 PM,19,25,25,23,11,68,74,0.0,1025,25,10,60,8,"Ponta+Delgada,Portugal"
2024-07-24,25,21,0.0,10.0,5,74,11:15 PM,10:02 AM,06:40 AM,08:58 PM,19,25,25,23,10,42,78,0.2,1025,25,10,117,7,"Ponta+Delgada,Portugal"
2024-07-25,25,20,0.0,14.0,6,67,11:41 PM,11:15 AM,06:41 AM,08:57 PM,19,24,24,23,9,6,75,0.0,1023,25,10,171,5,"Ponta+Delgada,Portugal"
2024-07-26,25,21,0.0,14.0,6,59,No moonrise,12:27 PM,06:42 AM,08:56 PM,20,25,25,23,15,12,81,0.0,1020,25,10,253,12,"Ponta+Delgada,Portugal"
