date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2024-06-30,21,19,0.0,12.0,5,27,02:31 AM,04:00 PM,07:00 AM,09:18 PM,17,20,20,20,27,64,80,0.0,1021,21,10,168,20,"Porto+Santo,Portugal"
2024-07-01,21,20,0.0,4.0,5,26,03:04 AM,05:09 PM,07:00 AM,09:18 PM,16,21,22,21,29,61,77,0.0,1023,21,10,29,21,"Porto+Santo,Portugal"
2024-07-02,21,20,0.0,2.0,4,19,03:40 AM,06:18 PM,07:01 AM,09:18 PM,16,20,20,20,40,80,78,0.2,1022,21,10,21,30,"Porto+Santo,Portugal"
2024-07-03,21,20,0.0,8.0,5,12,04:23 AM,07:27 PM,07:01 AM,09:18 PM,17,20,20,20,37,82,79,0.0,1018,21,10,19,27,"Porto+Santo,Portugal"
2024-07-04,21,20,0.0,3.0,5,5,05:13 AM,08:30 PM,07:02 AM,09:18 PM,17,20,20,20,33,83,80,0.1,1018,21,10,143,25,"Porto+Santo,Portugal"
2024-07-05,21,20,0.0,7.0,5,0,06:10 AM,09:26 PM,07:02 AM,09:18 PM,17,21,22,21,32,70,80,0.1,1018,21,10,318,23,"Porto+Santo,Portugal"
2024-07-06,21,20,0.0,1.0,5,0,07:12 AM,10:14 PM,07:03 AM,09:18 PM,17,20,20,20,36,87,81,0.0,1021,21,10,18,27,"Porto+Santo,Portugal"
2024-07-07,21,20,0.0,13.0,5,2,08:15 AM,10:53 PM,07:03 AM,09:18 PM,16,20,20,20,32,60,76,0.0,1021,21,10,15,24,"Porto+Santo,Portugal"
2024-07-08,22,20,0.0,14.0,6,10,09:18 AM,11:27 PM,07:04 AM,09:17 PM,18,21,22,21,21,9,82,0.0,1019,22,10,328,15,"Porto+Santo,Portugal"
2024-07-09,22,21,0.0,14.0,6,17,10:18 AM,11:55 PM,07:04 AM,09:17 PM,20,21,23,21,25,21,90,0.0,1019,22,10,311,17,"Porto+Santo,Portugal"
2024-07-10,23,22,0.0,14.0,6,24,11:15 AM,No moonset,07:05 AM,09:17 PM,21,25,25,22,24,25,91,0.0,1021,23,10,341,16,"Porto+Santo,Portugal"
2024-07-11,23,22,0.0,14.0,6,32,12:10 PM,12:20 AM,07:05 AM,09:16 PM,21,25,25,22,26,50,93,0.0,1022,23,10,325,18,"Porto+Santo,Portugal"
2024-07-12,22,21,0.0,14.0,6,39,01:05 PM,12:44 AM,07:06 AM,09:16 PM,18,21,24,21,29,7,83,0.0,1021,22,10,15,21,"Porto+Santo,Portugal"
2024-07-13,21,20,0.0,11.0,5,46,02:00 PM,01:08 AM,07:07 AM,09:16 PM,16,21,22,21,24,52,74,0.0,1018,21,10,21,18,"Porto+Santo,Portugal"
2024-07-14,23,21,0.0,14.0,6,53,02:56 PM,01:32 AM,07:07 AM,09:15 PM,17,22,23,22,8,0,74,0.0,1017,23,10,166,5,"Porto+Santo,Portugal"
2024-07-15,23,22,0.0,14.0,5,61,03:54 PM,01:58 AM,07:08 AM,09:15 PM,21,25,25,22,18,42,90,0.0,1019,23,10,234,12,"Porto+Santo,Portugal"
2024-07-16,22,21,0.0,14.0,6,68,04:56 PM,02:29 AM,07:08 AM,09:15 PM,17,22,24,22,19,5,74,0.0,1021,22,10,37,14,"Porto+Santo,Portugal"
2024-07-17,23,21,0.0,14.0,6,75,05:59 PM,03:05 AM,07:09 AM,09:14 PM,17,22,25,22,14,3,73,0.0,1019,23,10,43,10,"Porto+Santo,Portugal"
2024-07-18,23,22,0.0,14.0,6,82,07:03 PM,03:48 AM,07:10 AM,09:14 PM,19,25,25,22,17,1,79,0.0,1018,23,10,53,12,"Porto+Santo,Portugal"
2024-07-19,23,22,0.0,14.0,6,90,08:04 PM,04:41 AM,07:10 AM,09:13 PM,19,25,25,23,20,1,81,0.0,1021,23,10,31,14,"Porto+Santo,Portugal"
2024-07-20,24,23,0.0,13.0,6,97,08:59 PM,05:43 AM,07:11 AM,09:12 PM,21,25,25,23,21,13,85,0.1,1020,24,10,122,15,"Porto+Santo,Portugal"
2024-07-21,23,23,0.0,10.0,5,100,09:47 PM,06:52 AM,07:12 AM,09:12 PM,20,25,25,23,32,64,83,0.3,1020,23,10,18,23,"Porto+Santo,Portugal"
2024-07-22,23,22,0.0,11.0,5,88,10:27 PM,08:04 AM,07:12 AM,09:11 PM,18,25,25,23,33,71,74,0.1,1020,23,10,20,24,"Porto+Santo,Portugal"
2024-07-23,23,22,0.0,14.0,5,81,11:02 PM,09:17 AM,07:13 AM,09:11 PM,18,25,25,22,32,61,77,0.0,1020,23,10,13,24,"Porto+Santo,Portugal"
2024-07-24,23,22,0.0,14.0,6,74,11:34 PM,10:28 AM,07:14 AM,09:10 PM,19,25,25,22,28,6,82,0.0,1019,23,10,12,21,"Porto+Santo,Portugal"
2024-07-25,23,22,0.0,14.0,6,67,No moonrise,11:37 AM,07:14 AM,09:09 PM,20,25,25,23,32,14,85,0.1,1018,23,10,20,23,"Porto+Santo,Portugal"
2024-07-26,23,22,0.0,9.0,5,59,12:04 AM,12:45 PM,07:15 AM,09:09 PM,19,25,25,22,31,48,83,0.0,1017,23,10,28,23,"Porto+Santo,Portugal"
2024-07-27,23,22,0.0,13.0,6,52,12:33 AM,01:53 PM,07:16 AM,09:08 PM,19,25,25,22,27,19,83,0.1,1018,23,10,155,19,"Porto+Santo,Portugal"
2024-07-28,23,23,0.0,9.0,5,45,01:05 AM,03:02 PM,07:16 AM,09:07 PM,19,25,25,23,31,63,82,0.3,1016,23,10,323,23,"Porto+Santo,Portugal"
2024-07-29,23,22,0.0,11.0,5,38,01:41 AM,04:10 PM,07:17 AM,09:06 PM,19,25,25,23,36,67,80,1.0,1015,23,10,170,27,"Porto+Santo,Portugal"
2024-07-30,23,22,0.0,10.0,5,30,02:21 AM,05:18 PM,07:18 AM,09:06 PM,18,25,25,23,25,73,76,0.0,1016,23,10,21,18,"Porto+Santo,Portugal"
2024-07-31,23,22,0.0,9.0,5,26,03:08 AM,06:22 PM,07:18 AM,09:05 PM,18,25,25,22,24,70,79,0.0,1019,23,10,14,18,"Porto+Santo,Portugal"
2024-08-01,23,22,0.0,14.0,6,16,04:02 AM,07:20 PM,07:19 AM,09:04 PM,19,25,25,22,28,15,79,0.0,1020,23,10,12,21,"Porto+Santo,Portugal"
2024-08-02,23,22,0.0,14.0,6,8,05:01 AM,08:10 PM,07:20 AM,09:03 PM,19,25,25,22,34,4,83,0.0,1019,23,10,26,25,"Porto+Santo,Portugal"
2024-08-03,23,22,0.0,13.0,5,1,06:04 AM,08:51 PM,07:21 AM,09:02 PM,19,25,25,23,38,47,82,0.0,1018,23,10,38,28,"Porto+Santo,Portugal"
2024-08-04,23,22,0.0,14.0,5,0,07:07 AM,09:26 PM,07:21 AM,09:01 PM,18,25,25,22,34,44,78,0.0,1018,23,10,23,25,"Porto+Santo,Portugal"
2024-08-05,23,22,0.0,1.0,5,0,08:07 AM,09:56 PM,07:22 AM,09:00 PM,18,25,25,23,31,77,76,0.8,1019,23,10,15,23,"Porto+Santo,Portugal"
2024-08-06,23,23,0.0,13.0,5,6,09:06 AM,10:22 PM,07:23 AM,09:00 PM,19,25,25,23,31,57,78,0.1,1018,23,10,20,23,"Porto+Santo,Portugal"
2024-08-07,24,23,0.0,13.0,5,13,10:02 AM,10:46 PM,07:23 AM,08:59 PM,20,25,25,23,28,56,85,0.2,1017,24,10,20,20,"Porto+Santo,Portugal"
2024-08-08,23,21,0.0,5.0,5,20,10:57 AM,11:10 PM,07:24 AM,08:58 PM,17,25,25,22,33,78,74,0.2,1020,23,10,23,25,"Porto+Santo,Portugal"
2024-08-09,23,22,0.0,13.0,5,28,11:51 AM,11:34 PM,07:25 AM,08:57 PM,18,25,25,22,34,61,75,0.1,1020,23,10,27,25,"Porto+Santo,Portugal"
2024-08-10,23,23,0.0,1.0,5,35,12:46 PM,11:59 PM,07:25 AM,08:56 PM,19,25,25,23,32,88,79,0.2,1018,23,10,23,23,"Porto+Santo,Portugal"
2024-08-11,23,23,0.0,9.0,5,42,01:43 PM,No moonset,07:26 AM,08:55 PM,19,25,25,23,30,70,79,0.2,1017,23,10,14,23,"Porto+Santo,Portugal"
2024-08-12,23,22,0.0,5.0,5,50,02:42 PM,12:27 AM,07:27 AM,08:53 PM,19,25,25,23,30,74,80,0.4,1017,23,10,24,22,"Porto+Santo,Portugal"
2024-08-13,23,23,0.0,12.0,5,57,03:44 PM,01:00 AM,07:28 AM,08:52 PM,19,25,25,23,32,42,79,0.0,1019,23,10,27,23,"Porto+Santo,Portugal"
2024-08-14,24,23,0.0,8.0,5,64,04:46 PM,01:39 AM,07:28 AM,08:51 PM,20,25,25,23,35,53,83,0.1,1020,24,10,18,26,"Porto+Santo,Portugal"
2024-08-15,23,22,0.0,13.0,5,71,05:48 PM,02:26 AM,07:29 AM,08:50 PM,19,25,25,23,46,53,78,0.0,1018,23,10,24,34,"Porto+Santo,Portugal"
2024-08-16,23,23,0.0,13.0,6,79,06:45 PM,03:24 AM,07:30 AM,08:49 PM,20,25,25,23,43,8,82,0.0,1017,23,10,25,32,"Porto+Santo,Portugal"
2024-08-17,23,23,0.0,13.0,6,86,07:36 PM,04:29 AM,07:30 AM,08:48 PM,21,25,25,23,44,20,88,0.0,1018,23,10,25,32,"Porto+Santo,Portugal"
2024-08-18,23,23,0.0,12.0,6,93,08:20 PM,05:41 AM,07:31 AM,08:47 PM,21,25,25,23,45,35,89,0.0,1018,23,10,26,33,"Porto+Santo,Portugal"
