date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,2,-2,0.2,9.6,1,83,08:34 PM,10:50 AM,08:52 AM,06:11 PM,-1,-3,0,-3,20,60,92,0.2,1015,2,5,297,12,"Portugal,+Almeida"
2021-01-02,4,-1,0.0,9.6,1,76,09:43 PM,11:28 AM,08:52 AM,06:12 PM,-1,-2,1,-2,15,36,86,0.0,1018,4,7,316,9,"Portugal,+Almeida"
2021-01-03,5,-3,0.0,9.6,1,69,10:52 PM,12:01 PM,08:52 AM,06:13 PM,-3,-2,0,-2,13,23,80,0.1,1019,5,9,296,7,"Portugal,+Almeida"
2021-01-04,4,-2,0.0,8.2,1,62,No moonrise,12:30 PM,08:52 AM,06:14 PM,-2,-1,0,-1,9,60,83,0.0,1016,4,8,295,5,"Portugal,+Almeida"
2021-01-05,5,-3,0.0,9.6,2,56,12:01 AM,12:58 PM,08:52 AM,06:14 PM,-5,-0,1,-0,6,1,74,0.0,1015,5,10,81,4,"Portugal,+Almeida"
2021-01-06,3,-4,0.0,9.6,2,49,01:11 AM,01:25 PM,08:52 AM,06:15 PM,-6,-4,-1,-4,18,9,69,0.0,1014,3,10,43,10,"Portugal,+Almeida"
2021-01-07,3,-4,0.0,9.6,2,42,02:22 AM,01:54 PM,08:52 AM,06:16 PM,-6,-6,-2,-6,21,11,74,0.0,1013,3,10,30,13,"Portugal,+Almeida"
2021-01-08,2,-4,0.0,9.7,2,35,03:35 AM,02:24 PM,08:51 AM,06:17 PM,-7,-8,-2,-8,37,38,68,0.0,1011,2,10,35,23,"Portugal,+Almeida"
2021-01-09,-1,-9,5.5,4.8,1,28,04:49 AM,03:00 PM,08:51 AM,06:18 PM,-3,-8,-2,-8,32,100,93,10.3,1006,-1,2,31,24,"Portugal,+Almeida"
2021-01-10,1,-3,3.8,6.5,1,22,06:03 AM,03:43 PM,08:51 AM,06:19 PM,-2,-6,-1,-6,31,79,91,4.5,1014,1,5,46,20,"Portugal,+Almeida"
2021-01-11,1,-5,0.0,9.7,2,15,07:15 AM,04:34 PM,08:51 AM,06:20 PM,-5,-8,-3,-8,30,11,88,0.0,1025,1,10,41,17,"Portugal,+Almeida"
2021-01-12,6,-4,0.0,9.7,2,8,08:21 AM,05:34 PM,08:50 AM,06:21 PM,-4,-2,0,-2,11,5,77,0.0,1031,6,10,72,6,"Portugal,+Almeida"
2021-01-13,9,-2,0.0,9.7,2,1,09:18 AM,06:40 PM,08:50 AM,06:23 PM,-4,1,3,1,13,14,67,0.0,1031,9,10,29,7,"Portugal,+Almeida"
2021-01-14,7,-2,0.0,9.7,1,5,10:04 AM,07:49 PM,08:50 AM,06:24 PM,-2,0,3,0,14,21,76,0.0,1031,7,10,141,8,"Portugal,+Almeida"
2021-01-15,7,-1,0.0,9.8,2,12,10:42 AM,08:56 PM,08:49 AM,06:25 PM,-1,0,3,0,15,3,79,0.0,1029,7,10,30,8,"Portugal,+Almeida"
2021-01-16,8,-2,0.0,9.8,2,19,11:14 AM,10:02 PM,08:49 AM,06:26 PM,-2,-0,2,-0,17,2,77,0.0,1029,8,10,36,9,"Portugal,+Almeida"
2021-01-17,9,-1,0.0,9.8,3,26,11:41 AM,11:05 PM,08:48 AM,06:27 PM,-4,2,4,2,13,5,64,0.0,1030,9,10,46,7,"Portugal,+Almeida"
2021-01-18,10,1,0.0,9.8,3,33,12:05 PM,No moonset,08:48 AM,06:28 PM,-1,4,6,4,11,2,70,0.0,1028,10,10,101,5,"Portugal,+Almeida"
2021-01-19,6,-0,0.0,8.3,1,39,12:27 PM,12:06 AM,08:47 AM,06:29 PM,2,0,3,0,23,46,86,0.0,1023,6,10,187,14,"Portugal,+Almeida"
2021-01-20,8,2,0.0,4.9,2,46,12:50 PM,01:05 AM,08:47 AM,06:31 PM,5,2,6,2,34,93,94,18.0,1009,8,8,202,22,"Portugal,+Almeida"
2021-01-21,9,6,0.0,4.9,2,53,01:14 PM,02:04 AM,08:46 AM,06:32 PM,7,4,7,4,32,96,95,10.3,1012,9,8,225,18,"Portugal,+Almeida"
2021-01-22,6,-1,0.0,4.9,1,60,01:40 PM,03:04 AM,08:46 AM,06:33 PM,4,1,5,1,44,84,89,9.4,1012,6,9,261,27,"Portugal,+Almeida"
2021-01-23,7,-1,0.0,4.9,2,66,02:10 PM,04:04 AM,08:45 AM,06:34 PM,5,2,5,2,32,97,94,17.8,1014,7,6,245,20,"Portugal,+Almeida"
2021-01-24,8,-1,0.0,6.6,2,73,02:45 PM,05:05 AM,08:44 AM,06:35 PM,6,4,6,4,19,88,93,1.7,1014,8,7,241,13,"Portugal,+Almeida"
2021-01-25,10,3,0.0,5.0,2,80,03:27 PM,06:05 AM,08:43 AM,06:37 PM,9,7,9,7,17,100,98,5.5,1015,10,5,232,11,"Portugal,+Almeida"
2021-01-26,12,4,0.0,5.0,3,87,04:17 PM,07:03 AM,08:43 AM,06:38 PM,10,9,10,9,12,97,98,1.7,1022,12,1,242,8,"Portugal,+Almeida"
2021-01-27,16,10,0.0,9.9,3,93,05:15 PM,07:57 AM,08:42 AM,06:39 PM,10,12,12,12,8,58,91,0.0,1026,16,3,284,5,"Portugal,+Almeida"
2021-01-28,14,8,0.0,9.9,3,100,06:20 PM,08:44 AM,08:41 AM,06:40 PM,10,10,11,10,12,45,92,0.0,1024,14,4,214,8,"Portugal,+Almeida"
2021-01-29,13,8,0.0,10.0,3,93,07:30 PM,09:26 AM,08:40 AM,06:42 PM,8,9,10,9,12,55,90,0.0,1022,13,6,229,7,"Portugal,+Almeida"
2021-01-30,6,5,0.0,5.0,2,86,08:40 PM,10:02 AM,08:39 AM,06:43 PM,4,2,6,2,43,85,89,9.3,1017,6,9,270,25,"Portugal,+Almeida"
2021-01-31,11,5,0.0,5.0,2,79,09:52 PM,10:33 AM,08:38 AM,06:44 PM,7,5,8,5,25,82,95,2.9,1018,11,7,273,15,"Portugal,+Almeida"
2021-02-01,12,6,0.0,8.3,2,73,11:03 PM,11:02 AM,08:37 AM,06:45 PM,6,6,8,6,21,54,89,0.2,1019,12,8,250,12,"Portugal,+Almeida"
2021-02-02,11,6,0.0,5.1,2,66,No moonrise,11:29 AM,08:36 AM,06:47 PM,7,6,9,6,21,86,91,0.2,1017,11,7,196,15,"Portugal,+Almeida"
2021-02-03,11,8,0.0,6.7,3,59,12:14 AM,11:57 AM,08:35 AM,06:48 PM,7,7,10,7,22,81,87,7.1,1012,11,9,214,16,"Portugal,+Almeida"
2021-02-04,7,5,0.0,5.1,2,52,01:26 AM,12:26 PM,08:34 AM,06:49 PM,5,5,6,5,10,98,93,3.7,1011,7,5,152,7,"Portugal,+Almeida"
2021-02-05,6,-2,0.0,5.1,1,46,02:38 AM,01:00 PM,08:33 AM,06:50 PM,5,2,4,2,22,95,97,34.6,1003,6,7,33,14,"Portugal,+Almeida"
2021-02-06,7,1,0.0,5.1,1,39,03:52 AM,01:39 PM,08:32 AM,06:52 PM,4,2,5,2,17,94,94,23.7,1002,7,6,340,11,"Portugal,+Almeida"
2021-02-07,5,-7,0.6,5.1,1,32,05:03 AM,02:26 PM,08:31 AM,06:53 PM,1,-1,2,-1,15,77,91,4.6,1010,5,8,267,9,"Portugal,+Almeida"
2021-02-08,6,3,0.0,5.1,2,25,06:09 AM,03:21 PM,08:30 AM,06:54 PM,4,2,5,2,27,93,92,19.4,1006,6,9,257,16,"Portugal,+Almeida"
