date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,5,-3,1.4,3.6,1,83,07:31 PM,09:53 AM,07:55 AM,05:07 PM,-2,-4,-0,-4,18,61,88,2.0,1014,5,7,294,12,"Portugal,+Braganca"
2021-01-02,5,-5,0.0,8.7,2,76,08:39 PM,10:30 AM,07:55 AM,05:08 PM,-4,-3,-0,-3,14,21,82,0.0,1018,5,10,303,8,"Portugal,+Braganca"
2021-01-03,5,-4,0.2,8.7,1,69,09:50 PM,11:03 AM,07:55 AM,05:09 PM,-3,-3,0,-3,17,39,82,0.2,1019,5,9,287,11,"Portugal,+Braganca"
2021-01-04,5,-4,0.1,8.7,1,62,11:00 PM,11:32 AM,07:55 AM,05:10 PM,-4,-2,1,-2,14,25,81,0.1,1016,5,10,296,8,"Portugal,+Braganca"
2021-01-05,5,-5,0.0,8.7,1,56,No moonrise,11:58 AM,07:55 AM,05:11 PM,-5,-1,0,-1,8,18,75,0.0,1015,5,10,223,4,"Portugal,+Braganca"
2021-01-06,4,-4,0.0,8.7,2,49,12:11 AM,12:24 PM,07:55 AM,05:12 PM,-5,-3,0,-3,13,18,79,0.0,1016,4,10,54,8,"Portugal,+Braganca"
2021-01-07,5,-5,0.0,8.7,2,42,01:23 AM,12:51 PM,07:55 AM,05:13 PM,-7,-3,0,-3,17,5,68,0.0,1015,5,10,41,10,"Portugal,+Braganca"
2021-01-08,4,-5,0.0,8.7,1,35,02:35 AM,01:22 PM,07:54 AM,05:14 PM,-9,-5,-1,-5,27,38,61,0.0,1015,4,10,51,16,"Portugal,+Braganca"
2021-01-09,3,-4,0.4,5.3,1,28,03:51 AM,01:57 PM,07:54 AM,05:15 PM,-6,-7,-1,-7,32,78,71,0.5,1008,3,8,47,21,"Portugal,+Braganca"
2021-01-10,6,-3,0.2,8.7,2,22,05:06 AM,02:39 PM,07:54 AM,05:16 PM,-7,-2,2,-2,23,27,63,0.2,1016,6,10,50,14,"Portugal,+Braganca"
2021-01-11,5,-5,0.0,8.7,2,15,06:18 AM,03:30 PM,07:54 AM,05:17 PM,-7,-1,0,-1,5,2,66,0.0,1026,5,10,185,3,"Portugal,+Braganca"
2021-01-12,8,-4,0.0,8.7,2,8,07:25 AM,04:29 PM,07:53 AM,05:18 PM,-5,1,2,1,4,16,73,0.0,1031,8,10,197,2,"Portugal,+Braganca"
2021-01-13,9,-3,0.0,8.7,2,1,08:21 AM,05:36 PM,07:53 AM,05:19 PM,-5,2,3,2,7,14,65,0.0,1032,9,10,139,4,"Portugal,+Braganca"
2021-01-14,10,-3,0.0,8.7,2,5,09:07 AM,06:44 PM,07:53 AM,05:20 PM,-3,2,3,2,7,13,70,0.0,1031,10,10,270,4,"Portugal,+Braganca"
2021-01-15,9,-2,0.0,8.7,2,12,09:44 AM,07:53 PM,07:52 AM,05:22 PM,-1,3,4,3,6,30,82,0.0,1030,9,10,181,3,"Portugal,+Braganca"
