date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,11,8,0.0,3.6,2,83,07:49 PM,09:55 AM,07:57 AM,05:25 PM,5,6,9,6,36,74,76,4.9,1018,11,9,337,21,"Portugal,+Lourinha"
2021-01-02,11,6,0.0,3.6,2,76,08:56 PM,10:34 AM,07:57 AM,05:26 PM,5,6,8,6,25,66,79,2.9,1019,11,10,347,14,"Portugal,+Lourinha"
2021-01-03,12,1,0.0,7.0,2,69,10:04 PM,11:08 AM,07:57 AM,05:27 PM,5,6,7,6,16,35,81,1.4,1020,12,10,219,9,"Portugal,+Lourinha"
2021-01-04,12,6,0.0,5.3,2,62,11:13 PM,11:39 AM,07:57 AM,05:28 PM,4,8,8,8,9,64,77,0.5,1016,12,10,226,5,"Portugal,+Lourinha"
2021-01-05,10,3,0.0,8.7,2,56,No moonrise,12:07 PM,07:57 AM,05:29 PM,1,3,5,3,16,22,75,0.1,1014,10,10,72,9,"Portugal,+Lourinha"
2021-01-06,9,0,0.0,7.0,2,49,12:21 AM,12:35 PM,07:57 AM,05:30 PM,-2,1,4,1,24,38,66,0.0,1012,9,10,75,14,"Portugal,+Lourinha"
2021-01-07,10,3,0.0,8.7,3,42,01:31 AM,01:05 PM,07:57 AM,05:31 PM,-2,3,6,3,21,27,61,0.0,1011,10,10,39,12,"Portugal,+Lourinha"
2021-01-08,8,2,0.0,8.7,3,35,02:42 AM,01:37 PM,07:57 AM,05:32 PM,-2,1,4,1,27,18,62,0.0,1009,8,10,33,16,"Portugal,+Lourinha"
2021-01-09,7,-1,0.0,7.0,1,28,03:56 AM,02:14 PM,07:57 AM,05:33 PM,-3,0,4,0,28,31,62,0.1,1007,7,10,22,17,"Portugal,+Lourinha"
2021-01-10,9,-0,0.0,8.7,2,22,05:09 AM,02:58 PM,07:57 AM,05:34 PM,-0,1,4,1,21,28,74,0.0,1013,9,10,30,12,"Portugal,+Lourinha"
2021-01-11,10,-0,0.0,8.7,3,15,06:20 AM,03:50 PM,07:56 AM,05:35 PM,-2,2,5,2,20,1,62,0.0,1023,10,10,38,11,"Portugal,+Lourinha"
2021-01-12,10,1,0.0,8.7,3,8,07:26 AM,04:49 PM,07:56 AM,05:36 PM,-0,3,5,3,13,0,70,0.0,1030,10,10,85,7,"Portugal,+Lourinha"
2021-01-13,12,3,0.0,8.7,3,1,08:22 AM,05:55 PM,07:56 AM,05:37 PM,3,6,7,6,10,10,80,0.0,1031,12,10,157,6,"Portugal,+Lourinha"
2021-01-14,13,5,0.0,5.4,2,5,09:10 AM,07:03 PM,07:56 AM,05:38 PM,7,7,9,7,22,67,90,0.0,1031,13,8,262,14,"Portugal,+Lourinha"
2021-01-15,14,9,0.0,7.0,3,12,09:49 AM,08:10 PM,07:55 AM,05:39 PM,9,9,11,9,18,55,90,0.0,1029,14,5,270,11,"Portugal,+Lourinha"
2021-01-16,13,6,0.0,8.7,3,19,10:20 AM,09:15 PM,07:55 AM,05:40 PM,5,8,9,8,13,2,82,0.0,1029,13,10,58,8,"Portugal,+Lourinha"
2021-01-17,13,4,0.0,7.0,2,26,10:48 AM,10:16 PM,07:54 AM,05:41 PM,3,7,8,7,9,14,74,0.0,1029,13,10,67,5,"Portugal,+Lourinha"
2021-01-18,16,4,0.0,8.7,4,33,11:14 AM,11:16 PM,07:54 AM,05:42 PM,3,9,10,9,9,0,70,0.0,1027,16,10,124,5,"Portugal,+Lourinha"
2021-01-19,13,4,0.0,3.7,2,39,11:38 AM,No moonset,07:54 AM,05:43 PM,6,7,9,7,24,63,84,0.0,1021,13,9,146,15,"Portugal,+Lourinha"
2021-01-20,14,12,0.0,3.7,3,46,12:01 PM,12:14 AM,07:53 AM,05:44 PM,11,10,13,10,46,85,88,40.1,1010,14,8,235,29,"Portugal,+Lourinha"
2021-01-21,14,7,0.0,3.7,3,53,12:26 PM,01:13 AM,07:52 AM,05:46 PM,12,10,13,10,46,76,92,7.5,1015,14,10,240,27,"Portugal,+Lourinha"
2021-01-22,13,10,0.0,3.7,3,60,12:53 PM,02:11 AM,07:52 AM,05:47 PM,8,9,12,9,50,80,79,5.0,1017,13,10,279,31,"Portugal,+Lourinha"
2021-01-23,14,7,0.0,3.7,3,66,01:24 PM,03:10 AM,07:51 AM,05:48 PM,10,9,12,9,46,94,87,2.7,1017,14,10,257,29,"Portugal,+Lourinha"
2021-01-24,15,10,0.0,3.7,3,73,01:59 PM,04:10 AM,07:51 AM,05:49 PM,12,12,13,12,24,75,93,2.6,1016,15,9,251,16,"Portugal,+Lourinha"
2021-01-25,16,14,0.0,3.8,3,80,02:42 PM,05:10 AM,07:50 AM,05:50 PM,13,13,14,13,31,83,93,2.3,1018,16,9,253,20,"Portugal,+Lourinha"
2021-01-26,15,15,0.0,3.8,4,87,03:32 PM,06:08 AM,07:49 AM,05:51 PM,15,15,15,15,24,100,98,3.4,1024,15,6,274,16,"Portugal,+Lourinha"
2021-01-27,17,13,0.0,5.4,3,93,04:30 PM,07:02 AM,07:48 AM,05:52 PM,13,15,14,15,4,70,94,0.0,1027,17,4,248,3,"Portugal,+Lourinha"
2021-01-28,18,9,0.0,8.7,3,100,05:35 PM,07:50 AM,07:48 AM,05:54 PM,13,14,14,14,9,63,92,0.0,1024,18,5,188,6,"Portugal,+Lourinha"
2021-01-29,17,9,0.0,5.4,3,93,06:43 PM,08:32 AM,07:47 AM,05:55 PM,12,13,13,13,15,72,88,0.1,1023,17,9,212,10,"Portugal,+Lourinha"
2021-01-30,14,11,0.0,3.8,3,86,07:53 PM,09:09 AM,07:46 AM,05:56 PM,10,11,13,11,40,81,84,3.7,1021,14,9,286,27,"Portugal,+Lourinha"
2021-01-31,15,12,0.0,3.8,3,79,09:03 PM,09:41 AM,07:45 AM,05:57 PM,12,12,14,12,33,98,91,0.2,1021,15,10,283,23,"Portugal,+Lourinha"
2021-02-01,15,8,0.0,5.4,3,73,10:13 PM,10:10 AM,07:44 AM,05:58 PM,12,12,13,12,21,88,90,0.5,1021,15,8,248,14,"Portugal,+Lourinha"
2021-02-02,15,8,0.0,3.8,3,66,11:24 PM,10:39 AM,07:43 AM,05:59 PM,12,12,14,12,27,89,86,0.9,1018,15,10,212,19,"Portugal,+Lourinha"
2021-02-03,16,12,0.0,8.4,3,59,No moonrise,11:08 AM,07:42 AM,06:01 PM,11,12,13,12,29,68,87,3.7,1013,16,9,228,19,"Portugal,+Lourinha"
2021-02-04,14,9,0.0,5.3,3,52,12:34 AM,11:39 AM,07:41 AM,06:02 PM,9,10,11,10,13,77,86,2.0,1010,14,9,134,8,"Portugal,+Lourinha"
2021-02-05,10,4,0.0,5.3,2,46,01:46 AM,12:13 PM,07:40 AM,06:03 PM,8,6,9,6,36,90,91,20.1,1003,10,8,108,21,"Portugal,+Lourinha"
2021-02-06,11,3,0.0,5.3,2,39,02:57 AM,12:53 PM,07:39 AM,06:04 PM,6,6,10,6,50,90,75,3.3,1007,11,10,332,32,"Portugal,+Lourinha"
2021-02-07,11,1,0.0,5.3,2,32,04:08 AM,01:41 PM,07:38 AM,06:05 PM,8,6,9,6,36,87,83,8.1,1012,11,9,284,23,"Portugal,+Lourinha"
2021-02-08,14,10,0.0,6.9,3,25,05:14 AM,02:36 PM,07:37 AM,06:06 PM,8,9,12,9,39,79,80,13.0,1010,14,9,281,25,"Portugal,+Lourinha"
2021-02-09,14,11,0.0,5.4,3,18,06:12 AM,03:39 PM,07:36 AM,06:07 PM,10,10,12,10,50,85,84,28.9,1007,14,9,252,32,"Portugal,+Lourinha"
2021-02-10,13,5,0.0,5.4,3,12,07:02 AM,04:45 PM,07:35 AM,06:09 PM,11,10,12,10,26,91,90,1.9,1014,13,9,237,16,"Portugal,+Lourinha"
2021-02-11,17,12,0.0,5.4,4,5,07:44 AM,05:52 PM,07:34 AM,06:10 PM,13,13,14,13,28,91,93,6.9,1018,17,10,209,18,"Portugal,+Lourinha"
2021-02-12,16,10,0.0,10.0,3,2,08:18 AM,06:58 PM,07:33 AM,06:11 PM,11,12,12,12,15,41,89,0.0,1024,16,9,266,9,"Portugal,+Lourinha"
2021-02-13,16,9,0.0,10.8,4,9,08:48 AM,08:01 PM,07:32 AM,06:12 PM,9,12,12,12,8,30,84,0.0,1026,16,10,204,5,"Portugal,+Lourinha"
2021-02-14,17,7,0.0,10.8,4,15,09:14 AM,09:02 PM,07:30 AM,06:13 PM,6,11,12,11,13,18,72,0.0,1026,17,10,132,8,"Portugal,+Lourinha"
2021-02-15,17,7,0.0,10.9,4,22,09:39 AM,10:02 PM,07:29 AM,06:14 PM,8,10,11,10,26,1,81,0.0,1026,17,10,139,16,"Portugal,+Lourinha"
2021-02-16,17,12,0.0,5.4,3,29,10:02 AM,11:01 PM,07:28 AM,06:15 PM,13,13,14,13,19,71,91,0.4,1026,17,7,187,12,"Portugal,+Lourinha"
2021-02-17,17,12,0.0,10.9,3,36,10:26 AM,11:59 PM,07:27 AM,06:16 PM,12,13,14,13,20,42,87,0.0,1022,17,7,171,13,"Portugal,+Lourinha"
2021-02-18,15,11,0.0,10.1,3,42,10:52 AM,No moonset,07:25 AM,06:18 PM,11,12,13,12,21,63,84,4.0,1017,15,10,193,13,"Portugal,+Lourinha"
2021-02-19,16,12,0.0,7.0,3,49,11:21 AM,12:58 AM,07:24 AM,06:19 PM,11,12,14,12,33,80,87,1.1,1015,16,9,188,22,"Portugal,+Lourinha"
2021-02-20,14,10,0.0,5.5,3,56,11:54 AM,01:58 AM,07:23 AM,06:20 PM,11,11,12,11,38,95,91,39.5,1006,14,8,169,23,"Portugal,+Lourinha"
2021-02-21,11,8,0.0,5.5,2,63,12:33 PM,02:57 AM,07:21 AM,06:21 PM,6,7,9,7,31,88,81,22.9,1008,11,9,318,18,"Portugal,+Lourinha"
2021-02-22,14,7,0.0,11.0,3,70,01:20 PM,03:55 AM,07:20 AM,06:22 PM,5,8,9,8,16,39,76,0.7,1020,14,10,198,9,"Portugal,+Lourinha"
2021-02-23,14,7,0.0,5.5,3,76,02:14 PM,04:50 AM,07:19 AM,06:23 PM,8,9,11,9,29,77,82,0.4,1026,14,8,135,18,"Portugal,+Lourinha"
2021-02-24,16,6,0.0,10.1,3,83,03:16 PM,05:41 AM,07:17 AM,06:24 PM,8,9,11,9,28,28,80,0.2,1027,16,10,159,17,"Portugal,+Lourinha"
2021-02-25,13,9,0.0,5.5,3,90,04:23 PM,06:25 AM,07:16 AM,06:25 PM,9,9,11,9,23,79,89,8.4,1024,13,10,261,15,"Portugal,+Lourinha"
2021-02-26,18,9,0.0,11.1,4,97,05:34 PM,07:04 AM,07:14 AM,06:26 PM,10,11,12,11,18,40,85,2.9,1026,18,10,56,11,"Portugal,+Lourinha"
2021-02-27,18,9,0.0,10.1,3,97,06:45 PM,07:39 AM,07:13 AM,06:27 PM,8,12,13,12,18,44,75,0.4,1024,18,10,69,11,"Portugal,+Lourinha"
2021-02-28,20,10,0.0,11.2,5,90,07:58 PM,08:10 AM,07:11 AM,06:29 PM,9,14,15,14,10,16,78,0.0,1018,20,10,133,6,"Portugal,+Lourinha"
2021-03-01,17,9,0.0,10.1,3,83,09:10 PM,08:39 AM,07:10 AM,06:30 PM,10,12,12,12,13,27,86,0.1,1019,17,10,209,9,"Portugal,+Lourinha"
2021-03-02,14,9,0.0,8.6,3,76,10:23 PM,09:09 AM,07:08 AM,06:31 PM,8,11,11,11,9,54,80,0.0,1024,14,10,239,6,"Portugal,+Lourinha"
2021-03-03,20,7,0.0,8.6,3,69,11:37 PM,09:40 AM,07:07 AM,06:32 PM,9,13,14,13,13,24,83,0.1,1024,20,10,127,8,"Portugal,+Lourinha"
2021-03-04,14,11,0.0,5.6,3,63,No moonrise,10:13 AM,07:05 AM,06:33 PM,10,11,12,11,19,91,90,33.7,1016,14,8,132,13,"Portugal,+Lourinha"
2021-03-05,16,9,0.0,10.1,3,56,12:49 AM,10:52 AM,07:04 AM,06:34 PM,10,11,12,11,19,64,90,17.2,1015,16,9,73,13,"Portugal,+Lourinha"
2021-03-06,20,10,0.0,11.3,5,49,02:01 AM,11:38 AM,07:02 AM,06:35 PM,10,13,13,13,11,20,81,0.4,1019,20,9,158,7,"Portugal,+Lourinha"
2021-03-07,16,8,0.0,11.4,3,42,03:08 AM,12:30 PM,07:01 AM,06:36 PM,9,10,11,10,17,23,87,0.0,1019,16,8,340,11,"Portugal,+Lourinha"
2021-03-08,12,8,0.0,11.6,4,36,04:08 AM,01:30 PM,06:59 AM,06:37 PM,7,7,10,7,32,26,80,0.0,1017,12,10,342,22,"Portugal,+Lourinha"
2021-03-09,15,8,0.0,11.6,4,29,05:00 AM,02:33 PM,06:58 AM,06:38 PM,6,9,10,9,23,4,74,0.0,1020,15,10,137,14,"Portugal,+Lourinha"
2021-03-10,15,7,0.0,11.6,4,22,05:43 AM,03:40 PM,06:56 AM,06:39 PM,7,9,10,9,16,11,82,0.0,1024,15,8,258,10,"Portugal,+Lourinha"
2021-03-11,16,11,0.0,7.3,3,15,06:18 AM,04:45 PM,06:55 AM,06:40 PM,11,13,13,13,13,71,85,0.3,1027,16,8,274,9,"Portugal,+Lourinha"
2021-03-12,15,8,0.0,10.2,3,9,06:49 AM,05:49 PM,06:53 AM,06:41 PM,9,10,12,10,21,48,81,0.4,1026,15,7,331,15,"Portugal,+Lourinha"
2021-03-13,14,8,0.0,11.6,4,2,07:16 AM,06:50 PM,06:52 AM,06:42 PM,7,9,11,9,25,16,76,0.0,1026,14,10,351,16,"Portugal,+Lourinha"
2021-03-14,17,8,0.0,11.6,4,5,07:41 AM,07:51 PM,06:50 AM,06:43 PM,8,10,12,10,24,17,79,0.0,1027,17,10,13,15,"Portugal,+Lourinha"
2021-03-15,19,9,0.0,11.6,4,12,08:04 AM,08:50 PM,06:48 AM,06:44 PM,9,12,13,12,16,8,77,0.0,1024,19,8,86,10,"Portugal,+Lourinha"
2021-03-16,21,9,0.0,11.6,5,19,08:28 AM,09:49 PM,06:47 AM,06:45 PM,8,13,14,13,18,16,69,0.0,1023,21,10,51,11,"Portugal,+Lourinha"
2021-03-17,20,10,0.0,11.6,5,25,08:53 AM,10:48 PM,06:45 AM,06:46 PM,8,13,14,13,25,14,65,0.0,1020,20,10,68,16,"Portugal,+Lourinha"
2021-03-18,17,9,0.0,11.6,4,32,09:21 AM,11:47 PM,06:44 AM,06:47 PM,3,11,13,11,30,1,52,0.0,1019,17,10,52,18,"Portugal,+Lourinha"
2021-03-19,15,7,0.0,11.6,4,39,09:52 AM,No moonset,06:42 AM,06:48 PM,4,9,11,9,22,5,64,0.0,1017,15,10,130,15,"Portugal,+Lourinha"
2021-03-20,16,6,0.0,11.6,4,46,10:27 AM,12:46 AM,06:40 AM,06:49 PM,3,8,10,8,29,3,60,0.0,1018,16,10,38,19,"Portugal,+Lourinha"
2021-03-21,16,4,0.0,11.6,4,52,11:10 AM,01:45 AM,06:39 AM,06:50 PM,1,7,9,7,24,0,57,0.0,1023,16,10,94,15,"Portugal,+Lourinha"
2021-03-22,20,7,0.0,11.6,3,59,12:00 PM,02:40 AM,06:37 AM,06:51 PM,8,12,12,12,9,4,79,0.0,1020,20,7,252,6,"Portugal,+Lourinha"
2021-03-23,17,8,0.0,10.2,3,66,12:57 PM,03:32 AM,06:36 AM,06:52 PM,8,11,11,11,12,28,81,0.0,1023,17,9,284,8,"Portugal,+Lourinha"
