date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,12,10,0.0,5.3,3,83,07:50 PM,09:54 AM,07:55 AM,05:27 PM,5,8,11,8,37,47,64,0.9,1018,12,10,337,27,"Portugal,+Oeiras"
2021-01-02,12,9,0.0,3.6,3,76,08:57 PM,10:33 AM,07:56 AM,05:28 PM,5,8,11,8,27,59,67,1.4,1019,12,10,302,19,"Portugal,+Oeiras"
2021-01-03,13,9,0.0,7.0,3,69,10:05 PM,11:07 AM,07:56 AM,05:29 PM,5,9,11,9,17,34,68,0.6,1020,13,10,212,13,"Portugal,+Oeiras"
2021-01-04,12,10,0.0,7.0,3,62,11:13 PM,11:39 AM,07:56 AM,05:30 PM,4,10,10,10,9,52,67,1.0,1016,12,9,256,6,"Portugal,+Oeiras"
2021-01-05,11,7,0.0,8.7,3,56,No moonrise,12:07 PM,07:56 AM,05:30 PM,2,7,9,7,17,17,61,0.5,1013,11,10,99,13,"Portugal,+Oeiras"
2021-01-06,10,4,0.0,3.7,2,49,12:21 AM,12:36 PM,07:56 AM,05:31 PM,-1,3,7,3,26,44,57,0.0,1011,10,10,60,19,"Portugal,+Oeiras"
2021-01-07,11,6,0.0,8.7,2,42,01:31 AM,01:06 PM,07:56 AM,05:32 PM,-2,5,8,5,27,50,51,0.0,1011,11,10,38,19,"Portugal,+Oeiras"
2021-01-08,10,6,0.0,7.0,2,35,02:41 AM,01:38 PM,07:56 AM,05:33 PM,-2,3,7,3,31,49,54,0.0,1008,10,10,29,22,"Portugal,+Oeiras"
2021-01-09,8,-1,0.0,7.0,2,28,03:54 AM,02:15 PM,07:55 AM,05:34 PM,-2,2,6,2,32,35,54,0.6,1007,8,10,96,23,"Portugal,+Oeiras"
2021-01-10,10,4,0.0,8.7,3,22,05:07 AM,02:59 PM,07:55 AM,05:35 PM,-0,3,7,3,24,31,63,0.1,1013,10,10,28,17,"Portugal,+Oeiras"
2021-01-11,10,5,0.0,8.7,3,15,06:18 AM,03:52 PM,07:55 AM,05:36 PM,-2,4,7,4,27,1,50,0.0,1023,10,10,37,20,"Portugal,+Oeiras"
2021-01-12,13,6,0.0,8.7,3,8,07:24 AM,04:51 PM,07:55 AM,05:37 PM,1,8,9,8,11,0,57,0.0,1030,13,10,63,9,"Portugal,+Oeiras"
2021-01-13,13,8,0.0,8.7,4,1,08:20 AM,05:57 PM,07:55 AM,05:38 PM,4,10,10,10,11,11,66,0.0,1031,13,10,152,8,"Portugal,+Oeiras"
2021-01-14,13,8,0.0,7.0,3,5,09:08 AM,07:04 PM,07:54 AM,05:39 PM,8,8,11,8,27,50,83,0.0,1031,13,10,303,18,"Portugal,+Oeiras"
2021-01-15,15,10,0.0,8.7,4,12,09:47 AM,08:11 PM,07:54 AM,05:40 PM,9,11,12,11,21,30,85,0.0,1029,15,10,225,14,"Portugal,+Oeiras"
2021-01-16,16,9,0.0,8.7,4,19,10:20 AM,09:15 PM,07:54 AM,05:41 PM,6,11,12,11,14,2,70,0.0,1029,16,10,101,11,"Portugal,+Oeiras"
2021-01-17,14,8,0.0,8.7,4,26,10:48 AM,10:16 PM,07:53 AM,05:43 PM,5,11,12,11,8,5,61,0.0,1029,14,10,127,7,"Portugal,+Oeiras"
2021-01-18,17,9,0.0,8.7,4,33,11:14 AM,11:16 PM,07:53 AM,05:44 PM,4,12,13,12,8,1,57,0.0,1027,17,10,107,6,"Portugal,+Oeiras"
2021-01-19,14,10,0.0,3.7,3,39,11:38 AM,No moonset,07:52 AM,05:45 PM,8,10,12,10,23,72,77,0.2,1021,14,10,157,17,"Portugal,+Oeiras"
2021-01-20,15,14,0.0,5.4,3,46,12:02 PM,12:14 AM,07:52 AM,05:46 PM,11,12,14,12,49,64,81,16.7,1010,15,9,245,34,"Portugal,+Oeiras"
2021-01-21,16,13,0.0,3.7,3,53,12:26 PM,01:12 AM,07:51 AM,05:47 PM,13,13,14,13,40,64,89,2.2,1016,16,10,243,27,"Portugal,+Oeiras"
2021-01-22,14,13,0.0,5.4,3,60,12:54 PM,02:10 AM,07:51 AM,05:48 PM,9,11,14,11,45,53,73,1.2,1018,14,10,282,31,"Portugal,+Oeiras"
2021-01-23,15,6,0.0,3.7,3,66,01:25 PM,03:09 AM,07:50 AM,05:49 PM,11,11,13,11,41,84,82,1.2,1018,15,8,259,28,"Portugal,+Oeiras"
2021-01-24,15,14,0.0,5.4,3,73,02:01 PM,04:09 AM,07:49 AM,05:50 PM,13,14,15,14,23,66,90,1.8,1016,15,10,257,16,"Portugal,+Oeiras"
2021-01-25,16,15,0.0,3.8,4,80,02:44 PM,05:08 AM,07:49 AM,05:51 PM,13,15,15,15,30,81,88,0.4,1019,16,10,259,20,"Portugal,+Oeiras"
2021-01-26,16,15,0.0,3.8,4,87,03:34 PM,06:06 AM,07:48 AM,05:52 PM,15,15,16,15,24,99,94,0.5,1024,16,8,280,16,"Portugal,+Oeiras"
