date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,16,9,0.0,10.0,4,83,08:33 PM,10:07 AM,08:08 AM,06:10 PM,9,14,15,14,27,54,64,0.5,1024,16,10,59,20,"Portugal,+Porto+Santo"
2021-01-02,16,11,0.0,6.7,4,76,09:38 PM,10:49 AM,08:09 AM,06:10 PM,9,14,15,14,28,72,66,0.2,1022,16,10,50,22,"Portugal,+Porto+Santo"
2021-01-03,16,9,0.0,6.7,4,69,10:42 PM,11:27 AM,08:09 AM,06:11 PM,9,15,15,15,30,62,64,0.1,1019,16,10,107,23,"Portugal,+Porto+Santo"
2021-01-04,17,10,0.0,5.0,4,62,11:47 PM,12:01 PM,08:09 AM,06:12 PM,13,15,16,15,47,85,78,49.6,1012,17,8,165,35,"Portugal,+Porto+Santo"
2021-01-05,19,15,0.0,8.3,4,56,No moonrise,12:34 PM,08:09 AM,06:13 PM,15,18,18,18,39,59,81,3.4,1007,19,9,264,27,"Portugal,+Porto+Santo"
2021-01-06,19,17,0.0,5.0,4,49,12:51 AM,01:06 PM,08:09 AM,06:13 PM,15,18,18,18,23,84,82,13.8,1001,19,8,229,16,"Portugal,+Porto+Santo"
2021-01-07,16,13,0.0,5.0,3,42,01:56 AM,01:40 PM,08:09 AM,06:14 PM,13,12,15,12,61,100,87,35.3,1004,16,7,54,47,"Portugal,+Porto+Santo"
2021-01-08,14,6,0.0,5.0,3,35,03:03 AM,02:16 PM,08:09 AM,06:15 PM,9,10,13,10,64,83,72,18.2,1010,14,9,49,47,"Portugal,+Porto+Santo"
2021-01-09,15,10,0.0,5.0,3,28,04:12 AM,02:57 PM,08:09 AM,06:16 PM,8,12,14,12,57,77,65,10.4,1020,15,9,345,42,"Portugal,+Porto+Santo"
2021-01-10,15,12,0.0,5.0,3,22,05:22 AM,03:44 PM,08:09 AM,06:17 PM,8,13,15,13,54,82,64,3.1,1023,15,10,342,42,"Portugal,+Porto+Santo"
2021-01-11,15,7,0.0,5.0,3,15,06:31 AM,04:38 PM,08:09 AM,06:18 PM,8,11,14,11,44,77,65,2.5,1026,15,10,110,34,"Portugal,+Porto+Santo"
2021-01-12,15,9,0.0,10.1,3,8,07:36 AM,05:39 PM,08:09 AM,06:19 PM,7,12,14,12,26,50,60,0.6,1028,15,10,47,20,"Portugal,+Porto+Santo"
2021-01-13,15,7,0.0,10.1,3,1,08:33 AM,06:42 PM,08:09 AM,06:19 PM,7,13,14,13,20,45,58,0.2,1030,15,10,52,15,"Portugal,+Porto+Santo"
2021-01-14,15,10,0.0,8.3,3,5,09:22 AM,07:48 PM,08:09 AM,06:20 PM,7,13,15,13,23,45,59,0.0,1032,15,10,57,17,"Portugal,+Porto+Santo"
2021-01-15,16,11,0.0,10.0,5,12,10:04 AM,08:51 PM,08:08 AM,06:21 PM,9,14,15,14,30,41,67,0.1,1030,16,10,56,22,"Portugal,+Porto+Santo"
2021-01-16,17,9,0.0,8.3,4,19,10:39 AM,09:52 PM,08:08 AM,06:22 PM,12,15,15,15,32,52,77,2.0,1029,17,10,38,24,"Portugal,+Porto+Santo"
2021-01-17,16,14,0.0,6.7,4,26,11:11 AM,10:50 PM,08:08 AM,06:23 PM,11,16,16,16,24,68,72,1.7,1028,16,10,75,17,"Portugal,+Porto+Santo"
2021-01-18,15,9,0.0,10.0,3,33,11:40 AM,11:46 PM,08:08 AM,06:24 PM,7,14,15,14,7,45,60,0.0,1027,15,10,134,5,"Portugal,+Porto+Santo"
2021-01-19,17,11,0.0,10.2,5,39,12:07 PM,No moonset,08:07 AM,06:25 PM,10,15,16,15,22,19,69,0.0,1024,17,10,213,16,"Portugal,+Porto+Santo"
2021-01-20,18,13,0.0,10.2,4,46,12:34 PM,12:41 AM,08:07 AM,06:26 PM,14,17,17,17,33,28,80,0.2,1020,18,10,272,23,"Portugal,+Porto+Santo"
2021-01-21,19,15,0.0,8.4,4,53,01:02 PM,01:36 AM,08:06 AM,06:27 PM,16,18,18,18,26,54,85,0.0,1023,19,10,245,17,"Portugal,+Porto+Santo"
2021-01-22,18,16,0.0,10.2,4,60,01:33 PM,02:30 AM,08:06 AM,06:28 PM,16,17,17,17,26,40,90,0.0,1026,18,10,209,18,"Portugal,+Porto+Santo"
2021-01-23,17,10,0.0,10.2,5,66,02:06 PM,03:27 AM,08:06 AM,06:29 PM,14,16,16,16,10,19,82,0.0,1025,17,10,279,7,"Portugal,+Porto+Santo"
2021-01-24,18,18,0.0,10.3,5,73,02:45 PM,04:23 AM,08:05 AM,06:30 PM,15,18,18,18,17,21,83,0.0,1022,18,10,234,11,"Portugal,+Porto+Santo"
2021-01-25,18,18,0.0,10.3,4,80,03:30 PM,05:21 AM,08:05 AM,06:31 PM,16,18,18,18,16,29,88,0.0,1024,18,10,276,11,"Portugal,+Porto+Santo"
