date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,15,14,0.0,7.0,4,83,08:11 PM,10:13 AM,08:12 AM,05:45 PM,12,14,15,14,40,44,80,1.1,1024,15,9,121,31,"Portugal,+Ribeira+Grande"
2021-01-02,16,10,0.0,3.5,4,76,09:19 PM,10:52 AM,08:12 AM,05:46 PM,13,15,15,15,54,90,86,13.8,1015,16,7,127,41,"Portugal,+Ribeira+Grande"
2021-01-03,17,10,0.0,3.5,4,69,10:26 PM,11:27 AM,08:12 AM,05:47 PM,15,16,16,16,73,86,89,45.5,1004,17,7,130,46,"Portugal,+Ribeira+Grande"
2021-01-04,17,13,0.0,3.5,4,62,11:35 PM,11:57 AM,08:12 AM,05:48 PM,15,16,16,16,45,75,87,16.6,999,17,9,150,31,"Portugal,+Ribeira+Grande"
2021-01-05,16,15,0.0,3.5,4,56,No moonrise,12:26 PM,08:12 AM,05:48 PM,14,16,16,16,59,75,86,13.1,1003,16,9,121,43,"Portugal,+Ribeira+Grande"
2021-01-06,14,10,0.0,7.0,3,49,12:43 AM,12:55 PM,08:12 AM,05:49 PM,8,10,14,10,62,77,70,4.7,1011,14,9,73,51,"Portugal,+Ribeira+Grande"
2021-01-07,14,12,0.0,8.7,3,42,01:52 AM,01:25 PM,08:12 AM,05:50 PM,8,10,13,10,45,51,69,0.5,1025,14,10,58,38,"Portugal,+Ribeira+Grande"
2021-01-08,14,13,0.0,8.7,3,35,03:03 AM,01:58 PM,08:12 AM,05:51 PM,8,11,13,11,28,41,69,0.3,1029,14,10,53,23,"Portugal,+Ribeira+Grande"
2021-01-09,14,12,0.0,8.7,3,28,04:15 AM,02:35 PM,08:12 AM,05:52 PM,6,12,13,12,20,46,64,0.0,1030,14,10,150,15,"Portugal,+Ribeira+Grande"
2021-01-10,16,11,0.0,3.5,4,22,05:29 AM,03:20 PM,08:12 AM,05:53 PM,13,14,15,14,36,87,85,6.9,1027,16,8,211,26,"Portugal,+Ribeira+Grande"
2021-01-11,17,12,0.0,3.5,4,15,06:39 AM,04:12 PM,08:12 AM,05:54 PM,15,16,17,16,51,81,89,21.3,1024,17,8,211,32,"Portugal,+Ribeira+Grande"
2021-01-12,17,16,0.0,3.5,4,8,07:44 AM,05:13 PM,08:12 AM,05:55 PM,15,16,16,16,53,85,89,25.6,1019,17,8,219,37,"Portugal,+Ribeira+Grande"
2021-01-13,16,14,0.0,5.3,4,1,08:40 AM,06:18 PM,08:11 AM,05:56 PM,12,15,15,15,19,42,79,0.0,1025,16,10,224,14,"Portugal,+Ribeira+Grande"
2021-01-14,17,13,0.0,3.5,4,5,09:28 AM,07:26 PM,08:11 AM,05:57 PM,15,17,17,17,57,70,88,12.7,1023,17,9,195,36,"Portugal,+Ribeira+Grande"
2021-01-15,17,13,0.0,3.6,4,12,10:06 AM,08:32 PM,08:11 AM,05:58 PM,15,16,16,16,52,91,90,31.5,1022,17,8,192,35,"Portugal,+Ribeira+Grande"
2021-01-16,17,13,0.0,7.0,4,19,10:38 AM,09:37 PM,08:10 AM,05:59 PM,13,15,16,15,28,42,83,4.5,1023,17,10,160,19,"Portugal,+Ribeira+Grande"
2021-01-17,17,11,0.0,5.0,4,26,11:07 AM,10:37 PM,08:10 AM,06:00 PM,15,16,16,16,63,93,90,61.3,1016,17,7,204,45,"Portugal,+Ribeira+Grande"
2021-01-18,17,11,0.0,5.0,4,33,11:33 AM,11:37 PM,08:09 AM,06:01 PM,13,16,16,16,55,80,83,3.3,1015,17,10,234,41,"Portugal,+Ribeira+Grande"
2021-01-19,16,13,0.0,6.6,4,39,11:57 AM,No moonset,08:09 AM,06:02 PM,11,15,15,15,60,72,75,8.0,1013,16,10,282,46,"Portugal,+Ribeira+Grande"
2021-01-20,17,10,0.0,5.0,4,46,12:20 PM,12:35 AM,08:09 AM,06:03 PM,14,16,16,16,41,72,88,1.3,1012,17,10,238,30,"Portugal,+Ribeira+Grande"
2021-01-21,17,15,0.0,9.9,4,53,12:46 PM,01:33 AM,08:08 AM,06:05 PM,12,16,16,16,34,47,78,2.2,1018,17,10,278,26,"Portugal,+Ribeira+Grande"
2021-01-22,17,14,0.0,6.6,4,60,01:13 PM,02:30 AM,08:07 AM,06:06 PM,13,15,16,15,31,70,85,3.3,1021,17,9,194,22,"Portugal,+Ribeira+Grande"
2021-01-23,17,16,0.0,5.0,4,66,01:45 PM,03:30 AM,08:07 AM,06:07 PM,15,16,16,16,35,92,92,38.9,1016,17,8,218,24,"Portugal,+Ribeira+Grande"
2021-01-24,17,12,0.0,6.7,4,73,02:21 PM,04:29 AM,08:06 AM,06:08 PM,16,16,16,16,47,63,93,5.8,1010,17,10,222,32,"Portugal,+Ribeira+Grande"
2021-01-25,17,13,0.0,5.0,4,80,03:04 PM,05:29 AM,08:06 AM,06:09 PM,16,16,17,16,64,90,93,20.6,1012,17,9,212,40,"Portugal,+Ribeira+Grande"
2021-01-26,17,14,0.0,6.7,4,87,03:55 PM,06:26 AM,08:05 AM,06:10 PM,15,17,17,17,62,72,89,11.6,1013,17,9,189,42,"Portugal,+Ribeira+Grande"
2021-01-27,16,12,0.0,5.0,4,93,04:54 PM,07:20 AM,08:04 AM,06:11 PM,13,16,16,16,65,77,82,11.2,1010,16,9,219,45,"Portugal,+Ribeira+Grande"
2021-01-28,16,13,0.0,6.7,4,100,05:58 PM,08:08 AM,08:03 AM,06:12 PM,13,15,16,15,56,71,84,5.9,1010,16,9,213,39,"Portugal,+Ribeira+Grande"
2021-01-29,16,12,0.0,10.0,4,93,07:06 PM,08:50 AM,08:03 AM,06:14 PM,11,14,15,14,48,54,76,10.5,1015,16,9,247,35,"Portugal,+Ribeira+Grande"
2021-01-30,18,15,0.0,6.7,4,86,08:16 PM,09:27 AM,08:02 AM,06:15 PM,14,16,17,16,55,67,88,0.4,1021,18,10,195,37,"Portugal,+Ribeira+Grande"
2021-01-31,17,15,0.0,5.1,4,79,09:26 PM,09:59 AM,08:01 AM,06:16 PM,16,17,17,17,53,88,92,4.4,1019,17,9,208,36,"Portugal,+Ribeira+Grande"
2021-02-01,17,15,0.0,8.3,4,73,10:35 PM,10:29 AM,08:00 AM,06:17 PM,13,16,16,16,57,73,81,6.0,1013,17,9,239,42,"Portugal,+Ribeira+Grande"
2021-02-02,14,11,0.0,5.3,3,66,11:45 PM,10:58 AM,07:59 AM,06:18 PM,8,10,13,10,67,77,68,10.3,1013,14,10,276,49,"Portugal,+Ribeira+Grande"
2021-02-03,13,8,0.0,6.9,3,59,No moonrise,11:28 AM,07:58 AM,06:19 PM,7,9,12,9,65,74,68,8.1,1019,13,10,313,50,"Portugal,+Ribeira+Grande"
2021-02-04,12,12,0.0,5.3,3,52,12:54 AM,11:59 AM,07:57 AM,06:20 PM,7,9,12,9,51,84,70,1.1,1025,12,10,161,44,"Portugal,+Ribeira+Grande"
2021-02-05,13,7,0.0,10.7,4,46,02:05 AM,12:34 PM,07:56 AM,06:22 PM,7,9,12,9,29,48,70,0.1,1029,13,10,68,24,"Portugal,+Ribeira+Grande"
2021-02-06,15,8,0.0,5.3,3,39,03:17 AM,01:16 PM,07:55 AM,06:23 PM,12,13,14,13,31,97,84,0.2,1027,15,10,278,24,"Portugal,+Ribeira+Grande"
2021-02-07,16,9,0.0,8.5,4,32,04:26 AM,02:04 PM,07:54 AM,06:24 PM,13,14,15,14,39,66,86,0.9,1021,16,10,282,30,"Portugal,+Ribeira+Grande"
2021-02-08,16,14,0.0,6.9,4,25,05:32 AM,03:00 PM,07:53 AM,06:25 PM,12,14,15,14,42,65,82,1.7,1018,16,10,277,32,"Portugal,+Ribeira+Grande"
2021-02-09,17,15,0.0,5.4,4,18,06:30 AM,04:02 PM,07:52 AM,06:26 PM,14,16,16,16,53,86,90,11.2,1010,17,10,244,37,"Portugal,+Ribeira+Grande"
