date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,5,2,1.1,3.6,1,83,07:41 PM,09:54 AM,07:56 AM,05:17 PM,2,2,3,2,12,56,90,3.1,1016,5,9,319,7,"Portugal,+Santa+Comba+Dao"
2021-01-02,7,2,0.0,8.7,1,76,08:48 PM,10:32 AM,07:56 AM,05:18 PM,1,3,4,3,9,11,85,0.0,1018,7,7,157,5,"Portugal,+Santa+Comba+Dao"
2021-01-03,7,-1,0.0,8.7,1,69,09:58 PM,11:06 AM,07:56 AM,05:19 PM,0,2,3,2,9,19,82,0.0,1020,7,9,168,6,"Portugal,+Santa+Comba+Dao"
2021-01-04,6,2,0.3,5.3,1,62,11:07 PM,11:36 AM,07:56 AM,05:20 PM,1,3,3,3,5,64,86,0.6,1016,6,9,164,3,"Portugal,+Santa+Comba+Dao"
2021-01-05,9,-0,0.0,8.7,2,56,No moonrise,12:03 PM,07:56 AM,05:21 PM,-1,2,4,2,8,3,76,0.0,1015,9,10,135,5,"Portugal,+Santa+Comba+Dao"
2021-01-06,6,-0,0.0,8.7,2,49,12:16 AM,12:30 PM,07:56 AM,05:22 PM,-4,-0,3,-0,21,13,65,0.0,1013,6,10,69,11,"Portugal,+Santa+Comba+Dao"
2021-01-07,6,-1,0.0,8.7,2,42,01:27 AM,12:59 PM,07:56 AM,05:23 PM,-5,-2,2,-2,24,0,63,0.0,1013,6,10,56,12,"Portugal,+Santa+Comba+Dao"
2021-01-08,5,-1,0.0,8.7,1,35,02:39 AM,01:30 PM,07:56 AM,05:24 PM,-7,-3,1,-3,29,35,58,0.0,1012,5,10,51,16,"Portugal,+Santa+Comba+Dao"
2021-01-09,3,-2,0.0,7.0,1,28,03:53 AM,02:06 PM,07:55 AM,05:25 PM,-5,-3,0,-3,21,41,70,0.0,1007,3,10,32,12,"Portugal,+Santa+Comba+Dao"
2021-01-10,6,-1,0.0,3.6,1,22,05:08 AM,02:49 PM,07:55 AM,05:26 PM,-2,-2,2,-2,23,58,76,0.0,1014,6,10,51,13,"Portugal,+Santa+Comba+Dao"
2021-01-11,6,-1,0.0,8.7,2,15,06:19 AM,03:41 PM,07:55 AM,05:27 PM,-4,-2,2,-2,27,1,66,0.0,1024,6,10,61,15,"Portugal,+Santa+Comba+Dao"
2021-01-12,11,1,0.0,8.7,3,8,07:25 AM,04:40 PM,07:55 AM,05:28 PM,-1,3,5,3,12,2,67,0.0,1030,11,10,159,6,"Portugal,+Santa+Comba+Dao"
2021-01-13,11,2,0.0,8.7,3,1,08:21 AM,05:46 PM,07:54 AM,05:29 PM,-1,5,6,5,9,18,67,0.0,1031,11,10,155,4,"Portugal,+Santa+Comba+Dao"
2021-01-14,12,2,0.0,8.7,2,5,09:08 AM,06:54 PM,07:54 AM,05:30 PM,1,5,6,5,9,33,72,0.0,1031,12,10,153,5,"Portugal,+Santa+Comba+Dao"
2021-01-15,14,4,0.0,8.7,3,12,09:47 AM,08:02 PM,07:54 AM,05:31 PM,4,7,8,7,9,5,80,0.0,1029,14,10,120,5,"Portugal,+Santa+Comba+Dao"
2021-01-16,15,4,0.0,8.7,3,19,10:18 AM,09:08 PM,07:53 AM,05:32 PM,2,8,9,8,11,0,68,0.0,1029,15,10,89,6,"Portugal,+Santa+Comba+Dao"
2021-01-17,15,5,0.0,8.7,3,26,10:45 AM,10:10 PM,07:53 AM,05:33 PM,1,8,9,8,11,5,63,0.0,1030,15,10,137,6,"Portugal,+Santa+Comba+Dao"
2021-01-18,15,6,0.0,8.7,4,33,11:10 AM,11:11 PM,07:52 AM,05:35 PM,4,8,9,8,11,2,70,0.0,1027,15,10,122,6,"Portugal,+Santa+Comba+Dao"
2021-01-19,9,3,0.0,8.7,2,39,11:33 AM,No moonset,07:52 AM,05:36 PM,3,5,7,5,15,38,79,0.0,1022,9,10,124,8,"Portugal,+Santa+Comba+Dao"
2021-01-20,9,4,0.0,3.7,2,46,11:56 AM,12:10 AM,07:51 AM,05:37 PM,7,5,8,5,31,98,96,39.7,1008,9,7,204,17,"Portugal,+Santa+Comba+Dao"
2021-01-21,11,7,0.0,3.7,3,53,12:19 PM,01:09 AM,07:51 AM,05:38 PM,10,7,10,7,31,97,98,34.2,1012,11,7,239,18,"Portugal,+Santa+Comba+Dao"
2021-01-22,8,2,0.0,3.7,2,60,12:46 PM,02:08 AM,07:50 AM,05:39 PM,6,4,7,4,40,93,91,22.0,1013,8,9,267,23,"Portugal,+Santa+Comba+Dao"
2021-01-23,10,2,0.0,3.7,2,66,01:16 PM,03:08 AM,07:49 AM,05:40 PM,8,5,8,5,33,92,96,45.2,1014,10,8,253,18,"Portugal,+Santa+Comba+Dao"
2021-01-24,10,2,0.0,3.7,2,73,01:51 PM,04:09 AM,07:49 AM,05:42 PM,8,6,8,6,16,96,97,3.7,1014,10,5,244,9,"Portugal,+Santa+Comba+Dao"
2021-01-25,11,6,0.0,3.7,3,80,02:33 PM,05:09 AM,07:48 AM,05:43 PM,11,9,11,9,20,100,98,15.3,1015,11,6,244,12,"Portugal,+Santa+Comba+Dao"
2021-01-26,13,9,0.0,3.7,3,87,03:23 PM,06:07 AM,07:47 AM,05:44 PM,12,11,12,11,12,100,99,18.8,1022,13,7,249,7,"Portugal,+Santa+Comba+Dao"
2021-01-27,15,11,0.0,3.7,3,93,04:21 PM,07:01 AM,07:46 AM,05:45 PM,13,13,13,13,4,87,95,0.8,1026,15,4,227,3,"Portugal,+Santa+Comba+Dao"
2021-01-28,16,12,0.0,8.7,3,100,05:27 PM,07:49 AM,07:46 AM,05:46 PM,12,14,14,14,6,71,92,0.0,1024,16,4,197,4,"Portugal,+Santa+Comba+Dao"
2021-01-29,13,11,0.0,3.8,3,93,06:35 PM,08:30 AM,07:45 AM,05:48 PM,11,12,12,12,10,89,91,0.4,1022,13,5,205,7,"Portugal,+Santa+Comba+Dao"
2021-01-30,8,7,0.0,3.8,2,86,07:46 PM,09:06 AM,07:44 AM,05:49 PM,7,5,8,5,38,82,91,18.7,1018,8,9,272,22,"Portugal,+Santa+Comba+Dao"
2021-01-31,11,6,0.0,3.8,3,79,08:57 PM,09:38 AM,07:43 AM,05:50 PM,9,8,10,8,26,98,97,7.5,1019,11,8,282,15,"Portugal,+Santa+Comba+Dao"
2021-02-01,12,6,0.0,3.8,3,73,10:08 PM,10:06 AM,07:42 AM,05:51 PM,11,9,11,9,14,92,97,3.5,1019,12,9,246,9,"Portugal,+Santa+Comba+Dao"
2021-02-02,11,6,0.0,3.8,3,66,11:19 PM,10:34 AM,07:41 AM,05:52 PM,10,9,10,9,16,91,94,2.8,1017,11,10,195,10,"Portugal,+Santa+Comba+Dao"
2021-02-03,11,5,0.0,3.8,2,59,No moonrise,11:02 AM,07:40 AM,05:54 PM,8,7,9,7,22,81,93,19.3,1011,11,9,218,13,"Portugal,+Santa+Comba+Dao"
