date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,12,9,0.0,7.0,3,83,07:51 PM,09:46 AM,07:48 AM,05:28 PM,6,7,10,7,32,43,76,0.6,1018,12,10,331,21,"Portugal,+Silves"
2021-01-02,12,8,0.0,7.0,2,76,08:57 PM,10:26 AM,07:48 AM,05:28 PM,5,7,9,7,28,14,73,0.6,1019,12,10,338,17,"Portugal,+Silves"
2021-01-03,12,6,0.0,8.7,2,69,10:04 PM,11:01 AM,07:48 AM,05:29 PM,4,7,8,7,19,13,74,0.0,1020,12,10,301,12,"Portugal,+Silves"
2021-01-04,12,7,0.0,8.7,2,62,11:11 PM,11:33 AM,07:48 AM,05:30 PM,4,8,9,8,10,41,72,0.1,1017,12,10,171,6,"Portugal,+Silves"
2021-01-05,11,8,0.0,5.4,2,56,No moonrise,12:03 PM,07:48 AM,05:31 PM,5,7,9,7,18,64,76,0.0,1013,11,10,75,12,"Portugal,+Silves"
2021-01-06,10,6,0.0,3.7,2,49,12:18 AM,12:32 PM,07:48 AM,05:32 PM,4,5,8,5,28,61,78,3.9,1009,10,10,58,18,"Portugal,+Silves"
2021-01-07,9,6,0.0,5.4,2,42,01:26 AM,01:03 PM,07:48 AM,05:33 PM,4,5,8,5,26,69,77,0.1,1008,9,10,22,18,"Portugal,+Silves"
2021-01-08,9,6,0.0,3.7,2,35,02:36 AM,01:37 PM,07:48 AM,05:34 PM,2,3,7,3,36,70,68,0.1,1005,9,10,46,27,"Portugal,+Silves"
2021-01-09,9,5,0.0,8.7,3,28,03:47 AM,02:15 PM,07:48 AM,05:35 PM,-0,3,6,3,32,15,63,0.0,1006,9,10,326,22,"Portugal,+Silves"
2021-01-10,9,2,0.0,8.7,3,22,05:00 AM,03:00 PM,07:48 AM,05:36 PM,1,1,5,1,26,26,77,0.0,1011,9,10,151,18,"Portugal,+Silves"
2021-01-11,10,4,0.0,8.7,3,15,06:10 AM,03:53 PM,07:48 AM,05:37 PM,1,3,6,3,25,5,73,0.0,1020,10,10,54,16,"Portugal,+Silves"
2021-01-12,12,4,0.0,8.7,3,8,07:15 AM,04:53 PM,07:47 AM,05:38 PM,1,6,7,6,15,0,63,0.0,1029,12,10,66,8,"Portugal,+Silves"
2021-01-13,13,5,0.0,8.7,3,1,08:12 AM,05:58 PM,07:47 AM,05:39 PM,0,7,8,7,15,1,59,0.0,1031,13,10,151,8,"Portugal,+Silves"
2021-01-14,13,6,0.0,8.7,3,5,09:00 AM,07:05 PM,07:47 AM,05:40 PM,5,7,9,7,21,7,76,0.0,1030,13,10,288,13,"Portugal,+Silves"
2021-01-15,13,8,0.0,8.7,4,12,09:40 AM,08:10 PM,07:47 AM,05:41 PM,6,8,10,8,19,9,78,0.0,1028,13,10,181,12,"Portugal,+Silves"
2021-01-16,15,8,0.0,8.7,4,19,10:13 AM,09:14 PM,07:46 AM,05:42 PM,6,9,10,9,15,0,74,0.0,1027,15,10,104,9,"Portugal,+Silves"
2021-01-17,16,9,0.0,8.7,4,26,10:43 AM,10:14 PM,07:46 AM,05:43 PM,5,11,11,11,13,7,65,0.0,1028,16,10,120,7,"Portugal,+Silves"
2021-01-18,14,9,0.0,8.7,4,33,11:09 AM,11:13 PM,07:46 AM,05:44 PM,5,10,11,10,13,2,68,0.0,1026,14,10,101,8,"Portugal,+Silves"
2021-01-19,14,10,0.0,3.8,3,39,11:34 AM,No moonset,07:45 AM,05:45 PM,7,11,12,11,18,71,76,0.1,1023,14,10,155,12,"Portugal,+Silves"
2021-01-20,15,11,0.0,5.4,3,46,11:59 AM,12:10 AM,07:45 AM,05:46 PM,11,12,14,12,46,76,80,10.2,1014,15,8,243,31,"Portugal,+Silves"
2021-01-21,15,12,0.0,3.8,3,53,12:25 PM,01:07 AM,07:44 AM,05:47 PM,12,13,14,13,37,73,88,1.3,1019,15,10,249,24,"Portugal,+Silves"
2021-01-22,15,12,0.0,7.1,3,60,12:53 PM,02:04 AM,07:44 AM,05:48 PM,11,12,14,12,43,52,80,0.5,1020,15,10,281,28,"Portugal,+Silves"
2021-01-23,15,11,0.0,3.8,3,66,01:25 PM,03:02 AM,07:43 AM,05:49 PM,10,11,13,11,32,72,82,0.6,1021,15,10,267,21,"Portugal,+Silves"
2021-01-24,16,12,0.0,3.8,4,73,02:02 PM,04:01 AM,07:43 AM,05:50 PM,14,14,15,14,31,85,92,1.5,1018,16,10,262,20,"Portugal,+Silves"
2021-01-25,17,14,0.0,3.8,4,80,02:45 PM,05:00 AM,07:42 AM,05:51 PM,13,15,15,15,27,63,89,0.5,1020,17,10,268,17,"Portugal,+Silves"
2021-01-26,17,14,0.0,3.8,4,87,03:36 PM,05:58 AM,07:41 AM,05:52 PM,14,15,15,15,17,79,94,0.1,1025,17,5,288,11,"Portugal,+Silves"
2021-01-27,19,14,0.0,8.7,4,93,04:33 PM,06:51 AM,07:41 AM,05:53 PM,14,16,16,16,12,32,89,0.0,1027,19,8,106,8,"Portugal,+Silves"
2021-01-28,19,14,0.0,7.1,4,100,05:37 PM,07:40 AM,07:40 AM,05:54 PM,13,16,16,16,9,33,82,0.0,1024,19,10,162,5,"Portugal,+Silves"
2021-01-29,17,13,0.0,8.7,4,93,06:44 PM,08:23 AM,07:39 AM,05:55 PM,12,14,14,14,16,12,87,0.0,1024,17,10,303,10,"Portugal,+Silves"
2021-01-30,16,13,0.0,7.1,3,86,07:53 PM,09:01 AM,07:38 AM,05:57 PM,11,14,14,14,27,52,82,0.2,1023,16,9,286,18,"Portugal,+Silves"
2021-01-31,15,12,0.0,3.8,3,79,09:02 PM,09:35 AM,07:38 AM,05:58 PM,11,13,14,13,26,73,85,0.1,1024,15,10,285,17,"Portugal,+Silves"
2021-02-01,17,13,0.0,7.1,4,73,10:10 PM,10:06 AM,07:37 AM,05:59 PM,13,15,15,15,17,57,88,0.2,1023,17,9,294,11,"Portugal,+Silves"
