date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,13,9,0.0,8.7,3,83,07:47 PM,09:43 AM,07:45 AM,05:25 PM,5,7,10,7,34,35,72,0.3,1017,13,10,319,23,"Portugal,+Tavira"
2021-01-02,13,8,0.0,8.7,3,76,08:53 PM,10:22 AM,07:45 AM,05:26 PM,4,7,9,7,32,11,68,0.1,1018,13,10,329,21,"Portugal,+Tavira"
2021-01-03,12,5,0.0,8.7,3,69,10:00 PM,10:58 AM,07:45 AM,05:26 PM,2,6,8,6,18,1,69,0.0,1020,12,10,333,11,"Portugal,+Tavira"
2021-01-04,12,6,0.0,8.7,3,62,11:07 PM,11:30 AM,07:45 AM,05:27 PM,4,8,9,8,12,37,70,0.0,1017,12,10,301,7,"Portugal,+Tavira"
2021-01-05,11,7,0.0,8.7,3,56,No moonrise,12:00 PM,07:45 AM,05:28 PM,5,7,9,7,18,49,76,0.1,1013,11,10,100,12,"Portugal,+Tavira"
2021-01-06,11,6,0.0,3.7,2,49,12:14 AM,12:29 PM,07:45 AM,05:29 PM,5,5,8,5,28,72,78,4.1,1009,11,9,53,20,"Portugal,+Tavira"
2021-01-07,10,7,0.0,5.4,2,42,01:23 AM,01:00 PM,07:45 AM,05:30 PM,5,5,8,5,24,73,80,1.8,1008,10,9,60,18,"Portugal,+Tavira"
2021-01-08,9,6,0.0,3.7,2,35,02:32 AM,01:34 PM,07:45 AM,05:31 PM,3,3,7,3,37,68,75,1.9,1004,9,7,42,30,"Portugal,+Tavira"
2021-01-09,10,4,0.0,8.7,3,28,03:44 AM,02:12 PM,07:45 AM,05:32 PM,-0,2,6,2,28,25,64,0.0,1005,10,10,310,21,"Portugal,+Tavira"
2021-01-10,8,3,0.0,7.0,2,22,04:56 AM,02:57 PM,07:45 AM,05:33 PM,1,2,5,2,25,53,77,0.1,1010,8,10,149,18,"Portugal,+Tavira"
