date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,11,7,0.0,5.3,2,83,07:47 PM,09:52 AM,07:54 AM,05:24 PM,4,5,8,5,32,45,78,0.4,1017,11,10,325,19,"Portugal,+Benavente"
2021-01-02,11,6,0.0,7.0,2,76,08:54 PM,10:31 AM,07:54 AM,05:25 PM,4,6,8,6,26,33,78,0.2,1019,11,10,328,15,"Portugal,+Benavente"
2021-01-03,12,5,0.0,8.7,2,69,10:03 PM,11:06 AM,07:54 AM,05:26 PM,4,6,7,6,16,26,80,0.6,1020,12,10,328,9,"Portugal,+Benavente"
2021-01-04,10,5,0.0,5.3,2,62,11:11 PM,11:37 AM,07:54 AM,05:27 PM,3,7,7,7,7,56,77,0.3,1016,10,10,199,4,"Portugal,+Benavente"
2021-01-05,9,2,0.0,8.7,2,56,No moonrise,12:05 PM,07:55 AM,05:28 PM,1,3,5,3,16,14,75,0.0,1013,9,10,85,9,"Portugal,+Benavente"
2021-01-06,9,0,0.0,7.0,1,49,12:19 AM,12:33 PM,07:54 AM,05:28 PM,-2,-0,3,-0,26,36,68,0.0,1012,9,10,40,14,"Portugal,+Benavente"
2021-01-07,10,3,0.0,8.7,3,42,01:29 AM,01:03 PM,07:54 AM,05:29 PM,-2,2,5,2,21,32,62,0.0,1011,10,10,70,13,"Portugal,+Benavente"
2021-01-08,9,2,0.0,8.7,3,35,02:40 AM,01:36 PM,07:54 AM,05:30 PM,-2,1,4,1,26,37,64,0.0,1008,9,10,101,16,"Portugal,+Benavente"
2021-01-09,6,1,0.0,5.3,1,28,03:53 AM,02:12 PM,07:54 AM,05:31 PM,-3,-0,4,-0,30,41,60,0.1,1006,6,10,173,18,"Portugal,+Benavente"
2021-01-10,9,1,0.0,8.7,2,22,05:06 AM,02:56 PM,07:54 AM,05:32 PM,-0,1,4,1,21,27,74,0.0,1013,9,10,51,12,"Portugal,+Benavente"
2021-01-11,9,1,0.0,8.7,2,15,06:17 AM,03:48 PM,07:54 AM,05:33 PM,-3,1,4,1,27,0,61,0.0,1023,9,10,27,16,"Portugal,+Benavente"
2021-01-12,10,-0,0.0,8.7,2,8,07:23 AM,04:48 PM,07:54 AM,05:34 PM,-1,2,4,2,11,0,71,0.0,1030,10,10,77,7,"Portugal,+Benavente"
2021-01-13,12,2,0.0,8.7,2,1,08:19 AM,05:54 PM,07:53 AM,05:35 PM,2,5,6,5,10,23,77,0.0,1031,12,10,131,5,"Portugal,+Benavente"
2021-01-14,13,5,0.0,8.7,2,5,09:07 AM,07:01 PM,07:53 AM,05:36 PM,6,6,8,6,23,30,88,0.0,1031,13,9,332,13,"Portugal,+Benavente"
2021-01-15,14,7,0.0,7.0,2,12,09:46 AM,08:08 PM,07:53 AM,05:38 PM,8,8,9,8,17,38,89,0.0,1029,14,7,217,10,"Portugal,+Benavente"
2021-01-16,13,4,0.0,8.7,3,19,10:18 AM,09:13 PM,07:52 AM,05:39 PM,3,7,8,7,11,3,78,0.0,1029,13,10,226,6,"Portugal,+Benavente"
2021-01-17,12,3,0.0,8.7,3,26,10:46 AM,10:14 PM,07:52 AM,05:40 PM,2,5,6,5,12,10,75,0.0,1029,12,10,67,7,"Portugal,+Benavente"
2021-01-18,14,3,0.0,8.7,3,33,11:12 AM,11:14 PM,07:51 AM,05:41 PM,2,6,7,6,11,2,72,0.0,1027,14,10,85,6,"Portugal,+Benavente"
