date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,11,8,0.0,8.7,2,83,07:48 PM,09:44 AM,07:46 AM,05:25 PM,5,6,9,6,32,40,76,0.3,1017,11,10,322,20,"Portugal,+Fronteira"
2021-01-02,11,7,0.0,8.7,2,76,08:54 PM,10:23 AM,07:46 AM,05:26 PM,4,5,8,5,30,13,72,0.4,1018,11,10,330,19,"Portugal,+Fronteira"
2021-01-03,11,5,0.0,8.7,3,69,10:01 PM,10:59 AM,07:46 AM,05:27 PM,2,5,7,5,18,1,72,0.0,1020,11,10,335,10,"Portugal,+Fronteira"
2021-01-04,11,6,0.0,8.7,3,62,11:08 PM,11:31 AM,07:46 AM,05:28 PM,3,7,8,7,10,33,72,0.1,1017,11,10,222,5,"Portugal,+Fronteira"
2021-01-05,10,7,0.0,8.7,3,56,No moonrise,12:01 PM,07:46 AM,05:28 PM,4,6,8,6,17,43,77,0.0,1013,10,10,108,11,"Portugal,+Fronteira"
2021-01-06,9,6,0.0,3.7,2,49,12:15 AM,12:30 PM,07:46 AM,05:29 PM,4,4,7,4,30,63,79,3.7,1009,9,10,58,19,"Portugal,+Fronteira"
2021-01-07,9,6,0.0,7.0,2,42,01:24 AM,01:01 PM,07:46 AM,05:30 PM,4,4,7,4,24,60,81,0.2,1008,9,10,24,16,"Portugal,+Fronteira"
2021-01-08,7,5,0.0,3.7,2,35,02:33 AM,01:35 PM,07:46 AM,05:31 PM,1,1,6,1,42,68,73,0.4,1005,7,9,49,30,"Portugal,+Fronteira"
2021-01-09,8,2,0.0,8.7,3,28,03:45 AM,02:12 PM,07:46 AM,05:32 PM,-1,1,5,1,30,16,66,0.0,1005,8,10,314,20,"Portugal,+Fronteira"
2021-01-10,7,2,0.0,8.7,1,22,04:57 AM,02:57 PM,07:46 AM,05:33 PM,0,0,4,0,25,43,79,0.0,1010,7,10,149,17,"Portugal,+Fronteira"
2021-01-11,9,3,0.0,8.7,3,15,06:07 AM,03:50 PM,07:45 AM,05:34 PM,1,2,5,2,27,1,74,0.0,1020,9,10,98,16,"Portugal,+Fronteira"
2021-01-12,10,3,0.0,8.7,3,8,07:13 AM,04:50 PM,07:45 AM,05:35 PM,-0,4,6,4,17,0,65,0.0,1029,10,10,73,9,"Portugal,+Fronteira"
2021-01-13,12,5,0.0,8.7,3,1,08:10 AM,05:55 PM,07:45 AM,05:36 PM,-0,7,8,7,11,1,58,0.0,1030,12,10,211,5,"Portugal,+Fronteira"
2021-01-14,12,5,0.0,8.7,3,5,08:58 AM,07:02 PM,07:45 AM,05:37 PM,3,6,8,6,21,11,73,0.0,1030,12,10,342,12,"Portugal,+Fronteira"
2021-01-15,12,6,0.0,8.7,3,12,09:38 AM,08:07 PM,07:44 AM,05:38 PM,4,7,8,7,16,2,75,0.0,1028,12,10,265,9,"Portugal,+Fronteira"
2021-01-16,14,7,0.0,8.7,4,19,10:11 AM,09:11 PM,07:44 AM,05:39 PM,5,9,10,9,13,0,73,0.0,1027,14,10,232,7,"Portugal,+Fronteira"
2021-01-17,15,8,0.0,7.0,3,26,10:40 AM,10:11 PM,07:44 AM,05:40 PM,4,10,11,10,13,18,65,0.0,1028,15,10,126,7,"Portugal,+Fronteira"
2021-01-18,14,9,0.0,8.7,4,33,11:07 AM,11:10 PM,07:43 AM,05:41 PM,4,10,10,10,10,3,65,0.0,1026,14,10,87,5,"Portugal,+Fronteira"
2021-01-19,13,8,0.0,3.7,3,39,11:32 AM,No moonset,07:43 AM,05:42 PM,7,9,10,9,16,71,78,0.1,1023,13,10,138,10,"Portugal,+Fronteira"
2021-01-20,15,10,0.0,7.1,3,46,11:57 AM,12:07 AM,07:42 AM,05:43 PM,10,10,13,10,46,74,82,13.6,1015,15,9,240,30,"Portugal,+Fronteira"
2021-01-21,15,11,0.0,3.8,3,53,12:22 PM,01:04 AM,07:42 AM,05:44 PM,11,11,13,11,37,74,88,1.3,1019,15,10,252,23,"Portugal,+Fronteira"
2021-01-22,14,10,0.0,8.7,3,60,12:50 PM,02:01 AM,07:41 AM,05:45 PM,10,11,13,11,43,42,82,0.9,1020,14,10,276,28,"Portugal,+Fronteira"
2021-01-23,14,10,0.0,5.4,3,66,01:22 PM,03:00 AM,07:41 AM,05:46 PM,9,10,12,10,31,68,84,0.2,1021,14,9,267,20,"Portugal,+Fronteira"
2021-01-24,16,10,0.0,3.8,3,73,01:59 PM,03:59 AM,07:40 AM,05:47 PM,13,13,14,13,30,84,92,1.3,1018,16,10,261,19,"Portugal,+Fronteira"
2021-01-25,16,13,0.0,5.4,4,80,02:42 PM,04:58 AM,07:40 AM,05:49 PM,13,14,15,14,27,66,89,0.4,1020,16,9,266,17,"Portugal,+Fronteira"
