date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,12,10,0.0,3.6,3,83,07:50 PM,09:55 AM,07:56 AM,05:27 PM,4,7,11,7,46,81,66,3.0,1018,12,10,337,30,"Portugal,+Gouveia"
2021-01-02,12,9,0.0,3.6,3,76,08:57 PM,10:34 AM,07:56 AM,05:28 PM,4,7,10,7,35,63,68,2.4,1019,12,10,348,22,"Portugal,+Gouveia"
2021-01-03,12,9,0.0,8.7,3,69,10:05 PM,11:08 AM,07:57 AM,05:29 PM,5,8,10,8,24,31,69,1.1,1020,12,10,213,16,"Portugal,+Gouveia"
2021-01-04,13,9,0.0,5.3,3,62,11:14 PM,11:39 AM,07:57 AM,05:30 PM,5,10,11,10,12,68,67,1.3,1016,13,9,215,8,"Portugal,+Gouveia"
2021-01-05,11,7,0.0,8.7,3,56,No moonrise,12:08 PM,07:57 AM,05:31 PM,1,7,9,7,18,16,61,0.4,1013,11,10,59,13,"Portugal,+Gouveia"
2021-01-06,10,4,0.0,3.7,2,49,12:22 AM,12:36 PM,07:57 AM,05:31 PM,-2,3,7,3,29,42,57,0.0,1011,10,10,64,19,"Portugal,+Gouveia"
2021-01-07,10,6,0.0,8.7,3,42,01:32 AM,01:06 PM,07:56 AM,05:32 PM,-2,4,7,4,32,39,51,0.0,1011,10,10,38,20,"Portugal,+Gouveia"
2021-01-08,9,5,0.0,7.0,2,35,02:42 AM,01:38 PM,07:56 AM,05:33 PM,-2,3,7,3,36,37,56,0.0,1008,9,10,30,24,"Portugal,+Gouveia"
2021-01-09,7,5,0.0,7.0,2,28,03:55 AM,02:15 PM,07:56 AM,05:34 PM,-2,2,6,2,41,33,57,0.8,1007,7,10,54,26,"Portugal,+Gouveia"
2021-01-10,9,3,0.0,8.7,3,22,05:08 AM,02:59 PM,07:56 AM,05:35 PM,-0,3,6,3,29,31,64,0.2,1013,9,10,29,19,"Portugal,+Gouveia"
2021-01-11,9,0,0.0,8.7,3,15,06:19 AM,03:52 PM,07:56 AM,05:36 PM,-2,3,6,3,31,1,51,0.0,1023,9,10,36,21,"Portugal,+Gouveia"
