date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,10,6,0.0,3.6,2,83,07:46 PM,09:55 AM,07:57 AM,05:22 PM,5,5,7,5,27,78,84,9.4,1017,10,9,334,16,"Portugal,+Marinha+Grande"
2021-01-02,11,5,0.0,5.3,2,76,08:53 PM,10:34 AM,07:57 AM,05:23 PM,4,5,7,5,18,56,82,1.5,1019,11,10,305,11,"Portugal,+Marinha+Grande"
2021-01-03,11,2,0.0,7.0,2,69,10:02 PM,11:08 AM,07:57 AM,05:24 PM,4,5,6,5,11,34,81,0.4,1020,11,10,183,7,"Portugal,+Marinha+Grande"
2021-01-04,10,5,0.0,7.0,2,62,11:11 PM,11:38 AM,07:57 AM,05:25 PM,4,6,7,6,9,57,79,0.0,1016,10,10,286,5,"Portugal,+Marinha+Grande"
2021-01-05,11,3,0.0,8.7,3,56,No moonrise,12:06 PM,07:57 AM,05:26 PM,1,5,6,5,9,14,73,0.0,1014,11,10,94,5,"Portugal,+Marinha+Grande"
2021-01-06,10,2,0.0,8.7,3,49,12:20 AM,12:34 PM,07:57 AM,05:27 PM,-2,3,5,3,14,18,62,0.0,1013,10,10,87,8,"Portugal,+Marinha+Grande"
2021-01-07,9,1,0.0,8.7,3,42,01:30 AM,01:03 PM,07:57 AM,05:28 PM,-2,3,5,3,14,13,62,0.0,1012,9,10,38,8,"Portugal,+Marinha+Grande"
2021-01-08,8,1,0.0,8.7,1,35,02:41 AM,01:35 PM,07:57 AM,05:29 PM,-3,0,4,0,25,41,61,0.0,1010,8,10,32,15,"Portugal,+Marinha+Grande"
2021-01-09,7,1,0.0,7.0,1,28,03:55 AM,02:11 PM,07:57 AM,05:30 PM,-3,-1,3,-1,30,37,64,0.0,1007,7,10,18,19,"Portugal,+Marinha+Grande"
2021-01-10,9,-1,0.0,8.7,2,22,05:09 AM,02:55 PM,07:57 AM,05:31 PM,-1,1,4,1,23,26,74,0.0,1013,9,10,36,13,"Portugal,+Marinha+Grande"
2021-01-11,9,-1,0.0,8.7,2,15,06:20 AM,03:46 PM,07:56 AM,05:32 PM,-2,1,4,1,17,0,69,0.0,1024,9,10,35,9,"Portugal,+Marinha+Grande"
2021-01-12,11,2,0.0,8.7,3,8,07:26 AM,04:46 PM,07:56 AM,05:33 PM,0,5,5,5,9,0,69,0.0,1030,11,10,177,5,"Portugal,+Marinha+Grande"
2021-01-13,11,2,0.0,8.7,3,1,08:22 AM,05:52 PM,07:56 AM,05:34 PM,2,5,6,5,9,19,80,0.0,1031,11,10,161,5,"Portugal,+Marinha+Grande"
2021-01-14,11,3,0.0,7.0,2,5,09:10 AM,07:00 PM,07:55 AM,05:35 PM,5,5,7,5,15,55,90,0.0,1031,11,9,223,10,"Portugal,+Marinha+Grande"
