date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,13,10,0.0,3.6,3,83,07:50 PM,09:55 AM,07:56 AM,05:27 PM,6,8,11,8,36,78,71,4.3,1018,13,9,337,27,"Portugal,+Seixal"
2021-01-02,13,9,0.0,3.6,3,76,08:57 PM,10:34 AM,07:56 AM,05:27 PM,6,8,10,8,27,70,74,3.7,1019,13,9,347,19,"Portugal,+Seixal"
2021-01-03,13,3,0.0,7.0,2,69,10:05 PM,11:08 AM,07:57 AM,05:28 PM,5,7,9,7,20,31,75,1.2,1020,13,10,258,13,"Portugal,+Seixal"
2021-01-04,12,8,0.0,7.0,2,62,11:13 PM,11:39 AM,07:57 AM,05:29 PM,4,8,9,8,11,67,72,1.4,1016,12,9,220,7,"Portugal,+Seixal"
2021-01-05,10,5,0.0,8.7,3,56,No moonrise,12:08 PM,07:57 AM,05:30 PM,1,5,7,5,19,14,69,0.4,1013,10,10,65,12,"Portugal,+Seixal"
2021-01-06,11,2,0.0,7.0,2,49,12:22 AM,12:36 PM,07:57 AM,05:31 PM,-1,3,6,3,27,37,62,0.0,1012,11,10,70,18,"Portugal,+Seixal"
2021-01-07,11,6,0.0,8.7,3,42,01:31 AM,01:06 PM,07:57 AM,05:32 PM,-1,5,8,5,25,34,56,0.0,1011,11,10,39,17,"Portugal,+Seixal"
2021-01-08,10,4,0.0,8.7,3,35,02:42 AM,01:38 PM,07:56 AM,05:33 PM,-1,3,7,3,28,24,60,0.0,1009,10,10,32,22,"Portugal,+Seixal"
2021-01-09,7,2,0.0,7.0,2,28,03:55 AM,02:15 PM,07:56 AM,05:34 PM,-2,1,5,1,37,34,61,0.4,1007,7,10,14,23,"Portugal,+Seixal"
2021-01-10,8,2,0.0,8.7,3,22,05:08 AM,02:59 PM,07:56 AM,05:35 PM,-0,1,5,1,29,25,70,0.0,1013,8,10,30,17,"Portugal,+Seixal"
2021-01-11,9,2,0.0,8.7,3,15,06:19 AM,03:51 PM,07:56 AM,05:36 PM,-2,2,6,2,31,1,56,0.0,1023,9,10,37,17,"Portugal,+Seixal"
2021-01-12,10,3,0.0,8.7,3,8,07:25 AM,04:51 PM,07:56 AM,05:37 PM,0,4,6,4,14,0,64,0.0,1030,10,10,78,9,"Portugal,+Seixal"
2021-01-13,13,6,0.0,8.7,3,1,08:21 AM,05:56 PM,07:55 AM,05:38 PM,5,8,9,8,12,13,74,0.0,1031,13,10,152,8,"Portugal,+Seixal"
