date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,4,0,0.0,3.4,1,83,07:37 PM,09:59 AM,08:00 AM,05:14 PM,1,1,2,1,9,71,93,5.9,1016,4,5,184,5,"Portugal,+Terras+de+Bouro"
2021-01-02,8,1,0.0,8.7,1,76,08:46 PM,10:36 AM,08:01 AM,05:15 PM,1,2,3,2,10,21,88,0.0,1019,8,7,148,5,"Portugal,+Terras+de+Bouro"
2021-01-03,9,-0,0.0,8.7,1,69,09:56 PM,11:09 AM,08:01 AM,05:15 PM,0,2,3,2,9,34,83,1.4,1020,9,10,140,5,"Portugal,+Terras+de+Bouro"
2021-01-04,8,-0,0.0,3.4,1,62,11:07 PM,11:38 AM,08:01 AM,05:16 PM,0,2,3,2,8,69,86,0.6,1016,8,10,103,4,"Portugal,+Terras+de+Bouro"
2021-01-05,8,-2,0.0,8.7,2,56,No moonrise,12:04 PM,08:00 AM,05:17 PM,-1,1,3,1,10,7,80,0.0,1015,8,10,77,5,"Portugal,+Terras+de+Bouro"
2021-01-06,10,-1,0.0,8.7,2,49,12:17 AM,12:30 PM,08:00 AM,05:18 PM,-2,1,3,1,11,4,72,0.0,1015,10,10,63,6,"Portugal,+Terras+de+Bouro"
2021-01-07,9,-2,0.0,8.7,2,42,01:29 AM,12:58 PM,08:00 AM,05:19 PM,-4,1,2,1,13,3,67,0.0,1014,9,10,84,7,"Portugal,+Terras+de+Bouro"
2021-01-08,8,-2,0.0,8.7,2,35,02:42 AM,01:29 PM,08:00 AM,05:20 PM,-5,1,3,1,16,2,64,0.0,1013,8,10,42,8,"Portugal,+Terras+de+Bouro"
2021-01-09,7,-4,0.0,8.7,1,28,03:57 AM,02:03 PM,08:00 AM,05:21 PM,-4,-2,1,-2,18,35,74,0.0,1009,7,10,23,10,"Portugal,+Terras+de+Bouro"
2021-01-10,7,-2,0.0,8.7,2,22,05:12 AM,02:46 PM,08:00 AM,05:23 PM,-3,-0,2,-0,16,15,75,0.0,1016,7,10,34,9,"Portugal,+Terras+de+Bouro"
2021-01-11,9,-2,0.0,8.7,3,15,06:24 AM,03:37 PM,07:59 AM,05:24 PM,-3,2,4,2,10,0,68,0.0,1026,9,10,81,5,"Portugal,+Terras+de+Bouro"
2021-01-12,10,-1,0.0,8.7,3,8,07:31 AM,04:36 PM,07:59 AM,05:25 PM,-3,4,5,4,7,7,66,0.0,1031,10,10,118,4,"Portugal,+Terras+de+Bouro"
2021-01-13,9,-1,0.0,8.7,3,1,08:27 AM,05:43 PM,07:59 AM,05:26 PM,-3,4,5,4,7,43,67,0.0,1032,9,10,143,4,"Portugal,+Terras+de+Bouro"
2021-01-14,11,0,0.0,8.7,3,5,09:13 AM,06:51 PM,07:58 AM,05:27 PM,2,5,5,5,9,16,78,0.0,1031,11,9,155,5,"Portugal,+Terras+de+Bouro"
2021-01-15,12,4,0.0,8.7,3,12,09:50 AM,08:00 PM,07:58 AM,05:28 PM,3,7,8,7,9,12,81,0.0,1030,12,10,116,5,"Portugal,+Terras+de+Bouro"
2021-01-16,12,2,0.0,8.7,3,19,10:21 AM,09:06 PM,07:57 AM,05:29 PM,-1,6,8,6,8,3,61,0.0,1030,12,10,84,4,"Portugal,+Terras+de+Bouro"
2021-01-17,13,4,0.0,8.7,3,26,10:47 AM,10:10 PM,07:57 AM,05:30 PM,3,8,8,8,7,5,76,0.0,1030,13,10,148,4,"Portugal,+Terras+de+Bouro"
2021-01-18,15,4,0.0,8.7,4,33,11:11 AM,11:11 PM,07:56 AM,05:32 PM,4,8,9,8,9,4,77,0.0,1027,15,10,132,5,"Portugal,+Terras+de+Bouro"
2021-01-19,10,-1,0.0,8.7,3,39,11:33 AM,No moonset,07:56 AM,05:33 PM,3,4,6,4,16,34,78,0.0,1020,10,10,142,9,"Portugal,+Terras+de+Bouro"
2021-01-20,10,6,0.0,3.7,2,46,11:55 AM,12:11 AM,07:55 AM,05:34 PM,7,6,8,6,31,100,94,52.9,1005,10,6,201,16,"Portugal,+Terras+de+Bouro"
2021-01-21,13,7,0.0,3.7,3,53,12:18 PM,01:11 AM,07:55 AM,05:35 PM,9,7,10,7,29,93,97,32.0,1009,13,8,230,16,"Portugal,+Terras+de+Bouro"
2021-01-22,10,5,0.0,5.4,2,60,12:44 PM,02:11 AM,07:54 AM,05:37 PM,6,5,8,5,41,85,89,30.8,1010,10,8,263,21,"Portugal,+Terras+de+Bouro"
2021-01-23,11,5,0.0,3.7,2,66,01:13 PM,03:12 AM,07:53 AM,05:38 PM,7,6,8,6,30,96,94,55.1,1011,11,8,244,16,"Portugal,+Terras+de+Bouro"
2021-01-24,12,3,0.0,3.7,2,73,01:48 PM,04:13 AM,07:53 AM,05:39 PM,8,7,8,7,14,87,95,10.6,1013,12,8,219,7,"Portugal,+Terras+de+Bouro"
2021-01-25,13,5,0.0,3.7,3,80,02:29 PM,05:14 AM,07:52 AM,05:40 PM,11,9,11,9,17,100,99,25.0,1013,13,7,231,10,"Portugal,+Terras+de+Bouro"
2021-01-26,14,7,0.0,3.7,3,87,03:19 PM,06:12 AM,07:51 AM,05:42 PM,12,11,12,11,9,100,99,13.0,1021,14,8,202,5,"Portugal,+Terras+de+Bouro"
2021-01-27,15,10,0.0,3.7,3,93,04:17 PM,07:06 AM,07:50 AM,05:43 PM,12,13,12,13,7,97,97,0.8,1026,15,4,194,4,"Portugal,+Terras+de+Bouro"
2021-01-28,15,10,0.0,3.7,3,100,05:23 PM,07:54 AM,07:49 AM,05:44 PM,11,12,12,12,10,96,95,0.7,1023,15,3,172,6,"Portugal,+Terras+de+Bouro"
2021-01-29,13,5,0.0,3.7,3,93,06:33 PM,08:34 AM,07:48 AM,05:45 PM,11,10,11,10,16,98,97,6.6,1020,13,9,196,9,"Portugal,+Terras+de+Bouro"
2021-01-30,11,6,0.0,3.8,2,86,07:45 PM,09:10 AM,07:47 AM,05:47 PM,7,5,8,5,36,88,90,28.3,1016,11,9,270,19,"Portugal,+Terras+de+Bouro"
2021-01-31,13,6,0.0,3.8,3,79,08:57 PM,09:40 AM,07:46 AM,05:48 PM,10,9,10,9,16,95,98,12.4,1017,13,8,256,9,"Portugal,+Terras+de+Bouro"
2021-02-01,14,5,0.0,3.8,3,73,10:08 PM,10:08 AM,07:45 AM,05:49 PM,10,9,11,9,16,90,97,7.2,1018,14,10,223,9,"Portugal,+Terras+de+Bouro"
2021-02-02,13,3,0.0,3.8,3,66,11:21 PM,10:34 AM,07:44 AM,05:50 PM,10,8,10,8,23,97,95,15.7,1014,13,7,185,12,"Portugal,+Terras+de+Bouro"
2021-02-03,13,6,0.0,3.8,2,59,No moonrise,11:01 AM,07:43 AM,05:52 PM,8,8,9,8,21,67,91,34.7,1010,13,8,203,11,"Portugal,+Terras+de+Bouro"
2021-02-04,13,6,0.0,7.1,2,52,12:33 AM,11:31 AM,07:42 AM,05:53 PM,6,8,9,8,8,58,85,4.9,1010,13,9,146,5,"Portugal,+Terras+de+Bouro"
2021-02-05,13,4,0.0,7.1,2,46,01:47 AM,12:03 PM,07:41 AM,05:54 PM,5,6,7,6,13,57,86,4.2,1006,13,10,70,7,"Portugal,+Terras+de+Bouro"
2021-02-06,10,2,0.0,3.8,2,39,03:00 AM,12:42 PM,07:40 AM,05:55 PM,4,4,6,4,18,72,84,3.2,1005,10,9,344,10,"Portugal,+Terras+de+Bouro"
2021-02-07,6,-7,0.0,3.8,1,32,04:12 AM,01:28 PM,07:39 AM,05:57 PM,2,0,2,0,11,69,91,30.8,1009,6,8,109,6,"Portugal,+Terras+de+Bouro"
2021-02-08,11,4,0.0,3.8,2,25,05:19 AM,02:23 PM,07:38 AM,05:58 PM,6,5,7,5,20,82,94,33.0,1005,11,8,255,10,"Portugal,+Terras+de+Bouro"
2021-02-09,12,-5,0.0,3.8,2,18,06:17 AM,03:26 PM,07:37 AM,05:59 PM,6,4,6,4,26,96,93,75.2,1001,12,6,227,15,"Portugal,+Terras+de+Bouro"
2021-02-10,12,4,0.0,5.3,2,12,07:06 AM,04:32 PM,07:35 AM,06:00 PM,5,6,7,6,13,84,85,5.5,1012,12,8,205,7,"Portugal,+Terras+de+Bouro"
2021-02-11,13,8,0.0,5.3,3,5,07:46 AM,05:42 PM,07:34 AM,06:02 PM,10,9,10,9,18,97,96,23.5,1015,13,7,178,10,"Portugal,+Terras+de+Bouro"
2021-02-12,14,6,0.0,6.9,3,2,08:19 AM,06:49 PM,07:33 AM,06:03 PM,8,9,9,9,9,80,91,19.4,1022,14,9,205,5,"Portugal,+Terras+de+Bouro"
2021-02-13,12,6,0.0,6.9,3,9,08:47 AM,07:54 PM,07:31 AM,06:04 PM,7,8,9,8,8,70,90,0.0,1025,12,8,136,5,"Portugal,+Terras+de+Bouro"
2021-02-14,17,7,0.0,10.8,3,15,09:12 AM,08:57 PM,07:30 AM,06:05 PM,7,10,11,10,11,19,76,0.0,1026,17,10,143,6,"Portugal,+Terras+de+Bouro"
2021-02-15,17,7,0.0,10.0,3,22,09:35 AM,09:58 PM,07:29 AM,06:07 PM,6,10,11,10,14,40,73,0.0,1025,17,10,132,7,"Portugal,+Terras+de+Bouro"
2021-02-16,13,8,0.0,5.4,3,29,09:57 AM,10:59 PM,07:27 AM,06:08 PM,9,9,10,9,18,95,92,24.2,1024,13,9,198,10,"Portugal,+Terras+de+Bouro"
2021-02-17,13,8,0.0,5.4,3,36,10:19 AM,11:59 PM,07:26 AM,06:09 PM,9,9,10,9,15,100,95,19.6,1020,13,8,182,8,"Portugal,+Terras+de+Bouro"
2021-02-18,12,4,0.0,10.9,2,42,10:44 AM,No moonset,07:25 AM,06:10 PM,7,7,9,7,19,51,88,37.5,1014,12,8,209,10,"Portugal,+Terras+de+Bouro"
2021-02-19,12,5,0.0,5.4,3,49,11:11 AM,12:59 AM,07:23 AM,06:11 PM,8,8,9,8,21,99,93,4.9,1012,12,10,161,11,"Portugal,+Terras+de+Bouro"
2021-02-20,12,7,0.0,5.5,3,56,11:43 AM,02:00 AM,07:22 AM,06:13 PM,8,8,10,8,29,99,92,64.4,1004,12,6,165,17,"Portugal,+Terras+de+Bouro"
2021-02-21,10,3,0.0,5.5,2,63,12:21 PM,03:01 AM,07:20 AM,06:14 PM,5,5,7,5,12,83,87,19.2,1006,10,8,211,8,"Portugal,+Terras+de+Bouro"
2021-02-22,13,1,0.0,11.0,3,70,01:07 PM,04:00 AM,07:19 AM,06:15 PM,2,6,6,6,7,19,78,0.0,1019,13,9,157,4,"Portugal,+Terras+de+Bouro"
2021-02-23,11,4,0.0,5.5,2,76,02:01 PM,04:55 AM,07:17 AM,06:16 PM,3,7,8,7,12,74,69,0.0,1026,11,10,117,7,"Portugal,+Terras+de+Bouro"
2021-02-24,17,8,0.0,10.1,3,83,03:03 PM,05:45 AM,07:16 AM,06:18 PM,6,10,11,10,17,40,71,0.6,1026,17,10,149,10,"Portugal,+Terras+de+Bouro"
2021-02-25,12,7,0.0,5.5,2,90,04:11 PM,06:28 AM,07:14 AM,06:19 PM,8,9,9,9,10,84,90,10.1,1026,12,9,146,6,"Portugal,+Terras+de+Bouro"
2021-02-26,19,6,0.0,10.1,3,97,05:24 PM,07:06 AM,07:13 AM,06:20 PM,7,11,11,11,13,31,77,0.1,1029,19,10,53,7,"Portugal,+Terras+de+Bouro"
2021-02-27,18,9,0.0,11.1,4,97,06:38 PM,07:39 AM,07:11 AM,06:21 PM,6,12,12,12,13,16,69,0.0,1026,18,10,76,7,"Portugal,+Terras+de+Bouro"
2021-02-28,19,8,0.0,11.1,4,90,07:52 PM,08:08 AM,07:10 AM,06:22 PM,4,12,13,12,11,3,60,0.0,1019,19,10,120,6,"Portugal,+Terras+de+Bouro"
