date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,4,1,0.3,5.3,1,83,07:36 PM,09:54 AM,07:56 AM,05:12 PM,1,0,3,0,10,66,87,0.5,1015,4,9,281,8,"Portugal,+Valenca"
2021-01-02,7,1,0.0,8.7,2,76,08:44 PM,10:31 AM,07:56 AM,05:13 PM,-0,2,3,2,8,28,79,0.0,1018,7,10,293,5,"Portugal,+Valenca"
2021-01-03,6,0,0.3,8.7,1,69,09:54 PM,11:05 AM,07:56 AM,05:14 PM,-2,1,3,1,9,34,74,0.3,1019,6,9,287,6,"Portugal,+Valenca"
2021-01-04,6,0,0.0,5.3,1,62,11:04 PM,11:34 AM,07:56 AM,05:15 PM,-1,2,3,2,6,62,77,0.1,1016,6,10,286,4,"Portugal,+Valenca"
2021-01-05,6,-1,0.0,8.7,2,56,No moonrise,12:01 PM,07:56 AM,05:16 PM,-3,2,2,2,5,5,69,0.0,1015,6,10,121,3,"Portugal,+Valenca"
2021-01-06,5,-1,0.0,8.7,2,49,12:14 AM,12:28 PM,07:56 AM,05:17 PM,-4,-1,1,-1,11,5,68,0.0,1015,5,10,76,7,"Portugal,+Valenca"
2021-01-07,5,-1,0.0,8.7,2,42,01:25 AM,12:56 PM,07:56 AM,05:18 PM,-6,-1,1,-1,11,4,60,0.0,1014,5,10,57,7,"Portugal,+Valenca"
2021-01-08,5,-1,0.0,7.0,1,35,02:38 AM,01:27 PM,07:56 AM,05:19 PM,-8,-3,1,-3,20,41,53,0.0,1013,5,10,62,14,"Portugal,+Valenca"
2021-01-09,3,-1,1.8,5.3,1,28,03:53 AM,02:02 PM,07:55 AM,05:20 PM,-4,-3,1,-3,16,66,71,2.1,1008,3,7,48,12,"Portugal,+Valenca"
2021-01-10,7,-0,1.7,8.7,1,22,05:07 AM,02:44 PM,07:55 AM,05:21 PM,-4,-1,2,-1,15,42,68,2.0,1015,7,8,61,10,"Portugal,+Valenca"
2021-01-11,5,-2,0.0,8.7,2,15,06:19 AM,03:36 PM,07:55 AM,05:22 PM,-6,-0,1,-0,7,0,63,0.0,1026,5,10,98,5,"Portugal,+Valenca"
2021-01-12,8,-1,0.0,8.7,2,8,07:26 AM,04:35 PM,07:55 AM,05:23 PM,-4,2,2,2,6,8,65,0.0,1031,8,10,118,3,"Portugal,+Valenca"
2021-01-13,9,-0,0.0,8.7,2,1,08:22 AM,05:41 PM,07:54 AM,05:24 PM,-4,2,3,2,6,32,63,0.0,1032,9,10,124,3,"Portugal,+Valenca"
2021-01-14,10,1,0.0,8.7,3,5,09:08 AM,06:50 PM,07:54 AM,05:26 PM,-1,4,4,4,5,17,69,0.0,1031,10,10,174,2,"Portugal,+Valenca"
2021-01-15,9,2,0.0,8.7,3,12,09:46 AM,07:58 PM,07:53 AM,05:27 PM,2,4,5,4,6,11,81,0.0,1029,9,10,96,4,"Portugal,+Valenca"
2021-01-16,10,1,0.0,8.7,2,19,10:17 AM,09:04 PM,07:53 AM,05:28 PM,-1,3,4,3,8,3,72,0.0,1030,10,10,91,5,"Portugal,+Valenca"
2021-01-17,11,2,0.0,8.7,3,26,10:43 AM,10:07 PM,07:53 AM,05:29 PM,-1,4,5,4,9,3,65,0.0,1030,11,10,94,5,"Portugal,+Valenca"
2021-01-18,11,3,0.0,8.7,3,33,11:08 AM,11:08 PM,07:52 AM,05:30 PM,1,5,6,5,9,3,73,0.0,1028,11,10,100,5,"Portugal,+Valenca"
2021-01-19,9,2,0.0,7.0,2,39,11:30 AM,No moonset,07:51 AM,05:31 PM,1,4,5,4,9,30,74,0.0,1022,9,10,116,5,"Portugal,+Valenca"
2021-01-20,9,4,0.0,3.7,2,46,11:53 AM,12:08 AM,07:51 AM,05:33 PM,6,5,7,5,18,99,95,16.4,1007,9,6,195,12,"Portugal,+Valenca"
