date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,10,7,0.0,5.2,2,83,07:40 PM,09:58 AM,08:00 AM,05:17 PM,3,6,8,6,22,79,71,6.1,1016,10,10,266,15,"Portugal,+Vila+Nova+de+Gaia"
2021-01-02,10,7,0.0,8.7,2,76,08:49 PM,10:36 AM,08:00 AM,05:18 PM,4,6,8,6,16,27,72,0.4,1019,10,10,143,12,"Portugal,+Vila+Nova+de+Gaia"
2021-01-03,10,6,0.0,8.7,2,69,09:59 PM,11:09 AM,08:00 AM,05:19 PM,2,6,8,6,11,40,69,0.5,1020,10,9,195,9,"Portugal,+Vila+Nova+de+Gaia"
2021-01-04,10,6,0.0,5.2,2,62,11:08 PM,11:38 AM,08:00 AM,05:20 PM,3,7,8,7,9,72,74,1.7,1016,10,10,148,6,"Portugal,+Vila+Nova+de+Gaia"
2021-01-05,11,5,0.0,8.7,3,56,No moonrise,12:05 PM,08:00 AM,05:20 PM,2,8,8,8,7,3,65,0.0,1015,11,10,132,6,"Portugal,+Vila+Nova+de+Gaia"
2021-01-06,11,5,0.0,8.7,3,49,12:18 AM,12:32 PM,08:00 AM,05:21 PM,-1,6,8,6,13,4,55,0.0,1014,11,10,77,10,"Portugal,+Vila+Nova+de+Gaia"
2021-01-07,11,5,0.0,8.7,3,42,01:30 AM,01:00 PM,08:00 AM,05:22 PM,-1,5,7,5,18,0,55,0.0,1014,11,10,48,13,"Portugal,+Vila+Nova+de+Gaia"
2021-01-08,10,4,0.0,8.7,3,35,02:42 AM,01:31 PM,08:00 AM,05:23 PM,-4,3,6,3,27,24,49,0.0,1012,10,10,46,18,"Portugal,+Vila+Nova+de+Gaia"
2021-01-09,9,3,0.0,8.7,3,28,03:57 AM,02:06 PM,07:59 AM,05:24 PM,-2,3,6,3,19,33,59,0.0,1008,9,10,25,14,"Portugal,+Vila+Nova+de+Gaia"
2021-01-10,11,5,0.0,8.7,3,22,05:12 AM,02:49 PM,07:59 AM,05:26 PM,-1,5,7,5,18,31,60,0.0,1015,11,10,37,12,"Portugal,+Vila+Nova+de+Gaia"
