date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2024-06-30,25,16,0.0,11.0,5,27,01:52 AM,03:31 PM,06:15 AM,08:56 PM,14,20,21,20,29,20,67,1.5,1016,25,10,304,17,"Sao+Bras+de+Alportel,Portugal"
2024-07-01,26,15,0.0,14.0,6,26,02:21 AM,04:43 PM,06:15 AM,08:56 PM,13,21,21,21,26,2,65,0.0,1018,26,10,298,14,"Sao+Bras+de+Alportel,Portugal"
2024-07-02,30,20,0.0,14.0,7,19,02:55 AM,05:55 PM,06:16 AM,08:55 PM,15,26,26,25,23,2,56,0.0,1016,30,10,208,12,"Sao+Bras+de+Alportel,Portugal"
2024-07-03,32,22,0.0,14.0,7,12,03:36 AM,07:05 PM,06:16 AM,08:55 PM,14,28,28,27,25,0,49,0.0,1012,32,10,207,13,"Sao+Bras+de+Alportel,Portugal"
2024-07-04,33,24,0.0,14.0,7,5,04:23 AM,08:10 PM,06:17 AM,08:55 PM,12,28,28,28,25,0,42,0.0,1011,33,10,238,12,"Sao+Bras+de+Alportel,Portugal"
2024-07-05,27,21,0.0,14.0,6,0,05:20 AM,09:06 PM,06:17 AM,08:55 PM,13,26,26,25,25,0,56,0.0,1011,27,10,193,13,"Sao+Bras+de+Alportel,Portugal"
2024-07-06,30,17,0.0,14.0,6,0,06:22 AM,09:52 PM,06:18 AM,08:55 PM,13,22,22,22,33,1,57,0.0,1013,30,10,320,19,"Sao+Bras+de+Alportel,Portugal"
2024-07-07,29,14,0.0,14.0,6,2,07:28 AM,10:29 PM,06:18 AM,08:54 PM,8,20,20,20,36,0,51,0.0,1013,29,10,314,20,"Sao+Bras+de+Alportel,Portugal"
2024-07-08,26,14,0.0,14.0,6,10,08:32 AM,11:00 PM,06:19 AM,08:54 PM,10,21,21,21,25,2,52,0.0,1014,26,10,271,13,"Sao+Bras+de+Alportel,Portugal"
2024-07-09,28,17,0.0,14.0,6,17,09:36 AM,11:26 PM,06:19 AM,08:54 PM,15,23,23,23,24,7,64,0.0,1016,28,10,281,13,"Sao+Bras+de+Alportel,Portugal"
2024-07-10,32,19,0.0,14.0,6,24,10:35 AM,11:49 PM,06:20 AM,08:53 PM,17,26,26,25,25,2,66,0.0,1018,32,10,302,12,"Sao+Bras+de+Alportel,Portugal"
2024-07-11,34,21,0.0,14.0,7,32,11:34 AM,No moonset,06:21 AM,08:53 PM,16,28,28,27,33,0,57,0.0,1017,34,10,319,16,"Sao+Bras+de+Alportel,Portugal"
2024-07-12,33,19,0.0,14.0,7,39,12:30 PM,12:10 AM,06:21 AM,08:53 PM,12,25,25,25,32,0,50,0.0,1015,33,10,318,17,"Sao+Bras+de+Alportel,Portugal"
2024-07-13,29,16,0.0,14.0,6,46,01:28 PM,12:31 AM,06:22 AM,08:52 PM,8,22,22,23,27,1,42,0.0,1013,29,10,304,15,"Sao+Bras+de+Alportel,Portugal"
2024-07-14,28,16,0.0,14.0,6,53,02:26 PM,12:53 AM,06:23 AM,08:52 PM,10,22,22,22,24,1,48,0.0,1014,28,10,295,12,"Sao+Bras+de+Alportel,Portugal"
2024-07-15,28,18,0.0,11.0,5,61,03:28 PM,01:17 AM,06:23 AM,08:51 PM,16,23,23,23,28,19,69,0.0,1017,28,10,292,16,"Sao+Bras+de+Alportel,Portugal"
2024-07-16,31,16,0.0,14.0,6,68,04:31 PM,01:45 AM,06:24 AM,08:51 PM,11,23,23,23,32,0,51,0.0,1017,31,10,324,17,"Sao+Bras+de+Alportel,Portugal"
2024-07-17,30,18,0.0,14.0,6,75,05:37 PM,02:18 AM,06:25 AM,08:50 PM,11,24,24,25,24,0,44,0.0,1015,30,10,245,11,"Sao+Bras+de+Alportel,Portugal"
2024-07-18,33,20,0.0,14.0,7,82,06:42 PM,02:59 AM,06:26 AM,08:49 PM,11,27,27,27,21,10,41,0.0,1016,33,10,172,10,"Sao+Bras+de+Alportel,Portugal"
2024-07-19,34,22,0.0,14.0,7,90,07:44 PM,03:51 AM,06:26 AM,08:49 PM,12,28,28,28,23,0,39,0.0,1017,34,10,218,11,"Sao+Bras+de+Alportel,Portugal"
2024-07-20,33,20,0.0,14.0,7,97,08:37 PM,04:53 AM,06:27 AM,08:48 PM,15,27,27,26,35,0,55,0.0,1015,33,10,320,19,"Sao+Bras+de+Alportel,Portugal"
2024-07-21,32,18,0.0,14.0,6,100,09:23 PM,06:03 AM,06:28 AM,08:47 PM,12,25,25,25,30,0,53,0.0,1014,32,10,314,15,"Sao+Bras+de+Alportel,Portugal"
2024-07-22,31,21,0.0,14.0,7,88,10:01 PM,07:19 AM,06:29 AM,08:47 PM,13,26,26,26,20,0,46,0.0,1015,31,10,189,9,"Sao+Bras+de+Alportel,Portugal"
2024-07-23,34,21,0.0,14.0,7,81,10:33 PM,08:34 AM,06:29 AM,08:46 PM,14,29,29,28,19,0,52,0.0,1017,34,10,166,10,"Sao+Bras+de+Alportel,Portugal"
2024-07-24,36,24,0.0,14.0,7,74,11:02 PM,09:49 AM,06:30 AM,08:45 PM,12,30,30,30,23,4,39,0.0,1015,36,10,218,11,"Sao+Bras+de+Alportel,Portugal"
2024-07-25,35,21,0.0,14.0,7,67,11:29 PM,11:01 AM,06:31 AM,08:44 PM,12,28,28,28,31,0,44,0.0,1011,35,10,308,16,"Sao+Bras+de+Alportel,Portugal"
2024-07-26,31,18,0.0,14.0,6,59,11:55 PM,12:12 PM,06:32 AM,08:44 PM,16,25,25,25,29,1,63,0.0,1010,31,10,292,14,"Sao+Bras+de+Alportel,Portugal"
2024-07-27,29,19,0.0,14.0,6,52,No moonrise,01:23 PM,06:32 AM,08:43 PM,16,26,26,25,21,1,61,0.0,1011,29,10,195,10,"Sao+Bras+de+Alportel,Portugal"
2024-07-28,29,21,0.0,13.0,6,45,12:24 AM,02:34 PM,06:33 AM,08:42 PM,15,26,26,25,19,19,57,0.0,1012,29,10,176,9,"Sao+Bras+de+Alportel,Portugal"
2024-07-29,28,21,0.0,13.0,6,38,12:56 AM,03:47 PM,06:34 AM,08:41 PM,19,27,27,25,31,38,73,0.9,1012,28,10,152,15,"Sao+Bras+de+Alportel,Portugal"
2024-07-30,28,19,0.0,13.0,5,30,01:34 AM,04:56 PM,06:35 AM,08:40 PM,16,24,24,24,18,3,66,0.0,1013,28,10,252,10,"Sao+Bras+de+Alportel,Portugal"
2024-07-31,31,20,0.0,14.0,7,26,02:19 AM,06:02 PM,06:36 AM,08:39 PM,16,26,26,25,18,0,58,0.0,1015,31,10,254,10,"Sao+Bras+de+Alportel,Portugal"
2024-08-01,34,20,0.0,14.0,7,16,03:12 AM,07:00 PM,06:37 AM,08:38 PM,15,27,27,27,30,0,53,0.0,1014,34,10,319,15,"Sao+Bras+de+Alportel,Portugal"
2024-08-02,33,19,0.0,14.0,7,8,04:12 AM,07:49 PM,06:37 AM,08:37 PM,12,26,26,26,38,0,48,0.0,1013,33,10,325,20,"Sao+Bras+de+Alportel,Portugal"
2024-08-03,31,18,0.0,14.0,7,1,05:16 AM,08:28 PM,06:38 AM,08:36 PM,13,26,26,25,29,0,51,0.0,1013,31,10,299,14,"Sao+Bras+de+Alportel,Portugal"
2024-08-04,31,22,0.0,14.0,7,0,06:20 AM,09:01 PM,06:39 AM,08:35 PM,14,27,27,26,18,0,52,0.0,1013,31,10,196,9,"Sao+Bras+de+Alportel,Portugal"
2024-08-05,32,22,0.0,14.0,7,0,07:24 AM,09:28 PM,06:40 AM,08:34 PM,14,28,28,27,22,0,47,0.0,1012,32,10,228,10,"Sao+Bras+de+Alportel,Portugal"
2024-08-06,33,20,0.0,14.0,7,6,08:25 AM,09:52 PM,06:41 AM,08:33 PM,15,27,27,27,29,0,52,0.0,1011,33,10,324,14,"Sao+Bras+de+Alportel,Portugal"
2024-08-07,33,20,0.0,14.0,7,13,09:24 AM,10:14 PM,06:42 AM,08:32 PM,15,27,27,27,30,0,56,0.0,1011,33,10,309,15,"Sao+Bras+de+Alportel,Portugal"
2024-08-08,31,20,0.0,14.0,7,20,10:21 AM,10:34 PM,06:42 AM,08:31 PM,14,27,27,26,24,1,52,0.0,1013,31,10,229,12,"Sao+Bras+de+Alportel,Portugal"
2024-08-09,32,22,0.0,14.0,7,28,11:19 AM,10:56 PM,06:43 AM,08:30 PM,14,27,27,26,16,0,48,0.0,1015,32,10,186,7,"Sao+Bras+de+Alportel,Portugal"
2024-08-10,31,21,0.0,13.0,7,35,12:16 PM,11:19 PM,06:44 AM,08:29 PM,16,27,27,25,18,10,58,0.0,1014,31,10,146,9,"Sao+Bras+de+Alportel,Portugal"
2024-08-11,29,21,0.0,13.0,5,42,01:16 PM,11:44 PM,06:45 AM,08:27 PM,18,26,26,24,22,10,71,0.0,1013,29,10,157,11,"Sao+Bras+de+Alportel,Portugal"
2024-08-12,31,21,0.0,14.0,7,50,02:17 PM,No moonset,06:46 AM,08:26 PM,15,26,26,26,22,12,52,0.0,1013,31,10,233,10,"Sao+Bras+de+Alportel,Portugal"
2024-08-13,30,19,0.0,11.0,5,57,03:21 PM,12:14 AM,06:47 AM,08:25 PM,14,25,25,24,38,14,57,0.0,1013,30,10,325,22,"Sao+Bras+de+Alportel,Portugal"
2024-08-14,32,19,0.0,14.0,6,64,04:25 PM,12:51 AM,06:47 AM,08:24 PM,13,25,25,25,33,7,56,0.0,1014,32,10,324,19,"Sao+Bras+de+Alportel,Portugal"
2024-08-15,32,21,0.0,14.0,7,71,05:28 PM,01:37 AM,06:48 AM,08:23 PM,13,27,27,26,27,0,50,0.0,1013,32,10,212,14,"Sao+Bras+de+Alportel,Portugal"
2024-08-16,34,21,0.0,14.0,7,79,06:25 PM,02:33 AM,06:49 AM,08:21 PM,14,28,28,27,24,0,54,0.0,1013,34,10,181,12,"Sao+Bras+de+Alportel,Portugal"
2024-08-17,34,22,0.0,14.0,7,86,07:14 PM,03:40 AM,06:50 AM,08:20 PM,14,29,29,28,24,1,46,0.0,1014,34,10,198,12,"Sao+Bras+de+Alportel,Portugal"
2024-08-18,36,22,0.0,14.0,7,93,07:56 PM,04:53 AM,06:51 AM,08:19 PM,15,29,29,29,40,0,47,0.0,1012,36,10,341,20,"Sao+Bras+de+Alportel,Portugal"
2024-08-19,35,20,0.0,14.0,7,100,08:30 PM,06:10 AM,06:52 AM,08:18 PM,14,28,28,27,34,0,49,0.0,1012,35,10,310,17,"Sao+Bras+de+Alportel,Portugal"
2024-08-20,31,19,0.0,14.0,7,100,09:01 PM,07:27 AM,06:53 AM,08:16 PM,14,27,27,26,27,1,50,0.0,1013,31,10,312,13,"Sao+Bras+de+Alportel,Portugal"
2024-08-21,30,20,0.0,14.0,7,85,09:29 PM,08:41 AM,06:53 AM,08:15 PM,15,26,26,25,22,1,57,0.0,1013,30,10,189,11,"Sao+Bras+de+Alportel,Portugal"
