date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2024-06-30,22,14,0.0,10.0,4,27,01:48 AM,03:41 PM,06:02 AM,09:12 PM,14,18,18,18,12,69,78,4.4,1016,22,9,196,5,"Terras+de+Bouro,Portugal"
2024-07-01,29,14,0.0,15.0,6,26,02:14 AM,04:56 PM,06:03 AM,09:12 PM,14,21,22,21,12,9,65,0.0,1020,29,8,160,7,"Terras+de+Bouro,Portugal"
2024-07-02,32,17,0.0,15.0,6,19,02:44 AM,06:12 PM,06:03 AM,09:12 PM,15,25,25,24,14,4,56,0.0,1018,32,10,147,7,"Terras+de+Bouro,Portugal"
2024-07-03,32,17,0.0,15.0,6,12,03:21 AM,07:25 PM,06:04 AM,09:11 PM,13,25,25,24,15,3,46,0.0,1014,32,10,173,8,"Terras+de+Bouro,Portugal"
2024-07-04,35,18,0.0,15.0,7,5,04:07 AM,08:30 PM,06:04 AM,09:11 PM,13,27,27,26,13,1,43,0.0,1012,35,10,122,6,"Terras+de+Bouro,Portugal"
2024-07-05,31,19,0.0,15.0,6,0,05:03 AM,09:26 PM,06:05 AM,09:11 PM,16,26,26,25,14,2,59,0.0,1010,31,10,209,8,"Terras+de+Bouro,Portugal"
2024-07-06,26,14,0.0,14.0,4,0,06:06 AM,10:10 PM,06:05 AM,09:11 PM,11,19,20,19,23,13,65,0.0,1014,26,10,295,12,"Terras+de+Bouro,Portugal"
2024-07-07,25,11,0.0,15.0,5,2,07:14 AM,10:44 PM,06:06 AM,09:10 PM,9,18,18,18,15,5,59,0.0,1015,25,10,219,8,"Terras+de+Bouro,Portugal"
2024-07-08,25,12,0.0,14.0,5,10,08:22 AM,11:12 PM,06:07 AM,09:10 PM,12,18,18,18,13,26,70,1.6,1015,25,10,177,7,"Terras+de+Bouro,Portugal"
2024-07-09,20,16,0.0,1.0,4,17,09:28 AM,11:35 PM,06:07 AM,09:09 PM,16,18,18,18,15,99,94,26.3,1015,20,7,155,6,"Terras+de+Bouro,Portugal"
2024-07-10,25,17,0.0,6.0,5,24,10:31 AM,11:55 PM,06:08 AM,09:09 PM,18,20,21,20,14,71,87,5.6,1019,25,7,177,7,"Terras+de+Bouro,Portugal"
2024-07-11,26,17,0.0,8.0,5,32,11:33 AM,No moonset,06:09 AM,09:08 PM,17,20,21,20,13,57,81,1.6,1019,26,7,209,7,"Terras+de+Bouro,Portugal"
2024-07-12,29,15,0.0,15.0,6,39,12:33 PM,12:13 AM,06:10 AM,09:08 PM,13,21,21,21,14,31,63,0.0,1017,29,7,157,8,"Terras+de+Bouro,Portugal"
2024-07-13,25,13,0.0,15.0,5,46,01:34 PM,12:30 AM,06:10 AM,09:07 PM,11,19,19,19,12,23,60,0.0,1013,25,10,176,7,"Terras+de+Bouro,Portugal"
2024-07-14,23,13,0.0,1.0,4,53,02:36 PM,12:49 AM,06:11 AM,09:07 PM,13,18,18,18,12,90,76,11.4,1015,23,10,189,6,"Terras+de+Bouro,Portugal"
2024-07-15,23,14,0.0,13.0,4,61,03:41 PM,01:10 AM,06:12 AM,09:06 PM,15,19,20,19,19,56,78,7.6,1017,23,8,228,10,"Terras+de+Bouro,Portugal"
2024-07-16,26,13,0.0,15.0,5,68,04:47 PM,01:35 AM,06:13 AM,09:05 PM,13,19,19,19,11,11,72,0.0,1019,26,8,176,6,"Terras+de+Bouro,Portugal"
2024-07-17,28,15,0.0,15.0,6,75,05:56 PM,02:05 AM,06:14 AM,09:05 PM,14,21,21,21,11,5,67,0.0,1017,28,10,174,6,"Terras+de+Bouro,Portugal"
