date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2024-06-30,21,13,0.0,7.0,4,27,01:47 AM,03:39 PM,06:02 AM,09:10 PM,12,16,16,16,14,66,79,3.0,1016,21,8,201,6,"Trofa,Portugal"
2024-07-01,28,12,0.0,15.0,5,26,02:13 AM,04:54 PM,06:02 AM,09:10 PM,13,20,20,20,11,13,67,0.0,1020,28,8,143,6,"Trofa,Portugal"
2024-07-02,30,16,0.0,15.0,6,19,02:43 AM,06:10 PM,06:03 AM,09:09 PM,14,23,23,23,15,6,57,0.0,1019,30,10,144,7,"Trofa,Portugal"
2024-07-03,30,17,0.0,15.0,6,12,03:21 AM,07:23 PM,06:03 AM,09:09 PM,13,24,24,24,13,3,48,0.0,1014,30,10,161,6,"Trofa,Portugal"
2024-07-04,34,17,0.0,15.0,7,5,04:07 AM,08:28 PM,06:04 AM,09:09 PM,11,25,25,25,14,1,41,0.0,1012,34,10,123,6,"Trofa,Portugal"
2024-07-05,31,18,0.0,15.0,6,0,05:02 AM,09:24 PM,06:04 AM,09:09 PM,14,24,24,24,16,3,55,0.0,1010,31,10,195,9,"Trofa,Portugal"
2024-07-06,25,13,0.0,15.0,5,0,06:06 AM,10:07 PM,06:05 AM,09:08 PM,11,18,19,18,17,8,64,0.0,1014,25,10,274,9,"Trofa,Portugal"
2024-07-07,24,11,0.0,15.0,5,2,07:14 AM,10:42 PM,06:06 AM,09:08 PM,8,17,17,17,14,4,59,0.0,1015,24,10,202,7,"Trofa,Portugal"
2024-07-08,25,10,0.0,14.0,5,10,08:21 AM,11:10 PM,06:06 AM,09:08 PM,10,17,17,17,13,24,66,2.1,1015,25,10,197,7,"Trofa,Portugal"
2024-07-09,20,15,0.0,1.0,4,17,09:27 AM,11:33 PM,06:07 AM,09:07 PM,15,17,17,17,14,97,89,11.0,1015,20,8,158,6,"Trofa,Portugal"
2024-07-10,25,16,0.0,9.0,4,24,10:30 AM,11:53 PM,06:08 AM,09:07 PM,16,20,20,20,13,69,83,1.7,1019,25,9,198,6,"Trofa,Portugal"
2024-07-11,25,15,0.0,8.0,4,32,11:32 AM,No moonset,06:08 AM,09:06 PM,15,19,19,19,14,53,82,2.3,1019,25,8,222,6,"Trofa,Portugal"
2024-07-12,27,15,0.0,15.0,6,39,12:32 PM,12:11 AM,06:09 AM,09:06 PM,12,20,20,20,12,13,62,0.0,1017,27,8,155,6,"Trofa,Portugal"
2024-07-13,25,13,0.0,15.0,5,46,01:33 PM,12:29 AM,06:10 AM,09:05 PM,9,18,18,18,13,20,56,0.0,1013,25,10,189,8,"Trofa,Portugal"
2024-07-14,23,12,0.0,2.0,4,53,02:34 PM,12:48 AM,06:11 AM,09:05 PM,11,17,18,17,13,77,69,0.5,1015,23,10,235,7,"Trofa,Portugal"
2024-07-15,22,12,0.0,7.0,4,61,03:39 PM,01:09 AM,06:11 AM,09:04 PM,13,18,18,18,22,68,76,13.9,1017,22,9,246,11,"Trofa,Portugal"
2024-07-16,24,11,0.0,15.0,5,68,04:45 PM,01:34 AM,06:12 AM,09:03 PM,12,17,18,17,11,12,71,0.0,1019,24,8,195,5,"Trofa,Portugal"
2024-07-17,28,13,0.0,15.0,4,75,05:54 PM,02:04 AM,06:13 AM,09:03 PM,12,20,20,20,12,4,63,0.0,1017,28,10,192,6,"Trofa,Portugal"
2024-07-18,29,13,0.0,15.0,6,82,07:01 PM,02:43 AM,06:14 AM,09:02 PM,12,21,21,21,10,1,58,0.0,1018,29,10,196,6,"Trofa,Portugal"
2024-07-19,28,15,0.0,15.0,6,90,08:02 PM,03:33 AM,06:15 AM,09:01 PM,14,21,22,21,13,3,60,0.0,1019,28,10,194,7,"Trofa,Portugal"
2024-07-20,24,15,0.0,9.0,4,97,08:55 PM,04:35 AM,06:16 AM,09:00 PM,16,19,20,19,17,61,79,4.1,1017,24,8,246,8,"Trofa,Portugal"
2024-07-21,28,14,0.0,14.0,6,100,09:38 PM,05:48 AM,06:16 AM,09:00 PM,10,20,20,20,13,7,53,0.0,1017,28,9,183,6,"Trofa,Portugal"
2024-07-22,34,17,0.0,14.0,6,88,10:12 PM,07:06 AM,06:17 AM,08:59 PM,8,24,24,25,18,0,34,0.0,1017,34,10,105,8,"Trofa,Portugal"
2024-07-23,37,20,0.0,14.0,7,81,10:40 PM,08:25 AM,06:18 AM,08:58 PM,12,28,28,28,16,0,36,0.0,1017,37,10,147,7,"Trofa,Portugal"
2024-07-24,37,21,0.0,14.0,7,74,11:05 PM,09:44 AM,06:19 AM,08:57 PM,13,29,29,28,15,0,39,0.0,1016,37,10,165,7,"Trofa,Portugal"
2024-07-25,32,19,0.0,14.0,7,67,11:28 PM,11:00 AM,06:20 AM,08:56 PM,14,26,26,25,14,0,47,0.0,1012,32,10,184,8,"Trofa,Portugal"
2024-07-26,32,17,0.0,14.0,6,59,11:52 PM,12:15 PM,06:21 AM,08:55 PM,12,24,24,24,16,3,48,0.0,1011,32,10,191,9,"Trofa,Portugal"
2024-07-27,30,17,0.0,14.0,6,52,No moonrise,01:30 PM,06:22 AM,08:54 PM,15,23,23,23,12,6,63,0.0,1012,30,10,205,6,"Trofa,Portugal"
2024-07-28,35,18,0.0,14.0,7,45,12:16 AM,02:45 PM,06:23 AM,08:53 PM,15,26,26,26,13,6,51,0.0,1012,35,10,150,6,"Trofa,Portugal"
2024-07-29,34,21,0.0,12.0,6,38,12:45 AM,04:00 PM,06:24 AM,08:52 PM,15,27,27,26,15,38,58,3.6,1014,34,10,116,7,"Trofa,Portugal"
2024-07-30,33,19,0.0,13.0,6,30,01:20 AM,05:13 PM,06:25 AM,08:51 PM,15,26,26,25,18,19,56,0.1,1013,33,10,170,9,"Trofa,Portugal"
2024-07-31,31,17,0.0,14.0,6,26,02:02 AM,06:20 PM,06:26 AM,08:50 PM,16,23,23,23,9,2,68,0.0,1016,31,10,242,7,"Trofa,Portugal"
2024-08-01,27,15,0.0,14.0,6,16,02:54 AM,07:18 PM,06:27 AM,08:49 PM,15,20,21,20,14,13,70,0.0,1016,27,9,241,7,"Trofa,Portugal"
2024-08-02,30,15,0.0,14.0,6,8,03:54 AM,08:05 PM,06:28 AM,08:47 PM,14,21,21,21,13,8,64,0.0,1015,30,10,230,7,"Trofa,Portugal"
2024-08-03,32,15,0.0,14.0,6,1,05:00 AM,08:42 PM,06:29 AM,08:46 PM,12,24,24,23,14,2,48,0.0,1015,32,10,157,7,"Trofa,Portugal"
2024-08-04,34,18,0.0,14.0,6,0,06:08 AM,09:12 PM,06:30 AM,08:45 PM,11,25,25,25,15,0,44,0.0,1014,34,10,170,8,"Trofa,Portugal"
2024-08-05,31,16,0.0,14.0,6,0,07:15 AM,09:37 PM,06:31 AM,08:44 PM,14,23,23,23,14,0,57,0.0,1013,31,10,197,8,"Trofa,Portugal"
2024-08-06,30,15,0.0,14.0,6,6,08:19 AM,09:57 PM,06:32 AM,08:43 PM,15,22,22,22,13,7,67,0.0,1013,30,10,197,7,"Trofa,Portugal"
2024-08-07,33,17,0.0,14.0,6,13,09:21 AM,10:16 PM,06:33 AM,08:41 PM,16,25,25,24,13,4,61,0.0,1012,33,10,152,6,"Trofa,Portugal"
2024-08-08,33,17,0.0,14.0,6,20,10:21 AM,10:34 PM,06:34 AM,08:40 PM,15,25,25,25,12,2,54,0.0,1014,33,10,171,7,"Trofa,Portugal"
2024-08-09,36,19,0.0,14.0,7,28,11:22 AM,10:52 PM,06:35 AM,08:39 PM,13,28,28,27,14,2,38,0.0,1016,36,10,152,7,"Trofa,Portugal"
2024-08-10,36,21,0.0,14.0,7,35,12:22 PM,11:12 PM,06:36 AM,08:37 PM,13,29,29,28,14,2,38,0.0,1014,36,10,151,7,"Trofa,Portugal"
2024-08-11,32,17,0.0,14.0,6,42,01:25 PM,11:34 PM,06:37 AM,08:36 PM,13,24,24,24,13,1,52,0.0,1013,32,10,222,8,"Trofa,Portugal"
2024-08-12,29,15,0.0,14.0,6,50,02:30 PM,No moonset,06:38 AM,08:35 PM,15,21,21,21,15,8,68,0.0,1014,29,9,239,8,"Trofa,Portugal"
2024-08-13,26,16,0.0,10.0,4,57,03:37 PM,12:01 AM,06:39 AM,08:33 PM,13,19,20,19,16,56,69,0.3,1015,26,9,247,8,"Trofa,Portugal"
2024-08-14,30,13,0.0,14.0,6,64,04:43 PM,12:35 AM,06:40 AM,08:32 PM,10,21,21,21,13,10,53,0.0,1016,30,9,182,8,"Trofa,Portugal"
2024-08-15,33,15,0.0,14.0,6,71,05:47 PM,01:20 AM,06:41 AM,08:30 PM,8,23,23,24,17,0,35,0.0,1017,33,10,135,8,"Trofa,Portugal"
2024-08-16,35,17,0.0,14.0,7,79,06:43 PM,02:15 AM,06:42 AM,08:29 PM,8,26,26,26,17,6,31,0.0,1016,35,10,177,8,"Trofa,Portugal"
2024-08-17,32,18,0.0,14.0,6,86,07:30 PM,03:23 AM,06:43 AM,08:28 PM,14,25,25,24,17,5,50,0.0,1016,32,10,209,10,"Trofa,Portugal"
2024-08-18,31,16,0.0,14.0,6,93,08:08 PM,04:39 AM,06:44 AM,08:26 PM,13,23,23,23,13,6,53,0.0,1016,31,9,162,7,"Trofa,Portugal"
2024-08-19,31,17,0.0,14.0,6,100,08:39 PM,05:59 AM,06:45 AM,08:25 PM,11,23,23,23,15,1,44,0.0,1015,31,10,172,9,"Trofa,Portugal"
