date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2024-06-30,20,16,0.0,9.0,4,27,01:50 AM,03:41 PM,06:05 AM,09:11 PM,14,17,17,17,15,62,80,1.8,1016,20,10,242,8,"Vila+Nova+de+Gaia,Portugal"
2024-07-01,23,14,0.0,15.0,5,26,02:16 AM,04:56 PM,06:06 AM,09:11 PM,14,19,20,19,16,6,74,0.0,1020,23,10,204,10,"Vila+Nova+de+Gaia,Portugal"
2024-07-02,26,17,0.0,15.0,6,19,02:47 AM,06:11 PM,06:06 AM,09:11 PM,15,22,22,22,20,3,66,0.0,1018,26,10,234,11,"Vila+Nova+de+Gaia,Portugal"
2024-07-03,25,16,0.0,15.0,6,12,03:25 AM,07:24 PM,06:07 AM,09:11 PM,14,21,22,21,23,2,64,0.0,1014,25,10,293,13,"Vila+Nova+de+Gaia,Portugal"
2024-07-04,28,17,0.0,15.0,6,5,04:11 AM,08:29 PM,06:07 AM,09:10 PM,15,24,24,23,14,1,60,0.0,1012,28,10,242,8,"Vila+Nova+de+Gaia,Portugal"
2024-07-05,24,17,0.0,15.0,5,0,05:07 AM,09:25 PM,06:08 AM,09:10 PM,15,20,21,20,23,5,72,0.0,1011,24,10,244,14,"Vila+Nova+de+Gaia,Portugal"
2024-07-06,20,15,0.0,15.0,5,0,06:10 AM,10:09 PM,06:09 AM,09:10 PM,13,17,17,17,39,5,74,0.0,1015,20,10,331,24,"Vila+Nova+de+Gaia,Portugal"
2024-07-07,19,13,0.0,15.0,5,2,07:18 AM,10:44 PM,06:09 AM,09:10 PM,11,16,16,16,25,3,69,0.0,1015,19,10,305,15,"Vila+Nova+de+Gaia,Portugal"
2024-07-08,21,13,0.0,14.0,5,10,08:25 AM,11:12 PM,06:10 AM,09:09 PM,13,18,18,18,14,24,73,1.7,1015,21,10,166,8,"Vila+Nova+de+Gaia,Portugal"
2024-07-09,21,17,0.0,2.0,4,17,09:31 AM,11:35 PM,06:11 AM,09:09 PM,16,18,18,18,27,97,90,6.3,1015,21,7,181,16,"Vila+Nova+de+Gaia,Portugal"
