municipio,municipio,maxtempC,mintempC,humidity,precipMM,windspeedKmph,temp_score,feels_like_score,humidity_score,uv_score,precip_score,wind_score,total_score,normalized_score
Porto Santo,Porto Santo,"20,092896174863387","19,161202185792348","75,02732240437159","0,9442622950819672","23,707650273224044",10,10,0,10,10,0,"9,0","900,0"
Abrantes,Abrantes,"23,240437158469945","11,439890710382514","69,92896174863388","2,7724043715846998","11,592896174863387",10,0,0,10,0,10,"7,0","700,0"
Trancoso,Trancoso,"20,44808743169399","10,224043715846994","72,08743169398907","4,241803278688525","7,609289617486339",10,0,0,10,0,10,"7,0","700,0"
Marinha Grande,Marinha Grande,"20,538251366120218","11,836065573770492","77,24590163934427","2,7581967213114753","12,218579234972678",10,0,0,10,0,10,"7,0","700,0"
Marvao,Marvao,"20,991803278688526","11,560109289617486","75,64754098360656","3,365027322404371","10,898907103825136",10,0,0,10,0,10,"7,0","700,0"
Torres Vedras,Torres Vedras,"20,778688524590162","12,486338797814208","76,89344262295081","2,7434426229508198","15,568306010928962",10,0,0,10,0,10,"7,0","700,0"
Mealhada,Mealhada,"20,991803278688526","11,560109289617486","75,64754098360656","3,365027322404371","10,898907103825136",10,0,0,10,0,10,"7,0","700,0"
Torres Novas,Torres Novas,"22,896174863387976","11,71584699453552","71,96174863387978","2,8614754098360655","11,653005464480874",10,0,0,10,0,10,"7,0","700,0"
Mertola,Mertola,"23,846994535519126","12,759562841530055","65,46174863387978","2,0120218579234974","12,814207650273223",10,0,0,10,0,10,"7,0","700,0"
Mesao Frio,Mesao Frio,"20,901639344262296","10,560109289617486","72,01092896174863","4,350819672131148","8,109289617486338",10,0,0,10,0,10,"7,0","700,0"
Mira,Mira,"20,991803278688526","11,560109289617486","75,64754098360656","3,365027322404371","10,898907103825136",10,0,0,10,0,10,"7,0","700,0"
Miranda do Corvo,Miranda do Corvo,"21,96448087431694","10,96448087431694","74,23770491803279","3,374590163934426","9,027322404371585",10,0,0,10,0,10,"7,0","700,0"
Mirandela,Mirandela,"20,729508196721312","8,532786885245901","70,71311475409836","2,2707650273224043","7,587431693989071",10,0,0,10,0,10,"7,0","700,0"
Tomar,Tomar,"22,617486338797814","11,797814207650273","71,81147540983606","2,6765027322404373","12,153005464480874",10,0,0,10,0,10,"7,0","700,0"
Terras de Bouro,Terras de Bouro,"20,743169398907103","10,551912568306012","73,07650273224044","5,080874316939891","7,7103825136612025",10,0,0,10,0,10,"7,0","700,0"
Moita,Moita,"21,833333333333332","13,546448087431694","71,77595628415301","2,1825136612021856","14,505464480874316",10,0,0,10,0,10,"7,0","700,0"
Agueda,Agueda,"21,636612021857925","11,259562841530055","73,68579234972678","3,7587431693989073","9,3551912568306",10,0,0,10,0,10,"7,0","700,0"
Monchique,Monchique,"21,224043715846996","12,37704918032787","70,43715846994536","2,5322404371584697","11,385245901639344",10,0,0,10,0,10,"7,0","700,0"
Tavira,Tavira,"22,098360655737704","14,789617486338798","67,59016393442623","2,066393442622951","14,300546448087431",10,0,0,10,0,10,"7,0","700,0"
