Regiao,municipio,total_dias,dias_bons,dias_aceitaveis,dias_marginais,extremos,percentual_extremos,calor_extremo,frio_extremo,chuva_extrema,neve,uv_extremo,media_score,media_maxtemp,media_mintemp,media_totalSnow_cm,media_sunHour,media_uvIndex,media_FeelsLikeC,media_HeatIndexC,media_WindChillC,media_humidity,media_precipMM,media_tempC,classificacao_geral
Alentejo,Alandroal,"366,00","93,00","34,00","239,00","43,00","11,75","43,00","0,00","0,00","0,00","5,00","45,26","23,20","11,76","0,00","9,35","4,31","16,20","16,92","16,21","67,31","2,19","23,20",Marginal
Alentejo,Alcacer do Sal,"366,00","145,00","57,00","164,00","9,00","2,46","5,00","0,00","4,00","0,00","0,00","58,02","22,02","13,43","0,00","9,50","4,35","16,75","17,42","16,68","71,64","2,51","22,02",Aceitável
Alentejo,Aljustrel,"366,00","99,00","37,00","230,00","47,00","12,84","46,00","0,00","1,00","0,00","8,00","47,32","23,85","12,76","0,00","9,58","4,51","17,17","17,77","17,17","65,46","2,01","23,85",Marginal
Alentejo,Almeirim,"366,00","128,00","39,00","199,00","24,00","6,56","22,00","1,00","1,00","0,00","1,00","52,68","22,91","12,00","0,00","9,39","4,27","16,24","16,83","16,20","71,00","2,44","22,91",Aceitável
Alentejo,Almodovar,"366,00","119,00","61,00","186,00","8,00","2,19","2,00","0,00","6,00","0,00","1,00","54,57","22,10","14,14","0,00","10,08","4,57","17,53","18,11","17,35","68,39","2,81","22,10",Aceitável
Alentejo,Alpiarca,"366,00","128,00","39,00","199,00","24,00","6,56","22,00","1,00","1,00","0,00","1,00","52,68","22,91","12,00","0,00","9,39","4,27","16,24","16,83","16,20","71,00","2,44","22,91",Aceitável
Alentejo,Alter do Chao,"366,00","70,00","35,00","261,00","30,00","8,20","30,00","0,00","0,00","0,00","6,00","41,01","21,24","11,75","0,00","9,39","4,18","15,50","16,09","15,55","66,71","2,15","21,24",Marginal
Alentejo,Alvito,"366,00","149,00","26,00","191,00","8,00","2,19","5,00","0,00","3,00","0,00","0,00","54,29","21,60","11,04","0,00","9,17","3,91","15,18","15,79","15,17","75,24","3,01","21,60",Aceitável
Alentejo,Arraiolos,"366,00","106,00","33,00","227,00","36,00","9,84","36,00","0,00","0,00","0,00","4,00","47,09","23,35","11,47","0,00","9,26","4,23","16,16","16,82","16,15","69,18","2,34","23,35",Marginal
Alentejo,Arronches,"366,00","70,00","35,00","261,00","30,00","8,20","30,00","0,00","0,00","0,00","6,00","41,01","21,24","11,75","0,00","9,36","4,18","15,50","16,09","15,55","66,71","2,15","21,24",Marginal
Alentejo,Avis,"366,00","222,00","33,00","111,00","4,00","1,09","1,00","3,00","0,00","0,00","0,00","69,49","26,64","13,48","0,00","10,83","5,07","19,26","19,45","19,43","31,87","1,01","26,64",Bom
Alentejo,Azambuja,"366,00","146,00","37,00","183,00","10,00","2,73","8,00","0,00","2,00","0,00","0,00","56,76","21,87","12,71","0,00","9,60","4,22","16,11","16,76","16,08","72,35","2,25","21,87",Aceitável
Alentejo,Barrancos,"366,00","94,00","23,00","249,00","60,00","16,39","57,00","1,00","2,00","0,00","9,00","44,62","23,83","11,57","0,00","9,66","4,43","16,81","17,26","16,85","64,31","2,17","23,83",Marginal
Alentejo,Beja,"366,00","99,00","37,00","230,00","47,00","12,84","46,00","0,00","1,00","0,00","8,00","47,32","23,85","12,76","0,00","9,58","4,51","17,17","17,77","17,17","65,46","2,01","23,85",Marginal
Alentejo,Benavente,"366,00","146,00","37,00","183,00","10,00","2,73","8,00","0,00","2,00","0,00","0,00","56,76","21,87","12,71","0,00","9,59","4,22","16,11","16,76","16,08","72,35","2,25","21,87",Aceitável
Alentejo,Borba,"366,00","93,00","34,00","239,00","43,00","11,75","43,00","0,00","0,00","0,00","5,00","45,26","23,20","11,76","0,00","9,35","4,31","16,20","16,92","16,21","67,31","2,19","23,20",Marginal
