Regiao,municipio,ano_mes,estacao,dias_no_mes,dias_bons,dias_aceitaveis,dias_marginais,extremos,percentual_extremos,media_score,score_max,score_min,score_std,media_maxtemp,maxtemp_max,media_mintemp,mintemp_min,media_totalSnow_cm,media_sunHour,media_uvIndex,media_FeelsLikeC,media_HeatIndexC,media_WindChillC,media_humidity,media_precipMM,media_tempC,calor_extremo,frio_extremo,chuva_extrema,neve,uv_extremo,class_mais_comum,classificacao_mes
Alentejo,Alandroal,2024-06,Verão,"1,00","1,00","0,00","0,00","0,00","0,00","96,40","96,40","96,40",nan,"26,00","26,00","14,00","14,00","0,00","9,00","4,00","20,00","20,00","20,00","61,00","0,60","26,00","0,00","0,00","0,00","0,00","0,00",Excelente,Excelente
Alentejo,Alandroal,2024-07,Verão,"31,00","0,00","8,00","23,00","14,00","45,16","39,43","58,00","16,80","10,17","34,65","41,00","16,97","11,00","0,00","13,71","6,42","25,13","25,13","25,16","46,94","0,05","34,65","14,00","0,00","0,00","0,00","2,00",Marginal,Marginal
Alentejo,Alandroal,2024-08,Verão,"31,00","0,00","2,00","29,00","16,00","51,61","36,81","58,00","20,40","7,02","35,42","40,00","17,58","14,00","0,00","13,97","6,48","25,35","25,35","25,35","46,61","0,00","35,42","16,00","0,00","0,00","0,00","0,00",Marginal,Marginal
Alentejo,Alandroal,2024-09,Outono,"30,00","13,00","8,00","9,00","1,00","3,33","66,45","100,00","20,40","25,94","28,87","36,00","15,23","11,00","0,00","10,63","5,27","21,13","21,17","21,27","53,43","0,45","28,87","1,00","0,00","0,00","0,00","0,00",Excelente,Bom
Alentejo,Alandroal,2024-10,Outono,"31,00","25,00","1,00","5,00","0,00","0,00","81,32","100,00","22,80","24,05","22,61","28,00","14,26","9,00","0,00","7,48","4,19","17,68","18,32","17,68","73,19","3,98","22,61","0,00","0,00","0,00","0,00","0,00",Excelente,Excelente
Alentejo,Alandroal,2024-11,Outono,"30,00","16,00","3,00","11,00","0,00","0,00","63,01","96,40","8,40","33,42","19,37","23,00","11,67","6,00","0,00","7,70","4,03","14,47","15,03","14,47","74,90","1,91","19,37","0,00","0,00","0,00","0,00","0,00",Excelente,Bom
Alentejo,Alandroal,2024-12,Inverno,"31,00","3,00","0,00","28,00","0,00","0,00","33,12","92,80","18,00","19,23","15,26","21,00","6,32","2,00","0,00","8,71","3,00","8,42","9,97","8,42","71,77","0,60","15,26","0,00","0,00","0,00","0,00","0,00",Marginal,Marginal
Alentejo,Alandroal,2025-01,Inverno,"31,00","0,00","0,00","31,00","0,00","0,00","17,97","28,00","4,80","8,73","14,48","18,00","6,97","2,00","0,00","5,97","2,81","8,58","10,19","8,58","80,06","5,12","14,48","0,00","0,00","0,00","0,00","0,00",Marginal,Marginal
Alentejo,Alandroal,2025-02,Inverno,"28,00","0,00","0,00","28,00","0,00","0,00","18,69","32,80","4,80","7,92","15,21","18,00","7,25","5,00","0,00","6,71","2,82","9,50","10,50","9,50","82,04","2,20","15,21","0,00","0,00","0,00","0,00","0,00",Marginal,Marginal
Alentejo,Alandroal,2025-03,Primavera,"31,00","3,00","0,00","28,00","0,00","0,00","22,31","88,00","0,00","23,66","15,13","21,00","7,23","4,00","0,00","5,61","2,81","9,23","10,87","9,23","86,03","7,15","15,13","0,00","0,00","0,00","0,00","0,00",Marginal,Marginal
