location,maxtempC,mintempC,FeelsLikeC,humidity,precipMM,sunHour,uvIndex,calor_extremo,frio_extremo,chuva_extrema,neve,uv_extremo,score,classificacao,amplitude_termica,tci,tci_mensal,melhor_estacao,melhor_estacao_score,Inverno_maxtempC,Inverno_mintempC,Inverno_FeelsLikeC,Inverno_humidity,Inverno_precipMM,Inverno_sunHour,Inverno_uvIndex,Inverno_calor_extremo,Inverno_frio_extremo,Inverno_chuva_extrema,Inverno_neve,Inverno_uv_extremo,Inverno_score,Inverno_classificacao,Inverno_amplitude_termica,Inverno_tci,Inverno_tci_mensal,Primavera_maxtempC,Primavera_mintempC,Primavera_FeelsLikeC,Primavera_humidity,Primavera_precipMM,Primavera_sunHour,Primavera_uvIndex,Primavera_calor_extremo,Primavera_frio_extremo,Primavera_chuva_extrema,Primavera_neve,Primavera_uv_extremo,Primavera_score,Primavera_classificacao,Primavera_amplitude_termica,Primavera_tci,Primavera_tci_mensal,Verão_maxtempC,Verão_mintempC,Verão_FeelsLikeC,Verão_humidity,Verão_precipMM,Verão_sunHour,Verão_uvIndex,Verão_calor_extremo,Verão_frio_extremo,Verão_chuva_extrema,Verão_neve,Verão_uv_extremo,Verão_score,Verão_classificacao,Verão_amplitude_termica,Verão_tci,Verão_tci_mensal,Outono_maxtempC,Outono_mintempC,Outono_FeelsLikeC,Outono_humidity,Outono_precipMM,Outono_sunHour,Outono_uvIndex,Outono_calor_extremo,Outono_frio_extremo,Outono_chuva_extrema,Outono_neve,Outono_uv_extremo,Outono_score,Outono_classificacao,Outono_amplitude_termica,Outono_tci,Outono_tci_mensal
Santa Cruz,"20,99","16,88","18,98","75,51","1,77","8,85","4,57","0,00","0,00","10,00","0,00","0,00","76,82",Muito Bom,"18,00","51,00","     ano  mes   tci
0   2024    6  60.0
1   2024    7  60.0
2   2024    8  57.0
3   2024    9  57.0
4   2024   10  56.0
5   2024   11  57.0
6   2024   12  41.0
7   2025    1  44.0
8   2025    2  45.0
9   2025    3  43.0
10  2025    4  43.0
11  2025    5  43.0
12  2025    6  57.0",Verão,"94,15","18,31","14,69","16,20","74,00","1,82","7,30","4,08","0,00","0,00","4,00","0,00","0,00","63,01",Bom,"9,00","43,33","    ano  mes   tci
0  2024   12  41.0
1  2025    1  44.0
2  2025    2  45.0","18,28","14,47","16,11","74,81","3,14","7,89","3,94","0,00","0,00","3,00","0,00","0,00","64,25",Bom,"10,00","43,00","    ano  mes   tci
0  2025    3  43.0
1  2025    4  43.0
2  2025    5  43.0","24,18","19,35","22,48","77,58","0,17","12,32","5,38","0,00","0,00","0,00","0,00","0,00","94,15",Excelente,"14,00","58,50","    ano  mes   tci
0  2024    6  60.0
1  2024    7  60.0
2  2024    8  57.0
3  2025    6  57.0","22,99","18,85","20,90","75,50","2,01","7,65","4,83","0,00","0,00","3,00","0,00","0,00","90,81",Excelente,"12,00","56,67","    ano  mes   tci
0  2024    9  57.0
1  2024   10  56.0
2  2024   11  57.0"
Machico,"20,99","16,88","18,98","75,51","1,77","8,85","4,57","0,00","0,00","10,00","0,00","0,00","76,82",Muito Bom,"18,00","51,00","     ano  mes   tci
0   2024    6  60.0
1   2024    7  60.0
2   2024    8  57.0
3   2024    9  57.0
4   2024   10  56.0
5   2024   11  57.0
6   2024   12  41.0
7   2025    1  44.0
8   2025    2  45.0
9   2025    3  43.0
10  2025    4  43.0
11  2025    5  43.0
12  2025    6  57.0",Verão,"94,15","18,31","14,69","16,20","74,00","1,82","7,30","4,08","0,00","0,00","4,00","0,00","0,00","63,01",Bom,"9,00","43,33","    ano  mes   tci
0  2024   12  41.0
1  2025    1  44.0
2  2025    2  45.0","18,28","14,47","16,11","74,81","3,14","7,89","3,94","0,00","0,00","3,00","0,00","0,00","64,25",Bom,"10,00","43,00","    ano  mes   tci
0  2025    3  43.0
1  2025    4  43.0
2  2025    5  43.0","24,18","19,35","22,48","77,58","0,17","12,34","5,38","0,00","0,00","0,00","0,00","0,00","94,15",Excelente,"14,00","58,50","    ano  mes   tci
0  2024    6  60.0
1  2024    7  60.0
2  2024    8  57.0
3  2025    6  57.0","22,99","18,85","20,90","75,50","2,01","7,65","4,83","0,00","0,00","3,00","0,00","0,00","90,81",Excelente,"12,00","56,67","    ano  mes   tci
0  2024    9  57.0
1  2024   10  56.0
2  2024   11  57.0"
Porto Santo,"20,10","19,18","20,17","75,01","0,78","8,76","4,64","0,00","0,00","2,00","0,00","0,00","75,57",Muito Bom,"11,00","49,23","     ano  mes   tci
0   2024    6  57.0
1   2024    7  57.0
2   2024    8  55.0
3   2024    9  57.0
4   2024   10  55.5
5   2024   11  53.0
6   2024   12  39.0
7   2025    1  43.5
8   2025    2  42.0
9   2025    3  39.0
10  2025    4  40.0
11  2025    5  45.0
12  2025    6  57.0",Outono,"92,22","18,42","17,49","17,90","71,56","0,97","7,30","4,23","0,00","0,00","0,00","0,00","0,00","63,07",Bom,"8,00","41,50","    ano  mes   tci
0  2024   12  39.0
1  2025    1  43.5
2  2025    2  42.0","17,81","16,74","17,19","73,91","1,06","8,78","4,10","0,00","0,00","2,00","0,00","0,00","57,82",Aceitável,"6,00","41,33","    ano  mes   tci
0  2025    3  39.0
1  2025    4  40.0
2  2025    5  45.0","22,08","21,16","22,80","79,51","0,16","10,96","5,13","0,00","0,00","0,00","0,00","0,00","89,72",Excelente,"6,00","56,50","    ano  mes   tci
0  2024    6  57.0
1  2024    7  57.0
2  2024    8  55.0
3  2025    6  57.0","22,02","21,24","22,68","74,93","0,95","7,95","5,07","0,00","0,00","0,00","0,00","0,00","92,22",Excelente,"6,00","55,17","    ano  mes   tci
0  2024    9  57.0
1  2024   10  55.5
2  2024   11  53.0"
Avis,"26,64","13,44","19,25","31,61","0,88","10,86","5,08","1,00","0,00","2,00","0,00","0,00","74,82",Muito Bom,"36,00","48,42","     ano  mes   tci
0   2024    6  60.0
1   2024    7  56.0
2   2024    8  56.0
3   2024    9  44.0
4   2024   10  36.0
5   2024   11  36.0
6   2024   12  34.5
7   2025    1  37.5
8   2025    2  46.5
9   2025    3  56.5
10  2025    4  58.5
11  2025    5  60.0
12  2025    6  48.0",Primavera,"93,87","30,34","18,51","23,67","37,42","1,81","11,02","5,70","1,00","0,00","0,00","0,00","0,00","66,40",Bom,"22,00","39,50","    ano  mes   tci
0  2024   12  34.5
1  2025    1  37.5
2  2025    2  46.5","24,09","12,94","17,86","47,84","1,65","9,70","4,61","0,00","0,00","2,00","0,00","0,00","93,87",Excelente,"27,00","58,33","    ano  mes   tci
0  2025    3  56.5
1  2025    4  58.5
2  2025    5  60.0","22,55","7,56","13,96","22,34","0,00","11,00","4,31","0,00","0,00","0,00","0,00","0,00","79,96",Muito Bom,"28,00","55,00","    ano  mes   tci
0  2024    6  60.0
1  2024    7  56.0
2  2024    8  56.0
3  2025    6  48.0","29,74","14,99","21,69","19,33","0,12","11,71","5,71","0,00","0,00","0,00","0,00","0,00","61,05",Bom,"27,00","38,67","    ano  mes   tci
0  2024    9  44.0
1  2024   10  36.0
2  2024   11  36.0"
Belmonte,"21,31","15,57","18,42","69,34","1,18","10,31","4,70","0,00","0,00","11,00","0,00","0,00","73,54",Muito Bom,"29,00","49,42","     ano  mes   tci
0   2024    6  57.0
1   2024    7  48.0
2   2024    8  48.0
3   2024    9  60.0
4   2024   10  58.5
5   2024   11  46.5
6   2024   12  45.0
7   2025    1  34.0
8   2025    2  44.0
9   2025    3  39.0
10  2025    4  42.5
11  2025    5  60.0
12  2025    6  60.0",Verão,"91,01","16,10","11,14","12,76","71,51","1,46","8,15","3,60","0,00","0,00","3,00","0,00","0,00","54,11",Aceitável,"14,00","41,00","    ano  mes   tci
0  2024   12  45.0
1  2025    1  34.0
2  2025    2  44.0","19,18","13,58","15,87","73,10","2,27","9,48","4,10","0,00","0,00","3,00","0,00","0,00","66,91",Bom,"21,00","47,17","    ano  mes   tci
0  2025    3  39.0
1  2025    4  42.5
2  2025    5  60.0","27,38","20,24","24,99","61,81","0,07","13,60","6,09","0,00","0,00","0,00","0,00","0,00","91,01",Excelente,"20,00","53,25","    ano  mes   tci
0  2024    6  57.0
1  2024    7  48.0
2  2024    8  48.0
3  2025    6  60.0","22,23","17,06","19,69","71,40","0,97","9,78","4,94","0,00","0,00","5,00","0,00","0,00","88,02",Excelente,"19,00","55,00","    ano  mes   tci
0  2024    9  60.0
1  2024   10  58.5
2  2024   11  46.5"
Faro,"21,21","15,67","18,41","69,68","1,06","10,37","4,72","0,00","0,00","14,00","0,00","0,00","73,52",Muito Bom,"28,00","50,23","     ano  mes   tci
0   2024    6  57.0
1   2024    7  48.0
2   2024    8  48.0
3   2024    9  60.0
4   2024   10  57.0
5   2024   11  45.0
6   2024   12  48.0
7   2025    1  42.0
8   2025    2  46.5
9   2025    3  39.0
10  2025    4  42.5
11  2025    5  60.0
12  2025    6  60.0",Verão,"92,00","16,33","11,39","12,98","70,98","1,19","8,31","3,67","0,00","0,00","5,00","0,00","0,00","54,81",Aceitável,"13,00","45,50","    ano  mes   tci
0  2024   12  48.0
1  2025    1  42.0
2  2025    2  46.5","18,92","13,88","15,93","73,36","2,23","9,72","4,14","0,00","0,00","4,00","0,00","0,00","66,79",Bom,"19,00","47,17","    ano  mes   tci
0  2025    3  39.0
1  2025    4  42.5
2  2025    5  60.0","26,89","20,02","24,58","63,02","0,07","13,57","6,02","0,00","0,00","0,00","0,00","0,00","92,00",Excelente,"20,00","53,25","    ano  mes   tci
0  2024    6  57.0
1  2024    7  48.0
2  2024    8  48.0
3  2025    6  60.0","22,22","17,05","19,66","71,81","0,79","9,62","4,94","0,00","0,00","5,00","0,00","0,00","87,56",Excelente,"18,00","54,00","    ano  mes   tci
0  2024    9  60.0
1  2024   10  57.0
2  2024   11  45.0"
Olhao,"21,38","15,60","18,45","69,21","1,13","10,30","4,72","0,00","0,00","12,00","0,00","0,00","73,36",Muito Bom,"28,00","50,35","     ano  mes   tci
0   2024    6  57.0
1   2024    7  48.0
2   2024    8  48.0
3   2024    9  60.0
4   2024   10  58.5
5   2024   11  48.0
6   2024   12  48.0
7   2025    1  42.0
8   2025    2  45.0
9   2025    3  37.5
10  2025    4  42.5
11  2025    5  60.0
12  2025    6  60.0",Verão,"90,45","16,22","11,25","12,81","71,24","1,05","8,21","3,66","0,00","0,00","5,00","0,00","0,00","54,91",Aceitável,"13,00","45,00","    ano  mes   tci
0  2024   12  48.0
1  2025    1  42.0
2  2025    2  45.0","19,16","13,67","15,96","73,12","2,47","9,31","4,11","0,00","0,00","2,00","0,00","0,00","66,04",Bom,"21,00","46,67","    ano  mes   tci
0  2025    3  37.5
1  2025    4  42.5
2  2025    5  60.0","27,40","20,06","24,88","61,55","0,08","13,56","6,06","0,00","0,00","0,00","0,00","0,00","90,45",Excelente,"20,00","53,25","    ano  mes   tci
0  2024    6  57.0
1  2024    7  48.0
2  2024    8  48.0
3  2025    6  60.0","22,30","17,10","19,69","71,38","0,94","9,87","4,95","0,00","0,00","5,00","0,00","0,00","88,26",Excelente,"19,00","55,50","    ano  mes   tci
0  2024    9  60.0
1  2024   10  58.5
2  2024   11  48.0"
Lagos,"20,75","14,75","17,14","73,43","1,34","9,99","4,49","0,00","0,00","8,00","0,00","0,00","73,10",Muito Bom,"25,00","50,00","     ano  mes   tci
0   2024    6  57.0
1   2024    7  57.0
2   2024    8  57.0
3   2024    9  57.0
4   2024   10  53.0
5   2024   11  45.0
6   2024   12  46.5
7   2025    1  40.0
8   2025    2  45.0
9   2025    3  37.5
10  2025    4  41.0
11  2025    5  57.0
12  2025    6  57.0",Verão,"94,71","16,41","11,34","12,84","73,31","1,27","7,84","3,59","0,00","0,00","5,00","0,00","0,00","51,85",Aceitável,"13,00","43,83","    ano  mes   tci
0  2024   12  46.5
1  2025    1  40.0
2  2025    2  45.0","18,56","13,23","15,01","75,25","2,69","8,91","3,92","0,00","0,00","1,00","0,00","0,00","63,10",Bom,"18,00","45,17","    ano  mes   tci
0  2025    3  37.5
1  2025    4  41.0
2  2025    5  57.0","25,84","17,70","21,61","69,60","0,07","13,57","5,61","0,00","0,00","0,00","0,00","0,00","94,71",Excelente,"18,00","57,00","    ano  mes   tci
0  2024    6  57.0
1  2024    7  57.0
2  2024    8  57.0
3  2025    6  57.0","21,82","16,48","18,74","75,69","1,36","9,39","4,74","0,00","0,00","2,00","0,00","0,00","85,94",Excelente,"17,00","51,67","    ano  mes   tci
0  2024    9  57.0
1  2024   10  53.0
2  2024   11  45.0"
Almada,"21,60","13,91","16,96","71,50","1,72","9,87","4,40","1,00","0,00","7,00","0,00","0,00","71,76",Muito Bom,"32,00","48,19","     ano  mes   tci
0   2024    6  55.5
1   2024    7  48.0
2   2024    8  45.0
3   2024    9  57.0
4   2024   10  57.0
5   2024   11  44.0
6   2024   12  46.5
7   2025    1  33.0
8   2025    2  43.0
9   2025    3  37.5
10  2025    4  41.5
11  2025    5  58.5
12  2025    6  60.0",Outono,"87,45","16,06","9,92","11,77","74,06","1,87","7,47","3,41","0,00","0,00","2,00","0,00","0,00","50,19",Aceitável,"17,00","40,83","    ano  mes   tci
0  2024   12  46.5
1  2025    1  33.0
2  2025    2  43.0","19,53","12,39","14,94","73,94","3,44","8,80","3,92","0,00","0,00","2,00","0,00","0,00","68,31",Bom,"21,00","45,83","    ano  mes   tci
0  2025    3  37.5
1  2025    4  41.5
2  2025    5  58.5","27,90","17,43","22,32","66,78","0,25","13,71","5,61","1,00","0,00","0,00","0,00","0,00","85,74",Excelente,"20,00","52,12","    ano  mes   tci
0  2024    6  55.5
1  2024    7  48.0
2  2024    8  45.0
3  2025    6  60.0","22,68","15,75","18,60","71,36","1,33","9,38","4,62","0,00","0,00","3,00","0,00","0,00","87,45",Excelente,"23,00","52,67","    ano  mes   tci
0  2024    9  57.0
1  2024   10  57.0
2  2024   11  44.0"
Barreiro,"21,60","13,91","16,96","71,50","1,72","9,87","4,40","1,00","0,00","7,00","0,00","0,00","71,76",Muito Bom,"32,00","48,19","     ano  mes   tci
0   2024    6  55.5
1   2024    7  48.0
2   2024    8  45.0
3   2024    9  57.0
4   2024   10  57.0
5   2024   11  44.0
6   2024   12  46.5
7   2025    1  33.0
8   2025    2  43.0
9   2025    3  37.5
10  2025    4  41.5
11  2025    5  58.5
12  2025    6  60.0",Outono,"87,45","16,06","9,92","11,77","74,06","1,87","7,47","3,41","0,00","0,00","2,00","0,00","0,00","50,19",Aceitável,"17,00","40,83","    ano  mes   tci
0  2024   12  46.5
1  2025    1  33.0
2  2025    2  43.0","19,53","12,39","14,94","73,94","3,44","8,80","3,92","0,00","0,00","2,00","0,00","0,00","68,31",Bom,"21,00","45,83","    ano  mes   tci
0  2025    3  37.5
1  2025    4  41.5
2  2025    5  58.5","27,90","17,43","22,32","66,78","0,25","13,71","5,61","1,00","0,00","0,00","0,00","0,00","85,74",Excelente,"20,00","52,12","    ano  mes   tci
0  2024    6  55.5
1  2024    7  48.0
2  2024    8  45.0
3  2025    6  60.0","22,68","15,75","18,60","71,36","1,33","9,38","4,62","0,00","0,00","3,00","0,00","0,00","87,45",Excelente,"23,00","52,67","    ano  mes   tci
0  2024    9  57.0
1  2024   10  57.0
2  2024   11  44.0"
