municipio,total_dias,dias_bons,dias_aceitaveis,dias_marginais,extremos,media_score,media_maxtemp,media_mintemp,classificacao_geral
Abrantes,"366,00","109,00","38,00","219,00","33,00","49,02","23,24","11,44",Marginal
Agueda,"366,00","154,00","31,00","181,00","13,00","58,70","21,64","11,26",Aceitável
Aguiar da Beira,"366,00","93,00","35,00","238,00","20,00","46,87","20,54","9,92",Marginal
Alandroal,"366,00","93,00","42,00","231,00","43,00","45,47","23,20","11,76",Marginal
Albergaria-a-Velha,"366,00","177,00","19,00","170,00","5,00","61,27","19,39","12,42",Bom
Albufeira,"366,00","157,00","57,00","152,00","5,00","63,61","21,76","14,66",Bom
Alcacer do Sal,"366,00","144,00","57,00","165,00","9,00","59,96","22,02","13,43",Aceitável
Alcanena,"366,00","124,00","44,00","198,00","27,00","53,08","22,90","11,72",Aceitável
Alcobaca,"366,00","169,00","17,00","180,00","1,00","59,70","19,52","12,70",Aceitável
Alcochete,"366,00","156,00","50,00","160,00","4,00","63,17","21,83","13,55",Bom
Alcoutim,"366,00","148,00","61,00","157,00","2,00","63,24","22,10","14,79",Bom
Alenquer,"366,00","145,00","38,00","183,00","10,00","59,22","21,87","12,71",Aceitável
Alfandega da Fe,"366,00","79,00","40,00","247,00","11,00","47,59","19,49","8,87",Marginal
Alijo,"366,00","90,00","40,00","236,00","12,00","48,75","19,82","10,68",Marginal
Aljezur,"366,00","105,00","61,00","200,00","13,00","53,49","21,22","12,38",Aceitável
Aljustrel,"366,00","99,00","38,00","229,00","47,00","47,05","23,85","12,76",Marginal
Almada,"366,00","162,00","41,00","163,00","3,00","63,84","21,59","13,94",Bom
Almeida,"366,00","76,00","38,00","252,00","8,00","45,00","18,09","8,24",Marginal
Almeirim,"366,00","127,00","43,00","196,00","23,00","54,25","22,91","12,00",Aceitável
Almodovar,"366,00","117,00","61,00","188,00","8,00","57,09","22,10","14,14",Aceitável
Alpiarca,"366,00","127,00","43,00","196,00","23,00","54,25","22,91","12,00",Aceitável
Alter do Chao,"366,00","70,00","39,00","257,00","30,00","42,85","21,24","11,75",Marginal
Alvaiazere,"366,00","148,00","31,00","187,00","8,00","58,09","21,60","11,04",Aceitável
Alvito,"366,00","148,00","31,00","187,00","8,00","58,09","21,60","11,04",Aceitável
Amadora,"366,00","163,00","26,00","177,00","10,00","61,49","21,29","13,79",Bom
Amarante,"366,00","108,00","36,00","222,00","26,00","49,35","21,62","10,17",Marginal
Amares,"366,00","104,00","41,00","221,00","25,00","49,19","20,74","10,55",Marginal
Anadia,"366,00","154,00","31,00","181,00","13,00","58,70","21,64","11,26",Aceitável
Angra do Heroismo,"366,00","146,00","9,00","211,00","14,00","52,36","18,84","15,93",Aceitável
Ansiao,"366,00","109,00","38,00","219,00","33,00","49,02","23,24","11,44",Marginal
Arcos de Valdevez,"366,00","124,00","42,00","200,00","17,00","52,75","20,72","11,00",Aceitável
Arganil,"366,00","131,00","44,00","191,00","16,00","54,90","21,96","10,96",Aceitável
Armamar,"366,00","90,00","40,00","236,00","12,00","48,75","19,82","10,68",Marginal
Arouca,"366,00","154,00","52,00","160,00","5,00","63,39","21,70","14,93",Bom
Arraiolos,"366,00","106,00","38,00","222,00","36,00","48,08","23,35","11,47",Marginal
Arronches,"366,00","70,00","39,00","257,00","30,00","42,85","21,24","11,75",Marginal
Arruda dos Vinhos,"366,00","145,00","38,00","183,00","10,00","59,22","21,87","12,71",Aceitável
Aveiro,"366,00","177,00","19,00","170,00","5,00","61,27","19,39","12,42",Bom
Avis,"366,00","222,00","35,00","109,00","1,00","71,44","26,64","13,48",Muito Bom
Azambuja,"366,00","145,00","38,00","183,00","10,00","59,22","21,87","12,71",Aceitável
Baiao,"366,00","105,00","61,00","200,00","13,00","53,45","21,22","12,38",Aceitável
Barcelos,"366,00","145,00","37,00","184,00","10,00","57,41","20,37","11,41",Aceitável
Barrancos,"366,00","94,00","29,00","243,00","59,00","44,19","23,83","11,57",Marginal
Barreiro,"366,00","162,00","41,00","163,00","3,00","63,84","21,59","13,94",Bom
Batalha,"366,00","167,00","23,00","176,00","2,00","59,90","20,54","11,84",Aceitável
Beja,"366,00","99,00","38,00","229,00","47,00","47,05","23,85","12,76",Marginal
Belmonte,"366,00","175,00","37,00","154,00","2,00","66,13","21,22","15,56",Bom
Benavente,"366,00","145,00","38,00","183,00","10,00","59,22","21,87","12,71",Aceitável
Bombarral,"366,00","178,00","15,00","173,00","2,00","61,42","19,51","12,98",Bom
Borba,"366,00","93,00","42,00","231,00","43,00","45,47","23,20","11,76",Marginal
Boticas,"366,00","100,00","24,00","242,00","24,00","46,94","20,73","8,53",Marginal
Braga,"366,00","116,00","39,00","211,00","17,00","51,89","20,84","10,61",Aceitável
Braganca,"366,00","81,00","36,00","249,00","9,00","46,84","19,38","7,80",Marginal
Cabeceiras de Basto,"366,00","104,00","31,00","231,00","20,00","49,19","19,89","9,81",Marginal
Cadaval,"366,00","178,00","15,00","173,00","2,00","61,42","19,51","12,98",Bom
Caldas da Rainha,"366,00","178,00","15,00","173,00","2,00","61,42","19,51","12,98",Bom
Calheta [R.A.A.],"366,00","128,00","19,00","219,00","9,00","55,66","17,67","11,42",Aceitável
Calheta [R.A.M.],"366,00","128,00","19,00","219,00","9,00","55,66","17,67","11,42",Aceitável
Camara de Lobos,"366,00","128,00","19,00","219,00","9,00","55,70","17,67","11,42",Aceitável
Caminha,"366,00","146,00","19,00","201,00","8,00","56,42","18,56","12,38",Aceitável
Campo Maior,"366,00","95,00","32,00","239,00","66,00","44,94","24,32","12,39",Marginal
