date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2024-06-30,27,15,0.0,10.0,5,27,01:24 AM,01:06 PM,06:46 AM,05:37 PM,11,20,20,20,14,21,53,1.1,1016,27,10,163,7,"sao+paulo,Brasil"
2024-07-01,20,14,0.0,5.0,4,26,02:25 AM,01:47 PM,06:46 AM,05:37 PM,14,17,17,17,13,63,81,5.0,1020,20,9,143,6,"sao+paulo,Brasil"
2024-07-02,26,13,0.0,11.0,5,19,03:28 AM,02:33 PM,06:46 AM,05:38 PM,11,19,19,19,16,28,62,0.0,1020,26,10,86,8,"sao+paulo,Brasil"
2024-07-03,27,15,0.0,11.0,6,12,04:31 AM,03:25 PM,06:46 AM,05:38 PM,10,20,20,20,18,16,49,0.0,1018,27,10,113,8,"sao+paulo,Brasil"
2024-07-04,27,15,0.0,11.0,6,5,05:35 AM,04:20 PM,06:46 AM,05:38 PM,8,20,20,20,18,10,46,0.0,1017,27,10,69,8,"sao+paulo,Brasil"
2024-07-05,27,14,0.0,11.0,6,0,06:34 AM,05:20 PM,06:46 AM,05:39 PM,7,20,20,20,19,9,44,0.0,1018,27,10,65,9,"sao+paulo,Brasil"
2024-07-06,28,15,0.0,11.0,6,0,07:27 AM,06:20 PM,06:46 AM,05:39 PM,7,20,20,20,19,9,42,0.0,1019,28,10,96,8,"sao+paulo,Brasil"
2024-07-07,28,14,0.0,11.0,6,2,08:14 AM,07:18 PM,06:46 AM,05:39 PM,7,20,21,20,21,10,41,0.0,1017,28,10,121,11,"sao+paulo,Brasil"
2024-07-08,28,15,0.0,11.0,6,10,08:55 AM,08:13 PM,06:46 AM,05:40 PM,8,20,21,20,16,8,43,0.0,1015,28,10,164,8,"sao+paulo,Brasil"
2024-07-09,23,15,0.0,11.0,5,17,09:31 AM,09:06 PM,06:46 AM,05:40 PM,12,18,19,18,13,18,66,0.0,1016,23,10,190,6,"sao+paulo,Brasil"
