date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,12,9,0.0,7.0,3,83,07:50 PM,09:45 AM,07:47 AM,05:27 PM,6,8,10,8,31,48,76,0.7,1017,12,10,329,21,"Portugal,+Albufeira"
2021-01-02,12,7,0.0,8.7,2,76,08:56 PM,10:25 AM,07:47 AM,05:28 PM,5,7,9,7,28,22,73,1.6,1019,12,10,335,18,"Portugal,+Albufeira"
2021-01-03,12,6,0.0,8.7,2,69,10:03 PM,11:00 AM,07:47 AM,05:29 PM,4,6,8,6,20,12,74,0.0,1020,12,10,299,12,"Portugal,+Albufeira"
2021-01-04,12,7,0.0,8.7,2,62,11:10 PM,11:33 AM,07:47 AM,05:30 PM,4,8,9,8,10,41,71,0.0,1017,12,10,134,6,"Portugal,+Albufeira"
2021-01-05,11,8,0.0,8.7,3,56,No moonrise,12:02 PM,07:47 AM,05:31 PM,5,7,9,7,18,54,75,0.0,1013,11,10,74,12,"Portugal,+Albufeira"
2021-01-06,11,7,0.0,3.7,2,49,12:17 AM,12:32 PM,07:47 AM,05:31 PM,5,6,9,6,28,65,77,3.9,1009,11,10,63,19,"Portugal,+Albufeira"
2021-01-07,10,7,0.0,3.7,2,42,01:25 AM,01:03 PM,07:47 AM,05:32 PM,4,5,8,5,24,74,77,0.2,1008,10,10,23,18,"Portugal,+Albufeira"
2021-01-08,9,6,0.0,3.7,2,35,02:35 AM,01:37 PM,07:47 AM,05:33 PM,2,3,7,3,35,79,68,0.2,1005,9,9,46,27,"Portugal,+Albufeira"
2021-01-09,10,4,0.0,8.7,3,28,03:47 AM,02:15 PM,07:47 AM,05:34 PM,-0,3,6,3,31,23,64,0.1,1005,10,10,322,22,"Portugal,+Albufeira"
2021-01-10,9,3,0.0,8.7,3,22,04:58 AM,03:00 PM,07:47 AM,05:35 PM,1,1,5,1,27,28,77,0.0,1011,9,10,151,18,"Portugal,+Albufeira"
2021-01-11,11,4,0.0,8.7,3,15,06:09 AM,03:52 PM,07:47 AM,05:36 PM,2,3,6,3,27,4,73,0.0,1020,11,10,53,17,"Portugal,+Albufeira"
2021-01-12,11,4,0.0,8.7,3,8,07:14 AM,04:52 PM,07:47 AM,05:37 PM,1,6,7,6,15,0,63,0.0,1029,11,10,61,8,"Portugal,+Albufeira"
2021-01-13,14,5,0.0,8.7,3,1,08:11 AM,05:57 PM,07:46 AM,05:38 PM,0,7,9,7,15,1,59,0.0,1031,14,10,279,8,"Portugal,+Albufeira"
2021-01-14,13,5,0.0,8.7,3,5,08:59 AM,07:04 PM,07:46 AM,05:39 PM,4,6,9,6,25,7,76,0.0,1030,13,10,331,15,"Portugal,+Albufeira"
2021-01-15,13,7,0.0,8.7,4,12,09:39 AM,08:10 PM,07:46 AM,05:40 PM,6,8,10,8,22,7,77,0.0,1028,13,10,181,14,"Portugal,+Albufeira"
2021-01-16,15,7,0.0,8.7,4,19,10:13 AM,09:13 PM,07:45 AM,05:41 PM,6,9,10,9,16,0,74,0.0,1027,15,10,154,9,"Portugal,+Albufeira"
2021-01-17,16,9,0.0,8.7,4,26,10:42 AM,10:13 PM,07:45 AM,05:42 PM,5,11,12,11,12,12,65,0.0,1028,16,10,121,6,"Portugal,+Albufeira"
2021-01-18,14,9,0.0,8.7,4,33,11:09 AM,11:12 PM,07:45 AM,05:43 PM,5,10,11,10,12,2,68,0.0,1026,14,10,99,7,"Portugal,+Albufeira"
2021-01-19,14,9,0.0,3.8,3,39,11:34 AM,No moonset,07:44 AM,05:44 PM,7,11,12,11,18,77,75,0.1,1023,14,10,153,12,"Portugal,+Albufeira"
2021-01-20,15,12,0.0,3.8,3,46,11:58 AM,12:09 AM,07:44 AM,05:45 PM,11,13,14,13,46,82,80,13.8,1014,15,9,243,31,"Portugal,+Albufeira"
2021-01-21,16,12,0.0,3.8,3,53,12:24 PM,01:06 AM,07:43 AM,05:46 PM,12,13,14,13,38,76,87,2.1,1019,16,10,251,24,"Portugal,+Albufeira"
2021-01-22,15,12,0.0,3.8,3,60,12:52 PM,02:03 AM,07:43 AM,05:47 PM,11,13,14,13,43,52,80,1.1,1020,15,10,280,29,"Portugal,+Albufeira"
2021-01-23,15,9,0.0,3.8,3,66,01:24 PM,03:01 AM,07:42 AM,05:48 PM,10,11,13,11,33,70,82,0.7,1021,15,10,269,21,"Portugal,+Albufeira"
2021-01-24,17,11,0.0,3.8,4,73,02:01 PM,04:00 AM,07:42 AM,05:50 PM,14,14,15,14,31,81,92,3.5,1018,17,9,262,21,"Portugal,+Albufeira"
2021-01-25,17,14,0.0,3.8,4,80,02:44 PM,04:59 AM,07:41 AM,05:51 PM,13,15,15,15,27,69,89,1.0,1020,17,10,266,18,"Portugal,+Albufeira"
