date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,8,4,0.0,3.4,2,83,07:39 PM,09:59 AM,08:01 AM,05:16 PM,3,4,5,4,13,75,87,4.4,1016,8,9,149,8,"Portugal,+Barcelos"
2021-01-02,10,4,0.0,8.7,3,76,08:48 PM,10:37 AM,08:01 AM,05:16 PM,3,4,6,4,13,22,84,0.1,1019,10,10,152,8,"Portugal,+Barcelos"
2021-01-03,9,3,0.0,8.7,2,69,09:58 PM,11:10 AM,08:01 AM,05:17 PM,3,5,6,5,11,33,81,1.5,1020,9,10,193,7,"Portugal,+Barcelos"
2021-01-04,9,3,0.0,3.4,2,62,11:08 PM,11:39 AM,08:01 AM,05:18 PM,3,4,5,4,8,55,84,0.1,1016,9,10,87,5,"Portugal,+Barcelos"
2021-01-05,10,2,0.0,8.7,3,56,No moonrise,12:05 PM,08:01 AM,05:19 PM,1,4,5,4,8,6,77,0.0,1015,10,10,123,5,"Portugal,+Barcelos"
2021-01-06,11,2,0.0,8.7,3,49,12:18 AM,12:32 PM,08:01 AM,05:20 PM,0,4,5,4,13,3,72,0.0,1014,11,10,59,8,"Portugal,+Barcelos"
2021-01-07,11,2,0.0,8.7,3,42,01:30 AM,01:00 PM,08:01 AM,05:21 PM,-1,3,5,3,14,2,66,0.0,1014,11,10,83,8,"Portugal,+Barcelos"
2021-01-08,11,2,0.0,8.7,3,35,02:43 AM,01:30 PM,08:01 AM,05:22 PM,-2,3,5,3,16,3,64,0.0,1013,11,10,42,9,"Portugal,+Barcelos"
2021-01-09,8,0,0.0,8.7,1,28,03:58 AM,02:05 PM,08:01 AM,05:23 PM,-1,0,3,0,19,36,72,0.0,1009,8,10,24,13,"Portugal,+Barcelos"
2021-01-10,11,1,0.0,8.7,3,22,05:13 AM,02:47 PM,08:00 AM,05:24 PM,-0,2,5,2,17,19,72,0.0,1016,11,10,36,10,"Portugal,+Barcelos"
2021-01-11,13,2,0.0,8.7,3,15,06:25 AM,03:39 PM,08:00 AM,05:25 PM,-0,5,6,5,10,0,67,0.0,1026,13,10,129,7,"Portugal,+Barcelos"
2021-01-12,13,3,0.0,8.7,3,8,07:31 AM,04:38 PM,08:00 AM,05:27 PM,0,7,8,7,8,7,67,0.0,1030,13,10,131,5,"Portugal,+Barcelos"
2021-01-13,11,2,0.0,8.7,3,1,08:27 AM,05:45 PM,07:59 AM,05:28 PM,0,5,6,5,9,41,71,0.0,1032,11,10,140,5,"Portugal,+Barcelos"
2021-01-14,13,4,0.0,8.7,3,5,09:14 AM,06:53 PM,07:59 AM,05:29 PM,4,7,7,7,10,19,81,0.0,1031,13,10,164,6,"Portugal,+Barcelos"
