date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,12,9,0.0,3.6,3,83,07:49 PM,09:53 AM,07:55 AM,05:26 PM,4,7,10,7,35,69,67,2.1,1018,12,10,333,23,"Portugal,+Lisboa"
2021-01-02,12,9,0.0,5.3,3,76,08:56 PM,10:32 AM,07:55 AM,05:27 PM,4,7,10,7,26,37,69,0.3,1019,12,10,341,17,"Portugal,+Lisboa"
2021-01-03,12,8,0.0,7.0,3,69,10:04 PM,11:07 AM,07:55 AM,05:28 PM,4,8,9,8,15,30,70,0.4,1020,12,10,211,10,"Portugal,+Lisboa"
2021-01-04,12,9,0.0,7.0,2,62,11:13 PM,11:38 AM,07:55 AM,05:29 PM,4,9,9,9,6,41,68,0.2,1016,12,9,251,4,"Portugal,+Lisboa"
2021-01-05,10,5,0.0,8.7,3,56,No moonrise,12:06 PM,07:55 AM,05:30 PM,1,5,7,5,17,5,66,0.0,1013,10,10,92,12,"Portugal,+Lisboa"
2021-01-06,10,3,0.0,3.7,2,49,12:21 AM,12:35 PM,07:55 AM,05:31 PM,-2,2,6,2,27,42,61,0.0,1011,10,10,48,18,"Portugal,+Lisboa"
2021-01-07,10,5,0.0,8.7,3,42,01:30 AM,01:05 PM,07:55 AM,05:31 PM,-2,4,7,4,26,42,55,0.0,1011,10,10,33,18,"Portugal,+Lisboa"
2021-01-08,9,4,0.0,7.0,2,35,02:41 AM,01:37 PM,07:55 AM,05:32 PM,-2,3,6,3,29,41,57,0.0,1008,9,10,67,20,"Portugal,+Lisboa"
2021-01-09,7,4,0.0,7.0,2,28,03:54 AM,02:14 PM,07:55 AM,05:33 PM,-3,2,5,2,31,30,56,0.1,1007,7,10,228,21,"Portugal,+Lisboa"
2021-01-10,9,3,0.0,8.7,3,22,05:07 AM,02:59 PM,07:55 AM,05:34 PM,-0,2,5,2,24,24,67,0.0,1013,9,10,22,16,"Portugal,+Lisboa"
2021-01-11,10,3,0.0,8.7,3,15,06:18 AM,03:51 PM,07:54 AM,05:35 PM,-2,3,6,3,30,1,54,0.0,1023,10,10,35,19,"Portugal,+Lisboa"
2021-01-12,10,3,0.0,8.7,3,8,07:23 AM,04:50 PM,07:54 AM,05:36 PM,-0,5,6,5,12,0,62,0.0,1030,10,10,47,8,"Portugal,+Lisboa"
2021-01-13,12,6,0.0,8.7,3,1,08:20 AM,05:56 PM,07:54 AM,05:37 PM,3,7,8,7,10,13,69,0.0,1031,12,10,149,7,"Portugal,+Lisboa"
2021-01-14,13,7,0.0,8.7,4,5,09:07 AM,07:03 PM,07:54 AM,05:38 PM,7,8,10,8,22,41,84,0.0,1031,13,10,346,14,"Portugal,+Lisboa"
2021-01-15,14,8,0.0,7.0,3,12,09:47 AM,08:10 PM,07:53 AM,05:40 PM,9,10,11,10,17,27,86,0.0,1029,14,8,185,11,"Portugal,+Lisboa"
2021-01-16,14,8,0.0,8.7,4,19,10:19 AM,09:15 PM,07:53 AM,05:41 PM,5,10,10,10,9,4,72,0.0,1029,14,10,106,7,"Portugal,+Lisboa"
2021-01-17,13,6,0.0,7.0,2,26,10:47 AM,10:16 PM,07:52 AM,05:42 PM,3,8,9,8,11,10,65,0.0,1029,13,10,32,7,"Portugal,+Lisboa"
2021-01-18,16,6,0.0,8.7,4,33,11:13 AM,11:16 PM,07:52 AM,05:43 PM,3,10,10,10,11,0,61,0.0,1027,16,10,89,7,"Portugal,+Lisboa"
2021-01-19,14,7,0.0,3.7,3,39,11:37 AM,No moonset,07:52 AM,05:44 PM,7,9,10,9,22,71,79,0.2,1021,14,10,140,15,"Portugal,+Lisboa"
2021-01-20,15,13,0.0,3.7,3,46,12:01 PM,12:13 AM,07:51 AM,05:45 PM,11,11,14,11,46,79,82,36.1,1010,15,7,240,30,"Portugal,+Lisboa"
2021-01-21,16,13,0.0,3.7,3,53,12:26 PM,01:11 AM,07:51 AM,05:46 PM,12,13,14,13,38,78,88,4.8,1016,16,10,242,24,"Portugal,+Lisboa"
2021-01-22,14,12,0.0,5.4,3,60,12:53 PM,02:09 AM,07:50 AM,05:47 PM,8,11,13,11,43,68,73,2.4,1018,14,10,277,28,"Portugal,+Lisboa"
2021-01-23,14,7,0.0,5.4,3,66,01:24 PM,03:09 AM,07:49 AM,05:48 PM,10,10,13,10,39,84,81,3.1,1018,14,8,256,25,"Portugal,+Lisboa"
2021-01-24,15,13,0.0,3.8,3,73,02:00 PM,04:08 AM,07:49 AM,05:49 PM,12,13,14,13,23,71,88,2.4,1016,15,10,255,15,"Portugal,+Lisboa"
2021-01-25,16,14,0.0,3.8,4,80,02:43 PM,05:08 AM,07:48 AM,05:51 PM,13,15,15,15,29,78,86,1.6,1018,16,10,257,18,"Portugal,+Lisboa"
2021-01-26,17,15,0.0,3.8,4,87,03:33 PM,06:05 AM,07:47 AM,05:52 PM,15,16,16,16,21,97,93,2.7,1024,17,8,273,14,"Portugal,+Lisboa"
