date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,6,-1,0.0,3.4,1,83,07:38 PM,10:00 AM,08:02 AM,05:14 PM,3,2,3,2,11,72,93,6.4,1016,6,7,52,6,"Portugal,+Paredes+de+Coura"
2021-01-02,9,2,0.0,8.7,2,76,08:47 PM,10:38 AM,08:02 AM,05:15 PM,3,3,5,3,11,31,88,0.1,1019,9,7,103,6,"Portugal,+Paredes+de+Coura"
2021-01-03,9,2,0.0,6.9,2,69,09:57 PM,11:10 AM,08:02 AM,05:16 PM,2,4,5,4,10,42,84,1.4,1020,9,10,142,6,"Portugal,+Paredes+de+Coura"
2021-01-04,9,2,0.0,3.4,2,62,11:08 PM,11:39 AM,08:02 AM,05:17 PM,3,4,5,4,7,57,87,0.2,1016,9,9,103,4,"Portugal,+Paredes+de+Coura"
2021-01-05,10,1,0.0,8.7,3,56,No moonrise,12:05 PM,08:02 AM,05:18 PM,1,3,5,3,11,7,81,0.0,1015,10,10,77,6,"Portugal,+Paredes+de+Coura"
2021-01-06,11,2,0.0,8.7,3,49,12:18 AM,12:31 PM,08:02 AM,05:19 PM,0,5,7,5,10,3,73,0.0,1015,11,10,87,5,"Portugal,+Paredes+de+Coura"
2021-01-07,10,1,0.0,8.7,3,42,01:30 AM,12:59 PM,08:02 AM,05:20 PM,-1,3,4,3,13,2,70,0.0,1015,10,10,78,7,"Portugal,+Paredes+de+Coura"
2021-01-08,9,0,0.0,8.7,2,35,02:43 AM,01:29 PM,08:02 AM,05:21 PM,-2,1,4,1,16,1,70,0.0,1014,9,10,35,9,"Portugal,+Paredes+de+Coura"
2021-01-09,8,-2,0.0,8.7,1,28,03:59 AM,02:04 PM,08:02 AM,05:22 PM,-2,-1,3,-1,21,34,75,0.0,1009,8,10,23,14,"Portugal,+Paredes+de+Coura"
2021-01-10,9,1,0.0,8.7,3,22,05:14 AM,02:46 PM,08:01 AM,05:23 PM,-1,2,4,2,18,15,75,0.0,1016,9,10,31,10,"Portugal,+Paredes+de+Coura"
2021-01-11,12,1,0.0,8.7,3,15,06:26 AM,03:37 PM,08:01 AM,05:24 PM,0,4,6,4,10,0,73,0.0,1026,12,10,75,6,"Portugal,+Paredes+de+Coura"
2021-01-12,13,2,0.0,8.7,3,8,07:33 AM,04:36 PM,08:01 AM,05:25 PM,-0,6,8,6,7,6,68,0.0,1031,13,10,162,4,"Portugal,+Paredes+de+Coura"
2021-01-13,11,0,0.0,8.7,3,1,08:28 AM,05:43 PM,08:00 AM,05:26 PM,-1,4,5,4,7,39,70,0.0,1032,11,10,145,4,"Portugal,+Paredes+de+Coura"
2021-01-14,14,1,0.0,5.2,2,5,09:15 AM,06:52 PM,08:00 AM,05:28 PM,4,6,7,6,9,26,82,0.0,1031,14,9,156,5,"Portugal,+Paredes+de+Coura"
2021-01-15,14,6,0.0,8.7,4,12,09:52 AM,08:01 PM,08:00 AM,05:29 PM,5,9,10,9,10,16,83,0.0,1030,14,10,112,5,"Portugal,+Paredes+de+Coura"
2021-01-16,15,4,0.0,8.7,4,19,10:22 AM,09:07 PM,07:59 AM,05:30 PM,0,8,10,8,8,4,60,0.0,1030,15,10,117,4,"Portugal,+Paredes+de+Coura"
2021-01-17,15,5,0.0,8.7,4,26,10:48 AM,10:11 PM,07:59 AM,05:31 PM,4,8,9,8,7,5,80,0.0,1030,15,10,149,4,"Portugal,+Paredes+de+Coura"
2021-01-18,15,4,0.0,8.7,3,33,11:12 AM,11:13 PM,07:58 AM,05:32 PM,5,8,8,8,9,4,78,0.0,1027,15,10,132,5,"Portugal,+Paredes+de+Coura"
2021-01-19,11,4,0.0,7.0,2,39,11:34 AM,No moonset,07:57 AM,05:33 PM,5,6,8,6,18,36,80,0.0,1019,11,10,148,12,"Portugal,+Paredes+de+Coura"
2021-01-20,12,9,0.0,3.7,3,46,11:56 AM,12:12 AM,07:57 AM,05:35 PM,10,8,10,8,30,98,94,51.0,1004,12,6,205,18,"Portugal,+Paredes+de+Coura"
