date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,10,7,0.0,3.4,2,83,07:40 PM,09:59 AM,08:01 AM,05:17 PM,4,6,8,6,25,80,75,3.5,1016,10,10,272,17,"Portugal,+Povoa+de+Varzim"
2021-01-02,11,6,0.0,8.7,3,76,08:49 PM,10:37 AM,08:01 AM,05:18 PM,4,6,8,6,21,17,76,0.1,1019,11,10,145,14,"Portugal,+Povoa+de+Varzim"
2021-01-03,10,5,0.0,8.7,2,69,09:59 PM,11:10 AM,08:01 AM,05:18 PM,3,6,8,6,16,34,74,1.0,1020,10,10,195,11,"Portugal,+Povoa+de+Varzim"
2021-01-04,9,6,0.0,3.4,2,62,11:09 PM,11:39 AM,08:01 AM,05:19 PM,4,6,7,6,11,52,76,0.4,1016,9,10,91,8,"Portugal,+Povoa+de+Varzim"
2021-01-05,10,5,0.0,8.7,3,56,No moonrise,12:06 PM,08:01 AM,05:20 PM,2,6,7,6,10,4,69,0.0,1015,10,10,124,8,"Portugal,+Povoa+de+Varzim"
2021-01-06,12,5,0.0,8.7,3,49,12:19 AM,12:32 PM,08:01 AM,05:21 PM,0,5,7,5,17,3,62,0.0,1014,12,10,65,11,"Portugal,+Povoa+de+Varzim"
2021-01-07,10,5,0.0,8.7,3,42,01:31 AM,01:00 PM,08:01 AM,05:22 PM,-1,4,7,4,23,1,59,0.0,1014,10,10,85,15,"Portugal,+Povoa+de+Varzim"
2021-01-08,10,4,0.0,8.7,3,35,02:43 AM,01:31 PM,08:01 AM,05:23 PM,-2,3,6,3,25,7,56,0.0,1013,10,10,42,16,"Portugal,+Povoa+de+Varzim"
2021-01-09,10,2,0.0,8.7,2,28,03:58 AM,02:06 PM,08:01 AM,05:24 PM,-1,1,5,1,27,34,67,0.0,1009,10,10,25,19,"Portugal,+Povoa+de+Varzim"
2021-01-10,11,4,0.0,8.7,3,22,05:13 AM,02:49 PM,08:01 AM,05:25 PM,0,4,7,4,22,24,65,0.0,1016,11,10,78,14,"Portugal,+Povoa+de+Varzim"
2021-01-11,12,5,0.0,8.7,3,15,06:25 AM,03:40 PM,08:00 AM,05:26 PM,-0,5,7,5,13,1,59,0.0,1026,12,10,131,10,"Portugal,+Povoa+de+Varzim"
2021-01-12,12,6,0.0,8.7,3,8,07:32 AM,04:39 PM,08:00 AM,05:28 PM,1,7,8,7,10,9,62,0.0,1030,12,10,140,7,"Portugal,+Povoa+de+Varzim"
2021-01-13,10,6,0.0,8.7,3,1,08:27 AM,05:46 PM,08:00 AM,05:29 PM,1,6,8,6,12,38,65,0.0,1031,10,10,138,7,"Portugal,+Povoa+de+Varzim"
2021-01-14,12,6,0.0,7.0,2,5,09:14 AM,06:54 PM,07:59 AM,05:30 PM,5,8,9,8,14,22,78,0.0,1031,12,10,120,9,"Portugal,+Povoa+de+Varzim"
2021-01-15,14,9,0.0,8.7,4,12,09:51 AM,08:03 PM,07:59 AM,05:31 PM,7,10,11,10,10,7,79,0.0,1029,14,10,123,7,"Portugal,+Povoa+de+Varzim"
2021-01-16,13,8,0.0,8.7,4,19,10:22 AM,09:09 PM,07:58 AM,05:32 PM,4,10,10,10,10,2,63,0.0,1029,13,10,130,8,"Portugal,+Povoa+de+Varzim"
2021-01-17,13,9,0.0,8.7,4,26,10:49 AM,10:12 PM,07:58 AM,05:33 PM,4,10,11,10,9,5,64,0.0,1030,13,10,143,6,"Portugal,+Povoa+de+Varzim"
2021-01-18,13,5,0.0,8.7,4,33,11:13 AM,11:14 PM,07:57 AM,05:34 PM,6,10,11,10,10,3,71,0.0,1027,13,10,138,7,"Portugal,+Povoa+de+Varzim"
2021-01-19,13,9,0.0,5.3,3,39,11:35 AM,No moonset,07:57 AM,05:36 PM,6,8,11,8,36,52,73,0.0,1020,13,10,163,25,"Portugal,+Povoa+de+Varzim"
2021-01-20,14,12,0.0,3.7,3,46,11:57 AM,12:13 AM,07:56 AM,05:37 PM,11,10,13,10,60,86,85,42.8,1005,14,8,217,39,"Portugal,+Povoa+de+Varzim"
2021-01-21,14,13,0.0,5.4,3,53,12:20 PM,01:13 AM,07:56 AM,05:38 PM,12,11,14,11,51,63,88,13.7,1010,14,9,238,32,"Portugal,+Povoa+de+Varzim"
2021-01-22,13,6,0.0,5.4,3,60,12:46 PM,02:12 AM,07:55 AM,05:39 PM,8,9,12,9,66,68,74,10.0,1011,13,10,275,45,"Portugal,+Povoa+de+Varzim"
2021-01-23,14,12,0.0,3.7,3,66,01:16 PM,03:13 AM,07:54 AM,05:40 PM,10,10,13,10,52,86,82,22.1,1012,14,9,259,34,"Portugal,+Povoa+de+Varzim"
2021-01-24,13,3,0.0,7.0,3,73,01:51 PM,04:14 AM,07:54 AM,05:42 PM,11,10,11,10,29,76,87,7.6,1013,13,8,238,20,"Portugal,+Povoa+de+Varzim"
2021-01-25,14,7,0.0,3.7,3,80,02:32 PM,05:15 AM,07:53 AM,05:43 PM,13,11,14,11,38,100,95,9.3,1014,14,8,243,25,"Portugal,+Povoa+de+Varzim"
2021-01-26,14,14,0.0,3.7,3,87,03:22 PM,06:13 AM,07:52 AM,05:44 PM,14,14,14,14,18,100,98,7.7,1022,14,4,228,11,"Portugal,+Povoa+de+Varzim"
2021-01-27,15,14,0.0,3.7,3,93,04:20 PM,07:07 AM,07:51 AM,05:45 PM,14,14,14,14,14,94,95,0.2,1026,15,4,196,9,"Portugal,+Povoa+de+Varzim"
2021-01-28,14,8,0.0,3.7,3,100,05:26 PM,07:55 AM,07:50 AM,05:47 PM,13,12,14,12,23,95,93,0.5,1023,14,6,173,15,"Portugal,+Povoa+de+Varzim"
2021-01-29,14,8,0.0,3.7,3,93,06:35 PM,08:35 AM,07:49 AM,05:48 PM,13,12,13,12,38,90,93,2.1,1021,14,7,189,24,"Portugal,+Povoa+de+Varzim"
2021-01-30,13,12,0.0,5.4,3,86,07:47 PM,09:11 AM,07:49 AM,05:49 PM,9,10,13,10,50,76,78,12.6,1017,13,9,275,34,"Portugal,+Povoa+de+Varzim"
2021-01-31,14,13,0.0,3.8,3,79,08:59 PM,09:42 AM,07:48 AM,05:50 PM,12,12,13,12,32,91,92,4.9,1018,14,8,271,21,"Portugal,+Povoa+de+Varzim"
2021-02-01,14,9,0.0,3.8,3,73,10:10 PM,10:09 AM,07:47 AM,05:52 PM,12,12,13,12,33,87,92,2.5,1018,14,10,226,21,"Portugal,+Povoa+de+Varzim"
2021-02-02,14,14,0.0,3.8,3,66,11:23 PM,10:36 AM,07:46 AM,05:53 PM,12,11,14,11,53,96,88,8.8,1015,14,9,191,35,"Portugal,+Povoa+de+Varzim"
2021-02-03,13,12,0.0,3.8,3,59,No moonrise,11:04 AM,07:45 AM,05:54 PM,10,11,13,11,43,82,82,27.8,1010,13,8,220,26,"Portugal,+Povoa+de+Varzim"
2021-02-04,14,11,0.0,5.4,3,52,12:34 AM,11:33 AM,07:44 AM,05:55 PM,8,11,12,11,19,61,78,4.8,1010,14,10,160,13,"Portugal,+Povoa+de+Varzim"
2021-02-05,13,8,0.0,7.1,3,46,01:48 AM,12:06 PM,07:42 AM,05:57 PM,7,9,11,9,23,64,77,3.9,1005,13,9,69,15,"Portugal,+Povoa+de+Varzim"
2021-02-06,12,9,0.0,7.1,3,39,03:01 AM,12:45 PM,07:41 AM,05:58 PM,6,8,11,8,49,46,69,1.0,1006,12,8,349,36,"Portugal,+Povoa+de+Varzim"
2021-02-07,9,2,0.0,3.8,2,32,04:12 AM,01:31 PM,07:40 AM,05:59 PM,6,5,8,5,31,71,82,28.4,1009,9,9,171,21,"Portugal,+Povoa+de+Varzim"
2021-02-08,12,12,0.0,6.9,3,25,05:19 AM,02:26 PM,07:39 AM,06:00 PM,8,9,12,9,47,68,78,25.2,1005,12,8,274,29,"Portugal,+Povoa+de+Varzim"
2021-02-09,12,5,0.0,5.3,3,18,06:17 AM,03:29 PM,07:38 AM,06:02 PM,9,8,12,8,56,86,80,47.8,1001,12,7,244,39,"Portugal,+Povoa+de+Varzim"
2021-02-10,12,7,0.0,8.5,3,12,07:07 AM,04:35 PM,07:37 AM,06:03 PM,7,9,11,9,28,70,73,3.6,1012,12,9,231,20,"Portugal,+Povoa+de+Varzim"
2021-02-11,14,13,0.0,6.9,3,5,07:47 AM,05:44 PM,07:35 AM,06:04 PM,12,11,14,11,45,89,93,13.5,1016,14,6,196,28,"Portugal,+Povoa+de+Varzim"
2021-02-12,14,12,0.0,10.0,3,2,08:20 AM,06:51 PM,07:34 AM,06:05 PM,11,12,13,12,23,49,88,11.9,1022,14,9,232,14,"Portugal,+Povoa+de+Varzim"
2021-02-13,13,11,0.0,6.9,3,9,08:49 AM,07:57 PM,07:33 AM,06:06 PM,10,11,12,11,20,62,87,0.0,1025,13,10,168,14,"Portugal,+Povoa+de+Varzim"
2021-02-14,15,12,0.0,10.8,4,15,09:14 AM,08:59 PM,07:31 AM,06:08 PM,9,12,13,12,22,9,76,0.0,1026,15,10,160,14,"Portugal,+Povoa+de+Varzim"
2021-02-15,16,12,0.0,6.9,3,22,09:37 AM,10:00 PM,07:30 AM,06:09 PM,9,13,14,13,27,42,73,0.0,1025,16,10,160,15,"Portugal,+Povoa+de+Varzim"
2021-02-16,14,13,0.0,7.0,3,29,09:59 AM,11:00 PM,07:29 AM,06:10 PM,11,12,13,12,34,79,88,8.2,1025,14,10,203,23,"Portugal,+Povoa+de+Varzim"
2021-02-17,14,6,0.0,5.4,3,36,10:21 AM,No moonset,07:27 AM,06:11 PM,12,11,13,11,42,93,89,12.0,1020,14,9,186,26,"Portugal,+Povoa+de+Varzim"
2021-02-18,13,11,0.0,10.9,3,42,10:46 AM,12:00 AM,07:26 AM,06:13 PM,8,10,12,10,41,39,76,28.6,1015,13,9,221,24,"Portugal,+Povoa+de+Varzim"
2021-02-19,15,12,0.0,5.4,3,49,11:14 AM,01:01 AM,07:25 AM,06:14 PM,11,11,13,11,53,95,85,5.5,1012,15,9,182,35,"Portugal,+Povoa+de+Varzim"
2021-02-20,14,11,0.0,5.5,3,56,11:46 AM,02:01 AM,07:23 AM,06:15 PM,11,11,13,11,54,97,85,51.8,1004,14,7,170,36,"Portugal,+Povoa+de+Varzim"
2021-02-21,12,10,0.0,7.0,3,63,12:24 PM,03:02 AM,07:22 AM,06:16 PM,7,9,11,9,24,78,77,9.8,1007,12,8,277,17,"Portugal,+Povoa+de+Varzim"
2021-02-22,12,8,0.0,11.0,3,70,01:10 PM,04:01 AM,07:20 AM,06:17 PM,5,9,10,9,17,36,67,1.6,1019,12,10,191,12,"Portugal,+Povoa+de+Varzim"
2021-02-23,13,4,0.0,5.5,3,76,02:04 PM,04:56 AM,07:19 AM,06:19 PM,5,9,11,9,27,84,65,0.2,1026,13,10,148,16,"Portugal,+Povoa+de+Varzim"
2021-02-24,15,12,0.0,11.0,4,83,03:06 PM,05:46 AM,07:17 AM,06:20 PM,8,12,14,12,38,32,70,0.1,1026,15,10,169,24,"Portugal,+Povoa+de+Varzim"
2021-02-25,14,11,0.0,5.5,3,90,04:14 PM,06:29 AM,07:16 AM,06:21 PM,9,11,12,11,22,85,83,6.6,1025,14,9,150,15,"Portugal,+Povoa+de+Varzim"
2021-02-26,17,12,0.0,11.1,4,97,05:27 PM,07:07 AM,07:14 AM,06:22 PM,9,13,14,13,24,23,72,0.0,1029,17,10,128,14,"Portugal,+Povoa+de+Varzim"
2021-02-27,18,13,0.0,11.1,5,97,06:40 PM,07:40 AM,07:13 AM,06:23 PM,9,14,15,14,25,14,67,0.0,1025,18,10,105,14,"Portugal,+Povoa+de+Varzim"
2021-02-28,17,12,0.0,11.1,4,90,07:54 PM,08:10 AM,07:11 AM,06:25 PM,6,14,14,14,21,3,59,0.0,1019,17,10,135,12,"Portugal,+Povoa+de+Varzim"
2021-03-01,14,11,0.0,10.1,3,83,09:09 PM,08:37 AM,07:10 AM,06:26 PM,8,11,13,11,27,31,76,0.0,1017,14,10,181,18,"Portugal,+Povoa+de+Varzim"
2021-03-02,13,12,0.0,10.1,4,76,10:23 PM,09:05 AM,07:08 AM,06:27 PM,8,11,12,11,17,49,72,0.5,1023,13,9,195,12,"Portugal,+Povoa+de+Varzim"
2021-03-03,16,5,0.0,11.2,4,69,11:38 PM,09:35 AM,07:06 AM,06:28 PM,9,12,12,12,10,23,75,0.0,1025,16,10,150,7,"Portugal,+Povoa+de+Varzim"
2021-03-04,16,13,0.0,7.1,3,63,No moonrise,10:07 AM,07:05 AM,06:29 PM,11,14,14,14,11,77,82,4.8,1017,16,10,194,7,"Portugal,+Povoa+de+Varzim"
2021-03-05,18,10,0.0,8.6,3,56,12:53 AM,10:44 AM,07:03 AM,06:30 PM,10,13,14,13,16,48,76,0.9,1016,18,10,133,10,"Portugal,+Povoa+de+Varzim"
2021-03-06,17,12,0.0,11.3,4,49,02:06 AM,11:28 AM,07:02 AM,06:31 PM,9,13,14,13,18,17,71,0.1,1019,17,10,169,11,"Portugal,+Povoa+de+Varzim"
2021-03-07,14,3,0.0,11.3,4,42,03:14 AM,12:20 PM,07:00 AM,06:33 PM,9,11,12,11,14,3,78,0.0,1019,14,10,201,10,"Portugal,+Povoa+de+Varzim"
2021-03-08,14,7,0.0,11.6,4,36,04:14 AM,01:20 PM,06:58 AM,06:34 PM,5,8,11,8,25,2,70,0.0,1018,14,10,139,17,"Portugal,+Povoa+de+Varzim"
2021-03-09,14,8,0.0,11.6,4,29,05:05 AM,02:24 PM,06:57 AM,06:35 PM,4,8,10,8,22,19,65,0.0,1022,14,10,146,15,"Portugal,+Povoa+de+Varzim"
2021-03-10,13,9,0.0,11.6,4,22,05:47 AM,03:31 PM,06:55 AM,06:36 PM,6,11,11,11,9,43,73,0.0,1024,13,10,140,7,"Portugal,+Povoa+de+Varzim"
2021-03-11,14,13,0.0,5.9,3,15,06:21 AM,04:38 PM,06:53 AM,06:37 PM,12,12,13,12,24,95,90,3.8,1025,14,8,223,16,"Portugal,+Povoa+de+Varzim"
2021-03-12,13,11,0.0,10.2,3,9,06:50 AM,05:44 PM,06:52 AM,06:38 PM,7,11,12,11,17,36,73,0.3,1026,13,10,327,13,"Portugal,+Povoa+de+Varzim"
2021-03-13,13,10,0.0,8.8,3,2,07:16 AM,06:47 PM,06:50 AM,06:39 PM,6,10,11,10,15,57,72,0.3,1026,13,10,225,11,"Portugal,+Povoa+de+Varzim"
2021-03-14,14,9,0.0,11.6,4,5,07:39 AM,07:49 PM,06:48 AM,06:41 PM,8,10,11,10,22,20,79,0.1,1028,14,10,140,16,"Portugal,+Povoa+de+Varzim"
2021-03-15,18,11,0.0,10.2,3,12,08:01 AM,08:49 PM,06:47 AM,06:42 PM,8,12,13,12,19,32,69,0.0,1025,18,10,194,12,"Portugal,+Povoa+de+Varzim"
2021-03-16,19,13,0.0,11.6,5,19,08:24 AM,09:50 PM,06:45 AM,06:43 PM,8,15,15,15,25,19,61,0.0,1025,19,10,103,14,"Portugal,+Povoa+de+Varzim"
2021-03-17,19,12,0.0,11.6,5,25,08:47 AM,10:50 PM,06:43 AM,06:44 PM,7,14,15,14,31,3,59,0.0,1024,19,10,59,18,"Portugal,+Povoa+de+Varzim"
2021-03-18,16,9,0.0,11.6,4,32,09:14 AM,11:50 PM,06:41 AM,06:45 PM,5,12,13,12,24,8,55,0.0,1022,16,10,126,15,"Portugal,+Povoa+de+Varzim"
2021-03-19,17,9,0.0,11.6,4,39,09:43 AM,No moonset,06:40 AM,06:46 PM,5,10,12,10,32,7,60,0.0,1019,17,10,120,21,"Portugal,+Povoa+de+Varzim"
2021-03-20,13,5,0.0,11.6,4,46,10:18 AM,12:51 AM,06:38 AM,06:47 PM,5,9,11,9,22,1,63,0.0,1021,13,10,152,16,"Portugal,+Povoa+de+Varzim"
2021-03-21,14,8,0.0,11.6,4,52,11:00 AM,01:50 AM,06:36 AM,06:48 PM,2,9,11,9,19,2,56,0.0,1024,14,10,209,14,"Portugal,+Povoa+de+Varzim"
2021-03-22,18,7,0.0,11.6,4,59,11:50 AM,02:46 AM,06:35 AM,06:49 PM,7,12,13,12,13,0,66,0.0,1021,18,10,188,10,"Portugal,+Povoa+de+Varzim"
2021-03-23,15,11,0.0,11.6,4,66,12:47 PM,03:37 AM,06:33 AM,06:51 PM,8,13,14,13,12,8,69,0.0,1022,15,10,197,9,"Portugal,+Povoa+de+Varzim"
