date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,16,13,0.0,7.0,4,83,08:19 PM,10:25 AM,08:25 AM,05:52 PM,13,15,16,15,53,75,80,1.7,1023,16,8,121,38,"Portugal,+Santa+Cruz+das+Flores"
2021-01-02,17,13,0.0,3.5,4,76,09:27 PM,11:04 AM,08:25 AM,05:53 PM,14,16,16,16,73,100,88,20.5,1013,17,7,129,50,"Portugal,+Santa+Cruz+das+Flores"
2021-01-03,18,11,0.0,3.5,4,69,10:35 PM,11:38 AM,08:25 AM,05:54 PM,15,16,17,16,71,84,86,13.6,1002,18,9,123,45,"Portugal,+Santa+Cruz+das+Flores"
2021-01-04,17,10,0.0,7.0,4,62,11:44 PM,12:08 PM,08:25 AM,05:54 PM,15,15,16,15,55,59,87,2.5,997,17,9,120,37,"Portugal,+Santa+Cruz+das+Flores"
2021-01-05,17,16,0.0,3.5,4,56,No moonrise,12:36 PM,08:25 AM,05:55 PM,14,16,16,16,79,80,84,30.8,1000,17,8,128,55,"Portugal,+Santa+Cruz+das+Flores"
2021-01-06,15,9,0.0,3.5,3,49,12:53 AM,01:05 PM,08:25 AM,05:56 PM,9,11,14,11,80,74,69,5.9,1012,15,10,80,62,"Portugal,+Santa+Cruz+das+Flores"
2021-01-07,14,7,0.0,7.0,3,42,02:03 AM,01:34 PM,08:25 AM,05:57 PM,8,11,14,11,50,64,67,0.6,1026,14,10,76,38,"Portugal,+Santa+Cruz+das+Flores"
2021-01-08,14,11,0.0,5.2,3,35,03:15 AM,02:06 PM,08:25 AM,05:58 PM,7,12,14,12,28,42,63,0.3,1030,14,10,108,21,"Portugal,+Santa+Cruz+das+Flores"
2021-01-09,15,12,0.0,3.5,4,28,04:27 AM,02:43 PM,08:24 AM,05:59 PM,9,13,15,13,43,73,68,0.1,1028,15,10,175,32,"Portugal,+Santa+Cruz+das+Flores"
2021-01-10,17,14,0.0,6.6,4,22,05:41 AM,03:27 PM,08:24 AM,06:00 PM,15,16,17,16,39,74,88,4.4,1025,17,7,227,27,"Portugal,+Santa+Cruz+das+Flores"
2021-01-11,18,14,0.0,4.9,4,15,06:52 AM,04:19 PM,08:24 AM,06:01 PM,15,17,17,17,49,76,90,5.0,1021,18,9,209,31,"Portugal,+Santa+Cruz+das+Flores"
2021-01-12,17,15,0.0,8.2,4,8,07:57 AM,05:20 PM,08:24 AM,06:02 PM,14,17,17,17,61,72,83,6.8,1015,17,9,244,41,"Portugal,+Santa+Cruz+das+Flores"
2021-01-13,16,9,0.0,6.6,3,1,08:53 AM,06:25 PM,08:23 AM,06:03 PM,10,14,15,14,29,57,70,0.2,1023,16,10,230,21,"Portugal,+Santa+Cruz+das+Flores"
2021-01-14,17,10,0.0,9.8,5,5,09:40 AM,07:34 PM,08:23 AM,06:04 PM,14,15,16,15,55,46,85,0.8,1019,17,9,202,37,"Portugal,+Santa+Cruz+das+Flores"
2021-01-15,17,15,0.0,6.6,4,12,10:18 AM,08:40 PM,08:23 AM,06:05 PM,12,15,16,15,57,78,79,4.0,1020,17,9,146,38,"Portugal,+Santa+Cruz+das+Flores"
2021-01-16,16,10,0.0,4.9,4,19,10:50 AM,09:45 PM,08:22 AM,06:06 PM,12,14,15,14,39,70,79,2.3,1021,16,10,134,27,"Portugal,+Santa+Cruz+das+Flores"
2021-01-17,17,14,0.0,6.6,4,26,11:18 AM,10:47 PM,08:22 AM,06:07 PM,15,17,17,17,76,81,84,23.6,1012,17,9,219,51,"Portugal,+Santa+Cruz+das+Flores"
2021-01-18,17,12,0.0,6.6,4,33,11:43 AM,11:47 PM,08:21 AM,06:09 PM,13,16,17,16,70,78,80,5.5,1012,17,10,245,47,"Portugal,+Santa+Cruz+das+Flores"
2021-01-19,16,12,0.0,6.6,4,39,12:06 PM,No moonset,08:21 AM,06:10 PM,11,15,15,15,69,61,71,0.6,1013,16,10,287,49,"Portugal,+Santa+Cruz+das+Flores"
2021-01-20,17,12,0.0,8.3,4,46,12:29 PM,12:45 AM,08:20 AM,06:11 PM,14,16,17,16,52,46,84,1.3,1011,17,10,247,35,"Portugal,+Santa+Cruz+das+Flores"
