date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,6,-3,0.2,5.3,1,83,07:40 PM,09:53 AM,07:54 AM,05:16 PM,1,-0,2,-0,13,67,93,1.9,1015,6,6,290,8,"Portugal,+Santa+Maria+da+Feira"
2021-01-02,8,-2,0.0,8.7,2,76,08:47 PM,10:31 AM,07:55 AM,05:17 PM,-1,0,2,0,8,26,85,0.0,1018,8,8,298,5,"Portugal,+Santa+Maria+da+Feira"
2021-01-03,8,-2,0.1,8.7,1,69,09:57 PM,11:04 AM,07:55 AM,05:18 PM,-3,-2,0,-2,11,26,79,0.1,1019,8,9,286,6,"Portugal,+Santa+Maria+da+Feira"
2021-01-04,8,-2,0.1,8.7,1,62,11:06 PM,11:34 AM,07:55 AM,05:19 PM,-2,-0,1,-0,8,48,84,0.1,1016,8,9,284,5,"Portugal,+Santa+Maria+da+Feira"
2021-01-05,9,-3,0.0,8.7,2,56,No moonrise,12:02 PM,07:55 AM,05:20 PM,-5,1,1,1,5,1,69,0.0,1015,9,10,103,3,"Portugal,+Santa+Maria+da+Feira"
2021-01-06,7,-4,0.0,8.7,2,49,12:15 AM,12:29 PM,07:55 AM,05:21 PM,-6,-3,0,-3,14,8,66,0.0,1014,7,10,64,8,"Portugal,+Santa+Maria+da+Feira"
2021-01-07,6,-4,0.0,8.7,2,42,01:26 AM,12:58 PM,07:54 AM,05:22 PM,-4,-3,0,-3,13,7,72,0.0,1013,6,10,49,9,"Portugal,+Santa+Maria+da+Feira"
2021-01-08,2,-5,0.0,8.7,1,35,02:38 AM,01:29 PM,07:54 AM,05:23 PM,-8,-7,-2,-7,30,42,66,0.0,1011,2,10,48,17,"Portugal,+Santa+Maria+da+Feira"
2021-01-09,-2,-5,3.9,3.6,1,28,03:52 AM,02:05 PM,07:54 AM,05:24 PM,-5,-9,-4,-9,34,87,89,4.6,1006,-2,5,34,17,"Portugal,+Santa+Maria+da+Feira"
2021-01-10,1,-5,1.4,3.6,1,22,05:06 AM,02:48 PM,07:54 AM,05:25 PM,-4,-8,-3,-8,30,74,89,1.7,1014,1,7,54,16,"Portugal,+Santa+Maria+da+Feira"
2021-01-11,3,-5,0.0,8.7,2,15,06:18 AM,03:40 PM,07:54 AM,05:26 PM,-4,-5,-1,-5,19,3,83,0.0,1025,3,10,56,13,"Portugal,+Santa+Maria+da+Feira"
2021-01-12,8,-5,0.0,8.7,2,8,07:24 AM,04:39 PM,07:53 AM,05:27 PM,-5,-0,1,-0,8,4,70,0.0,1030,8,10,122,4,"Portugal,+Santa+Maria+da+Feira"
2021-01-13,12,-2,0.0,8.7,3,1,08:20 AM,05:46 PM,07:53 AM,05:28 PM,-5,3,3,3,7,17,58,0.0,1031,12,10,86,4,"Portugal,+Santa+Maria+da+Feira"
2021-01-14,13,-1,0.0,8.7,2,5,09:07 AM,06:54 PM,07:53 AM,05:29 PM,-2,4,5,4,8,18,68,0.0,1031,13,10,179,4,"Portugal,+Santa+Maria+da+Feira"
2021-01-15,12,2,0.0,8.7,3,12,09:45 AM,08:01 PM,07:52 AM,05:30 PM,1,5,7,5,10,4,74,0.0,1029,12,10,48,6,"Portugal,+Santa+Maria+da+Feira"
2021-01-16,9,-2,0.0,8.7,2,19,10:16 AM,09:07 PM,07:52 AM,05:31 PM,-4,2,4,2,12,0,65,0.0,1029,9,10,57,6,"Portugal,+Santa+Maria+da+Feira"
2021-01-17,14,1,0.0,8.7,3,26,10:44 AM,10:09 PM,07:52 AM,05:33 PM,-4,5,6,5,8,6,54,0.0,1030,14,10,68,5,"Portugal,+Santa+Maria+da+Feira"
2021-01-18,12,2,0.0,8.7,3,33,11:08 AM,11:10 PM,07:51 AM,05:34 PM,-1,6,7,6,9,1,65,0.0,1028,12,10,109,5,"Portugal,+Santa+Maria+da+Feira"
2021-01-19,10,-4,0.0,7.0,1,39,11:32 AM,No moonset,07:51 AM,05:35 PM,1,1,3,1,14,34,82,0.0,1023,10,10,153,8,"Portugal,+Santa+Maria+da+Feira"
2021-01-20,9,0,0.0,3.7,2,46,11:55 AM,12:09 AM,07:50 AM,05:36 PM,5,3,6,3,28,91,95,29.1,1009,9,8,205,16,"Portugal,+Santa+Maria+da+Feira"
2021-01-21,12,6,0.0,3.7,2,53,12:18 PM,01:08 AM,07:49 AM,05:37 PM,8,6,9,6,32,97,96,17.2,1012,12,9,240,19,"Portugal,+Santa+Maria+da+Feira"
2021-01-22,9,2,2.2,3.7,2,60,12:45 PM,02:07 AM,07:49 AM,05:38 PM,5,2,6,2,49,94,91,16.1,1013,9,8,267,28,"Portugal,+Santa+Maria+da+Feira"
2021-01-23,10,-2,0.0,3.7,2,66,01:15 PM,03:07 AM,07:48 AM,05:40 PM,7,4,7,4,35,96,95,29.4,1014,10,8,255,22,"Portugal,+Santa+Maria+da+Feira"
2021-01-24,12,0,0.0,5.4,2,73,01:50 PM,04:07 AM,07:47 AM,05:41 PM,7,6,8,6,17,86,95,4.5,1014,12,8,246,12,"Portugal,+Santa+Maria+da+Feira"
2021-01-25,13,2,0.0,3.7,3,80,02:32 PM,05:08 AM,07:47 AM,05:42 PM,11,9,10,9,17,99,98,9.0,1015,13,6,249,12,"Portugal,+Santa+Maria+da+Feira"
2021-01-26,15,8,0.0,3.7,3,87,03:23 PM,06:06 AM,07:46 AM,05:43 PM,12,12,12,12,10,95,98,5.3,1022,15,6,256,7,"Portugal,+Santa+Maria+da+Feira"
2021-01-27,18,9,0.0,7.0,3,93,04:20 PM,06:59 AM,07:45 AM,05:44 PM,11,13,13,13,7,54,91,0.1,1026,18,5,281,5,"Portugal,+Santa+Maria+da+Feira"
2021-01-28,15,8,0.0,8.7,3,100,05:26 PM,07:47 AM,07:44 AM,05:45 PM,9,10,11,10,10,28,88,0.0,1024,15,7,227,5,"Portugal,+Santa+Maria+da+Feira"
2021-01-29,16,6,0.0,8.7,3,93,06:34 PM,08:29 AM,07:43 AM,05:47 PM,7,9,9,9,11,40,89,0.0,1022,16,5,242,6,"Portugal,+Santa+Maria+da+Feira"
2021-01-30,10,3,0.8,3.8,2,86,07:45 PM,09:05 AM,07:43 AM,05:48 PM,5,2,6,2,44,87,91,14.4,1018,10,8,272,24,"Portugal,+Santa+Maria+da+Feira"
