date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,5,1,0.8,3.6,1,83,07:36 PM,09:53 AM,07:55 AM,05:13 PM,1,1,2,1,9,45,92,2.7,1016,5,4,304,6,"Portugal,+Sernancelhe"
2021-01-02,8,-0,0.0,8.7,1,76,08:45 PM,10:31 AM,07:55 AM,05:14 PM,0,3,3,3,5,22,86,0.0,1018,8,7,253,3,"Portugal,+Sernancelhe"
2021-01-03,7,1,0.0,8.7,2,69,09:54 PM,11:04 AM,07:55 AM,05:15 PM,-1,2,3,2,8,12,82,0.0,1019,7,9,187,5,"Portugal,+Sernancelhe"
2021-01-04,7,0,0.0,7.0,1,62,11:04 PM,11:34 AM,07:55 AM,05:16 PM,0,2,3,2,5,58,84,0.0,1016,7,9,155,3,"Portugal,+Sernancelhe"
2021-01-05,9,0,0.0,8.7,2,56,No moonrise,12:01 PM,07:55 AM,05:17 PM,-2,2,4,2,7,2,72,0.0,1015,9,10,66,4,"Portugal,+Sernancelhe"
2021-01-06,7,-1,0.0,8.7,2,49,12:14 AM,12:27 PM,07:55 AM,05:18 PM,-4,-1,2,-1,19,9,66,0.0,1014,7,10,53,11,"Portugal,+Sernancelhe"
2021-01-07,6,-2,0.0,8.7,2,42,01:25 AM,12:56 PM,07:55 AM,05:19 PM,-4,-1,2,-1,19,11,67,0.0,1013,6,10,43,11,"Portugal,+Sernancelhe"
2021-01-08,6,-1,0.0,8.7,1,35,02:37 AM,01:27 PM,07:55 AM,05:20 PM,-6,-3,1,-3,30,45,59,0.0,1012,6,10,45,20,"Portugal,+Sernancelhe"
2021-01-09,3,-2,0.3,3.6,1,28,03:52 AM,02:02 PM,07:54 AM,05:21 PM,-3,-4,0,-4,25,59,77,0.4,1007,3,8,32,17,"Portugal,+Sernancelhe"
2021-01-10,6,-1,0.2,7.0,1,22,05:06 AM,02:45 PM,07:54 AM,05:22 PM,-2,-3,1,-3,24,49,79,0.3,1014,6,10,48,15,"Portugal,+Sernancelhe"
2021-01-11,5,-2,0.0,8.7,2,15,06:18 AM,03:36 PM,07:54 AM,05:23 PM,-4,-3,1,-3,23,0,72,0.0,1025,5,10,50,13,"Portugal,+Sernancelhe"
2021-01-12,12,-1,0.0,8.7,3,8,07:24 AM,04:36 PM,07:54 AM,05:24 PM,-2,3,6,3,10,5,70,0.0,1030,12,10,84,5,"Portugal,+Sernancelhe"
2021-01-13,12,0,0.0,8.7,3,1,08:20 AM,05:42 PM,07:53 AM,05:25 PM,-2,5,6,5,8,27,65,0.0,1031,12,10,43,4,"Portugal,+Sernancelhe"
2021-01-14,12,1,0.0,8.7,3,5,09:07 AM,06:50 PM,07:53 AM,05:26 PM,-0,4,6,4,8,15,71,0.0,1031,12,10,142,4,"Portugal,+Sernancelhe"
2021-01-15,15,3,0.0,8.7,3,12,09:45 AM,07:59 PM,07:53 AM,05:27 PM,3,7,9,7,11,6,78,0.0,1029,15,10,51,6,"Portugal,+Sernancelhe"
2021-01-16,14,2,0.0,8.7,3,19,10:16 AM,09:04 PM,07:52 AM,05:28 PM,0,5,7,5,15,1,69,0.0,1029,14,10,50,8,"Portugal,+Sernancelhe"
2021-01-17,16,3,0.0,8.7,3,26,10:43 AM,10:07 PM,07:52 AM,05:30 PM,-1,7,9,7,12,5,59,0.0,1030,16,10,59,6,"Portugal,+Sernancelhe"
2021-01-18,16,4,0.0,8.7,3,33,11:07 AM,11:08 PM,07:51 AM,05:31 PM,3,8,9,8,10,1,70,0.0,1027,16,10,82,6,"Portugal,+Sernancelhe"
2021-01-19,10,1,0.0,7.0,2,39,11:30 AM,No moonset,07:51 AM,05:32 PM,2,5,6,5,10,28,77,0.0,1022,10,10,126,6,"Portugal,+Sernancelhe"
2021-01-20,9,3,0.0,3.7,2,46,11:53 AM,12:08 AM,07:50 AM,05:33 PM,7,5,8,5,28,95,95,34.9,1008,9,8,208,17,"Portugal,+Sernancelhe"
2021-01-21,11,9,0.0,3.7,3,53,12:16 PM,01:07 AM,07:49 AM,05:34 PM,9,7,10,7,32,97,97,37.8,1012,11,8,235,20,"Portugal,+Sernancelhe"
2021-01-22,8,5,0.0,3.7,2,60,12:42 PM,02:06 AM,07:49 AM,05:35 PM,6,4,7,4,42,82,89,23.2,1012,8,8,261,25,"Portugal,+Sernancelhe"
2021-01-23,10,0,0.0,3.7,2,66,01:12 PM,03:07 AM,07:48 AM,05:37 PM,7,4,7,4,31,83,96,29.5,1014,10,8,244,19,"Portugal,+Sernancelhe"
2021-01-24,11,3,0.0,3.7,2,73,01:47 PM,04:08 AM,07:47 AM,05:38 PM,8,6,8,6,17,95,96,2.0,1014,11,5,229,11,"Portugal,+Sernancelhe"
2021-01-25,12,5,0.0,3.7,3,80,02:28 PM,05:08 AM,07:47 AM,05:39 PM,11,9,10,9,20,100,98,11.9,1015,12,7,232,13,"Portugal,+Sernancelhe"
2021-01-26,13,11,0.0,3.7,3,87,03:19 PM,06:06 AM,07:46 AM,05:40 PM,12,12,12,12,10,100,99,6.7,1022,13,4,221,6,"Portugal,+Sernancelhe"
2021-01-27,15,11,0.0,5.4,3,93,04:17 PM,07:00 AM,07:45 AM,05:41 PM,12,13,13,13,6,81,94,0.3,1026,15,3,229,4,"Portugal,+Sernancelhe"
2021-01-28,17,10,0.0,8.7,3,100,05:22 PM,07:48 AM,07:44 AM,05:43 PM,11,13,13,13,8,70,91,0.1,1024,17,5,209,6,"Portugal,+Sernancelhe"
2021-01-29,14,11,0.0,3.8,3,93,06:31 PM,08:29 AM,07:43 AM,05:44 PM,10,11,12,11,11,84,91,0.1,1022,14,6,215,8,"Portugal,+Sernancelhe"
2021-01-30,9,7,0.0,3.8,2,86,07:43 PM,09:04 AM,07:42 AM,05:45 PM,7,5,8,5,32,82,91,19.5,1018,9,9,263,21,"Portugal,+Sernancelhe"
2021-01-31,12,7,0.0,3.8,3,79,08:54 PM,09:36 AM,07:42 AM,05:46 PM,10,8,10,8,19,96,97,5.5,1018,12,7,250,12,"Portugal,+Sernancelhe"
2021-02-01,12,6,0.0,3.8,3,73,10:05 PM,10:04 AM,07:41 AM,05:48 PM,10,9,10,9,14,83,95,2.0,1019,12,7,222,10,"Portugal,+Sernancelhe"
2021-02-02,12,10,0.0,3.8,3,66,11:17 PM,10:31 AM,07:40 AM,05:49 PM,9,9,11,9,19,87,93,2.2,1017,12,8,211,13,"Portugal,+Sernancelhe"
2021-02-03,12,2,0.0,5.4,2,59,No moonrise,10:59 AM,07:39 AM,05:50 PM,8,7,10,7,20,85,91,13.7,1012,12,9,222,14,"Portugal,+Sernancelhe"
2021-02-04,11,6,0.0,3.8,2,52,12:28 AM,11:29 AM,07:37 AM,05:51 PM,6,8,8,8,8,93,88,1.9,1011,11,7,111,5,"Portugal,+Sernancelhe"
2021-02-05,8,1,0.0,3.8,2,46,01:42 AM,12:02 PM,07:36 AM,05:53 PM,6,4,7,4,16,96,94,30.2,1004,8,8,119,10,"Portugal,+Sernancelhe"
2021-02-06,9,4,0.0,3.8,2,39,02:54 AM,12:41 PM,07:35 AM,05:54 PM,6,6,7,6,9,84,93,20.3,1003,9,7,322,6,"Portugal,+Sernancelhe"
2021-02-07,4,-5,0.0,5.5,1,32,04:06 AM,01:28 PM,07:34 AM,05:55 PM,4,2,3,2,11,74,94,14.2,1010,4,7,250,7,"Portugal,+Sernancelhe"
2021-02-08,9,6,0.0,3.8,2,25,05:12 AM,02:22 PM,07:33 AM,05:56 PM,6,4,7,4,25,94,94,27.1,1006,9,9,252,16,"Portugal,+Sernancelhe"
2021-02-09,9,6,0.0,3.8,2,18,06:11 AM,03:25 PM,07:32 AM,05:57 PM,7,4,7,4,34,99,95,85.2,1003,9,7,231,22,"Portugal,+Sernancelhe"
2021-02-10,11,4,0.0,8.7,2,12,07:00 AM,04:32 PM,07:31 AM,05:59 PM,4,5,7,5,15,74,86,16.0,1013,11,8,211,10,"Portugal,+Sernancelhe"
2021-02-11,12,10,0.0,5.4,3,5,07:41 AM,05:40 PM,07:29 AM,06:00 PM,10,10,11,10,17,94,97,20.7,1017,12,7,211,11,"Portugal,+Sernancelhe"
2021-02-12,13,7,0.0,10.0,3,2,08:14 AM,06:47 PM,07:28 AM,06:01 PM,8,9,10,9,12,54,89,10.7,1022,13,9,241,8,"Portugal,+Sernancelhe"
2021-02-13,15,5,0.0,10.8,3,9,08:43 AM,07:52 PM,07:27 AM,06:02 PM,6,9,9,9,4,42,84,0.0,1026,15,7,173,2,"Portugal,+Sernancelhe"
2021-02-14,17,7,0.0,10.8,4,15,09:08 AM,08:54 PM,07:26 AM,06:03 PM,6,11,11,11,9,19,74,0.0,1027,17,10,117,5,"Portugal,+Sernancelhe"
2021-02-15,17,7,0.0,10.8,4,22,09:32 AM,09:55 PM,07:24 AM,06:05 PM,7,10,11,10,11,2,77,0.0,1027,17,10,105,7,"Portugal,+Sernancelhe"
2021-02-16,12,8,0.0,5.4,3,29,09:54 AM,10:55 PM,07:23 AM,06:06 PM,9,9,10,9,12,75,93,1.6,1026,12,7,207,8,"Portugal,+Sernancelhe"
2021-02-17,15,9,0.0,8.5,3,36,10:17 AM,11:54 PM,07:22 AM,06:07 PM,9,10,11,10,12,79,91,1.1,1022,15,6,191,8,"Portugal,+Sernancelhe"
2021-02-18,11,6,0.0,5.4,2,42,10:42 AM,No moonset,07:20 AM,06:08 PM,7,7,9,7,18,71,92,14.9,1016,11,7,211,12,"Portugal,+Sernancelhe"
2021-02-19,12,8,0.0,5.5,3,49,11:10 AM,12:54 AM,07:19 AM,06:09 PM,8,8,10,8,20,90,91,2.1,1015,12,10,186,12,"Portugal,+Sernancelhe"
2021-02-20,10,8,0.0,5.5,2,56,11:42 AM,01:55 AM,07:17 AM,06:11 PM,8,8,9,8,21,84,92,57.7,1007,10,8,189,13,"Portugal,+Sernancelhe"
2021-02-21,9,4,0.0,5.5,2,63,12:20 PM,02:55 AM,07:16 AM,06:12 PM,5,5,7,5,14,92,88,67.3,1006,9,6,303,10,"Portugal,+Sernancelhe"
2021-02-22,11,2,0.0,11.0,2,70,01:06 PM,03:54 AM,07:15 AM,06:13 PM,2,5,6,5,8,21,80,0.1,1020,11,7,221,5,"Portugal,+Sernancelhe"
2021-02-23,12,4,0.0,8.6,2,76,02:00 PM,04:49 AM,07:13 AM,06:14 PM,3,6,7,6,11,46,76,0.0,1028,12,10,91,6,"Portugal,+Sernancelhe"
2021-02-24,15,6,0.0,10.1,3,83,03:03 PM,05:39 AM,07:12 AM,06:15 PM,6,9,10,9,14,24,78,0.4,1028,15,10,129,9,"Portugal,+Sernancelhe"
2021-02-25,9,2,0.0,7.0,2,90,04:10 PM,06:22 AM,07:10 AM,06:16 PM,8,8,8,8,7,89,96,35.5,1024,9,8,155,4,"Portugal,+Sernancelhe"
2021-02-26,16,7,0.0,11.1,4,97,05:23 PM,07:01 AM,07:09 AM,06:18 PM,8,9,11,9,20,24,81,0.0,1028,16,10,49,12,"Portugal,+Sernancelhe"
2021-02-27,16,7,0.0,11.1,4,97,06:35 PM,07:34 AM,07:07 AM,06:19 PM,6,9,11,9,20,21,75,0.0,1025,16,10,49,12,"Portugal,+Sernancelhe"
2021-02-28,18,5,0.0,11.1,4,90,07:49 PM,08:04 AM,07:06 AM,06:20 PM,4,9,12,9,15,6,67,0.0,1019,18,10,95,8,"Portugal,+Sernancelhe"
2021-03-01,16,7,0.0,8.6,3,83,09:03 PM,08:32 AM,07:04 AM,06:21 PM,7,10,10,10,11,48,82,1.4,1019,16,10,151,7,"Portugal,+Sernancelhe"
2021-03-02,13,8,0.0,5.6,3,76,10:17 PM,09:00 AM,07:02 AM,06:22 PM,8,10,10,10,5,83,90,0.2,1024,13,7,209,4,"Portugal,+Sernancelhe"
