date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,10,6,0.0,3.6,2,83,07:42 PM,09:57 AM,07:58 AM,05:19 PM,4,5,8,5,29,81,78,10.6,1016,10,9,350,18,"Portugal,+Vagos"
2021-01-02,10,6,0.0,8.7,2,76,08:50 PM,10:35 AM,07:58 AM,05:20 PM,4,5,8,5,24,36,76,1.1,1019,10,10,187,15,"Portugal,+Vagos"
2021-01-03,10,1,0.0,8.7,3,69,10:00 PM,11:08 AM,07:59 AM,05:21 PM,3,5,6,5,13,35,74,0.1,1019,10,10,207,8,"Portugal,+Vagos"
2021-01-04,10,5,0.0,5.3,2,62,11:09 PM,11:38 AM,07:59 AM,05:22 PM,4,6,7,6,9,49,79,0.5,1016,10,10,152,6,"Portugal,+Vagos"
2021-01-05,11,4,0.0,8.7,3,56,No moonrise,12:05 PM,07:59 AM,05:23 PM,2,6,7,6,8,1,72,0.0,1014,11,10,106,6,"Portugal,+Vagos"
2021-01-06,10,3,0.0,8.7,3,49,12:19 AM,12:32 PM,07:58 AM,05:23 PM,-1,4,6,4,16,9,61,0.0,1013,10,10,80,9,"Portugal,+Vagos"
2021-01-07,11,4,0.0,8.7,3,42,01:30 AM,01:01 PM,07:58 AM,05:24 PM,-1,5,6,5,14,0,60,0.0,1013,11,10,91,9,"Portugal,+Vagos"
2021-01-08,10,2,0.0,8.7,3,35,02:42 AM,01:32 PM,07:58 AM,05:25 PM,-4,2,5,2,29,39,54,0.0,1012,10,10,37,16,"Portugal,+Vagos"
2021-01-09,8,2,0.0,7.0,2,28,03:56 AM,02:08 PM,07:58 AM,05:26 PM,-3,2,5,2,23,37,59,0.0,1007,8,10,24,14,"Portugal,+Vagos"
2021-01-10,10,3,0.0,8.7,2,22,05:10 AM,02:51 PM,07:58 AM,05:27 PM,-0,3,6,3,25,45,66,0.0,1014,10,10,41,15,"Portugal,+Vagos"
2021-01-11,11,3,0.0,8.7,3,15,06:22 AM,03:43 PM,07:58 AM,05:29 PM,-1,5,6,5,10,0,61,0.0,1025,11,10,103,7,"Portugal,+Vagos"
2021-01-12,12,4,0.0,8.7,3,8,07:28 AM,04:42 PM,07:57 AM,05:30 PM,1,6,7,6,10,12,67,0.0,1030,12,10,134,6,"Portugal,+Vagos"
