date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,9,3,0.0,7.0,2,83,07:43 PM,09:44 AM,07:46 AM,05:20 PM,3,2,5,2,19,54,89,2.1,1016,9,8,301,12,"Portugal,+Amadora"
2021-01-02,9,0,0.0,8.7,1,76,08:50 PM,10:23 AM,07:46 AM,05:21 PM,1,2,4,2,11,29,86,0.0,1018,9,6,323,7,"Portugal,+Amadora"
2021-01-03,9,-1,0.0,8.7,2,69,09:58 PM,10:58 AM,07:46 AM,05:22 PM,-1,3,4,3,7,10,77,0.0,1019,9,10,171,5,"Portugal,+Amadora"
2021-01-04,9,-0,0.0,5.3,2,62,11:05 PM,11:30 AM,07:46 AM,05:23 PM,1,3,4,3,7,51,86,0.2,1016,9,8,207,4,"Portugal,+Amadora"
2021-01-05,10,0,0.0,8.7,2,56,No moonrise,11:59 AM,07:46 AM,05:24 PM,0,4,5,4,8,20,78,0.0,1013,10,7,89,5,"Portugal,+Amadora"
2021-01-06,9,-0,0.0,7.0,1,49,12:13 AM,12:28 PM,07:46 AM,05:25 PM,-1,1,4,1,17,39,72,0.0,1011,9,10,69,10,"Portugal,+Amadora"
2021-01-07,7,1,0.0,3.7,2,42,01:22 AM,12:58 PM,07:46 AM,05:26 PM,2,2,4,2,16,55,82,0.1,1009,7,10,43,10,"Portugal,+Amadora"
2021-01-08,5,-2,0.0,3.7,1,35,02:32 AM,01:31 PM,07:46 AM,05:27 PM,1,-0,4,-0,23,96,83,1.0,1005,5,8,37,16,"Portugal,+Amadora"
2021-01-09,3,-5,0.7,3.7,1,28,03:45 AM,02:08 PM,07:46 AM,05:28 PM,0,-1,1,-1,12,96,91,2.1,1004,3,8,277,8,"Portugal,+Amadora"
2021-01-10,6,-2,1.1,8.7,1,22,04:57 AM,02:53 PM,07:46 AM,05:29 PM,-0,-0,2,-0,12,41,88,1.3,1012,6,8,41,7,"Portugal,+Amadora"
2021-01-11,8,-1,0.0,8.7,2,15,06:08 AM,03:45 PM,07:46 AM,05:30 PM,-2,0,3,0,16,20,78,0.0,1022,8,9,36,10,"Portugal,+Amadora"
2021-01-12,11,-2,0.0,8.7,3,8,07:14 AM,04:45 PM,07:45 AM,05:31 PM,-4,3,5,3,11,0,61,0.0,1030,11,10,60,6,"Portugal,+Amadora"
2021-01-13,12,-0,0.0,8.7,3,1,08:10 AM,05:50 PM,07:45 AM,05:32 PM,-3,5,6,5,9,5,60,0.0,1031,12,10,167,5,"Portugal,+Amadora"
2021-01-14,11,-0,0.0,8.7,3,5,08:58 AM,06:57 PM,07:45 AM,05:33 PM,-0,4,4,4,9,17,78,0.0,1029,11,10,111,6,"Portugal,+Amadora"
2021-01-15,13,0,0.0,8.7,3,12,09:38 AM,08:04 PM,07:45 AM,05:34 PM,1,5,7,5,10,4,78,0.0,1028,13,10,125,6,"Portugal,+Amadora"
2021-01-16,15,1,0.0,8.7,3,19,10:10 AM,09:08 PM,07:44 AM,05:35 PM,2,7,8,7,8,2,79,0.0,1028,15,10,86,4,"Portugal,+Amadora"
