date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,14,13,0.0,5.2,3,83,08:05 PM,10:07 AM,08:07 AM,05:39 PM,10,11,13,11,38,67,80,1.9,1026,14,10,117,26,"Portugal,+Angra+do+Heroismo"
2021-01-02,14,6,0.0,3.5,3,76,09:12 PM,10:46 AM,08:07 AM,05:40 PM,11,10,13,10,48,89,83,1.8,1019,14,9,128,33,"Portugal,+Angra+do+Heroismo"
2021-01-03,16,12,0.0,3.5,4,69,10:20 PM,11:21 AM,08:07 AM,05:40 PM,14,15,15,15,67,100,91,31.8,1008,16,8,133,46,"Portugal,+Angra+do+Heroismo"
2021-01-04,16,12,0.0,3.5,4,62,11:28 PM,11:52 AM,08:07 AM,05:41 PM,14,14,15,14,56,93,92,47.6,1001,16,8,121,38,"Portugal,+Angra+do+Heroismo"
2021-01-05,15,14,0.0,3.5,3,56,No moonrise,12:20 PM,08:07 AM,05:42 PM,13,13,15,13,56,96,87,3.7,1006,15,10,113,41,"Portugal,+Angra+do+Heroismo"
2021-01-06,12,9,0.0,7.0,3,49,12:36 AM,12:49 PM,08:07 AM,05:43 PM,8,9,12,9,67,69,72,3.2,1010,12,10,73,53,"Portugal,+Angra+do+Heroismo"
2021-01-07,12,11,0.0,7.0,3,42,01:46 AM,01:19 PM,08:07 AM,05:44 PM,7,9,12,9,48,67,70,1.4,1024,12,10,51,37,"Portugal,+Angra+do+Heroismo"
2021-01-08,12,12,0.0,3.5,3,35,02:57 AM,01:52 PM,08:07 AM,05:45 PM,7,10,12,10,31,75,72,1.6,1028,12,10,36,22,"Portugal,+Angra+do+Heroismo"
2021-01-09,12,11,0.0,8.7,4,28,04:09 AM,02:29 PM,08:07 AM,05:46 PM,5,10,11,10,13,37,64,0.0,1031,12,10,120,9,"Portugal,+Angra+do+Heroismo"
2021-01-10,15,9,0.0,3.5,3,22,05:23 AM,03:14 PM,08:07 AM,05:47 PM,10,11,13,11,24,82,81,1.4,1029,15,8,209,17,"Portugal,+Angra+do+Heroismo"
