date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,9,4,0.0,7.0,2,83,07:40 PM,09:45 AM,07:48 AM,05:17 PM,3,3,6,3,26,42,80,0.6,1015,9,10,288,17,"Portugal,+Campo+Maior"
2021-01-02,9,2,0.0,8.7,3,76,08:47 PM,10:24 AM,07:48 AM,05:18 PM,1,3,5,3,17,6,77,0.0,1018,9,10,297,10,"Portugal,+Campo+Maior"
2021-01-03,9,2,0.0,8.7,3,69,09:55 PM,10:59 AM,07:48 AM,05:19 PM,-0,3,5,3,13,5,74,0.0,1020,9,10,282,8,"Portugal,+Campo+Maior"
2021-01-04,8,1,0.0,7.0,1,62,11:04 PM,11:30 AM,07:48 AM,05:20 PM,1,2,4,2,13,27,81,0.0,1017,8,10,263,8,"Portugal,+Campo+Maior"
2021-01-05,8,1,0.0,8.7,2,56,No moonrise,11:58 AM,07:48 AM,05:20 PM,0,3,4,3,12,8,79,0.0,1014,8,10,133,7,"Portugal,+Campo+Maior"
2021-01-06,8,-1,0.0,7.0,1,49,12:12 AM,12:26 PM,07:48 AM,05:21 PM,-3,0,3,0,20,43,66,0.0,1012,8,10,59,12,"Portugal,+Campo+Maior"
2021-01-07,6,2,0.0,3.7,1,42,01:22 AM,12:56 PM,07:48 AM,05:22 PM,-1,0,4,0,22,80,72,0.1,1010,6,10,43,14,"Portugal,+Campo+Maior"
2021-01-08,8,2,0.0,3.7,1,35,02:32 AM,01:28 PM,07:48 AM,05:23 PM,-0,-0,4,-0,31,68,73,0.0,1007,8,10,32,21,"Portugal,+Campo+Maior"
2021-01-09,3,1,0.1,3.7,1,28,03:46 AM,02:05 PM,07:47 AM,05:24 PM,2,-0,3,-0,14,99,95,0.9,1004,3,5,224,11,"Portugal,+Campo+Maior"
2021-01-10,7,1,0.1,8.7,1,22,04:59 AM,02:49 PM,07:47 AM,05:25 PM,-0,-0,3,-0,19,37,83,0.1,1012,7,10,42,12,"Portugal,+Campo+Maior"
2021-01-11,8,-1,0.0,8.7,2,15,06:10 AM,03:41 PM,07:47 AM,05:26 PM,-1,-0,3,-0,21,5,76,0.0,1022,8,10,17,12,"Portugal,+Campo+Maior"
2021-01-12,10,0,0.0,8.7,3,8,07:16 AM,04:41 PM,07:47 AM,05:27 PM,-2,4,5,4,7,0,63,0.0,1030,10,10,134,4,"Portugal,+Campo+Maior"
2021-01-13,11,0,0.0,8.7,3,1,08:12 AM,05:46 PM,07:47 AM,05:28 PM,-1,5,6,5,6,8,69,0.0,1031,11,10,129,4,"Portugal,+Campo+Maior"
2021-01-14,11,0,0.0,8.7,3,5,09:00 AM,06:54 PM,07:46 AM,05:29 PM,0,5,6,5,7,16,75,0.0,1030,11,10,308,4,"Portugal,+Campo+Maior"
2021-01-15,12,1,0.0,8.7,3,12,09:39 AM,08:01 PM,07:46 AM,05:31 PM,2,5,6,5,8,4,77,0.0,1028,12,10,139,4,"Portugal,+Campo+Maior"
2021-01-16,12,2,0.0,8.7,3,19,10:11 AM,09:05 PM,07:45 AM,05:32 PM,2,6,6,6,9,1,77,0.0,1028,12,10,97,5,"Portugal,+Campo+Maior"
2021-01-17,12,3,0.0,7.0,2,26,10:39 AM,10:07 PM,07:45 AM,05:33 PM,1,6,8,6,11,19,71,0.0,1029,12,10,51,6,"Portugal,+Campo+Maior"
2021-01-18,13,2,0.0,8.7,3,33,11:05 AM,11:07 PM,07:45 AM,05:34 PM,1,6,8,6,12,9,68,0.0,1027,13,10,58,7,"Portugal,+Campo+Maior"
2021-01-19,12,4,0.0,3.7,2,39,11:29 AM,No moonset,07:44 AM,05:35 PM,5,7,8,7,10,49,80,0.1,1024,12,10,138,6,"Portugal,+Campo+Maior"
2021-01-20,14,8,0.0,3.7,3,46,11:52 AM,12:05 AM,07:44 AM,05:36 PM,8,8,11,8,36,84,85,19.1,1013,14,9,205,23,"Portugal,+Campo+Maior"
2021-01-21,14,10,0.0,3.7,3,53,12:17 PM,01:03 AM,07:43 AM,05:37 PM,10,9,12,9,36,93,91,4.4,1016,14,10,231,24,"Portugal,+Campo+Maior"
2021-01-22,13,8,0.0,7.0,3,60,12:44 PM,02:01 AM,07:42 AM,05:38 PM,8,9,11,9,42,69,81,3.3,1016,13,10,260,28,"Portugal,+Campo+Maior"
2021-01-23,12,6,0.0,3.7,2,66,01:15 PM,03:01 AM,07:42 AM,05:39 PM,8,6,9,6,37,82,89,2.9,1019,12,9,239,23,"Portugal,+Campo+Maior"
2021-01-24,13,9,0.0,3.8,3,73,01:51 PM,04:00 AM,07:41 AM,05:41 PM,11,10,11,10,22,79,92,4.0,1016,13,10,250,14,"Portugal,+Campo+Maior"
2021-01-25,16,11,0.0,3.8,3,80,02:33 PM,05:00 AM,07:41 AM,05:42 PM,12,12,13,12,29,83,91,3.1,1018,16,10,250,19,"Portugal,+Campo+Maior"
2021-01-26,17,13,0.0,3.8,4,87,03:24 PM,05:58 AM,07:40 AM,05:43 PM,13,14,14,14,23,88,94,1.6,1023,17,6,252,15,"Portugal,+Campo+Maior"
2021-01-27,17,13,0.0,3.8,3,93,04:21 PM,06:52 AM,07:39 AM,05:44 PM,13,14,14,14,10,70,91,0.0,1027,17,7,275,7,"Portugal,+Campo+Maior"
2021-01-28,21,11,0.0,8.7,4,100,05:26 PM,07:40 AM,07:38 AM,05:45 PM,12,15,16,15,8,15,83,0.0,1024,21,9,139,5,"Portugal,+Campo+Maior"
2021-01-29,16,10,0.0,5.4,3,93,06:34 PM,08:22 AM,07:37 AM,05:46 PM,11,12,13,12,13,49,90,0.0,1023,16,7,253,8,"Portugal,+Campo+Maior"
2021-01-30,14,10,0.0,3.8,3,86,07:44 PM,08:59 AM,07:37 AM,05:47 PM,9,10,12,10,32,78,80,1.2,1020,14,9,262,23,"Portugal,+Campo+Maior"
2021-01-31,15,9,0.0,3.8,3,79,08:54 PM,09:32 AM,07:36 AM,05:49 PM,10,10,12,10,34,87,87,0.4,1021,15,10,262,23,"Portugal,+Campo+Maior"
2021-02-01,16,9,0.0,7.1,3,73,10:04 PM,10:01 AM,07:35 AM,05:50 PM,11,11,13,11,22,52,87,0.4,1021,16,10,262,14,"Portugal,+Campo+Maior"
2021-02-02,16,11,0.0,8.7,3,66,11:14 PM,10:30 AM,07:34 AM,05:51 PM,10,12,13,12,16,67,82,0.2,1020,16,10,216,10,"Portugal,+Campo+Maior"
2021-02-03,14,11,0.0,3.8,3,59,No moonrise,10:59 AM,07:33 AM,05:52 PM,10,11,12,11,24,81,86,3.6,1015,14,8,207,16,"Portugal,+Campo+Maior"
2021-02-04,11,8,0.0,3.8,3,52,12:24 AM,11:30 AM,07:32 AM,05:53 PM,9,9,10,9,13,79,95,28.4,1010,11,7,171,9,"Portugal,+Campo+Maior"
2021-02-05,13,8,0.0,3.8,3,46,01:36 AM,12:04 PM,07:31 AM,05:54 PM,9,9,10,9,17,82,92,23.9,1001,13,7,73,10,"Portugal,+Campo+Maior"
2021-02-06,10,8,0.0,3.8,2,39,02:47 AM,12:45 PM,07:30 AM,05:56 PM,8,6,9,6,29,97,91,9.1,1002,10,9,265,20,"Portugal,+Campo+Maior"
2021-02-07,10,4,0.0,7.1,2,32,03:58 AM,01:33 PM,07:29 AM,05:57 PM,6,4,7,4,26,53,89,3.3,1011,10,9,254,18,"Portugal,+Campo+Maior"
2021-02-08,13,9,0.0,7.1,3,25,05:04 AM,02:27 PM,07:28 AM,05:58 PM,8,8,11,8,36,72,85,11.3,1009,13,8,256,25,"Portugal,+Campo+Maior"
2021-02-09,12,9,0.0,3.9,3,18,06:02 AM,03:30 PM,07:27 AM,05:59 PM,9,7,10,7,40,88,88,28.7,1009,12,9,229,26,"Portugal,+Campo+Maior"
2021-02-10,13,8,0.0,6.9,3,12,06:52 AM,04:36 PM,07:26 AM,06:00 PM,9,8,10,8,24,80,89,2.6,1015,13,9,239,15,"Portugal,+Campo+Maior"
2021-02-11,17,11,0.0,5.4,3,5,07:34 AM,05:43 PM,07:25 AM,06:01 PM,12,13,14,13,19,89,91,2.8,1020,17,7,221,13,"Portugal,+Campo+Maior"
2021-02-12,15,10,0.0,8.5,3,2,08:09 AM,06:48 PM,07:23 AM,06:02 PM,10,11,12,11,19,63,87,1.0,1023,15,10,265,13,"Portugal,+Campo+Maior"
2021-02-13,17,8,0.0,10.8,4,9,08:38 AM,07:52 PM,07:22 AM,06:03 PM,7,11,12,11,9,22,78,0.0,1026,17,10,280,5,"Portugal,+Campo+Maior"
2021-02-14,17,7,0.0,10.8,4,15,09:05 AM,08:53 PM,07:21 AM,06:05 PM,6,10,11,10,16,11,73,0.0,1027,17,10,83,9,"Portugal,+Campo+Maior"
2021-02-15,18,8,0.0,10.9,4,22,09:30 AM,09:53 PM,07:20 AM,06:06 PM,7,11,12,11,24,4,71,0.0,1027,18,10,117,14,"Portugal,+Campo+Maior"
2021-02-16,16,7,0.0,10.9,4,29,09:53 AM,10:51 PM,07:19 AM,06:07 PM,8,11,11,11,7,25,83,0.0,1028,16,10,155,4,"Portugal,+Campo+Maior"
