date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,5,0,0.0,8.7,1,83,07:38 PM,09:51 AM,07:53 AM,05:15 PM,0,-0,2,-0,13,28,89,0.0,1015,5,7,302,9,"Portugal,+Covilha"
2021-01-02,7,-2,0.0,8.7,2,76,08:46 PM,10:29 AM,07:53 AM,05:16 PM,-2,0,2,0,12,15,81,0.0,1018,7,9,316,6,"Portugal,+Covilha"
2021-01-03,7,-2,0.0,8.7,2,69,09:55 PM,11:03 AM,07:53 AM,05:17 PM,-3,0,2,0,12,12,74,0.0,1019,7,10,307,7,"Portugal,+Covilha"
2021-01-04,7,-1,0.0,8.7,1,62,11:04 PM,11:33 AM,07:53 AM,05:18 PM,-2,1,2,1,9,33,80,0.0,1016,7,8,301,5,"Portugal,+Covilha"
2021-01-05,7,-3,0.0,8.7,2,56,No moonrise,12:00 PM,07:53 AM,05:19 PM,-5,0,1,0,7,0,67,0.0,1015,7,10,173,4,"Portugal,+Covilha"
2021-01-06,6,-2,0.0,7.0,1,49,12:14 AM,12:28 PM,07:53 AM,05:19 PM,-5,-1,2,-1,16,12,64,0.0,1014,6,10,30,10,"Portugal,+Covilha"
2021-01-07,5,-2,0.0,8.7,2,42,01:25 AM,12:56 PM,07:53 AM,05:20 PM,-5,-2,1,-2,16,15,69,0.0,1013,5,10,64,10,"Portugal,+Covilha"
2021-01-08,5,-3,0.0,8.7,1,35,02:36 AM,01:28 PM,07:53 AM,05:21 PM,-6,-5,-0,-5,27,49,64,0.0,1011,5,10,29,18,"Portugal,+Covilha"
2021-01-09,2,-4,1.7,3.6,1,28,03:50 AM,02:04 PM,07:53 AM,05:22 PM,-4,-6,-1,-6,23,76,86,2.0,1006,2,7,21,16,"Portugal,+Covilha"
2021-01-10,3,-4,0.2,3.6,1,22,05:04 AM,02:47 PM,07:52 AM,05:23 PM,-3,-6,-1,-6,27,76,86,0.2,1014,3,8,37,17,"Portugal,+Covilha"
2021-01-11,4,-5,0.0,8.7,2,15,06:16 AM,03:39 PM,07:52 AM,05:25 PM,-5,-6,-1,-6,27,1,79,0.0,1025,4,10,31,16,"Portugal,+Covilha"
2021-01-12,11,-3,0.0,8.7,3,8,07:22 AM,04:38 PM,07:52 AM,05:26 PM,-4,1,4,1,12,5,68,0.0,1030,11,10,141,6,"Portugal,+Covilha"
2021-01-13,12,-1,0.0,7.0,2,1,08:18 AM,05:44 PM,07:52 AM,05:27 PM,-5,4,5,4,8,20,54,0.0,1031,12,10,228,5,"Portugal,+Covilha"
2021-01-14,13,1,0.0,8.7,2,5,09:05 AM,06:52 PM,07:51 AM,05:28 PM,-2,4,6,4,12,21,63,0.0,1030,13,10,338,6,"Portugal,+Covilha"
2021-01-15,12,3,0.0,8.7,3,12,09:44 AM,08:00 PM,07:51 AM,05:29 PM,1,6,7,6,13,3,71,0.0,1029,12,10,102,7,"Portugal,+Covilha"
2021-01-16,13,0,0.0,8.7,3,19,10:15 AM,09:05 PM,07:50 AM,05:30 PM,-2,4,6,4,15,0,61,0.0,1029,13,10,20,8,"Portugal,+Covilha"
2021-01-17,13,1,0.0,8.7,3,26,10:42 AM,10:08 PM,07:50 AM,05:31 PM,-4,5,7,5,12,6,52,0.0,1030,13,10,30,6,"Portugal,+Covilha"
2021-01-18,12,2,0.0,8.7,3,33,11:07 AM,11:08 PM,07:50 AM,05:32 PM,-0,6,8,6,9,1,66,0.0,1028,12,10,80,5,"Portugal,+Covilha"
2021-01-19,7,0,0.0,7.0,1,39,11:30 AM,No moonset,07:49 AM,05:33 PM,2,3,3,3,7,47,87,0.1,1023,7,8,156,5,"Portugal,+Covilha"
